index,n
8466117ffffffff-2013-11,1
8466117ffffffff-2022-11,1
8466181ffffffff-2018-05,2
8466185ffffffff-2016-08,1
8466185ffffffff-2021-05,1
8466185ffffffff-2022-02,1
84661a3ffffffff-2018-05,1
84661a3ffffffff-2023-01,1
84661a5ffffffff-2012-11,3
84661a5ffffffff-2012-12,1
84661a5ffffffff-2013-02,1
84661a5ffffffff-2013-05,1
84661a5ffffffff-2013-06,6
84661a5ffffffff-2013-10,1
84661a5ffffffff-2014-01,12
84661a5ffffffff-2014-08,10
84661a5ffffffff-2014-10,2
84661a5ffffffff-2015-02,17
84661a5ffffffff-2015-07,7
84661a5ffffffff-2016-01,4
84661a5ffffffff-2016-02,3
84661a5ffffffff-2016-08,14
84661a5ffffffff-2016-12,2
84661a5ffffffff-2017-01,5
84661a5ffffffff-2017-02,2
84661a5ffffffff-2017-03,10
84661a5ffffffff-2017-04,4
84661a5ffffffff-2018-03,3
84661a5ffffffff-2018-05,3
84661a5ffffffff-2018-06,16
84661a5ffffffff-2018-08,1
84661a5ffffffff-2018-09,4
84661a5ffffffff-2018-10,10
84661a5ffffffff-2018-11,2
84661a5ffffffff-2018-12,6
84661a5ffffffff-2019-01,3
84661a5ffffffff-2019-02,1
84661a5ffffffff-2019-03,5
84661a5ffffffff-2019-04,3
84661a5ffffffff-2019-05,3
84661a5ffffffff-2019-07,13
84661a5ffffffff-2019-08,1
84661a5ffffffff-2019-09,1
84661a5ffffffff-2019-10,3
84661a5ffffffff-2019-12,12
84661a5ffffffff-2020-01,1
84661a5ffffffff-2020-05,1
84661a5ffffffff-2020-06,1
84661a5ffffffff-2020-11,1
84661a5ffffffff-2020-12,4
84661a5ffffffff-2021-01,13
84661a5ffffffff-2021-02,3
84661a5ffffffff-2021-03,22
84661a5ffffffff-2021-04,3
84661a5ffffffff-2021-05,3
84661a5ffffffff-2021-06,11
84661a5ffffffff-2021-07,5
84661a5ffffffff-2021-08,5
84661a5ffffffff-2021-09,1
84661a5ffffffff-2021-10,18
84661a5ffffffff-2021-11,1
84661a5ffffffff-2022-01,4
84661a5ffffffff-2022-02,4
84661a5ffffffff-2022-03,18
84661a5ffffffff-2022-04,2
84661a5ffffffff-2022-06,1
84661a5ffffffff-2022-07,9
84661a5ffffffff-2022-08,27
84661a5ffffffff-2022-09,9
84661a5ffffffff-2022-10,8
84661a5ffffffff-2022-11,12
84661a5ffffffff-2022-12,6
84661a5ffffffff-2023-01,1
84661a5ffffffff-2023-02,3
84661a5ffffffff-2023-03,8
84661a5ffffffff-2023-04,3
84661a5ffffffff-2023-05,11
84661a5ffffffff-2023-06,4
84661a5ffffffff-2023-07,5
84661a5ffffffff-2023-08,9
84661a5ffffffff-2023-09,5
84661a5ffffffff-2023-10,4
84661a5ffffffff-2023-11,1
84661a7ffffffff-2014-02,1
84661a7ffffffff-2016-01,3
84661a7ffffffff-2016-12,4
84661a7ffffffff-2017-02,1
84661a7ffffffff-2018-05,1
84661a7ffffffff-2018-10,2
84661a7ffffffff-2018-11,4
84661a7ffffffff-2018-12,1
84661a7ffffffff-2019-01,2
84661a7ffffffff-2019-04,1
84661a7ffffffff-2019-05,9
84661a7ffffffff-2019-09,2
84661a7ffffffff-2019-10,7
84661a7ffffffff-2019-12,3
84661a7ffffffff-2020-02,3
84661a7ffffffff-2020-10,1
84661a7ffffffff-2020-11,3
84661a7ffffffff-2020-12,2
84661a7ffffffff-2021-01,1
84661a7ffffffff-2021-04,2
84661a7ffffffff-2021-05,6
84661a7ffffffff-2021-08,6
84661a7ffffffff-2021-09,2
84661a7ffffffff-2022-01,2
84661a7ffffffff-2022-02,1
84661a7ffffffff-2022-04,5
84661a7ffffffff-2022-05,6
84661a7ffffffff-2022-07,8
84661a7ffffffff-2022-09,1
84661a7ffffffff-2023-01,1
84661a7ffffffff-2023-02,3
84661a7ffffffff-2023-05,19
84661a7ffffffff-2023-08,1
84661a7ffffffff-2023-09,1
84661abffffffff-2022-08,1
84661adffffffff-2017-08,5
84661adffffffff-2018-05,5
84661adffffffff-2018-06,11
84661adffffffff-2018-10,1
84661adffffffff-2019-04,2
84661adffffffff-2019-05,5
84661adffffffff-2019-06,12
84661adffffffff-2019-09,1
84661adffffffff-2019-10,1
84661adffffffff-2020-05,2
84661adffffffff-2020-11,1
84661adffffffff-2021-01,7
84661adffffffff-2021-02,3
84661adffffffff-2021-03,7
84661adffffffff-2021-04,3
84661adffffffff-2021-07,12
84661adffffffff-2021-09,1
84661adffffffff-2021-10,4
84661adffffffff-2022-01,1
84661adffffffff-2022-02,8
84661adffffffff-2022-03,22
84661adffffffff-2022-04,3
84661adffffffff-2022-05,9
84661adffffffff-2022-07,5
84661adffffffff-2022-08,13
84661adffffffff-2022-09,5
84661adffffffff-2022-10,6
84661adffffffff-2022-11,1
84661adffffffff-2022-12,1
84661adffffffff-2023-02,1
84661adffffffff-2023-03,1
84661adffffffff-2023-04,2
84661adffffffff-2023-05,5
84661adffffffff-2023-06,2
84661adffffffff-2023-07,4
84661adffffffff-2023-09,1
84661adffffffff-2023-10,2
84661b1ffffffff-2014-08,1
84661b1ffffffff-2015-02,1
84661b1ffffffff-2015-12,1
84661b1ffffffff-2016-03,2
84661b1ffffffff-2016-04,2
84661b1ffffffff-2016-05,1
84661b1ffffffff-2016-07,1
84661b1ffffffff-2016-12,3
84661b1ffffffff-2017-01,1
84661b1ffffffff-2017-02,12
84661b1ffffffff-2017-03,3
84661b1ffffffff-2017-04,5
84661b1ffffffff-2018-02,1
84661b1ffffffff-2018-03,3
84661b1ffffffff-2018-04,2
84661b1ffffffff-2018-05,9
84661b1ffffffff-2018-06,18
84661b1ffffffff-2018-07,11
84661b1ffffffff-2018-08,4
84661b1ffffffff-2018-09,2
84661b1ffffffff-2018-10,1
84661b1ffffffff-2018-11,3
84661b1ffffffff-2018-12,9
84661b1ffffffff-2019-01,16
84661b1ffffffff-2019-02,17
84661b1ffffffff-2019-03,22
84661b1ffffffff-2019-04,5
84661b1ffffffff-2019-05,4
84661b1ffffffff-2019-06,5
84661b1ffffffff-2019-07,3
84661b1ffffffff-2019-10,2
84661b1ffffffff-2019-11,9
84661b1ffffffff-2019-12,1
84661b1ffffffff-2020-01,4
84661b1ffffffff-2020-02,1
84661b1ffffffff-2020-03,6
84661b1ffffffff-2020-05,8
84661b1ffffffff-2020-09,2
84661b1ffffffff-2020-10,2
84661b1ffffffff-2020-11,1
84661b1ffffffff-2021-01,1
84661b1ffffffff-2021-02,2
84661b1ffffffff-2021-03,1
84661b1ffffffff-2021-04,2
84661b1ffffffff-2021-07,3
84661b1ffffffff-2021-08,12
84661b1ffffffff-2021-09,19
84661b1ffffffff-2021-10,6
84661b1ffffffff-2021-11,2
84661b1ffffffff-2021-12,3
84661b1ffffffff-2022-01,10
84661b1ffffffff-2022-02,12
84661b1ffffffff-2022-03,3
84661b1ffffffff-2022-04,4
84661b1ffffffff-2022-05,9
84661b1ffffffff-2022-06,1
84661b1ffffffff-2022-07,1
84661b1ffffffff-2022-08,9
84661b1ffffffff-2022-09,2
84661b1ffffffff-2022-10,2
84661b1ffffffff-2022-11,4
84661b1ffffffff-2022-12,1
84661b1ffffffff-2023-01,10
84661b1ffffffff-2023-02,29
84661b1ffffffff-2023-03,13
84661b1ffffffff-2023-04,2
84661b1ffffffff-2023-05,10
84661b1ffffffff-2023-06,12
84661b1ffffffff-2023-07,25
84661b1ffffffff-2023-08,19
84661b1ffffffff-2023-09,2
84661b1ffffffff-2023-10,8
84661b3ffffffff-2014-02,5
84661b3ffffffff-2017-03,5
84661b5ffffffff-2018-02,1
84661b5ffffffff-2018-03,1
84661b5ffffffff-2018-05,1
84661b5ffffffff-2019-04,1
84661b5ffffffff-2019-11,1
84661b5ffffffff-2020-12,1
84661b5ffffffff-2021-11,1
84661b5ffffffff-2022-09,1
84661b5ffffffff-2022-10,1
84661b5ffffffff-2022-11,1
84661b5ffffffff-2023-04,1
84661b5ffffffff-2023-05,1
84661b7ffffffff-2017-12,1
84661b7ffffffff-2018-05,1
84661b7ffffffff-2019-01,1
84661b7ffffffff-2019-10,3
84661b7ffffffff-2019-12,2
84661b7ffffffff-2020-01,1
84661b7ffffffff-2020-06,1
84661b7ffffffff-2020-12,1
84661b7ffffffff-2021-01,8
84661b7ffffffff-2021-02,5
84661b7ffffffff-2021-03,7
84661b7ffffffff-2021-04,3
84661b7ffffffff-2021-05,6
84661b7ffffffff-2021-07,2
84661b7ffffffff-2021-08,1
84661b7ffffffff-2021-09,2
84661b7ffffffff-2021-10,8
84661b7ffffffff-2021-11,2
84661b7ffffffff-2021-12,2
84661b7ffffffff-2022-04,5
84661b7ffffffff-2022-05,1
84661b7ffffffff-2022-06,3
84661b7ffffffff-2022-08,1
84661b7ffffffff-2022-11,2
84661b7ffffffff-2022-12,6
84661b7ffffffff-2023-01,5
84661b7ffffffff-2023-02,4
84661b7ffffffff-2023-03,4
84661b7ffffffff-2023-04,4
84661b7ffffffff-2023-05,3
84661b7ffffffff-2023-06,1
84661b7ffffffff-2023-09,5
84661b7ffffffff-2023-10,3
84661b7ffffffff-2023-11,3
84661b9ffffffff-2021-02,1
84661bbffffffff-2013-10,1
84661bbffffffff-2013-12,1
84661bbffffffff-2014-02,3
84661bbffffffff-2016-02,1
84661bbffffffff-2016-05,1
84661bbffffffff-2016-07,3
84661bbffffffff-2016-08,1
84661bbffffffff-2017-01,2
84661bbffffffff-2017-02,1
84661bbffffffff-2017-07,1
84661bbffffffff-2017-12,2
84661bbffffffff-2018-04,1
84661bbffffffff-2018-07,2
84661bbffffffff-2018-12,3
84661bbffffffff-2019-01,7
84661bbffffffff-2019-05,2
84661bbffffffff-2019-12,3
84661bbffffffff-2020-01,6
84661bbffffffff-2020-03,3
84661bbffffffff-2020-05,1
84661bbffffffff-2020-06,4
84661bbffffffff-2020-07,2
84661bbffffffff-2020-10,4
84661bbffffffff-2021-01,1
84661bbffffffff-2021-03,2
84661bbffffffff-2021-04,1
84661bbffffffff-2021-05,2
84661bbffffffff-2021-07,6
84661bbffffffff-2021-08,3
84661bbffffffff-2021-10,3
84661bbffffffff-2021-12,5
84661bbffffffff-2022-08,3
84661bbffffffff-2022-09,5
84661bbffffffff-2022-10,8
84661bbffffffff-2023-01,7
84661bbffffffff-2023-03,7
84661bbffffffff-2023-04,4
84661bbffffffff-2023-05,3
84661bbffffffff-2023-06,9
84661bbffffffff-2023-07,4
84661bbffffffff-2023-11,1
84661bdffffffff-2017-02,3
84661bdffffffff-2017-05,1
84661bdffffffff-2017-07,1
84661bdffffffff-2018-09,2
84661bdffffffff-2019-01,6
84661bdffffffff-2019-05,2
84661bdffffffff-2020-01,1
84661bdffffffff-2021-02,1
84661bdffffffff-2021-03,1
84661bdffffffff-2022-08,1
84661bdffffffff-2023-01,7
84661bdffffffff-2023-02,2
84661bdffffffff-2023-03,6
84661bdffffffff-2023-04,1
84661bdffffffff-2023-07,13
84661bdffffffff-2023-08,6
84661bdffffffff-2023-09,12
84661bdffffffff-2023-10,9
84661c5ffffffff-2022-09,6
84661c7ffffffff-2017-05,3
84661ebffffffff-2015-05,2
84661ebffffffff-2015-07,12
84661ebffffffff-2015-11,1
84661ebffffffff-2016-04,2
84661ebffffffff-2016-05,2
84661ebffffffff-2016-09,2
84661ebffffffff-2016-10,1
84661ebffffffff-2017-02,5
84661ebffffffff-2017-04,1
84661ebffffffff-2017-05,9
84661ebffffffff-2017-06,1
84661ebffffffff-2017-07,2
84661ebffffffff-2017-08,4
84661ebffffffff-2017-09,5
84661ebffffffff-2017-10,3
84661ebffffffff-2017-11,1
84661ebffffffff-2018-01,4
84661ebffffffff-2018-02,12
84661ebffffffff-2018-05,2
84661ebffffffff-2019-05,24
84661ebffffffff-2019-06,1
84661ebffffffff-2019-08,2
84661ebffffffff-2020-01,6
84661ebffffffff-2021-05,10
84661ebffffffff-2021-06,4
84661ebffffffff-2021-07,10
84661ebffffffff-2021-08,8
84661ebffffffff-2021-09,21
84661ebffffffff-2021-10,3
84661ebffffffff-2021-11,2
84661ebffffffff-2021-12,6
84661ebffffffff-2022-01,11
84661ebffffffff-2022-02,4
84661ebffffffff-2022-03,24
84661ebffffffff-2022-04,12
84661ebffffffff-2022-05,4
84661ebffffffff-2022-06,10
84661ebffffffff-2022-07,10
84661ebffffffff-2022-08,12
84661ebffffffff-2022-09,18
84661ebffffffff-2022-10,14
84661ebffffffff-2022-11,30
84661ebffffffff-2022-12,12
84661ebffffffff-2023-01,12
84661ebffffffff-2023-02,6
84661ebffffffff-2023-03,15
84661ebffffffff-2023-04,8
84661ebffffffff-2023-05,8
84661ebffffffff-2023-06,2
84661ebffffffff-2023-07,13
84661ebffffffff-2023-08,2
84661ebffffffff-2023-09,8
84661ebffffffff-2023-10,8
84661ebffffffff-2023-11,6
8466a9bffffffff-2015-01,1
8466a9bffffffff-2016-01,3
8466a9bffffffff-2019-07,10
8466a9bffffffff-2021-08,1
8466a9bffffffff-2022-07,12
8466ad9ffffffff-2022-11,1
8466adbffffffff-2020-08,3
8466d01ffffffff-2015-11,4
8466d01ffffffff-2016-07,1
8466d01ffffffff-2017-10,2
8466d01ffffffff-2018-03,1
8466d01ffffffff-2019-04,8
8466d01ffffffff-2019-05,8
8466d01ffffffff-2019-06,1
8466d01ffffffff-2019-10,6
8466d01ffffffff-2020-01,4
8466d01ffffffff-2020-02,1
8466d01ffffffff-2020-07,2
8466d01ffffffff-2020-10,2
8466d01ffffffff-2021-03,4
8466d01ffffffff-2021-08,1
8466d01ffffffff-2022-01,2
8466d01ffffffff-2023-05,4
8466d01ffffffff-2023-08,3
8466d03ffffffff-2013-03,1
8466d03ffffffff-2013-08,1
8466d03ffffffff-2013-10,1
8466d03ffffffff-2014-04,1
8466d03ffffffff-2014-08,1
8466d03ffffffff-2014-09,2
8466d03ffffffff-2015-03,1
8466d03ffffffff-2015-04,1
8466d03ffffffff-2015-06,1
8466d03ffffffff-2016-04,1
8466d03ffffffff-2016-08,2
8466d03ffffffff-2016-12,1
8466d03ffffffff-2017-05,1
8466d03ffffffff-2017-12,1
8466d03ffffffff-2018-03,1
8466d03ffffffff-2018-05,1
8466d03ffffffff-2018-08,1
8466d03ffffffff-2018-11,3
8466d03ffffffff-2018-12,1
8466d03ffffffff-2019-01,2
8466d03ffffffff-2019-04,2
8466d03ffffffff-2019-05,2
8466d03ffffffff-2019-06,1
8466d03ffffffff-2019-09,2
8466d03ffffffff-2019-11,3
8466d03ffffffff-2019-12,3
8466d03ffffffff-2020-02,7
8466d03ffffffff-2020-03,2
8466d03ffffffff-2020-04,2
8466d03ffffffff-2020-05,7
8466d03ffffffff-2020-08,3
8466d03ffffffff-2020-10,4
8466d03ffffffff-2020-12,2
8466d03ffffffff-2021-01,12
8466d03ffffffff-2021-05,5
8466d03ffffffff-2021-07,2
8466d03ffffffff-2021-08,1
8466d03ffffffff-2021-10,1
8466d03ffffffff-2021-11,1
8466d03ffffffff-2021-12,1
8466d03ffffffff-2022-03,2
8466d03ffffffff-2022-05,2
8466d03ffffffff-2022-08,2
8466d03ffffffff-2022-09,1
8466d03ffffffff-2022-10,4
8466d03ffffffff-2022-11,1
8466d03ffffffff-2022-12,2
8466d03ffffffff-2023-01,4
8466d03ffffffff-2023-04,1
8466d03ffffffff-2023-05,8
8466d03ffffffff-2023-06,2
8466d03ffffffff-2023-07,1
8466d03ffffffff-2023-08,1
8466d03ffffffff-2023-09,1
8466d03ffffffff-2023-10,4
8466d03ffffffff-2023-11,2
8466d05ffffffff-2013-08,1
8466d05ffffffff-2014-02,1
8466d05ffffffff-2014-11,1
8466d05ffffffff-2016-11,3
8466d05ffffffff-2017-05,1
8466d05ffffffff-2017-06,1
8466d05ffffffff-2017-11,2
8466d05ffffffff-2018-01,1
8466d05ffffffff-2019-02,1
8466d05ffffffff-2019-03,4
8466d05ffffffff-2019-09,3
