index,n
8464149ffffffff-2018-04,1
8464149ffffffff-2019-05,1
846414dffffffff-2015-06,2
846414dffffffff-2016-04,1
846414dffffffff-2016-05,1
8464225ffffffff-2014-03,1
846430bffffffff-2017-10,1
846430bffffffff-2018-07,1
846430bffffffff-2018-08,3
846430bffffffff-2019-03,1
846430bffffffff-2019-04,6
8464319ffffffff-2012-01,1
8464319ffffffff-2012-02,2
8464319ffffffff-2012-03,1
8464319ffffffff-2012-12,2
8464319ffffffff-2013-06,1
8464319ffffffff-2014-02,1
8464319ffffffff-2014-04,1
8464319ffffffff-2015-01,1
8464319ffffffff-2016-02,2
8464319ffffffff-2016-03,2
8464319ffffffff-2016-04,2
8464319ffffffff-2016-07,2
8464319ffffffff-2016-10,1
8464319ffffffff-2017-02,15
8464319ffffffff-2017-03,5
8464319ffffffff-2017-04,2
8464319ffffffff-2017-09,4
8464319ffffffff-2018-02,2
8464319ffffffff-2018-03,6
8464319ffffffff-2018-04,4
8464319ffffffff-2018-08,2
8464319ffffffff-2018-09,4
8464319ffffffff-2019-01,1
8464319ffffffff-2019-02,7
8464319ffffffff-2019-03,8
8464319ffffffff-2019-04,2
8464319ffffffff-2019-11,2
8464319ffffffff-2019-12,5
8464319ffffffff-2020-01,5
8464319ffffffff-2020-02,5
8464319ffffffff-2020-03,3
8464319ffffffff-2021-04,2
8464319ffffffff-2021-12,2
8464319ffffffff-2022-02,2
8464319ffffffff-2022-03,1
8464319ffffffff-2022-04,1
8464319ffffffff-2022-05,3
8464319ffffffff-2022-06,4
8464319ffffffff-2022-11,3
8464319ffffffff-2023-01,8
8464319ffffffff-2023-02,12
8464319ffffffff-2023-03,20
8464319ffffffff-2023-04,3
8464319ffffffff-2023-05,4
8464319ffffffff-2023-07,1
8464319ffffffff-2023-11,1
846431dffffffff-2015-01,1
846431dffffffff-2015-02,1
846431dffffffff-2016-07,1
846431dffffffff-2017-11,4
846431dffffffff-2018-04,1
846431dffffffff-2019-02,1
846431dffffffff-2019-07,1
846431dffffffff-2021-03,1
846431dffffffff-2023-03,5
8464323ffffffff-2020-07,14
8464337ffffffff-2014-05,2
8464339ffffffff-2016-08,2
846433dffffffff-2019-03,1
846433dffffffff-2020-07,12
8464343ffffffff-2012-02,2
8464343ffffffff-2012-03,1
8464343ffffffff-2012-12,1
8464343ffffffff-2013-02,2
8464343ffffffff-2013-06,2
8464343ffffffff-2014-02,2
8464343ffffffff-2014-03,2
8464343ffffffff-2015-01,1
8464343ffffffff-2015-02,3
8464343ffffffff-2015-03,2
8464343ffffffff-2015-08,2
8464343ffffffff-2015-11,1
8464343ffffffff-2016-01,4
8464343ffffffff-2016-02,4
8464343ffffffff-2016-03,1
8464343ffffffff-2016-04,2
8464343ffffffff-2016-07,3
8464343ffffffff-2017-03,1
8464343ffffffff-2017-04,1
8464343ffffffff-2017-06,12
8464343ffffffff-2017-07,1
8464343ffffffff-2017-11,4
8464343ffffffff-2018-02,12
8464343ffffffff-2018-03,17
8464343ffffffff-2018-04,4
8464343ffffffff-2018-05,1
8464343ffffffff-2018-09,1
8464343ffffffff-2018-10,1
8464343ffffffff-2018-12,3
8464343ffffffff-2019-02,4
8464343ffffffff-2019-03,5
8464343ffffffff-2019-07,2
8464343ffffffff-2019-08,4
8464343ffffffff-2019-12,1
8464343ffffffff-2020-01,3
8464343ffffffff-2020-03,25
8464343ffffffff-2020-07,12
8464343ffffffff-2020-08,3
8464343ffffffff-2021-03,4
8464343ffffffff-2021-04,16
8464343ffffffff-2022-01,4
8464343ffffffff-2022-03,1
8464343ffffffff-2022-05,3
8464343ffffffff-2022-07,3
8464343ffffffff-2022-08,8
8464343ffffffff-2022-09,8
8464343ffffffff-2022-10,2
8464343ffffffff-2022-11,7
8464343ffffffff-2023-01,11
8464343ffffffff-2023-02,14
8464343ffffffff-2023-03,40
8464343ffffffff-2023-04,33
8464343ffffffff-2023-05,4
8464343ffffffff-2023-06,4
8464343ffffffff-2023-07,10
8464343ffffffff-2023-08,23
8464343ffffffff-2023-09,1
8464343ffffffff-2023-10,19
846434bffffffff-2014-02,1
846434bffffffff-2014-05,1
846434bffffffff-2022-08,1
846434bffffffff-2023-08,1
8464351ffffffff-2022-07,2
8464353ffffffff-2020-07,6
8464353ffffffff-2023-05,1
8464357ffffffff-2018-03,2
8464357ffffffff-2019-03,4
8464357ffffffff-2021-01,1
8464357ffffffff-2022-12,1
8464357ffffffff-2023-04,1
8464357ffffffff-2023-10,5
8464359ffffffff-2012-03,5
8464359ffffffff-2012-12,1
8464359ffffffff-2013-02,4
8464359ffffffff-2013-03,1
8464359ffffffff-2014-02,1
8464359ffffffff-2014-03,1
8464359ffffffff-2015-01,2
8464359ffffffff-2015-02,1
8464359ffffffff-2015-03,1
8464359ffffffff-2016-05,3
8464359ffffffff-2016-12,2
8464359ffffffff-2017-04,3
8464359ffffffff-2018-01,1
8464359ffffffff-2018-02,9
8464359ffffffff-2018-03,12
8464359ffffffff-2018-11,1
8464359ffffffff-2018-12,3
8464359ffffffff-2019-11,2
8464359ffffffff-2020-03,5
8464359ffffffff-2021-04,2
8464359ffffffff-2021-05,4
8464359ffffffff-2021-06,1
8464359ffffffff-2022-05,1
8464359ffffffff-2022-07,1
8464359ffffffff-2022-11,2
8464359ffffffff-2022-12,1
8464359ffffffff-2023-01,4
8464359ffffffff-2023-02,5
8464359ffffffff-2023-03,32
8464359ffffffff-2023-04,3
8464359ffffffff-2023-05,2
8464359ffffffff-2023-08,3
8464359ffffffff-2023-10,2
846435bffffffff-2015-01,1
846435bffffffff-2016-04,1
846435bffffffff-2021-03,1
846435bffffffff-2021-04,4
846435bffffffff-2022-05,1
8465001ffffffff-2015-11,1
8465001ffffffff-2023-03,2
8465005ffffffff-2013-01,2
8465005ffffffff-2013-02,1
8465005ffffffff-2013-03,1
8465005ffffffff-2013-04,4
8465005ffffffff-2013-09,2
8465005ffffffff-2014-02,1
