index,n
848c231ffffffff-2013-04,2
848c231ffffffff-2013-12,5
848c231ffffffff-2014-09,1
848c231ffffffff-2015-08,1
848c231ffffffff-2015-11,1
848c231ffffffff-2016-11,4
848c231ffffffff-2016-12,1
848c231ffffffff-2018-10,1
848c231ffffffff-2018-11,2
848c231ffffffff-2018-12,2
848c231ffffffff-2019-01,1
848c231ffffffff-2019-02,12
848c231ffffffff-2019-08,2
848c231ffffffff-2019-11,7
848c231ffffffff-2019-12,2
848c231ffffffff-2020-10,4
848c231ffffffff-2021-05,13
848c231ffffffff-2021-12,3
848c231ffffffff-2022-09,1
848c231ffffffff-2022-11,13
848c231ffffffff-2022-12,12
848c231ffffffff-2023-01,2
848c231ffffffff-2023-04,2
848c231ffffffff-2023-07,5
848c231ffffffff-2023-08,1
848c231ffffffff-2023-10,1
848c231ffffffff-2023-11,6
848c235ffffffff-2013-03,1
848c235ffffffff-2013-12,24
848c235ffffffff-2014-12,3
848c235ffffffff-2015-11,6
848c235ffffffff-2016-01,5
848c235ffffffff-2016-05,1
848c235ffffffff-2016-07,3
848c235ffffffff-2016-11,13
848c235ffffffff-2017-07,1
848c235ffffffff-2017-12,2
848c235ffffffff-2018-05,3
848c235ffffffff-2018-08,2
848c235ffffffff-2018-10,2
848c235ffffffff-2018-11,13
848c235ffffffff-2018-12,4
848c235ffffffff-2019-01,2
848c235ffffffff-2019-02,33
848c235ffffffff-2019-06,4
848c235ffffffff-2019-09,3
848c235ffffffff-2019-11,6
848c235ffffffff-2019-12,26
848c235ffffffff-2020-01,22
848c235ffffffff-2020-03,1
848c235ffffffff-2020-10,7
848c235ffffffff-2020-11,4
848c235ffffffff-2021-01,3
848c235ffffffff-2021-03,1
848c235ffffffff-2021-05,13
848c235ffffffff-2021-06,7
848c235ffffffff-2021-12,14
848c235ffffffff-2022-04,1
848c235ffffffff-2022-05,6
848c235ffffffff-2022-08,4
848c235ffffffff-2022-09,5
848c235ffffffff-2022-10,1
848c235ffffffff-2022-11,62
848c235ffffffff-2022-12,19
848c235ffffffff-2023-01,11
848c235ffffffff-2023-03,4
848c235ffffffff-2023-04,15
848c235ffffffff-2023-07,20
848c235ffffffff-2023-08,4
848c235ffffffff-2023-09,11
848c235ffffffff-2023-10,2
848c235ffffffff-2023-11,28
848c237ffffffff-2013-03,1
848c237ffffffff-2013-12,3
848c237ffffffff-2014-12,1
848c237ffffffff-2015-08,3
848c237ffffffff-2015-11,1
848c237ffffffff-2016-11,4
848c237ffffffff-2017-05,1
848c237ffffffff-2017-12,1
848c237ffffffff-2018-01,1
848c237ffffffff-2018-11,2
848c237ffffffff-2018-12,1
848c237ffffffff-2019-02,27
848c237ffffffff-2019-10,1
848c237ffffffff-2019-11,1
848c237ffffffff-2019-12,4
848c237ffffffff-2020-01,4
848c237ffffffff-2020-10,14
848c237ffffffff-2020-11,1
848c237ffffffff-2021-06,2
848c237ffffffff-2021-12,2
848c237ffffffff-2022-09,1
848c237ffffffff-2022-11,22
848c237ffffffff-2022-12,1
848c237ffffffff-2023-01,5
848c237ffffffff-2023-03,2
848c237ffffffff-2023-07,4
848c237ffffffff-2023-08,1
848c237ffffffff-2023-09,4
848c237ffffffff-2023-10,2
848c237ffffffff-2023-11,10
848c453ffffffff-2013-03,1
848c453ffffffff-2013-12,1
848c453ffffffff-2017-12,1
848c453ffffffff-2018-12,1
848c453ffffffff-2019-02,5
848c453ffffffff-2019-11,1
848c453ffffffff-2019-12,4
848c453ffffffff-2020-01,2
848c453ffffffff-2022-11,2
848c6adffffffff-2014-05,1
