index,n
84972d9ffffffff-2015-01,2
84972dbffffffff-2021-02,1
84972dbffffffff-2023-03,1
84ad321ffffffff-2013-08,1
84ad321ffffffff-2013-09,1
84ad321ffffffff-2013-10,1
84ad321ffffffff-2014-01,2
84ad321ffffffff-2017-09,1
84ad321ffffffff-2021-11,1
84ad321ffffffff-2023-03,2
84ad321ffffffff-2023-08,4
84ad321ffffffff-2023-10,8
84ad325ffffffff-2023-05,1
84ad329ffffffff-2015-01,1
84ad329ffffffff-2017-10,1
84ad329ffffffff-2018-09,1
84ad329ffffffff-2019-02,1
84ad329ffffffff-2022-09,2
84ad32dffffffff-2015-08,3
84ad32dffffffff-2022-09,2
84ad32dffffffff-2023-04,2
84ad32dffffffff-2023-05,1
84ad361ffffffff-2015-09,1
84ad361ffffffff-2017-05,1
84ad361ffffffff-2018-06,2
84ad361ffffffff-2018-12,1
84ad361ffffffff-2019-05,1
84ad361ffffffff-2019-09,1
84ad361ffffffff-2019-12,1
84ad361ffffffff-2021-08,1
84ad361ffffffff-2023-04,1
84ad361ffffffff-2023-08,2
84ad361ffffffff-2023-09,5
84ad361ffffffff-2023-10,13
84ad365ffffffff-2013-08,1
84ad365ffffffff-2022-02,1
84ad365ffffffff-2022-08,1
84ad365ffffffff-2023-01,2
84ad365ffffffff-2023-02,2
84ad365ffffffff-2023-04,2
84ad365ffffffff-2023-08,2
84ad365ffffffff-2023-10,13
84ad367ffffffff-2012-02,1
84ad367ffffffff-2012-11,2
84ad367ffffffff-2013-02,2
84ad367ffffffff-2013-08,2
84ad367ffffffff-2014-08,1
84ad367ffffffff-2014-09,2
84ad367ffffffff-2015-08,3
84ad367ffffffff-2015-09,1
84ad367ffffffff-2015-10,2
84ad367ffffffff-2015-11,4
84ad367ffffffff-2016-06,1
84ad367ffffffff-2016-09,1
84ad367ffffffff-2017-09,2
84ad367ffffffff-2018-08,3
84ad367ffffffff-2018-09,5
84ad367ffffffff-2018-11,1
84ad367ffffffff-2018-12,1
84ad367ffffffff-2019-02,2
84ad367ffffffff-2019-08,2
84ad367ffffffff-2019-09,13
84ad367ffffffff-2019-10,5
84ad367ffffffff-2019-11,4
84ad367ffffffff-2020-03,1
84ad367ffffffff-2020-10,2
84ad367ffffffff-2021-01,1
84ad367ffffffff-2021-09,1
84ad367ffffffff-2021-10,2
84ad367ffffffff-2021-11,2
84ad367ffffffff-2022-02,1
84ad367ffffffff-2022-04,1
84ad367ffffffff-2022-05,3
84ad367ffffffff-2022-09,9
84ad367ffffffff-2022-10,2
84ad367ffffffff-2022-11,3
84ad367ffffffff-2022-12,1
84ad367ffffffff-2023-01,2
84ad367ffffffff-2023-03,1
84ad367ffffffff-2023-04,1
84ad367ffffffff-2023-05,3
84ad367ffffffff-2023-06,1
84ad367ffffffff-2023-07,3
84ad367ffffffff-2023-08,8
84ad367ffffffff-2023-09,5
84ad367ffffffff-2023-10,15
84ad367ffffffff-2023-11,6
84ad369ffffffff-2016-12,1
84ad369ffffffff-2017-01,1
84ad369ffffffff-2017-04,1
84ad369ffffffff-2018-10,1
84ad369ffffffff-2021-01,1
84ad825ffffffff-2015-01,1
84ad829ffffffff-2015-01,1
84ad867ffffffff-2015-01,1
84adb45ffffffff-2022-02,2
84bc091ffffffff-2021-11,1
84bc091ffffffff-2021-12,1
84bc097ffffffff-2022-02,1
84bc099ffffffff-2022-01,1
84bc09bffffffff-2021-11,1
84bc409ffffffff-2015-01,1
84bc409ffffffff-2017-01,2
84bc409ffffffff-2021-12,1
84bc409ffffffff-2023-11,1
84bc453ffffffff-2022-01,1
84bc453ffffffff-2022-07,2
84bc453ffffffff-2022-08,1
84bc455ffffffff-2014-12,1
84bc469ffffffff-2019-12,2
84bc499ffffffff-2020-06,1
84bc4cbffffffff-2023-06,1
84bc4d3ffffffff-2023-04,2
84bc501ffffffff-2021-04,2
84bc501ffffffff-2021-06,1
84bc501ffffffff-2021-09,1
84bc501ffffffff-2022-04,2
84bc501ffffffff-2022-06,2
84bc501ffffffff-2022-10,2
84bc501ffffffff-2022-12,4
84bc50bffffffff-2017-02,1
84bc50bffffffff-2017-06,1
84bc50bffffffff-2021-02,2
84bc50bffffffff-2021-06,1
84bc50bffffffff-2023-11,5
84bc51dffffffff-2022-02,1
84bc51dffffffff-2023-11,2
84bc525ffffffff-2014-01,3
84bc527ffffffff-2023-01,1
84bc529ffffffff-2022-09,1
84bc52bffffffff-2020-07,3
84bc52bffffffff-2021-03,2
84bc533ffffffff-2017-01,2
84bc535ffffffff-2022-12,1
84bc537ffffffff-2017-01,2
84bc53bffffffff-2020-06,2
84bc53bffffffff-2020-08,3
84bc543ffffffff-2020-06,1
84bc55dffffffff-2020-06,1
84bc567ffffffff-2021-08,1
84bc567ffffffff-2021-10,2
84bc567ffffffff-2021-12,6
84bc567ffffffff-2022-08,1
84bc5edffffffff-2021-03,1
84bc5edffffffff-2021-10,1
84bc5edffffffff-2022-12,1
84bc5edffffffff-2023-10,1
84bc683ffffffff-2013-01,1
84bc683ffffffff-2019-08,1
84bc683ffffffff-2019-11,1
84bc683ffffffff-2020-08,2
84bc683ffffffff-2020-09,1
84bc683ffffffff-2020-11,1
84bc683ffffffff-2021-03,1
84bc683ffffffff-2021-05,1
84bc683ffffffff-2021-09,1
84bc683ffffffff-2021-12,3
84bc683ffffffff-2022-01,1
84bc683ffffffff-2022-08,1
84bc683ffffffff-2022-11,1
84bc683ffffffff-2023-07,1
84bc683ffffffff-2023-10,5
84bc687ffffffff-2013-10,1
84bc687ffffffff-2017-10,2
84bc687ffffffff-2018-12,1
84bc687ffffffff-2021-03,1
84bc687ffffffff-2022-01,1
84bc687ffffffff-2022-08,1
84bc687ffffffff-2022-09,4
84bc687ffffffff-2022-10,3
84bc687ffffffff-2023-01,3
84bc687ffffffff-2023-09,2
84bc687ffffffff-2023-10,6
84bc687ffffffff-2023-11,3
84bc695ffffffff-2020-12,1
84bc697ffffffff-2021-06,1
84bc6a3ffffffff-2012-11,2
84bc6a3ffffffff-2013-10,3
84bc6a3ffffffff-2015-08,1
84bc6a3ffffffff-2015-11,1
84bc6a3ffffffff-2016-03,1
84bc6a3ffffffff-2016-11,1
84bc6a3ffffffff-2017-09,2
84bc6a3ffffffff-2017-10,4
84bc6a3ffffffff-2018-09,4
84bc6a3ffffffff-2018-12,3
84bc6a3ffffffff-2020-11,1
84bc6a3ffffffff-2021-01,1
84bc6a3ffffffff-2021-10,1
84bc6a3ffffffff-2022-01,4
84bc6a3ffffffff-2022-05,3
84bc6a3ffffffff-2022-09,2
84bc6a3ffffffff-2022-10,3
84bc6a3ffffffff-2023-08,1
84bc6a3ffffffff-2023-09,2
84bc6a5ffffffff-2019-12,1
84bc6abffffffff-2015-07,2
84bc6abffffffff-2017-01,1
84bc6abffffffff-2017-03,1
84bc6abffffffff-2017-04,1
84bc6abffffffff-2019-10,1
84bc6abffffffff-2023-01,3
84bc6abffffffff-2023-09,3
84bc6abffffffff-2023-11,1
84bc6b1ffffffff-2023-06,1
