index,n
846618dffffffff-2018-05,1
84661b1ffffffff-2012-02,2
84661b1ffffffff-2012-04,1
84661b1ffffffff-2012-07,1
84661b1ffffffff-2013-02,7
84661b1ffffffff-2014-03,1
84661b1ffffffff-2014-05,1
84661b1ffffffff-2014-06,2
84661b1ffffffff-2014-07,2
84661b1ffffffff-2014-08,8
84661b1ffffffff-2015-01,3
84661b1ffffffff-2015-02,2
84661b1ffffffff-2015-03,3
84661b1ffffffff-2015-05,1
84661b1ffffffff-2015-06,4
84661b1ffffffff-2015-07,2
84661b1ffffffff-2015-08,4
84661b1ffffffff-2015-12,2
84661b1ffffffff-2016-01,3
84661b1ffffffff-2016-04,1
84661b1ffffffff-2016-05,1
84661b1ffffffff-2016-06,3
84661b1ffffffff-2016-07,1
84661b1ffffffff-2016-08,2
84661b1ffffffff-2016-10,7
84661b1ffffffff-2016-11,1
84661b1ffffffff-2017-01,11
84661b1ffffffff-2017-02,7
84661b1ffffffff-2017-03,24
84661b1ffffffff-2017-04,12
84661b1ffffffff-2017-05,6
84661b1ffffffff-2017-06,10
84661b1ffffffff-2017-07,22
84661b1ffffffff-2017-08,16
84661b1ffffffff-2017-10,1
84661b1ffffffff-2017-11,3
84661b1ffffffff-2017-12,5
84661b1ffffffff-2018-01,1
84661b1ffffffff-2018-02,8
84661b1ffffffff-2018-03,11
84661b1ffffffff-2018-04,8
84661b1ffffffff-2018-05,18
84661b1ffffffff-2018-06,20
84661b1ffffffff-2018-07,14
84661b1ffffffff-2018-08,47
84661b1ffffffff-2018-09,7
84661b1ffffffff-2018-10,1
84661b1ffffffff-2018-11,32
84661b1ffffffff-2018-12,19
84661b1ffffffff-2019-01,29
84661b1ffffffff-2019-02,29
84661b1ffffffff-2019-03,5
84661b1ffffffff-2019-04,4
84661b1ffffffff-2019-05,8
84661b1ffffffff-2019-06,16
84661b1ffffffff-2019-07,38
84661b1ffffffff-2019-08,11
84661b1ffffffff-2019-09,21
84661b1ffffffff-2019-10,4
84661b1ffffffff-2019-11,5
84661b1ffffffff-2019-12,17
84661b1ffffffff-2020-01,51
84661b1ffffffff-2020-02,32
84661b1ffffffff-2020-03,32
84661b1ffffffff-2020-04,2
84661b1ffffffff-2020-05,7
84661b1ffffffff-2020-06,1
84661b1ffffffff-2020-07,1
84661b1ffffffff-2020-08,1
84661b1ffffffff-2020-09,1
84661b1ffffffff-2020-10,6
84661b1ffffffff-2021-02,4
84661b1ffffffff-2021-03,14
84661b1ffffffff-2021-04,11
84661b1ffffffff-2021-05,5
84661b1ffffffff-2021-07,12
84661b1ffffffff-2021-08,30
84661b1ffffffff-2021-09,32
84661b1ffffffff-2021-10,8
84661b1ffffffff-2021-11,3
84661b1ffffffff-2022-01,1
84661b1ffffffff-2022-02,26
84661b1ffffffff-2022-03,36
84661b1ffffffff-2022-04,3
84661b1ffffffff-2022-05,20
84661b1ffffffff-2022-06,2
84661b1ffffffff-2022-07,1
84661b1ffffffff-2022-08,93
84661b1ffffffff-2022-09,7
84661b1ffffffff-2022-10,22
84661b1ffffffff-2022-11,28
84661b1ffffffff-2022-12,26
84661b1ffffffff-2023-01,10
84661b1ffffffff-2023-02,41
84661b1ffffffff-2023-03,31
84661b1ffffffff-2023-04,10
84661b1ffffffff-2023-05,9
84661b1ffffffff-2023-07,61
84661b1ffffffff-2023-08,45
84661b1ffffffff-2023-09,19
84661b1ffffffff-2023-10,15
84661b1ffffffff-2023-11,15
84661b3ffffffff-2014-02,6
84661b3ffffffff-2015-07,1
84661b3ffffffff-2016-12,1
84661b3ffffffff-2017-03,1
84661b3ffffffff-2017-04,1
84661b3ffffffff-2017-07,3
84661b3ffffffff-2017-10,2
84661b3ffffffff-2019-03,5
84661b3ffffffff-2019-05,3
84661b3ffffffff-2019-06,1
84661b3ffffffff-2019-12,1
84661b3ffffffff-2020-01,1
84661b3ffffffff-2021-09,4
84661b3ffffffff-2021-12,3
84661b3ffffffff-2023-05,1
84661b7ffffffff-2016-03,3
84661b7ffffffff-2016-06,2
84661b7ffffffff-2017-05,3
84661b7ffffffff-2018-05,1
84661b7ffffffff-2018-08,11
84661b7ffffffff-2019-01,4
84661b7ffffffff-2019-10,3
84661b7ffffffff-2019-12,2
84661b7ffffffff-2020-01,1
84661b7ffffffff-2020-02,2
84661b7ffffffff-2020-07,3
84661b7ffffffff-2020-11,2
84661b7ffffffff-2020-12,1
84661b7ffffffff-2021-01,8
84661b7ffffffff-2021-02,7
84661b7ffffffff-2021-03,3
84661b7ffffffff-2021-05,1
84661b7ffffffff-2021-09,2
84661b7ffffffff-2021-10,3
84661b7ffffffff-2021-11,3
84661b7ffffffff-2022-04,1
84661b7ffffffff-2022-06,2
84661b7ffffffff-2023-01,1
84661b7ffffffff-2023-02,3
84661b7ffffffff-2023-03,2
84661b7ffffffff-2023-04,1
84661b7ffffffff-2023-05,4
84661b7ffffffff-2023-09,1
84661b7ffffffff-2023-10,1
84661b9ffffffff-2012-01,1
84661b9ffffffff-2012-12,3
84661b9ffffffff-2013-01,1
84661b9ffffffff-2014-01,1
84661b9ffffffff-2014-06,1
84661b9ffffffff-2014-08,1
84661b9ffffffff-2015-02,2
84661b9ffffffff-2015-03,1
84661b9ffffffff-2015-11,1
84661b9ffffffff-2016-10,1
84661b9ffffffff-2017-01,1
84661b9ffffffff-2017-02,5
84661b9ffffffff-2017-10,1
84661b9ffffffff-2017-11,2
84661b9ffffffff-2017-12,2
84661b9ffffffff-2018-01,1
84661b9ffffffff-2018-03,6
84661b9ffffffff-2018-04,2
84661b9ffffffff-2018-05,1
84661b9ffffffff-2018-12,2
84661b9ffffffff-2019-01,8
84661b9ffffffff-2019-02,4
84661b9ffffffff-2019-10,2
84661b9ffffffff-2019-11,1
84661b9ffffffff-2020-01,4
84661b9ffffffff-2020-03,1
84661b9ffffffff-2020-04,6
84661b9ffffffff-2020-05,11
84661b9ffffffff-2020-06,4
84661b9ffffffff-2020-07,4
84661b9ffffffff-2021-02,7
84661b9ffffffff-2021-03,4
84661b9ffffffff-2021-06,1
84661b9ffffffff-2021-07,2
84661b9ffffffff-2022-02,4
84661b9ffffffff-2022-03,7
84661b9ffffffff-2022-05,4
84661b9ffffffff-2022-06,3
84661b9ffffffff-2022-07,10
