index,n
8440611ffffffff-2022-12,1
8440613ffffffff-2023-04,1
8440613ffffffff-2023-05,1
8440613ffffffff-2023-07,2
8440653ffffffff-2019-12,7
8440653ffffffff-2023-07,2
8440653ffffffff-2023-11,1
8441417ffffffff-2013-03,1
8441487ffffffff-2020-12,1
84414b3ffffffff-2020-06,1
84414c3ffffffff-2023-01,1
84414c3ffffffff-2023-05,1
84414d1ffffffff-2022-10,1
8441585ffffffff-2022-09,1
8441597ffffffff-2022-12,1
84415c3ffffffff-2015-04,1
84415c3ffffffff-2016-03,2
84415c3ffffffff-2019-03,1
8441617ffffffff-2018-12,2
8441617ffffffff-2019-10,1
8441617ffffffff-2020-02,3
844165bffffffff-2021-12,1
8464161ffffffff-2016-01,1
8464161ffffffff-2018-03,2
846416dffffffff-2012-01,1
846416dffffffff-2012-04,1
846416dffffffff-2012-12,3
846416dffffffff-2013-01,1
846416dffffffff-2013-02,1
846416dffffffff-2013-03,1
846416dffffffff-2013-12,2
846416dffffffff-2014-01,3
846416dffffffff-2014-03,7
846416dffffffff-2014-05,3
846416dffffffff-2015-01,4
846416dffffffff-2015-02,2
846416dffffffff-2015-03,2
846416dffffffff-2015-04,2
846416dffffffff-2015-06,1
846416dffffffff-2015-11,5
846416dffffffff-2016-01,8
846416dffffffff-2016-02,3
846416dffffffff-2016-03,2
846416dffffffff-2016-04,2
846416dffffffff-2016-05,3
846416dffffffff-2016-06,3
846416dffffffff-2016-12,1
846416dffffffff-2017-01,3
846416dffffffff-2017-02,8
846416dffffffff-2017-03,20
846416dffffffff-2017-04,3
846416dffffffff-2017-05,1
846416dffffffff-2017-11,5
846416dffffffff-2017-12,6
846416dffffffff-2018-01,4
846416dffffffff-2018-02,19
846416dffffffff-2018-03,3
846416dffffffff-2018-05,2
846416dffffffff-2018-06,3
846416dffffffff-2018-11,1
846416dffffffff-2019-05,1
846416dffffffff-2020-01,1
846416dffffffff-2021-11,1
846416dffffffff-2021-12,5
846416dffffffff-2022-02,13
846416dffffffff-2022-03,6
846416dffffffff-2022-04,13
846416dffffffff-2022-05,8
846416dffffffff-2022-06,4
846416dffffffff-2022-07,2
846416dffffffff-2022-11,27
846416dffffffff-2022-12,7
846416dffffffff-2023-01,27
846416dffffffff-2023-02,29
846416dffffffff-2023-03,22
846416dffffffff-2023-04,9
846416dffffffff-2023-06,5
846416dffffffff-2023-07,3
846416dffffffff-2023-11,33
846480bffffffff-2015-07,1
846480bffffffff-2015-08,2
846480bffffffff-2016-01,1
846480bffffffff-2017-02,1
846480bffffffff-2017-12,1
846480bffffffff-2018-01,2
846480bffffffff-2018-03,1
846480bffffffff-2020-07,2
8464825ffffffff-2012-12,1
8464825ffffffff-2021-11,1
846482bffffffff-2016-01,1
846482bffffffff-2016-03,2
846482bffffffff-2022-06,1
8464843ffffffff-2021-01,1
8464845ffffffff-2020-10,2
8464845ffffffff-2021-03,1
8464845ffffffff-2021-11,1
8464845ffffffff-2021-12,3
8464845ffffffff-2022-05,1
8464845ffffffff-2022-06,1
8464845ffffffff-2022-12,2
8464845ffffffff-2023-04,1
8464845ffffffff-2023-06,1
846484bffffffff-2016-01,1
846484bffffffff-2018-12,1
846484bffffffff-2019-12,1
846486bffffffff-2021-04,1
8464905ffffffff-2019-05,2
8464911ffffffff-2014-11,1
8464911ffffffff-2015-01,1
8464911ffffffff-2015-02,1
8464911ffffffff-2015-12,1
8464911ffffffff-2017-01,1
8464911ffffffff-2017-02,1
8464911ffffffff-2017-03,1
8464911ffffffff-2018-02,1
8464911ffffffff-2018-03,1
8464911ffffffff-2018-11,4
8464911ffffffff-2018-12,4
8464911ffffffff-2019-01,2
8464911ffffffff-2019-02,6
8464911ffffffff-2019-11,3
8464911ffffffff-2019-12,8
8464911ffffffff-2020-02,10
8464911ffffffff-2020-03,6
8464911ffffffff-2021-12,2
8464911ffffffff-2022-03,1
8464911ffffffff-2023-01,1
8464983ffffffff-2017-11,2
8464a15ffffffff-2018-01,5
8464a15ffffffff-2023-02,2
8464a31ffffffff-2016-11,3
8464a35ffffffff-2018-02,4
8464a35ffffffff-2019-08,1
8464a35ffffffff-2019-12,2
8464a35ffffffff-2020-01,2
8464a35ffffffff-2020-03,1
8464a35ffffffff-2020-10,1
8464a35ffffffff-2021-02,2
8464a35ffffffff-2022-07,1
8464a35ffffffff-2022-08,5
8464a35ffffffff-2022-11,2
8464a35ffffffff-2023-04,1
8464a35ffffffff-2023-07,2
8464a35ffffffff-2023-08,4
8464a35ffffffff-2023-11,4
8464b03ffffffff-2013-10,1
8464b03ffffffff-2015-07,1
8464b03ffffffff-2016-03,1
8464b03ffffffff-2016-05,1
8464b03ffffffff-2018-03,1
8464b03ffffffff-2018-04,1
8464b03ffffffff-2018-08,1
8464b03ffffffff-2019-04,1
8464b03ffffffff-2019-08,2
8464b03ffffffff-2020-11,6
8464b03ffffffff-2021-12,5
8464b03ffffffff-2022-01,5
8464b03ffffffff-2022-04,7
8464b03ffffffff-2022-05,1
8464b03ffffffff-2022-11,1
8464b03ffffffff-2022-12,2
8464b03ffffffff-2023-01,2
8464b03ffffffff-2023-03,1
8464b0bffffffff-2022-02,2
8464b0bffffffff-2022-10,1
8464b0bffffffff-2023-01,1
8464b29ffffffff-2021-03,3
8464b55ffffffff-2015-03,1
8464b55ffffffff-2015-07,1
8464b55ffffffff-2016-02,1
8464b55ffffffff-2016-03,1
8464b55ffffffff-2017-04,2
8464b55ffffffff-2018-01,3
8464b55ffffffff-2018-02,2
8464b55ffffffff-2018-03,2
8464b55ffffffff-2018-04,1
8464b55ffffffff-2018-06,1
8464b55ffffffff-2018-11,2
8464b55ffffffff-2019-01,4
8464b55ffffffff-2019-03,3
8464b55ffffffff-2020-02,3
8464b55ffffffff-2020-10,1
8464b55ffffffff-2020-12,2
8464b55ffffffff-2021-11,1
8464b55ffffffff-2022-03,1
8464b55ffffffff-2022-05,1
8464b55ffffffff-2022-12,1
8464b55ffffffff-2023-01,2
8464b55ffffffff-2023-02,4
8464b55ffffffff-2023-03,1
8464b55ffffffff-2023-07,1
8464b55ffffffff-2023-10,4
8464b5dffffffff-2016-03,1
8464b5dffffffff-2017-05,1
8464b5dffffffff-2020-02,1
8464b5dffffffff-2021-12,2
8464b5dffffffff-2022-12,1
846500bffffffff-2013-09,2
846500bffffffff-2014-02,1
846500bffffffff-2014-06,1
846500bffffffff-2014-07,1
846500bffffffff-2014-08,1
846500bffffffff-2014-10,2
846500bffffffff-2014-12,1
846500bffffffff-2015-02,1
846500bffffffff-2015-10,1
846500bffffffff-2016-02,1
846500bffffffff-2016-03,3
846500bffffffff-2016-07,1
846500bffffffff-2016-08,1
846500bffffffff-2016-12,1
846500bffffffff-2017-02,1
846500bffffffff-2017-06,3
846500bffffffff-2017-07,2
846500bffffffff-2018-02,1
846500bffffffff-2018-06,1
846500bffffffff-2019-06,2
