index,n
844836dffffffff-2012-07,1
844836dffffffff-2012-10,1
844836dffffffff-2013-08,5
844836dffffffff-2014-10,2
844836dffffffff-2014-11,3
844836dffffffff-2015-03,2
844836dffffffff-2015-05,5
844836dffffffff-2015-12,1
844836dffffffff-2017-01,1
844836dffffffff-2017-03,5
844836dffffffff-2017-12,1
844836dffffffff-2018-02,2
844836dffffffff-2018-04,2
844836dffffffff-2018-08,1
844836dffffffff-2019-01,1
844836dffffffff-2019-03,2
844836dffffffff-2019-04,2
844836dffffffff-2020-01,12
844836dffffffff-2020-02,1
844836dffffffff-2020-07,2
844836dffffffff-2020-09,2
844836dffffffff-2020-10,5
844836dffffffff-2020-12,2
844836dffffffff-2021-01,2
844836dffffffff-2021-02,8
844836dffffffff-2021-03,5
844836dffffffff-2021-04,6
844836dffffffff-2021-06,3
844836dffffffff-2021-07,2
844836dffffffff-2021-08,1
844836dffffffff-2021-11,2
844836dffffffff-2021-12,2
844836dffffffff-2022-03,3
844836dffffffff-2022-04,11
844836dffffffff-2022-05,4
844836dffffffff-2022-07,11
844836dffffffff-2022-11,4
844836dffffffff-2022-12,10
844836dffffffff-2023-01,3
844836dffffffff-2023-02,24
844836dffffffff-2023-03,5
844836dffffffff-2023-04,8
844836dffffffff-2023-05,3
844836dffffffff-2023-06,1
844836dffffffff-2023-08,3
844836dffffffff-2023-10,1
844836dffffffff-2023-11,4
8449801ffffffff-2023-08,1
8449809ffffffff-2020-01,1
8449809ffffffff-2021-04,1
8449809ffffffff-2022-04,1
8449809ffffffff-2022-07,1
844980bffffffff-2023-11,1
8449813ffffffff-2020-08,1
8449819ffffffff-2016-10,2
8449819ffffffff-2017-01,1
8449819ffffffff-2020-03,2
8449831ffffffff-2014-10,1
8449851ffffffff-2013-05,1
8449851ffffffff-2013-08,1
8449851ffffffff-2020-02,1
8449855ffffffff-2015-11,4
8449855ffffffff-2017-10,1
8449855ffffffff-2019-11,2
8449855ffffffff-2022-09,1
8449855ffffffff-2023-10,2
8449857ffffffff-2015-11,2
8449857ffffffff-2018-10,1
844985bffffffff-2023-09,1
8449863ffffffff-2016-02,1
8449863ffffffff-2018-02,2
8449863ffffffff-2022-01,2
844990dffffffff-2019-05,2
844990dffffffff-2020-01,2
844990dffffffff-2022-01,3
8449945ffffffff-2016-06,1
8449945ffffffff-2017-03,2
8449945ffffffff-2017-07,1
8449945ffffffff-2018-06,2
8449945ffffffff-2018-09,2
8449945ffffffff-2020-01,1
8449945ffffffff-2020-03,5
8449945ffffffff-2021-07,2
8449945ffffffff-2021-12,4
8449945ffffffff-2022-07,2
8449945ffffffff-2023-01,1
8449945ffffffff-2023-04,1
8449945ffffffff-2023-06,4
8449963ffffffff-2012-04,1
8449963ffffffff-2013-06,3
8449963ffffffff-2013-07,1
8449963ffffffff-2014-01,3
8449963ffffffff-2014-07,4
8449963ffffffff-2015-05,11
8449963ffffffff-2015-07,1
8449963ffffffff-2015-10,1
8449963ffffffff-2016-06,6
8449963ffffffff-2016-07,9
8449963ffffffff-2016-09,8
8449963ffffffff-2016-10,2
8449963ffffffff-2017-06,3
8449963ffffffff-2017-10,2
8449963ffffffff-2018-03,6
8449963ffffffff-2018-04,5
8449963ffffffff-2018-05,4
8449963ffffffff-2018-08,6
8449963ffffffff-2018-09,3
8449963ffffffff-2018-10,3
8449963ffffffff-2018-12,1
8449963ffffffff-2019-03,1
8449963ffffffff-2019-04,2
8449963ffffffff-2019-05,2
8449963ffffffff-2019-08,1
8449963ffffffff-2019-10,1
8449963ffffffff-2020-02,2
8449963ffffffff-2020-04,2
8449963ffffffff-2020-07,1
8449963ffffffff-2020-08,4
8449963ffffffff-2020-09,3
8449963ffffffff-2020-10,2
8449963ffffffff-2020-12,9
8449963ffffffff-2021-01,2
8449963ffffffff-2021-02,2
8449963ffffffff-2021-03,3
8449963ffffffff-2021-04,7
8449963ffffffff-2021-05,2
8449963ffffffff-2021-07,3
8449963ffffffff-2021-08,2
8449963ffffffff-2021-12,3
8449963ffffffff-2022-01,3
8449963ffffffff-2022-02,2
8449963ffffffff-2022-05,2
