index,n
8466d01ffffffff-2017-07,1
8466d03ffffffff-2015-12,2
8466d03ffffffff-2023-07,4
8466d07ffffffff-2015-04,1
8466d07ffffffff-2021-08,1
8466d07ffffffff-2022-08,1
8466d07ffffffff-2023-01,3
8466d0bffffffff-2018-03,1
8466d0bffffffff-2018-10,3
8466d0bffffffff-2019-08,9
8466d0bffffffff-2020-01,1
8466d0bffffffff-2020-12,1
8466d0bffffffff-2021-01,6
8466d0bffffffff-2021-03,3
8466d0bffffffff-2021-07,5
8466d0bffffffff-2021-08,2
8466d0bffffffff-2022-05,1
8466d0bffffffff-2022-06,1
8466d0bffffffff-2022-11,2
8466d0bffffffff-2023-05,1
8466d0bffffffff-2023-07,2
8466d0bffffffff-2023-09,3
8466d0bffffffff-2023-11,6
8466d15ffffffff-2013-05,1
8466d23ffffffff-2018-07,1
8466d23ffffffff-2023-03,1
8466d31ffffffff-2012-12,1
8466d31ffffffff-2014-08,3
8466d31ffffffff-2015-02,5
8466d31ffffffff-2015-12,1
8466d31ffffffff-2016-02,1
8466d31ffffffff-2016-04,3
8466d31ffffffff-2016-11,5
8466d31ffffffff-2017-01,1
8466d31ffffffff-2017-02,2
8466d31ffffffff-2017-03,17
8466d31ffffffff-2017-04,7
8466d31ffffffff-2017-05,14
8466d31ffffffff-2017-06,5
8466d31ffffffff-2017-07,6
8466d31ffffffff-2017-08,2
8466d31ffffffff-2017-09,3
8466d31ffffffff-2017-10,4
8466d31ffffffff-2017-11,8
8466d31ffffffff-2017-12,9
8466d31ffffffff-2018-01,7
8466d31ffffffff-2018-02,6
8466d31ffffffff-2018-03,17
8466d31ffffffff-2018-04,1
8466d31ffffffff-2018-05,1
8466d31ffffffff-2018-06,3
8466d31ffffffff-2018-07,10
8466d31ffffffff-2018-08,1
8466d31ffffffff-2018-09,1
8466d31ffffffff-2018-10,2
8466d31ffffffff-2018-11,15
8466d31ffffffff-2018-12,8
8466d31ffffffff-2019-01,4
8466d31ffffffff-2019-02,10
8466d31ffffffff-2019-03,15
8466d31ffffffff-2019-04,12
8466d31ffffffff-2019-05,6
8466d31ffffffff-2019-08,3
8466d31ffffffff-2019-09,6
8466d31ffffffff-2019-10,6
8466d31ffffffff-2019-11,11
8466d31ffffffff-2019-12,11
8466d31ffffffff-2020-01,7
8466d31ffffffff-2020-02,14
8466d31ffffffff-2020-05,4
8466d31ffffffff-2020-08,1
8466d31ffffffff-2020-10,4
8466d31ffffffff-2020-11,1
8466d31ffffffff-2020-12,6
8466d31ffffffff-2021-01,2
8466d31ffffffff-2021-02,1
8466d31ffffffff-2021-03,1
8466d31ffffffff-2021-05,2
8466d31ffffffff-2021-06,2
8466d31ffffffff-2021-07,1
8466d31ffffffff-2021-09,6
8466d31ffffffff-2021-10,5
8466d31ffffffff-2021-11,3
8466d31ffffffff-2021-12,10
8466d31ffffffff-2022-01,8
8466d31ffffffff-2022-02,9
8466d31ffffffff-2022-03,9
8466d31ffffffff-2022-04,13
8466d31ffffffff-2022-05,2
8466d31ffffffff-2022-06,4
8466d31ffffffff-2022-07,4
8466d31ffffffff-2022-08,7
8466d31ffffffff-2022-09,1
8466d31ffffffff-2022-10,1
8466d31ffffffff-2022-11,16
8466d31ffffffff-2022-12,9
8466d31ffffffff-2023-01,42
8466d31ffffffff-2023-02,11
8466d31ffffffff-2023-03,30
8466d31ffffffff-2023-04,2
8466d31ffffffff-2023-05,6
8466d31ffffffff-2023-06,9
8466d31ffffffff-2023-07,10
8466d31ffffffff-2023-08,6
8466d31ffffffff-2023-09,5
8466d31ffffffff-2023-10,54
8466d31ffffffff-2023-11,12
8466d35ffffffff-2012-09,1
8466d35ffffffff-2017-02,1
8466d35ffffffff-2018-02,1
8466d35ffffffff-2018-03,2
8466d35ffffffff-2018-11,3
8466d35ffffffff-2021-07,10
8466d35ffffffff-2021-10,2
8466d35ffffffff-2022-02,1
8466d35ffffffff-2022-04,2
8466d35ffffffff-2023-02,2
8466d35ffffffff-2023-03,1
8466d35ffffffff-2023-07,4
8466d35ffffffff-2023-10,1
8466d37ffffffff-2021-05,2
8466d3dffffffff-2023-11,1
8466da7ffffffff-2012-07,1
8466da7ffffffff-2016-05,1
8466da7ffffffff-2019-05,1
8466da7ffffffff-2019-06,1
8466da7ffffffff-2020-05,1
8466da7ffffffff-2021-07,1
8466de1ffffffff-2017-01,3
8466de1ffffffff-2019-02,1
8466de1ffffffff-2019-11,1
8466de1ffffffff-2020-04,1
8466de1ffffffff-2021-01,1
8466de1ffffffff-2021-11,4
8466de1ffffffff-2021-12,5
8466de1ffffffff-2022-04,5
8466de1ffffffff-2022-07,2
8466de3ffffffff-2021-04,1
8466de9ffffffff-2019-06,1
848f76bffffffff-2023-04,1
848f76bffffffff-2023-05,4
