index,n
8428001ffffffff-2013-04,2
8428001ffffffff-2013-05,3
8428003ffffffff-2022-05,3
8428009ffffffff-2013-04,4
8428009ffffffff-2013-05,8
8428009ffffffff-2022-05,4
8428031ffffffff-2012-10,1
8428033ffffffff-2014-05,1
8428033ffffffff-2022-04,4
8428033ffffffff-2023-04,13
8428039ffffffff-2014-05,1
8428039ffffffff-2022-05,1
8428039ffffffff-2023-04,5
8428041ffffffff-2022-07,1
8428047ffffffff-2019-05,13
8428047ffffffff-2022-05,2
8428047ffffffff-2022-07,4
842804bffffffff-2013-07,1
842804dffffffff-2018-05,10
8428199ffffffff-2012-04,6
84281d1ffffffff-2013-04,2
84281d3ffffffff-2013-05,2
84281d9ffffffff-2012-09,2
8428225ffffffff-2016-05,34
8428249ffffffff-2015-05,1
8428295ffffffff-2013-07,1
8428319ffffffff-2021-08,14
8428319ffffffff-2022-05,4
842834dffffffff-2019-04,1
842834dffffffff-2019-11,1
842834dffffffff-2022-05,1
842834dffffffff-2023-09,1
8428351ffffffff-2016-05,16
8428351ffffffff-2021-08,10
8428353ffffffff-2016-05,34
8428353ffffffff-2018-05,9
8428359ffffffff-2022-04,1
842835bffffffff-2016-05,17
842835dffffffff-2021-08,51
8428e2dffffffff-2017-12,18
8428e61ffffffff-2018-04,12
8428e67ffffffff-2017-12,28
8428e67ffffffff-2018-04,6
8428e69ffffffff-2023-04,9
8429021ffffffff-2019-07,1
8429031ffffffff-2021-07,1
8429035ffffffff-2021-07,3
8429045ffffffff-2019-07,5
8429063ffffffff-2021-07,2
8429067ffffffff-2021-07,2
8429069ffffffff-2019-07,1
8429069ffffffff-2021-07,1
842906bffffffff-2021-07,1
8429101ffffffff-2021-09,21
8429101ffffffff-2022-04,3
8429103ffffffff-2021-07,3
8429103ffffffff-2022-04,2
8429107ffffffff-2021-07,3
8429109ffffffff-2021-07,2
842910dffffffff-2019-07,2
842910dffffffff-2021-07,4
842910dffffffff-2021-09,22
842910dffffffff-2022-04,1
842911bffffffff-2021-07,1
8429121ffffffff-2018-07,98
8429121ffffffff-2021-07,51
8429129ffffffff-2018-07,47
842912bffffffff-2021-07,2
8429133ffffffff-2015-05,2
8429139ffffffff-2012-04,12
8429139ffffffff-2014-04,1
8429139ffffffff-2017-09,19
8429139ffffffff-2018-04,1
842913bffffffff-2014-04,4
8429143ffffffff-2021-07,1
8429145ffffffff-2019-07,1
842914bffffffff-2021-07,3
842915dffffffff-2019-07,1
842915dffffffff-2021-07,1
8429161ffffffff-2017-09,17
8429161ffffffff-2018-09,38
8429163ffffffff-2021-07,53
8429165ffffffff-2019-07,2
8429165ffffffff-2021-07,5
8429165ffffffff-2022-09,19
8429165ffffffff-2023-07,4
842916dffffffff-2017-09,38
8429183ffffffff-2016-04,1
8429185ffffffff-2015-05,6
8429187ffffffff-2015-05,27
8429187ffffffff-2022-07,1
84291a3ffffffff-2022-04,2
84291a9ffffffff-2022-04,4
84291abffffffff-2015-05,24
84291b1ffffffff-2022-05,3
84291b5ffffffff-2014-04,6
84291b5ffffffff-2017-04,1
84291b5ffffffff-2022-04,27
84291b7ffffffff-2017-04,5
84291b7ffffffff-2022-04,4
84291bdffffffff-2022-04,3
84291bdffffffff-2022-06,1
84291bdffffffff-2022-07,1
84291c5ffffffff-2021-07,1
84291c9ffffffff-2020-01,1
84291c9ffffffff-2021-07,1
84291e1ffffffff-2022-04,2
84291e1ffffffff-2022-05,2
84291e5ffffffff-2015-05,2
84291e5ffffffff-2022-04,8
84291e7ffffffff-2014-05,1
84291e7ffffffff-2022-04,12
84291edffffffff-2022-04,3
84291edffffffff-2022-05,2
8429227ffffffff-2021-07,1
8429303ffffffff-2019-07,1
8429303ffffffff-2021-07,5
8429307ffffffff-2021-07,3
8429311ffffffff-2019-07,2
8429311ffffffff-2021-07,2
8429315ffffffff-2019-07,1
8429317ffffffff-2019-07,1
842931bffffffff-2019-07,2
8429335ffffffff-2021-07,1
842933bffffffff-2019-07,1
8429357ffffffff-2019-07,1
84295b3ffffffff-2016-04,1
8429a41ffffffff-2023-06,39
8429a49ffffffff-2021-07,3
8429a49ffffffff-2021-08,1
8429a49ffffffff-2023-06,40
8429a49ffffffff-2023-07,1
8429a49ffffffff-2023-08,1
8429a4bffffffff-2017-05,1
8429a4bffffffff-2020-06,6
8429a4bffffffff-2021-07,35
8429a4bffffffff-2021-08,49
8429a4bffffffff-2022-07,21
8429a4bffffffff-2022-08,59
