index,n
846ada5ffffffff-2017-09,1
846ada5ffffffff-2018-10,1
846ada5ffffffff-2018-11,1
846ada5ffffffff-2020-02,1
846ada5ffffffff-2021-09,1
846ada5ffffffff-2023-09,1
846ade7ffffffff-2017-02,1
847b481ffffffff-2013-10,1
847b481ffffffff-2018-01,1
847b481ffffffff-2018-12,1
847b481ffffffff-2019-01,1
847b481ffffffff-2019-12,3
847b481ffffffff-2020-01,1
847b481ffffffff-2020-07,1
847b481ffffffff-2020-08,1
847b485ffffffff-2018-12,1
847b487ffffffff-2013-10,1
847b487ffffffff-2015-04,1
847b487ffffffff-2020-10,1
847b487ffffffff-2021-09,1
847b487ffffffff-2021-10,1
847b487ffffffff-2022-10,1
847b487ffffffff-2022-11,1
847b487ffffffff-2023-01,4
847b487ffffffff-2023-10,1
847b487ffffffff-2023-11,1
847b489ffffffff-2018-02,1
847b48dffffffff-2016-12,1
847b48dffffffff-2017-01,1
847b48dffffffff-2017-12,1
847b48dffffffff-2018-01,1
847b48dffffffff-2018-12,1
847b48dffffffff-2022-02,1
847b4a1ffffffff-2012-02,2
847b4a1ffffffff-2021-08,1
847b4a1ffffffff-2021-12,1
847b4a1ffffffff-2023-05,1
847b4a5ffffffff-2013-09,1
847b4a5ffffffff-2015-01,1
847b4a5ffffffff-2017-03,1
847b4a5ffffffff-2017-05,1
847b4a5ffffffff-2017-07,1
847b4a5ffffffff-2017-12,1
847b4a5ffffffff-2018-05,1
847b4a5ffffffff-2019-05,1
847b4a5ffffffff-2019-12,3
847b4a5ffffffff-2021-05,1
847b4a5ffffffff-2022-04,1
847b4a5ffffffff-2022-05,2
847b4a5ffffffff-2022-10,3
847b4a5ffffffff-2022-11,2
847b4a5ffffffff-2022-12,3
847b4a5ffffffff-2023-03,1
847b4a5ffffffff-2023-10,2
847b4abffffffff-2019-07,1
847b4b9ffffffff-2022-10,1
847b4c1ffffffff-2021-12,1
847b4c1ffffffff-2022-11,2
847b4c3ffffffff-2013-03,1
847b4c3ffffffff-2018-10,1
847b4c9ffffffff-2013-03,1
847b4c9ffffffff-2013-09,1
847b4c9ffffffff-2016-12,1
847b4cbffffffff-2022-11,1
847b4dbffffffff-2013-02,1
847b4dbffffffff-2021-07,15
847b4dbffffffff-2021-09,1
847b4dbffffffff-2021-12,2
847b4dbffffffff-2023-04,2
847b4dbffffffff-2023-10,1
847b591ffffffff-2014-01,1
847b591ffffffff-2019-10,1
847b591ffffffff-2019-12,6
847b591ffffffff-2020-04,2
847b591ffffffff-2022-05,1
847b591ffffffff-2023-02,1
847b591ffffffff-2023-07,2
847b591ffffffff-2023-10,2
847b595ffffffff-2020-02,1
847b595ffffffff-2020-03,1
847b597ffffffff-2015-10,1
847b597ffffffff-2017-07,1
847b597ffffffff-2020-05,2
847b597ffffffff-2020-10,1
847b597ffffffff-2021-05,5
847b597ffffffff-2021-08,2
847b597ffffffff-2021-10,2
847b597ffffffff-2022-01,1
847b597ffffffff-2022-05,3
847b597ffffffff-2022-10,1
847b597ffffffff-2022-12,1
847b597ffffffff-2023-03,3
847b597ffffffff-2023-05,1
