index,n
846410dffffffff-2021-10,3
8464225ffffffff-2019-05,1
8464225ffffffff-2022-10,1
8464267ffffffff-2013-09,2
8464303ffffffff-2022-09,1
846430bffffffff-2019-04,4
846430bffffffff-2023-04,1
8464319ffffffff-2012-10,1
8464319ffffffff-2014-02,1
8464319ffffffff-2015-01,1
8464319ffffffff-2015-11,1
8464319ffffffff-2016-03,1
8464319ffffffff-2016-04,1
8464319ffffffff-2016-06,3
8464319ffffffff-2017-02,1
8464319ffffffff-2017-07,1
8464319ffffffff-2018-08,1
8464319ffffffff-2019-01,2
8464319ffffffff-2019-03,1
8464319ffffffff-2019-07,4
8464319ffffffff-2019-08,1
8464319ffffffff-2019-11,1
8464319ffffffff-2019-12,3
8464319ffffffff-2020-03,3
8464319ffffffff-2020-04,1
8464319ffffffff-2020-08,1
8464319ffffffff-2020-12,2
8464319ffffffff-2022-03,1
8464319ffffffff-2022-04,1
8464319ffffffff-2022-12,1
8464319ffffffff-2023-02,2
8464319ffffffff-2023-03,4
8464323ffffffff-2021-04,2
8464323ffffffff-2023-10,8
8464339ffffffff-2016-08,2
8464339ffffffff-2022-05,1
8464343ffffffff-2013-02,2
8464343ffffffff-2013-06,1
8464343ffffffff-2014-02,1
8464343ffffffff-2014-03,1
8464343ffffffff-2015-11,1
8464343ffffffff-2016-02,1
8464343ffffffff-2016-04,2
8464343ffffffff-2017-03,3
8464343ffffffff-2017-04,1
8464343ffffffff-2017-06,3
8464343ffffffff-2017-07,1
8464343ffffffff-2017-11,4
8464343ffffffff-2018-02,20
8464343ffffffff-2018-03,11
8464343ffffffff-2018-09,1
8464343ffffffff-2018-12,3
8464343ffffffff-2019-02,4
8464343ffffffff-2019-03,3
8464343ffffffff-2019-08,2
8464343ffffffff-2020-02,1
8464343ffffffff-2020-03,7
8464343ffffffff-2020-08,4
8464343ffffffff-2020-12,3
8464343ffffffff-2021-04,5
8464343ffffffff-2022-02,1
8464343ffffffff-2022-03,1
8464343ffffffff-2022-04,4
8464343ffffffff-2022-05,6
8464343ffffffff-2022-06,4
8464343ffffffff-2022-07,4
8464343ffffffff-2022-08,6
8464343ffffffff-2022-09,7
8464343ffffffff-2022-10,3
8464343ffffffff-2022-11,2
8464343ffffffff-2023-01,1
8464343ffffffff-2023-02,9
8464343ffffffff-2023-03,25
8464343ffffffff-2023-04,20
8464343ffffffff-2023-05,2
8464343ffffffff-2023-06,2
8464343ffffffff-2023-07,1
8464343ffffffff-2023-08,17
8464343ffffffff-2023-09,1
8464343ffffffff-2023-10,7
846434bffffffff-2014-02,1
846434bffffffff-2017-03,2
846434bffffffff-2018-02,1
846434bffffffff-2022-01,2
846434bffffffff-2023-02,1
846434bffffffff-2023-07,2
8464351ffffffff-2022-07,1
8464353ffffffff-2017-12,1
8464353ffffffff-2019-06,1
8464353ffffffff-2019-07,1
8464353ffffffff-2019-12,1
8464353ffffffff-2020-07,3
8464353ffffffff-2023-04,4
8464353ffffffff-2023-05,1
8464357ffffffff-2019-12,1
8464357ffffffff-2023-10,1
8464359ffffffff-2012-03,1
8464359ffffffff-2014-03,1
8464359ffffffff-2016-02,1
8464359ffffffff-2016-05,1
8464359ffffffff-2017-02,2
8464359ffffffff-2017-04,1
8464359ffffffff-2018-01,1
8464359ffffffff-2018-02,2
8464359ffffffff-2018-03,11
8464359ffffffff-2019-10,1
8464359ffffffff-2019-11,4
8464359ffffffff-2019-12,2
8464359ffffffff-2020-02,2
8464359ffffffff-2020-03,4
8464359ffffffff-2021-05,2
8464359ffffffff-2023-02,3
8464359ffffffff-2023-03,22
846435bffffffff-2015-03,1
846435bffffffff-2018-10,1
846435bffffffff-2019-11,1
846435bffffffff-2021-12,1
846435bffffffff-2023-04,1
846435dffffffff-2023-03,1
8465005ffffffff-2014-02,1
8465005ffffffff-2015-02,2
8465005ffffffff-2015-03,2
8465005ffffffff-2015-06,4
8465005ffffffff-2015-07,2
8465005ffffffff-2015-08,2
8465005ffffffff-2016-01,1
8465005ffffffff-2016-02,1
8465005ffffffff-2016-03,6
8465005ffffffff-2016-07,1
8465005ffffffff-2016-08,1
8465005ffffffff-2017-03,1
8465005ffffffff-2017-06,1
8465005ffffffff-2017-09,1
8465005ffffffff-2018-02,1
8465005ffffffff-2018-03,4
8465005ffffffff-2018-06,3
8465005ffffffff-2018-07,2
8465005ffffffff-2018-11,1
8465005ffffffff-2019-02,1
8465005ffffffff-2019-04,8
8465005ffffffff-2019-09,1
8465005ffffffff-2020-01,1
8465005ffffffff-2020-02,2
8465005ffffffff-2020-03,3
