index,n
8444325ffffffff-2022-05,1
8445833ffffffff-2017-02,1
8445833ffffffff-2017-03,2
8445833ffffffff-2019-05,1
8445833ffffffff-2022-12,7
8445837ffffffff-2021-03,2
8445889ffffffff-2014-01,1
8445889ffffffff-2014-02,2
8445889ffffffff-2014-03,2
8445889ffffffff-2014-04,2
8445889ffffffff-2015-02,2
8445889ffffffff-2015-03,3
8445889ffffffff-2015-04,1
8445889ffffffff-2016-01,1
8445889ffffffff-2016-03,3
8445889ffffffff-2017-01,22
8445889ffffffff-2017-02,9
8445889ffffffff-2017-03,19
8445889ffffffff-2017-04,11
8445889ffffffff-2017-10,1
8445889ffffffff-2017-11,9
8445889ffffffff-2017-12,12
8445889ffffffff-2018-01,7
8445889ffffffff-2018-02,6
8445889ffffffff-2018-03,10
8445889ffffffff-2018-04,2
8445889ffffffff-2018-10,16
8445889ffffffff-2018-11,25
8445889ffffffff-2018-12,15
8445889ffffffff-2019-01,11
8445889ffffffff-2019-02,21
8445889ffffffff-2019-03,10
8445889ffffffff-2019-04,2
8445889ffffffff-2019-07,1
8445889ffffffff-2019-09,1
8445889ffffffff-2019-11,11
8445889ffffffff-2020-01,3
8445889ffffffff-2020-02,10
8445889ffffffff-2020-03,2
8445889ffffffff-2020-05,2
8445889ffffffff-2020-10,2
8445889ffffffff-2021-02,1
8445889ffffffff-2021-08,1
8445889ffffffff-2021-11,1
8445889ffffffff-2021-12,3
8445889ffffffff-2022-01,4
8445889ffffffff-2022-02,2
8445889ffffffff-2022-03,16
8445889ffffffff-2022-04,10
8445889ffffffff-2022-05,2
8445889ffffffff-2022-06,2
8445889ffffffff-2022-08,1
8445889ffffffff-2022-09,2
8445889ffffffff-2022-11,10
8445889ffffffff-2023-01,21
8445889ffffffff-2023-02,13
8445889ffffffff-2023-03,16
8445889ffffffff-2023-04,8
8445889ffffffff-2023-05,6
8445889ffffffff-2023-07,1
8445889ffffffff-2023-10,14
8445889ffffffff-2023-11,2
844588bffffffff-2013-11,1
844588dffffffff-2020-02,1
84458a9ffffffff-2021-03,2
84458a9ffffffff-2021-05,1
84458a9ffffffff-2021-09,1
84458a9ffffffff-2021-11,2
84458a9ffffffff-2021-12,1
84458a9ffffffff-2022-03,1
84458a9ffffffff-2023-03,1
84458c3ffffffff-2013-11,1
84458c3ffffffff-2017-02,1
84458c3ffffffff-2018-01,1
84458c7ffffffff-2012-01,1
84458c7ffffffff-2012-02,6
84458c7ffffffff-2012-03,5
84458c7ffffffff-2012-04,3
84458c7ffffffff-2012-11,2
84458c7ffffffff-2013-02,8
84458c7ffffffff-2013-03,12
84458c7ffffffff-2013-04,10
84458c7ffffffff-2014-01,1
84458c7ffffffff-2014-02,4
84458c7ffffffff-2014-03,11
84458c7ffffffff-2014-04,10
84458c7ffffffff-2014-07,2
84458c7ffffffff-2014-10,2
84458c7ffffffff-2014-12,2
84458c7ffffffff-2015-01,4
84458c7ffffffff-2015-02,34
84458c7ffffffff-2015-03,4
84458c7ffffffff-2015-04,2
84458c7ffffffff-2015-11,16
84458c7ffffffff-2015-12,8
84458c7ffffffff-2016-01,22
84458c7ffffffff-2016-02,9
84458c7ffffffff-2016-03,20
84458c7ffffffff-2016-04,21
84458c7ffffffff-2016-05,2
84458c7ffffffff-2016-10,4
84458c7ffffffff-2016-11,12
84458c7ffffffff-2016-12,9
84458c7ffffffff-2017-01,13
84458c7ffffffff-2017-02,44
84458c7ffffffff-2017-03,49
84458c7ffffffff-2017-04,22
84458c7ffffffff-2017-05,1
84458c7ffffffff-2017-10,1
84458c7ffffffff-2017-11,16
84458c7ffffffff-2017-12,48
84458c7ffffffff-2018-01,29
84458c7ffffffff-2018-02,70
84458c7ffffffff-2018-03,57
84458c7ffffffff-2018-04,31
84458c7ffffffff-2018-10,13
84458c7ffffffff-2018-11,6
84458c7ffffffff-2018-12,14
84458c7ffffffff-2019-01,5
84458c7ffffffff-2019-02,61
84458c7ffffffff-2019-03,56
84458c7ffffffff-2019-04,26
84458c7ffffffff-2019-11,13
84458c7ffffffff-2019-12,9
84458c7ffffffff-2020-01,24
84458c7ffffffff-2020-02,48
84458c7ffffffff-2020-03,9
84458c7ffffffff-2021-01,1
84458c7ffffffff-2021-03,4
84458c7ffffffff-2022-01,2
84458c7ffffffff-2022-02,3
84458c7ffffffff-2022-03,17
84458c7ffffffff-2022-04,2
84458c7ffffffff-2022-09,4
84458c7ffffffff-2022-11,9
84458c7ffffffff-2022-12,20
84458c7ffffffff-2023-01,42
84458c7ffffffff-2023-02,30
84458c7ffffffff-2023-03,78
84458c7ffffffff-2023-04,22
84458c7ffffffff-2023-08,1
84458c7ffffffff-2023-10,13
84458c7ffffffff-2023-11,30
84458d5ffffffff-2015-01,1
84458d5ffffffff-2015-02,5
84458d5ffffffff-2016-01,1
84458d5ffffffff-2016-02,2
84458d5ffffffff-2016-03,15
84458d5ffffffff-2016-05,2
84458d5ffffffff-2016-12,5
84458d5ffffffff-2017-01,1
84458d5ffffffff-2017-02,5
84458d5ffffffff-2017-03,3
84458d5ffffffff-2017-10,1
84458d5ffffffff-2017-12,2
84458d5ffffffff-2018-01,2
84458d5ffffffff-2018-02,18
84458d5ffffffff-2018-03,9
84458d5ffffffff-2018-07,1
84458d5ffffffff-2018-12,16
84458d5ffffffff-2019-01,5
84458d5ffffffff-2019-02,13
84458d5ffffffff-2019-03,7
84458d5ffffffff-2019-04,10
84458d5ffffffff-2019-05,1
84458d5ffffffff-2019-11,12
