index,n
84521c5ffffffff-2019-05,1
8452803ffffffff-2017-10,2
845280bffffffff-2017-10,2
845281dffffffff-2017-10,2
8452831ffffffff-2018-04,1
8452831ffffffff-2018-09,1
8452831ffffffff-2018-12,1
8452881ffffffff-2019-12,1
84528a3ffffffff-2018-10,2
84528adffffffff-2018-10,2
84528edffffffff-2017-09,2
84528edffffffff-2017-10,2
845291bffffffff-2018-05,1
845291bffffffff-2019-02,2
8452993ffffffff-2017-07,1
8452993ffffffff-2017-12,1
8452993ffffffff-2018-03,1
8452993ffffffff-2019-03,1
8452993ffffffff-2019-04,4
8452993ffffffff-2019-05,4
8452993ffffffff-2019-06,2
8452993ffffffff-2019-07,2
8452993ffffffff-2019-08,1
8452993ffffffff-2019-09,2
8452993ffffffff-2019-10,2
8452993ffffffff-2021-01,1
8452993ffffffff-2021-02,1
8452993ffffffff-2021-03,1
8452993ffffffff-2021-04,4
8452993ffffffff-2021-05,1
845299bffffffff-2019-06,1
845299bffffffff-2021-03,1
84529b3ffffffff-2016-03,2
84529b5ffffffff-2012-02,1
84529b5ffffffff-2014-06,1
84529b7ffffffff-2016-02,1
84529b9ffffffff-2012-04,1
84529b9ffffffff-2013-11,1
84529b9ffffffff-2013-12,2
84529b9ffffffff-2014-01,1
84529b9ffffffff-2014-03,1
84529b9ffffffff-2014-12,5
84529b9ffffffff-2016-02,2
84529b9ffffffff-2016-03,6
84529b9ffffffff-2016-06,2
84529b9ffffffff-2017-02,2
84529b9ffffffff-2017-07,2
84529b9ffffffff-2017-11,1
84529b9ffffffff-2018-01,1
84529b9ffffffff-2018-02,3
84529b9ffffffff-2018-03,4
84529b9ffffffff-2018-05,3
84529b9ffffffff-2018-08,1
84529b9ffffffff-2018-10,1
84529b9ffffffff-2018-11,7
84529b9ffffffff-2019-01,2
84529b9ffffffff-2019-04,1
84529b9ffffffff-2019-06,1
84529b9ffffffff-2019-08,1
84529b9ffffffff-2019-10,2
84529b9ffffffff-2019-11,1
84529b9ffffffff-2019-12,4
84529b9ffffffff-2020-03,2
84529b9ffffffff-2020-10,1
84529b9ffffffff-2022-02,1
84529b9ffffffff-2022-06,1
84529b9ffffffff-2022-10,3
84529b9ffffffff-2022-11,1
84529b9ffffffff-2023-06,4
8452a01ffffffff-2019-10,1
8452b01ffffffff-2014-12,1
8452d45ffffffff-2018-10,2
8452d45ffffffff-2021-09,2
8454025ffffffff-2019-12,4
845402dffffffff-2014-01,1
845402dffffffff-2015-12,1
845402dffffffff-2018-12,4
845402dffffffff-2019-05,1
845402dffffffff-2022-02,1
845402dffffffff-2023-01,12
845402dffffffff-2023-02,1
845402dffffffff-2023-03,2
8454037ffffffff-2016-10,1
84540abffffffff-2017-10,2
84540abffffffff-2017-11,2
84540b7ffffffff-2016-02,1
84540e3ffffffff-2018-12,1
8454101ffffffff-2017-08,2
8454103ffffffff-2016-03,2
8454103ffffffff-2016-11,1
8454103ffffffff-2018-11,1
8454103ffffffff-2019-02,1
8454103ffffffff-2023-02,1
8454119ffffffff-2020-01,7
845411dffffffff-2017-11,2
845411dffffffff-2018-01,2
845411dffffffff-2020-01,6
845411dffffffff-2022-01,1
845411dffffffff-2022-02,4
8454131ffffffff-2019-12,1
8454131ffffffff-2022-11,1
8454133ffffffff-2022-01,2
8454133ffffffff-2023-02,1
8454137ffffffff-2023-02,2
8454139ffffffff-2013-01,1
8454139ffffffff-2013-11,1
8454139ffffffff-2014-12,1
8454139ffffffff-2015-04,1
8454139ffffffff-2015-05,1
8454139ffffffff-2018-01,4
8454139ffffffff-2018-12,2
8454139ffffffff-2020-06,1
8454139ffffffff-2022-11,1
8454139ffffffff-2023-02,1
8454153ffffffff-2018-11,1
8454153ffffffff-2020-01,7
8454153ffffffff-2020-12,2
8454153ffffffff-2022-01,1
8454157ffffffff-2017-11,2
8454157ffffffff-2018-11,5
8454157ffffffff-2019-11,1
8454157ffffffff-2019-12,2
8454157ffffffff-2023-01,8
8454157ffffffff-2023-02,4
8454187ffffffff-2014-01,2
8454187ffffffff-2015-02,1
8454187ffffffff-2020-02,2
8454187ffffffff-2023-01,8
8454187ffffffff-2023-02,4
8454195ffffffff-2014-01,2
8454197ffffffff-2018-11,1
8454197ffffffff-2019-11,1
845419bffffffff-2022-12,4
845419dffffffff-2016-09,2
84541a3ffffffff-2013-11,1
84541a3ffffffff-2014-01,9
84541a3ffffffff-2014-04,3
84541a3ffffffff-2015-12,1
84541a3ffffffff-2016-03,1
84541a3ffffffff-2016-07,1
84541a3ffffffff-2016-11,2
84541a3ffffffff-2017-12,2
84541a3ffffffff-2018-11,8
84541a3ffffffff-2018-12,6
84541a3ffffffff-2019-01,5
84541a3ffffffff-2019-02,2
84541a3ffffffff-2019-10,1
84541a3ffffffff-2019-11,3
84541a3ffffffff-2019-12,1
84541a3ffffffff-2020-01,2
84541a3ffffffff-2020-12,2
84541a3ffffffff-2021-11,4
84541a3ffffffff-2022-01,10
84541a3ffffffff-2022-02,1
84541a3ffffffff-2022-03,10
84541a3ffffffff-2022-05,4
84541a3ffffffff-2022-11,3
84541a3ffffffff-2022-12,18
84541a3ffffffff-2023-01,5
84541a3ffffffff-2023-02,9
84541a3ffffffff-2023-03,1
84541a3ffffffff-2023-10,3
84541a3ffffffff-2023-11,2
84541a5ffffffff-2016-10,2
84541a5ffffffff-2016-11,1
84541a5ffffffff-2017-10,2
84541a5ffffffff-2018-03,1
84541a5ffffffff-2018-04,1
84541a5ffffffff-2018-12,4
84541a5ffffffff-2019-01,2
84541a5ffffffff-2019-02,1
84541a5ffffffff-2020-01,4
84541a5ffffffff-2022-01,3
84541a5ffffffff-2022-02,1
84541a5ffffffff-2022-03,1
84541a5ffffffff-2022-11,1
84541a5ffffffff-2022-12,4
84541a5ffffffff-2023-01,4
84541a5ffffffff-2023-02,5
84541a5ffffffff-2023-03,2
84541a7ffffffff-2016-11,5
84541a7ffffffff-2018-11,1
84541a7ffffffff-2018-12,2
84541a7ffffffff-2020-01,1
84541a9ffffffff-2020-01,7
84541adffffffff-2014-01,2
84541adffffffff-2014-02,1
84541adffffffff-2019-12,1
84541adffffffff-2020-12,1
84541adffffffff-2023-01,3
84541adffffffff-2023-02,3
84541b1ffffffff-2022-12,2
84541b1ffffffff-2023-02,4
84541b3ffffffff-2017-05,1
84541b3ffffffff-2019-05,1
84541b5ffffffff-2013-10,1
84541b5ffffffff-2015-11,2
84541b5ffffffff-2020-12,1
84541b9ffffffff-2013-11,2
84541b9ffffffff-2013-12,1
84541b9ffffffff-2014-01,2
84541b9ffffffff-2014-04,1
84541b9ffffffff-2015-07,1
84541b9ffffffff-2016-11,8
84541b9ffffffff-2018-07,1
84541b9ffffffff-2018-11,4
84541b9ffffffff-2019-01,3
84541b9ffffffff-2019-02,1
84541b9ffffffff-2019-11,2
84541b9ffffffff-2020-01,1
84541b9ffffffff-2020-02,1
84541b9ffffffff-2020-12,2
84541b9ffffffff-2021-11,2
84541b9ffffffff-2022-01,3
84541b9ffffffff-2022-12,2
84541b9ffffffff-2023-01,1
84541b9ffffffff-2023-02,5
84541b9ffffffff-2023-03,1
84541b9ffffffff-2023-11,1
84541bbffffffff-2013-02,1
84541bbffffffff-2016-11,6
84541bbffffffff-2018-11,1
84541bbffffffff-2022-01,3
84541bbffffffff-2022-11,1
84541bdffffffff-2014-01,6
84541bdffffffff-2015-02,1
84541bdffffffff-2016-11,6
84541bdffffffff-2018-11,7
84541bdffffffff-2019-01,3
84541bdffffffff-2019-02,1
84541bdffffffff-2019-11,3
84541bdffffffff-2019-12,3
84541bdffffffff-2020-01,1
84541bdffffffff-2020-02,3
84541bdffffffff-2021-10,1
84541bdffffffff-2022-11,2
84541bdffffffff-2022-12,5
84541bdffffffff-2023-02,4
84541bdffffffff-2023-03,1
84541bdffffffff-2023-11,2
845440dffffffff-2017-12,1
8454447ffffffff-2018-11,1
845449bffffffff-2023-05,1
8454563ffffffff-2023-04,2
84545ebffffffff-2022-06,1
8454a93ffffffff-2012-03,3
8454a93ffffffff-2012-11,2
8454a93ffffffff-2013-01,1
8454a93ffffffff-2013-10,1
