index,n
843c0a3ffffffff-2022-05,1
843c0a3ffffffff-2023-05,1
843c0b5ffffffff-2018-05,2
843c0b5ffffffff-2023-03,3
843c0b7ffffffff-2023-03,1
843c525ffffffff-2022-05,1
843ce31ffffffff-2014-10,6
843ce31ffffffff-2015-02,1
843ce31ffffffff-2015-10,1
843ce31ffffffff-2016-03,1
843ce31ffffffff-2016-10,1
843ce31ffffffff-2017-04,1
843ce31ffffffff-2018-04,1
843ce31ffffffff-2018-06,1
843ce31ffffffff-2018-09,2
843ce31ffffffff-2018-10,1
843ce31ffffffff-2019-02,1
843ce31ffffffff-2019-05,2
843ce31ffffffff-2019-09,2
843ce31ffffffff-2021-03,3
843ce31ffffffff-2021-04,6
843ce31ffffffff-2022-03,4
843ce31ffffffff-2022-04,4
843ce31ffffffff-2022-05,1
843ce31ffffffff-2022-10,2
843ce31ffffffff-2023-02,2
843ce31ffffffff-2023-04,3
843ce31ffffffff-2023-08,2
843ce31ffffffff-2023-10,1
843ce33ffffffff-2023-05,1
843ce3bffffffff-2021-03,1
843ce3bffffffff-2021-04,1
843ce3bffffffff-2021-05,1
843ce3dffffffff-2022-06,1
843ce43ffffffff-2020-01,1
843ce53ffffffff-2013-04,1
843ce53ffffffff-2014-03,2
843ce53ffffffff-2017-04,1
843ce53ffffffff-2021-03,1
843ce57ffffffff-2015-03,2
843ce57ffffffff-2017-03,1
843ce57ffffffff-2018-03,1
843ce57ffffffff-2018-04,3
843ce57ffffffff-2019-04,3
843ce57ffffffff-2023-05,1
843ce59ffffffff-2018-04,1
843ce5bffffffff-2020-02,1
843ce5dffffffff-2019-04,1
843ce83ffffffff-2017-09,4
843ce83ffffffff-2019-04,1
843ce83ffffffff-2022-04,3
843ce85ffffffff-2015-05,2
843ce85ffffffff-2017-04,4
843ce85ffffffff-2018-10,3
843ce85ffffffff-2019-04,1
843ce85ffffffff-2019-10,1
843ce85ffffffff-2019-11,2
843ce85ffffffff-2021-10,3
843ce85ffffffff-2021-11,6
843ce85ffffffff-2022-03,2
843ce85ffffffff-2022-04,4
843ce85ffffffff-2022-10,6
843ce85ffffffff-2022-11,3
843ce85ffffffff-2023-04,9
843ce87ffffffff-2017-07,1
843ce87ffffffff-2019-04,1
843ce87ffffffff-2023-04,1
843ce8bffffffff-2023-11,1
843ce93ffffffff-2020-03,1
843ce95ffffffff-2015-05,2
843ce95ffffffff-2016-05,1
843ce95ffffffff-2021-04,6
843ce95ffffffff-2021-05,1
843ce95ffffffff-2021-06,2
843ce95ffffffff-2022-04,4
843cea1ffffffff-2022-04,1
843cea3ffffffff-2023-02,2
843cea7ffffffff-2022-03,1
843cea7ffffffff-2022-05,3
8464983ffffffff-2015-10,1
8464983ffffffff-2017-11,2
8464983ffffffff-2018-11,2
