index,n
840120dffffffff-2020-05,1
8401221ffffffff-2019-08,1
8401247ffffffff-2015-05,1
8401261ffffffff-2020-07,3
8401265ffffffff-2023-06,1
840126bffffffff-2022-10,1
840126dffffffff-2019-09,1
840130bffffffff-2012-06,3
840130bffffffff-2017-05,1
840130bffffffff-2022-05,3
8401319ffffffff-2023-05,1
8401343ffffffff-2023-06,1
840134bffffffff-2013-06,1
840134bffffffff-2022-06,1
840134bffffffff-2023-06,1
8401351ffffffff-2018-06,2
8401351ffffffff-2022-06,1
8401351ffffffff-2022-07,1
8401351ffffffff-2023-06,1
84074edffffffff-2014-04,2
84075d1ffffffff-2018-04,2
84075d1ffffffff-2023-11,5
8407635ffffffff-2017-11,1
8407635ffffffff-2018-02,2
8407635ffffffff-2022-10,1
8408005ffffffff-2015-06,1
8408021ffffffff-2017-04,2
8408021ffffffff-2019-04,1
8408025ffffffff-2018-05,2
8408025ffffffff-2022-05,1
8408025ffffffff-2023-05,1
8408025ffffffff-2023-06,1
840802dffffffff-2018-04,1
840802dffffffff-2020-05,3
840802dffffffff-2023-05,5
840802dffffffff-2023-06,1
8408033ffffffff-2022-06,1
8408035ffffffff-2022-06,1
8408039ffffffff-2021-09,1
840803bffffffff-2022-06,2
8408065ffffffff-2014-05,1
8408065ffffffff-2018-05,1
8408065ffffffff-2020-04,2
8408065ffffffff-2022-05,1
8408065ffffffff-2022-09,1
8408065ffffffff-2023-05,2
8408065ffffffff-2023-09,3
8408103ffffffff-2019-07,1
8408103ffffffff-2021-06,1
8408103ffffffff-2022-07,1
8408105ffffffff-2022-06,1
8408107ffffffff-2017-06,1
8408107ffffffff-2019-04,2
8408107ffffffff-2021-07,1
8408107ffffffff-2022-06,2
8408109ffffffff-2021-07,1
8408109ffffffff-2022-05,1
8408111ffffffff-2013-06,2
8408111ffffffff-2017-04,1
8408111ffffffff-2019-05,1
8408111ffffffff-2022-06,1
8408115ffffffff-2023-06,1
840811bffffffff-2023-05,1
840811dffffffff-2013-06,3
840811dffffffff-2016-06,1
840811dffffffff-2017-06,2
840811dffffffff-2019-05,1
840811dffffffff-2021-06,2
840811dffffffff-2023-06,6
840811dffffffff-2023-07,2
8408123ffffffff-2013-06,2
8408123ffffffff-2019-07,1
8408125ffffffff-2017-09,1
8408125ffffffff-2023-06,1
840812bffffffff-2017-04,2
8408133ffffffff-2020-06,2
8408133ffffffff-2021-06,1
8408133ffffffff-2022-06,2
8408135ffffffff-2017-05,2
8408137ffffffff-2022-05,2
8408139ffffffff-2019-05,1
840813bffffffff-2022-05,2
840813dffffffff-2017-06,1
840813dffffffff-2019-04,1
8408141ffffffff-2017-06,1
8408141ffffffff-2023-06,1
8408147ffffffff-2022-06,1
840814dffffffff-2017-06,2
840814dffffffff-2018-08,2
840814dffffffff-2019-05,2
840814dffffffff-2020-05,2
840814dffffffff-2020-06,4
840814dffffffff-2020-08,1
840814dffffffff-2021-06,2
840814dffffffff-2022-05,5
840814dffffffff-2022-06,1
840814dffffffff-2022-09,1
840814dffffffff-2023-05,2
840814dffffffff-2023-06,1
8408151ffffffff-2018-04,2
8408151ffffffff-2018-05,2
8408151ffffffff-2019-05,1
8408151ffffffff-2020-04,1
8408151ffffffff-2020-05,2
8408151ffffffff-2020-07,2
8408151ffffffff-2021-04,3
8408151ffffffff-2021-05,4
8408151ffffffff-2021-06,3
8408151ffffffff-2021-07,1
8408151ffffffff-2022-06,2
8408151ffffffff-2022-08,1
8408151ffffffff-2022-09,1
8408151ffffffff-2023-04,2
8408151ffffffff-2023-05,6
8408151ffffffff-2023-06,3
8408151ffffffff-2023-08,1
8408153ffffffff-2012-06,1
8408153ffffffff-2017-05,1
8408153ffffffff-2018-04,2
8408153ffffffff-2018-05,1
8408153ffffffff-2019-09,1
8408153ffffffff-2020-05,2
8408153ffffffff-2020-06,1
8408153ffffffff-2022-05,2
8408153ffffffff-2023-04,2
8408153ffffffff-2023-06,1
8408155ffffffff-2022-04,2
8408155ffffffff-2022-05,1
8408157ffffffff-2022-05,1
8408159ffffffff-2013-04,1
8408159ffffffff-2014-08,1
8408159ffffffff-2016-04,1
8408159ffffffff-2019-05,1
8408159ffffffff-2019-06,1
8408159ffffffff-2020-04,3
8408159ffffffff-2020-05,11
8408159ffffffff-2020-06,4
8408159ffffffff-2020-07,5
8408159ffffffff-2021-04,1
8408159ffffffff-2021-05,2
8408159ffffffff-2021-06,9
8408159ffffffff-2021-07,4
8408159ffffffff-2022-02,2
8408159ffffffff-2022-04,2
8408159ffffffff-2022-05,3
8408159ffffffff-2022-06,1
8408159ffffffff-2022-07,1
8408159ffffffff-2022-08,1
8408159ffffffff-2023-04,3
8408159ffffffff-2023-05,4
8408159ffffffff-2023-06,2
8408159ffffffff-2023-08,1
8408159ffffffff-2023-09,2
840815bffffffff-2020-06,1
840815bffffffff-2021-07,2
840815bffffffff-2023-06,1
840815bffffffff-2023-09,1
8408161ffffffff-2021-06,1
8408161ffffffff-2021-09,2
8408161ffffffff-2023-04,10
8408161ffffffff-2023-05,2
8408161ffffffff-2023-06,2
8408165ffffffff-2019-06,2
840816bffffffff-2019-06,4
840816bffffffff-2022-07,1
8408181ffffffff-2017-06,1
8408183ffffffff-2017-07,1
8408183ffffffff-2021-06,2
8408185ffffffff-2023-10,1
840818bffffffff-2017-07,3
840818bffffffff-2018-06,2
840818bffffffff-2019-07,1
840818bffffffff-2022-06,1
840818dffffffff-2018-06,1
8408193ffffffff-2014-07,1
8408193ffffffff-2015-05,2
8408193ffffffff-2018-06,1
8408193ffffffff-2018-07,2
8408193ffffffff-2021-06,3
8408193ffffffff-2021-07,5
8408193ffffffff-2022-06,1
8408193ffffffff-2023-07,2
8408195ffffffff-2018-06,1
840819dffffffff-2018-06,1
840819dffffffff-2021-06,1
840819dffffffff-2023-07,2
84081bdffffffff-2022-06,1
84081c1ffffffff-2023-06,1
84081c3ffffffff-2023-07,2
84081c5ffffffff-2021-10,1
84081d5ffffffff-2018-06,3
84081d5ffffffff-2022-06,1
84081d7ffffffff-2019-07,1
84081e5ffffffff-2020-05,4
84081e5ffffffff-2020-06,12
84081e5ffffffff-2021-05,16
84081e5ffffffff-2021-06,2
84081e7ffffffff-2020-07,1
84081e7ffffffff-2022-06,1
84081e7ffffffff-2023-09,1
84081edffffffff-2023-06,2
8408283ffffffff-2018-09,1
8408283ffffffff-2021-06,1
8408283ffffffff-2023-08,2
8408293ffffffff-2020-06,1
8408295ffffffff-2018-06,1
8408295ffffffff-2020-04,2
8408295ffffffff-2020-05,6
8408295ffffffff-2020-06,4
8408295ffffffff-2020-07,2
8408295ffffffff-2020-09,2
8408295ffffffff-2021-04,3
8408295ffffffff-2021-05,5
8408295ffffffff-2021-06,4
8408295ffffffff-2021-07,1
8408295ffffffff-2022-05,4
8408295ffffffff-2022-06,2
8408295ffffffff-2022-09,2
8408295ffffffff-2023-04,1
8408295ffffffff-2023-05,3
8408295ffffffff-2023-06,2
8408295ffffffff-2023-08,1
8408295ffffffff-2023-09,1
840829bffffffff-2016-05,5
840829bffffffff-2023-09,1
840829dffffffff-2020-08,1
840829dffffffff-2021-07,1
84082a3ffffffff-2023-04,1
84082a5ffffffff-2021-06,1
84082a5ffffffff-2022-06,1
84082a5ffffffff-2023-05,1
84082a5ffffffff-2023-06,1
84082b1ffffffff-2020-05,1
84082b1ffffffff-2023-05,1
84082bbffffffff-2021-05,2
84082d1ffffffff-2019-06,2
84082d1ffffffff-2020-04,2
84082d1ffffffff-2020-05,1
84082d1ffffffff-2021-05,3
84082d1ffffffff-2021-09,1
84082d1ffffffff-2022-10,1
84082d1ffffffff-2023-09,2
84082d1ffffffff-2023-10,2
84082dbffffffff-2020-09,1
84082dbffffffff-2023-09,1
8408305ffffffff-2021-06,1
8408321ffffffff-2023-07,1
8408323ffffffff-2017-08,1
8408325ffffffff-2021-06,1
8408329ffffffff-2023-05,1
840832dffffffff-2017-06,1
840832dffffffff-2018-07,1
8408333ffffffff-2023-05,3
8408337ffffffff-2022-05,5
8408339ffffffff-2019-05,1
840833bffffffff-2016-09,1
840833bffffffff-2019-04,4
840833bffffffff-2019-05,13
840833bffffffff-2019-06,4
840833bffffffff-2019-08,2
840833bffffffff-2019-09,8
840833bffffffff-2020-04,8
840833bffffffff-2020-05,3
840833bffffffff-2020-06,1
840833bffffffff-2020-07,3
840833bffffffff-2020-09,1
840833bffffffff-2021-04,5
840833bffffffff-2021-05,4
840833bffffffff-2021-09,2
840833bffffffff-2021-10,2
840833bffffffff-2022-03,2
840833bffffffff-2022-04,2
840833dffffffff-2020-06,1
8408363ffffffff-2017-08,1
8408365ffffffff-2019-07,1
8408365ffffffff-2021-04,1
8408365ffffffff-2022-06,1
8408365ffffffff-2023-05,1
8408365ffffffff-2023-08,5
840836dffffffff-2018-06,1
840836dffffffff-2019-06,2
840836dffffffff-2021-06,2
840836dffffffff-2021-08,2
840836dffffffff-2022-05,2
840836dffffffff-2022-06,3
