index,n
8466a29ffffffff-2015-10,2
8466a29ffffffff-2017-01,1
8466a29ffffffff-2022-01,3
8466a2dffffffff-2017-11,2
8466b41ffffffff-2012-01,1
8466b41ffffffff-2012-02,1
8466b41ffffffff-2012-03,3
8466b41ffffffff-2012-04,2
8466b41ffffffff-2012-06,1
8466b41ffffffff-2013-01,4
8466b41ffffffff-2013-02,2
8466b41ffffffff-2013-03,3
8466b41ffffffff-2013-06,1
8466b41ffffffff-2013-12,1
8466b41ffffffff-2014-01,3
8466b41ffffffff-2014-02,7
8466b41ffffffff-2014-03,7
8466b41ffffffff-2014-04,4
8466b41ffffffff-2014-06,4
8466b41ffffffff-2014-09,1
8466b41ffffffff-2014-11,3
8466b41ffffffff-2014-12,1
8466b41ffffffff-2015-01,5
8466b41ffffffff-2015-02,3
8466b41ffffffff-2015-03,4
8466b41ffffffff-2015-04,4
8466b41ffffffff-2015-07,6
8466b41ffffffff-2015-08,1
8466b41ffffffff-2015-09,1
8466b41ffffffff-2015-10,1
8466b41ffffffff-2015-11,3
8466b41ffffffff-2015-12,5
8466b41ffffffff-2016-01,5
8466b41ffffffff-2016-02,11
8466b41ffffffff-2016-03,11
8466b41ffffffff-2016-04,4
8466b41ffffffff-2016-07,4
8466b41ffffffff-2016-08,1
8466b41ffffffff-2016-11,1
8466b41ffffffff-2016-12,3
8466b41ffffffff-2017-01,10
8466b41ffffffff-2017-02,11
8466b41ffffffff-2017-03,26
8466b41ffffffff-2017-04,4
8466b41ffffffff-2017-05,2
8466b41ffffffff-2017-07,6
8466b41ffffffff-2017-10,1
8466b41ffffffff-2017-11,3
8466b41ffffffff-2017-12,6
8466b41ffffffff-2018-01,7
8466b41ffffffff-2018-02,20
8466b41ffffffff-2018-03,24
8466b41ffffffff-2018-04,4
8466b41ffffffff-2018-05,7
8466b41ffffffff-2018-06,3
8466b41ffffffff-2018-07,7
8466b41ffffffff-2018-08,4
8466b41ffffffff-2018-10,3
8466b41ffffffff-2018-11,4
8466b41ffffffff-2019-01,39
8466b41ffffffff-2019-02,47
8466b41ffffffff-2019-03,33
8466b41ffffffff-2019-04,29
8466b41ffffffff-2019-06,3
8466b41ffffffff-2019-07,4
8466b41ffffffff-2019-08,1
8466b41ffffffff-2019-09,5
8466b41ffffffff-2019-10,4
8466b41ffffffff-2019-11,12
8466b41ffffffff-2019-12,18
8466b41ffffffff-2020-01,23
8466b41ffffffff-2020-02,27
8466b41ffffffff-2020-03,27
8466b41ffffffff-2020-04,1
8466b41ffffffff-2020-05,1
8466b41ffffffff-2020-06,1
8466b41ffffffff-2020-09,4
8466b41ffffffff-2020-10,3
8466b41ffffffff-2020-11,2
8466b41ffffffff-2020-12,12
8466b41ffffffff-2021-01,12
8466b41ffffffff-2021-02,4
8466b41ffffffff-2021-03,8
8466b41ffffffff-2021-04,4
8466b41ffffffff-2021-05,1
8466b41ffffffff-2021-07,3
8466b41ffffffff-2021-09,4
8466b41ffffffff-2021-10,8
8466b41ffffffff-2021-11,6
8466b41ffffffff-2021-12,15
8466b41ffffffff-2022-01,18
8466b41ffffffff-2022-02,34
8466b41ffffffff-2022-03,21
8466b41ffffffff-2022-04,13
8466b41ffffffff-2022-05,6
8466b41ffffffff-2022-07,4
8466b41ffffffff-2022-09,2
8466b41ffffffff-2022-10,5
8466b41ffffffff-2022-11,1
8466b41ffffffff-2022-12,26
8466b41ffffffff-2023-01,22
8466b41ffffffff-2023-02,30
8466b41ffffffff-2023-03,24
8466b41ffffffff-2023-04,5
8466b41ffffffff-2023-05,2
8466b41ffffffff-2023-06,2
8466b41ffffffff-2023-07,13
8466b41ffffffff-2023-08,6
8466b41ffffffff-2023-09,14
8466b41ffffffff-2023-10,5
8466b41ffffffff-2023-11,3
8466b43ffffffff-2020-03,2
8466b43ffffffff-2022-03,1
8466b45ffffffff-2012-01,1
8466b45ffffffff-2012-02,3
8466b45ffffffff-2012-03,1
8466b45ffffffff-2012-05,1
8466b45ffffffff-2012-12,1
8466b45ffffffff-2013-01,3
8466b45ffffffff-2013-02,2
8466b45ffffffff-2013-03,1
8466b45ffffffff-2013-04,1
8466b45ffffffff-2013-05,1
8466b45ffffffff-2013-08,2
8466b45ffffffff-2013-09,1
8466b45ffffffff-2014-02,8
8466b45ffffffff-2014-03,5
8466b45ffffffff-2014-11,2
8466b45ffffffff-2015-01,5
8466b45ffffffff-2015-02,9
8466b45ffffffff-2015-03,7
8466b45ffffffff-2015-04,11
8466b45ffffffff-2015-09,1
8466b45ffffffff-2015-11,1
8466b45ffffffff-2016-01,13
8466b45ffffffff-2016-02,10
8466b45ffffffff-2016-03,9
8466b45ffffffff-2016-04,1
8466b45ffffffff-2016-07,5
8466b45ffffffff-2017-01,2
8466b45ffffffff-2017-02,12
8466b45ffffffff-2017-03,3
8466b45ffffffff-2017-04,1
8466b45ffffffff-2017-05,2
8466b45ffffffff-2017-07,1
8466b45ffffffff-2018-01,2
8466b45ffffffff-2018-02,9
8466b45ffffffff-2018-03,17
8466b45ffffffff-2018-04,5
8466b45ffffffff-2018-05,2
8466b45ffffffff-2018-11,1
8466b45ffffffff-2018-12,1
8466b45ffffffff-2019-01,8
8466b45ffffffff-2019-02,25
8466b45ffffffff-2019-03,6
8466b45ffffffff-2019-04,1
8466b45ffffffff-2019-05,2
8466b45ffffffff-2019-07,2
8466b45ffffffff-2019-08,4
8466b45ffffffff-2019-11,2
8466b45ffffffff-2019-12,12
8466b45ffffffff-2020-01,25
8466b45ffffffff-2020-02,11
8466b45ffffffff-2020-03,15
8466b45ffffffff-2020-05,1
8466b45ffffffff-2020-10,4
8466b45ffffffff-2020-11,2
8466b45ffffffff-2020-12,7
8466b45ffffffff-2021-01,7
8466b45ffffffff-2021-02,15
8466b45ffffffff-2021-03,17
8466b45ffffffff-2021-04,8
8466b45ffffffff-2021-05,14
8466b45ffffffff-2021-06,5
8466b45ffffffff-2021-07,8
8466b45ffffffff-2021-08,3
8466b45ffffffff-2021-09,1
8466b45ffffffff-2021-10,1
8466b45ffffffff-2021-11,22
8466b45ffffffff-2021-12,7
8466b45ffffffff-2022-01,13
8466b45ffffffff-2022-02,5
8466b45ffffffff-2022-03,48
8466b45ffffffff-2022-04,6
8466b45ffffffff-2022-05,1
8466b45ffffffff-2022-06,2
8466b45ffffffff-2022-07,1
8466b45ffffffff-2022-08,1
8466b45ffffffff-2022-10,9
8466b45ffffffff-2022-12,4
8466b45ffffffff-2023-01,23
8466b45ffffffff-2023-02,28
8466b45ffffffff-2023-03,11
8466b45ffffffff-2023-04,25
8466b45ffffffff-2023-05,7
8466b45ffffffff-2023-06,1
8466b45ffffffff-2023-09,3
8466b45ffffffff-2023-10,2
8466b45ffffffff-2023-11,3
8466b4dffffffff-2012-03,2
8466b4dffffffff-2012-04,5
8466b4dffffffff-2012-07,1
8466b4dffffffff-2012-09,1
8466b4dffffffff-2012-10,1
8466b4dffffffff-2012-11,2
8466b4dffffffff-2012-12,2
8466b4dffffffff-2013-01,3
8466b4dffffffff-2013-02,1
8466b4dffffffff-2013-04,3
8466b4dffffffff-2013-05,2
8466b4dffffffff-2013-09,1
8466b4dffffffff-2013-11,16
8466b4dffffffff-2014-01,1
8466b4dffffffff-2014-02,2
8466b4dffffffff-2014-03,1
8466b4dffffffff-2014-04,9
8466b4dffffffff-2014-06,1
8466b4dffffffff-2014-07,1
8466b4dffffffff-2014-09,1
8466b4dffffffff-2014-10,4
8466b4dffffffff-2014-11,2
8466b4dffffffff-2014-12,11
8466b4dffffffff-2015-01,9
8466b4dffffffff-2015-02,13
8466b4dffffffff-2015-03,3
8466b4dffffffff-2015-04,4
8466b4dffffffff-2015-07,2
8466b4dffffffff-2015-08,1
8466b4dffffffff-2015-11,1
8466b4dffffffff-2015-12,3
8466b4dffffffff-2016-01,6
8466b4dffffffff-2016-02,6
8466b4dffffffff-2016-03,14
8466b4dffffffff-2016-04,2
8466b4dffffffff-2016-07,1
8466b4dffffffff-2016-08,8
8466b4dffffffff-2016-09,6
8466b4dffffffff-2016-10,3
8466b4dffffffff-2016-11,3
8466b4dffffffff-2016-12,3
8466b4dffffffff-2017-01,10
8466b4dffffffff-2017-02,10
8466b4dffffffff-2017-03,21
8466b4dffffffff-2017-04,3
8466b4dffffffff-2017-05,11
8466b4dffffffff-2017-06,11
8466b4dffffffff-2017-07,2
8466b4dffffffff-2017-08,1
8466b4dffffffff-2017-09,3
8466b4dffffffff-2017-10,2
8466b4dffffffff-2017-11,10
8466b4dffffffff-2017-12,2
8466b4dffffffff-2018-01,15
8466b4dffffffff-2018-02,11
8466b4dffffffff-2018-03,15
8466b4dffffffff-2018-04,10
8466b4dffffffff-2018-05,9
8466b4dffffffff-2018-07,2
8466b4dffffffff-2018-08,1
8466b4dffffffff-2018-09,1
8466b4dffffffff-2018-10,10
8466b4dffffffff-2018-11,18
8466b4dffffffff-2018-12,8
8466b4dffffffff-2019-01,49
8466b4dffffffff-2019-02,9
8466b4dffffffff-2019-03,12
8466b4dffffffff-2019-04,10
8466b4dffffffff-2019-05,18
8466b4dffffffff-2019-07,8
8466b4dffffffff-2019-08,1
8466b4dffffffff-2019-10,18
8466b4dffffffff-2019-11,11
8466b4dffffffff-2019-12,11
8466b4dffffffff-2020-01,28
8466b4dffffffff-2020-02,8
8466b4dffffffff-2020-03,10
8466b4dffffffff-2020-04,1
8466b4dffffffff-2020-05,3
8466b4dffffffff-2020-06,1
8466b4dffffffff-2020-08,7
8466b4dffffffff-2020-09,2
8466b4dffffffff-2020-10,11
8466b4dffffffff-2020-11,5
8466b4dffffffff-2020-12,6
8466b4dffffffff-2021-01,10
8466b4dffffffff-2021-02,10
8466b4dffffffff-2021-03,12
8466b4dffffffff-2021-04,6
8466b4dffffffff-2021-05,22
8466b4dffffffff-2021-06,1
8466b4dffffffff-2021-07,9
8466b4dffffffff-2021-08,4
8466b4dffffffff-2021-09,7
8466b4dffffffff-2021-10,10
8466b4dffffffff-2021-11,35
8466b4dffffffff-2021-12,26
8466b4dffffffff-2022-01,44
8466b4dffffffff-2022-02,43
8466b4dffffffff-2022-03,32
8466b4dffffffff-2022-04,29
8466b4dffffffff-2022-05,10
8466b4dffffffff-2022-06,3
8466b4dffffffff-2022-07,9
8466b4dffffffff-2022-08,14
8466b4dffffffff-2022-09,6
8466b4dffffffff-2022-10,21
8466b4dffffffff-2022-11,9
8466b4dffffffff-2022-12,11
8466b4dffffffff-2023-01,17
8466b4dffffffff-2023-02,11
8466b4dffffffff-2023-03,12
8466b4dffffffff-2023-04,12
8466b4dffffffff-2023-05,11
8466b4dffffffff-2023-06,6
8466b4dffffffff-2023-07,6
8466b4dffffffff-2023-08,1
8466b4dffffffff-2023-09,12
8466b4dffffffff-2023-10,11
8466b4dffffffff-2023-11,8
8466b51ffffffff-2013-03,6
8466b51ffffffff-2013-11,2
8466b51ffffffff-2015-02,1
8466b51ffffffff-2015-03,5
8466b51ffffffff-2015-04,1
8466b51ffffffff-2016-02,1
8466b51ffffffff-2016-06,3
8466b51ffffffff-2017-02,1
8466b51ffffffff-2017-03,5
8466b51ffffffff-2017-04,1
8466b51ffffffff-2017-08,1
8466b51ffffffff-2017-09,2
8466b51ffffffff-2017-11,2
8466b51ffffffff-2017-12,1
8466b51ffffffff-2018-02,2
8466b51ffffffff-2018-03,14
8466b51ffffffff-2018-05,5
8466b51ffffffff-2018-08,3
8466b51ffffffff-2019-01,1
8466b51ffffffff-2019-03,8
8466b51ffffffff-2019-04,14
8466b51ffffffff-2019-09,2
8466b51ffffffff-2019-11,3
8466b51ffffffff-2020-01,5
8466b51ffffffff-2020-02,6
8466b51ffffffff-2021-04,2
8466b51ffffffff-2021-05,6
8466b51ffffffff-2021-10,1
8466b51ffffffff-2021-11,1
8466b51ffffffff-2021-12,3
8466b51ffffffff-2022-01,2
8466b51ffffffff-2022-04,1
8466b51ffffffff-2022-05,1
8466b51ffffffff-2022-06,3
8466b51ffffffff-2022-11,1
8466b55ffffffff-2018-03,1
8466b55ffffffff-2021-02,1
8466b5bffffffff-2016-01,1
8466b5bffffffff-2016-02,1
8466b5bffffffff-2018-02,1
8466b5bffffffff-2022-02,1
8466b5dffffffff-2014-02,2
8466b5dffffffff-2017-04,1
8466b5dffffffff-2020-04,1
8466b5dffffffff-2020-09,1
8466b5dffffffff-2020-12,1
8466b5dffffffff-2021-03,4
8466b5dffffffff-2022-03,1
8466b5dffffffff-2023-03,2
84679a7ffffffff-2020-09,1
84679a7ffffffff-2021-05,2
84679a7ffffffff-2021-12,2
846d691ffffffff-2015-12,1
846d691ffffffff-2016-04,1
846d691ffffffff-2017-06,2
846d691ffffffff-2018-02,1
846d691ffffffff-2018-05,3
846d691ffffffff-2019-04,3
846d691ffffffff-2019-05,4
846d691ffffffff-2019-10,6
846d691ffffffff-2020-01,1
846d691ffffffff-2020-03,1
846d691ffffffff-2020-08,1
846d691ffffffff-2021-03,4
846d691ffffffff-2021-04,1
846d691ffffffff-2021-05,1
846d691ffffffff-2022-04,1
846d691ffffffff-2023-09,1
846d693ffffffff-2019-05,1
846d693ffffffff-2019-08,1
846d693ffffffff-2020-02,1
846d693ffffffff-2020-10,2
846d693ffffffff-2021-11,1
846d693ffffffff-2023-01,7
846d693ffffffff-2023-03,4
846d693ffffffff-2023-07,5
846d693ffffffff-2023-11,2
846d69bffffffff-2012-03,1
846d69bffffffff-2013-02,2
846d69bffffffff-2013-03,1
846d69bffffffff-2013-11,1
846d69bffffffff-2014-10,1
846d69bffffffff-2015-02,2
846d69bffffffff-2015-03,1
846d69bffffffff-2015-04,1
846d69bffffffff-2015-07,1
846d69bffffffff-2016-01,2
846d69bffffffff-2016-02,1
846d69bffffffff-2016-04,1
846d69bffffffff-2016-05,1
846d69bffffffff-2017-01,2
846d69bffffffff-2017-03,3
846d69bffffffff-2017-12,1
846d69bffffffff-2018-02,3
846d69bffffffff-2018-05,6
846d69bffffffff-2018-06,1
846d69bffffffff-2018-11,3
846d69bffffffff-2018-12,2
846d69bffffffff-2019-01,1
846d69bffffffff-2019-08,1
846d69bffffffff-2019-12,1
846d69bffffffff-2020-02,1
846d69bffffffff-2020-03,1
846d69bffffffff-2020-05,1
846d69bffffffff-2020-07,1
846d69bffffffff-2020-09,1
846d69bffffffff-2020-10,2
846d69bffffffff-2021-02,3
846d69bffffffff-2021-03,1
846d69bffffffff-2021-04,1
846d69bffffffff-2021-10,2
846d69bffffffff-2021-11,7
846d69bffffffff-2021-12,1
846d69bffffffff-2022-01,5
846d69bffffffff-2022-02,5
846d69bffffffff-2022-05,3
846d69bffffffff-2022-08,1
846d69bffffffff-2022-09,2
846d69bffffffff-2022-10,4
846d69bffffffff-2022-12,1
846d69bffffffff-2023-01,2
846d69bffffffff-2023-02,2
846d69bffffffff-2023-03,1
846d69bffffffff-2023-04,1
846d69bffffffff-2023-05,6
846d69bffffffff-2023-09,3
846d69bffffffff-2023-10,1
846d69bffffffff-2023-11,1
846d69dffffffff-2013-03,1
846d69dffffffff-2018-05,1
846d69dffffffff-2019-12,1
846d69dffffffff-2020-07,2
846d69dffffffff-2020-08,1
846d69dffffffff-2021-10,1
846d69dffffffff-2021-12,3
846d69dffffffff-2022-04,3
846d69dffffffff-2023-05,5
846d69dffffffff-2023-10,3
