index,n
843e583ffffffff-2020-02,1
843e583ffffffff-2021-11,1
843e583ffffffff-2022-11,1
843e583ffffffff-2023-03,1
843e583ffffffff-2023-10,1
843e5b9ffffffff-2022-10,1
843e5cbffffffff-2018-10,1
843e5cbffffffff-2021-12,1
843e5cbffffffff-2022-11,1
843e5cbffffffff-2022-12,1
843e621ffffffff-2022-06,2
8452933ffffffff-2017-10,3
84529b9ffffffff-2017-11,2
84529b9ffffffff-2019-10,1
8452b05ffffffff-2020-12,1
8452b09ffffffff-2012-05,1
8452b1dffffffff-2017-10,2
8452b39ffffffff-2017-10,4
8453937ffffffff-2014-11,7
8453937ffffffff-2015-03,5
8453937ffffffff-2019-02,1
8453961ffffffff-2019-11,1
845402dffffffff-2018-01,2
845402dffffffff-2018-12,4
845402dffffffff-2019-12,5
845402dffffffff-2020-01,13
845402dffffffff-2022-12,1
845402dffffffff-2023-01,8
84540abffffffff-2017-11,2
8454153ffffffff-2018-10,1
8454187ffffffff-2016-11,2
8454197ffffffff-2012-11,1
8454197ffffffff-2014-01,2
8454197ffffffff-2014-02,1
84541a3ffffffff-2013-11,1
84541a3ffffffff-2017-12,1
84541b9ffffffff-2018-11,1
84541bdffffffff-2012-11,1
84541bdffffffff-2013-12,1
84541bdffffffff-2015-11,4
84541bdffffffff-2016-11,15
84541bdffffffff-2018-11,11
84541bdffffffff-2018-12,4
84541bdffffffff-2019-01,7
84541bdffffffff-2019-10,1
84541bdffffffff-2019-11,3
84541bdffffffff-2019-12,4
84541bdffffffff-2020-01,5
84541bdffffffff-2020-12,1
84541bdffffffff-2021-10,1
84541bdffffffff-2021-11,4
84541bdffffffff-2022-11,6
84541bdffffffff-2022-12,8
84541bdffffffff-2023-10,6
84541bdffffffff-2023-11,14
845440dffffffff-2014-10,1
845440dffffffff-2018-05,1
845440dffffffff-2018-06,1
845440dffffffff-2018-10,2
845440dffffffff-2018-11,2
845440dffffffff-2023-03,1
845440dffffffff-2023-04,1
8454443ffffffff-2018-01,1
8454443ffffffff-2018-05,1
8454443ffffffff-2018-06,4
8454443ffffffff-2018-10,6
8454447ffffffff-2018-10,2
84545ebffffffff-2022-06,2
8454633ffffffff-2018-10,1
8454a93ffffffff-2019-02,1
8454a93ffffffff-2019-11,1
8454a9bffffffff-2019-11,8
8454ad3ffffffff-2023-01,1
8454e05ffffffff-2020-01,9
8454e21ffffffff-2021-11,2
8454e41ffffffff-2012-01,4
8454e41ffffffff-2014-11,6
8454e41ffffffff-2014-12,2
8454e41ffffffff-2015-01,6
8454e41ffffffff-2016-02,8
8454e41ffffffff-2017-01,8
8454e41ffffffff-2017-02,2
8454e41ffffffff-2017-07,2
8454e41ffffffff-2018-06,8
8454e41ffffffff-2022-01,1
8454e41ffffffff-2022-02,2
8454e41ffffffff-2022-12,16
8454e41ffffffff-2023-01,5
8454e41ffffffff-2023-02,16
8454e41ffffffff-2023-03,2
8454e4bffffffff-2018-11,1
8454e4dffffffff-2012-01,4
8454e4dffffffff-2012-12,1
8454e4dffffffff-2013-01,1
8454e4dffffffff-2015-07,1
8454e4dffffffff-2016-10,7
8454e4dffffffff-2017-01,2
8454e4dffffffff-2017-12,4
8454e4dffffffff-2018-02,2
8454e4dffffffff-2018-03,1
8454e4dffffffff-2018-06,8
8454e4dffffffff-2018-11,3
8454e4dffffffff-2018-12,18
8454e4dffffffff-2019-01,4
8454e4dffffffff-2019-04,1
8454e4dffffffff-2019-11,1
8454e4dffffffff-2020-01,19
8454e4dffffffff-2020-02,7
8454e4dffffffff-2020-03,10
8454e4dffffffff-2020-12,6
8454e4dffffffff-2022-02,6
8454e4dffffffff-2022-03,1
8454e4dffffffff-2022-12,6
8454e4dffffffff-2023-01,46
8454e4dffffffff-2023-02,32
8454e4dffffffff-2023-03,15
8454e4dffffffff-2023-04,1
8454e61ffffffff-2022-02,1
8458527ffffffff-2020-12,1
84585d5ffffffff-2018-04,1
84585d5ffffffff-2018-05,1
84585d5ffffffff-2018-06,1
84585d5ffffffff-2019-05,2
84585d5ffffffff-2019-07,2
84585d5ffffffff-2019-08,1
84585d5ffffffff-2020-07,2
84585d5ffffffff-2020-08,1
84585d5ffffffff-2021-02,1
84585d5ffffffff-2023-09,2
845889dffffffff-2022-05,1
845889dffffffff-2023-04,2
845889dffffffff-2023-05,2
8458953ffffffff-2021-05,1
845895bffffffff-2021-05,1
8458a93ffffffff-2020-10,1
8458b37ffffffff-2014-03,2
8458c45ffffffff-2020-10,1
8458c47ffffffff-2020-10,2
8458c69ffffffff-2019-01,1
8458ccbffffffff-2022-01,1
8458cd9ffffffff-2012-03,2
8458cd9ffffffff-2013-03,1
8458cd9ffffffff-2016-11,2
8458cd9ffffffff-2020-06,2
8458cd9ffffffff-2022-12,1
8458cd9ffffffff-2023-03,4
8458cd9ffffffff-2023-04,1
8458e07ffffffff-2019-04,1
8458e2dffffffff-2023-07,1
8458e85ffffffff-2020-11,7
8458e85ffffffff-2022-01,5
8458f03ffffffff-2021-04,1
8458f1dffffffff-2023-01,1
8458f31ffffffff-2018-12,1
8458f5bffffffff-2023-07,1
84598d5ffffffff-2015-02,1
84598d7ffffffff-2015-02,1
84598d7ffffffff-2015-04,1
84598d7ffffffff-2017-09,1
84598d7ffffffff-2018-10,4
8459985ffffffff-2013-02,2
8459985ffffffff-2013-04,4
8459985ffffffff-2013-12,5
8459985ffffffff-2014-02,2
8459985ffffffff-2014-04,1
8459985ffffffff-2015-11,1
8459985ffffffff-2015-12,1
8459985ffffffff-2016-03,2
8459985ffffffff-2016-12,1
8459985ffffffff-2017-04,2
8459985ffffffff-2017-11,4
8459985ffffffff-2018-02,5
8459985ffffffff-2018-04,4
8459985ffffffff-2018-11,8
8459985ffffffff-2018-12,15
8459985ffffffff-2019-01,1
8459985ffffffff-2019-04,3
8459985ffffffff-2019-06,1
8459985ffffffff-2020-02,1
8459985ffffffff-2021-10,2
8459985ffffffff-2021-11,3
8459985ffffffff-2021-12,8
8459985ffffffff-2022-01,2
8459985ffffffff-2022-03,4
8459985ffffffff-2022-04,14
8459985ffffffff-2022-12,2
8459985ffffffff-2023-01,6
8459985ffffffff-2023-03,11
8459985ffffffff-2023-04,5
8459985ffffffff-2023-10,1
84599e5ffffffff-2022-05,1
846a459ffffffff-2012-11,1
846a459ffffffff-2014-12,4
846a459ffffffff-2018-04,1
846a459ffffffff-2018-05,1
846a459ffffffff-2019-01,1
846a459ffffffff-2019-03,1
846a459ffffffff-2023-02,1
846a4a1ffffffff-2018-12,1
846a4a3ffffffff-2016-11,1
846a4a3ffffffff-2017-03,1
846a697ffffffff-2017-03,1
846a697ffffffff-2018-03,6
846a697ffffffff-2019-04,1
846a697ffffffff-2019-07,1
846a697ffffffff-2020-10,4
846ae85ffffffff-2018-01,1
846ae85ffffffff-2022-02,1
846b127ffffffff-2021-12,1
846b685ffffffff-2021-09,1
846b685ffffffff-2022-08,1
846b685ffffffff-2023-03,1
846b6c1ffffffff-2012-05,1
846b6c5ffffffff-2013-01,1
846b6c5ffffffff-2015-10,1
846b6c5ffffffff-2019-05,1
846b6e3ffffffff-2012-05,1
846b6e3ffffffff-2012-09,1
846b6e3ffffffff-2012-11,1
846b6e3ffffffff-2012-12,3
846b6e3ffffffff-2013-01,2
846b6e3ffffffff-2013-10,1
846b6e3ffffffff-2016-02,1
846b6e3ffffffff-2020-02,1
846b6e3ffffffff-2020-10,2
846b6e3ffffffff-2021-01,1
846b6e3ffffffff-2021-02,1
846b6e3ffffffff-2022-10,2
846b6e3ffffffff-2022-12,1
846b6ebffffffff-2012-04,1
846b6ebffffffff-2013-02,1
846b6ebffffffff-2014-05,1
846b6ebffffffff-2015-03,4
846b6ebffffffff-2015-12,1
846b6ebffffffff-2016-02,2
846b6ebffffffff-2016-03,2
846b6ebffffffff-2017-03,1
846b6ebffffffff-2017-10,1
846b6ebffffffff-2019-11,1
846b6ebffffffff-2020-01,1
846b6ebffffffff-2020-08,3
846b6ebffffffff-2021-02,1
846b6ebffffffff-2021-04,1
846b6ebffffffff-2021-08,1
846b6ebffffffff-2021-12,1
846bac9ffffffff-2021-02,2
846bb61ffffffff-2022-12,1
8475201ffffffff-2022-11,2
8475201ffffffff-2023-04,2
8475209ffffffff-2014-01,1
8475209ffffffff-2014-04,1
8475209ffffffff-2015-06,1
8475209ffffffff-2015-10,2
8475209ffffffff-2017-01,1
8475209ffffffff-2017-11,6
8475209ffffffff-2017-12,5
8475209ffffffff-2019-01,1
8475209ffffffff-2019-03,2
