index,n
8468cd1ffffffff-2022-07,6
8468cd9ffffffff-2016-01,1
8468cd9ffffffff-2022-08,1
8468cd9ffffffff-2022-11,2
8472901ffffffff-2012-11,1
8472901ffffffff-2015-08,1
8472901ffffffff-2016-09,1
8472901ffffffff-2017-08,3
8472901ffffffff-2022-10,1
8472901ffffffff-2022-12,3
8472901ffffffff-2023-09,9
8472901ffffffff-2023-11,1
8472905ffffffff-2015-08,1
8472905ffffffff-2016-09,1
8472905ffffffff-2016-11,4
8472905ffffffff-2017-08,2
8472905ffffffff-2017-11,4
8472905ffffffff-2019-07,3
8472905ffffffff-2019-08,4
8472905ffffffff-2019-09,3
8472905ffffffff-2022-10,1
8472905ffffffff-2023-09,18
8472905ffffffff-2023-11,1
847290dffffffff-2015-08,3
847290dffffffff-2016-09,1
847290dffffffff-2016-11,2
847290dffffffff-2017-08,2
847290dffffffff-2017-10,3
847290dffffffff-2017-11,2
847290dffffffff-2018-12,2
847290dffffffff-2019-08,1
847290dffffffff-2019-09,2
847290dffffffff-2022-10,3
84739a1ffffffff-2023-11,4
84739abffffffff-2019-11,1
8473b09ffffffff-2014-10,9
8473b09ffffffff-2014-11,29
8473b09ffffffff-2014-12,20
8473b09ffffffff-2015-11,1
8473b09ffffffff-2017-07,1
8473b09ffffffff-2019-09,3
8473b09ffffffff-2023-10,1
8473b55ffffffff-2014-10,37
8473b55ffffffff-2014-11,56
8473b61ffffffff-2012-08,2
8473b61ffffffff-2015-08,1
8473b61ffffffff-2015-11,1
8473b61ffffffff-2017-03,1
8473b61ffffffff-2017-07,6
8473b61ffffffff-2017-12,3
8473b61ffffffff-2018-09,12
8473b61ffffffff-2018-12,1
8473b61ffffffff-2019-09,1
8473b61ffffffff-2022-05,3
8473b61ffffffff-2022-07,2
8473b61ffffffff-2022-08,1
8473b61ffffffff-2022-09,5
8473b61ffffffff-2022-10,4
8473b61ffffffff-2023-06,2
8473b61ffffffff-2023-10,1
8473b6dffffffff-2015-11,1
8473b6dffffffff-2022-10,1
8494601ffffffff-2013-09,1
8494601ffffffff-2016-10,1
8494601ffffffff-2016-11,12
8494601ffffffff-2017-07,8
8494601ffffffff-2017-08,10
8494601ffffffff-2017-10,20
8494601ffffffff-2017-11,12
8494601ffffffff-2019-08,14
8494601ffffffff-2019-09,5
8494601ffffffff-2022-05,1
8494601ffffffff-2022-09,10
8494601ffffffff-2022-10,16
8494601ffffffff-2022-11,6
8494601ffffffff-2022-12,7
8494601ffffffff-2023-04,1
8494601ffffffff-2023-09,75
8494601ffffffff-2023-10,2
8494601ffffffff-2023-11,4
8494605ffffffff-2022-11,2
849466dffffffff-2023-09,1
849466dffffffff-2023-11,2
8495093ffffffff-2022-09,1
8495093ffffffff-2023-01,1
8495093ffffffff-2023-11,4
84950a5ffffffff-2016-10,1
84950a5ffffffff-2022-10,3
84950a5ffffffff-2022-11,2
84950a5ffffffff-2022-12,1
84950a5ffffffff-2023-11,2
84951d1ffffffff-2017-10,1
84951ddffffffff-2016-10,1
8495489ffffffff-2015-09,1
8495489ffffffff-2021-02,1
8495489ffffffff-2022-10,2
8495489ffffffff-2022-12,2
8495489ffffffff-2023-08,1
8495489ffffffff-2023-10,1
8495583ffffffff-2022-09,2
8495583ffffffff-2022-10,1
8495583ffffffff-2023-11,2
8495769ffffffff-2017-08,21
