index,n
840134bffffffff-2021-11,2
840134bffffffff-2023-04,1
840135bffffffff-2018-07,1
840135bffffffff-2022-05,1
8408005ffffffff-2013-11,2
8408005ffffffff-2015-06,2
8408021ffffffff-2018-02,1
8408021ffffffff-2018-03,1
8408021ffffffff-2019-05,1
8408025ffffffff-2018-01,1
840802dffffffff-2018-10,1
8408039ffffffff-2021-09,1
8408065ffffffff-2017-10,1
8408065ffffffff-2017-12,1
8408065ffffffff-2018-03,1
8408065ffffffff-2023-10,2
8408101ffffffff-2023-02,1
8408101ffffffff-2023-03,1
8408105ffffffff-2022-06,1
8408107ffffffff-2012-06,1
8408107ffffffff-2019-04,1
8408107ffffffff-2020-08,1
8408107ffffffff-2021-06,1
8408109ffffffff-2018-11,1
8408109ffffffff-2022-02,1
8408109ffffffff-2022-05,1
8408117ffffffff-2023-04,1
8408117ffffffff-2023-05,1
8408119ffffffff-2022-09,1
8408119ffffffff-2023-02,1
840811bffffffff-2023-05,1
840811dffffffff-2022-09,1
840811dffffffff-2023-06,2
840811dffffffff-2023-10,1
8408121ffffffff-2022-07,1
8408121ffffffff-2023-06,3
8408123ffffffff-2016-07,1
8408123ffffffff-2017-01,2
8408123ffffffff-2017-03,1
8408127ffffffff-2022-09,1
840812dffffffff-2017-04,2
840812dffffffff-2018-06,2
8408131ffffffff-2014-07,1
8408131ffffffff-2017-09,1
8408133ffffffff-2018-07,1
8408133ffffffff-2020-04,2
8408133ffffffff-2022-09,1
8408133ffffffff-2022-10,1
8408133ffffffff-2023-05,1
8408143ffffffff-2020-07,1
8408149ffffffff-2018-08,2
8408151ffffffff-2014-04,1
8408151ffffffff-2017-04,1
8408151ffffffff-2017-08,1
8408151ffffffff-2017-11,1
8408151ffffffff-2017-12,1
8408151ffffffff-2018-04,2
8408151ffffffff-2018-05,1
8408151ffffffff-2018-07,1
8408151ffffffff-2018-09,2
8408151ffffffff-2019-05,2
8408151ffffffff-2020-07,1
8408151ffffffff-2020-11,1
8408151ffffffff-2021-04,1
8408151ffffffff-2021-05,2
8408151ffffffff-2021-06,2
8408151ffffffff-2021-07,2
8408151ffffffff-2021-08,1
8408151ffffffff-2021-10,6
8408151ffffffff-2021-11,1
8408151ffffffff-2022-01,1
8408151ffffffff-2022-08,1
8408151ffffffff-2022-09,3
8408151ffffffff-2022-11,2
8408151ffffffff-2023-04,1
8408151ffffffff-2023-09,2
8408151ffffffff-2023-10,2
8408151ffffffff-2023-11,1
8408153ffffffff-2017-03,1
8408153ffffffff-2017-04,3
8408159ffffffff-2013-11,1
8408159ffffffff-2014-08,1
8408159ffffffff-2015-08,1
8408159ffffffff-2017-10,1
8408159ffffffff-2019-06,2
8408159ffffffff-2019-10,2
8408159ffffffff-2020-05,1
8408159ffffffff-2020-07,5
8408159ffffffff-2020-08,1
8408159ffffffff-2020-09,8
8408159ffffffff-2020-10,22
8408159ffffffff-2020-11,6
8408159ffffffff-2021-06,2
8408159ffffffff-2021-07,13
8408159ffffffff-2021-08,5
8408159ffffffff-2021-09,8
8408159ffffffff-2021-10,9
8408159ffffffff-2021-11,1
8408159ffffffff-2022-05,1
8408159ffffffff-2022-10,2
8408159ffffffff-2022-11,4
8408159ffffffff-2023-01,1
8408159ffffffff-2023-05,2
8408159ffffffff-2023-06,1
8408159ffffffff-2023-10,1
840815bffffffff-2022-10,3
8408161ffffffff-2019-09,1
8408161ffffffff-2021-09,3
8408161ffffffff-2021-10,5
8408161ffffffff-2021-11,3
8408161ffffffff-2022-01,9
8408161ffffffff-2022-02,5
8408161ffffffff-2022-03,1
8408161ffffffff-2022-04,1
8408161ffffffff-2022-05,1
8408161ffffffff-2022-09,2
8408161ffffffff-2022-10,2
8408161ffffffff-2022-12,3
8408161ffffffff-2023-01,2
8408161ffffffff-2023-02,6
8408161ffffffff-2023-03,2
8408161ffffffff-2023-04,1
8408161ffffffff-2023-05,3
8408165ffffffff-2022-02,1
8408169ffffffff-2023-08,1
840816dffffffff-2022-09,1
8408185ffffffff-2023-09,1
8408185ffffffff-2023-10,1
8408193ffffffff-2015-05,2
840819dffffffff-2023-07,2
84081adffffffff-2021-12,1
84081adffffffff-2022-12,2
84081adffffffff-2023-01,1
84081c1ffffffff-2019-07,1
84081c5ffffffff-2021-06,1
84081c5ffffffff-2021-10,1
84081c7ffffffff-2023-08,1
84081cbffffffff-2014-10,1
84081dbffffffff-2014-10,1
84081e1ffffffff-2021-05,2
84081e1ffffffff-2022-07,1
84081e5ffffffff-2020-05,2
84081e5ffffffff-2020-06,2
84081e5ffffffff-2021-05,4
84081e5ffffffff-2023-09,1
84081e7ffffffff-2023-07,1
84081e7ffffffff-2023-09,1
84081e9ffffffff-2020-01,1
8408295ffffffff-2019-09,1
8408295ffffffff-2019-10,1
8408295ffffffff-2020-04,1
8408295ffffffff-2020-09,1
8408295ffffffff-2020-10,1
8408295ffffffff-2020-11,1
8408295ffffffff-2020-12,2
8408295ffffffff-2021-01,4
8408295ffffffff-2021-02,1
8408295ffffffff-2021-03,2
8408295ffffffff-2021-06,1
8408295ffffffff-2021-10,1
8408295ffffffff-2021-11,5
8408295ffffffff-2021-12,2
8408295ffffffff-2022-01,3
8408295ffffffff-2022-03,1
8408295ffffffff-2022-06,1
8408295ffffffff-2022-09,2
8408295ffffffff-2022-10,3
8408295ffffffff-2022-11,1
8408295ffffffff-2022-12,1
8408295ffffffff-2023-01,1
8408295ffffffff-2023-04,1
8408295ffffffff-2023-06,1
8408295ffffffff-2023-09,1
8408295ffffffff-2023-10,1
8408295ffffffff-2023-11,3
84082b1ffffffff-2021-01,1
84082b1ffffffff-2022-01,1
84082b1ffffffff-2023-09,1
84082bbffffffff-2016-06,1
84082bbffffffff-2022-11,1
8408331ffffffff-2022-03,3
8408333ffffffff-2019-02,1
8408333ffffffff-2020-09,1
8408365ffffffff-2019-04,1
8408801ffffffff-2016-05,1
8408801ffffffff-2016-08,1
8408801ffffffff-2016-10,1
8408801ffffffff-2019-07,1
8408801ffffffff-2020-06,1
8408801ffffffff-2021-06,1
8408801ffffffff-2021-09,2
8408805ffffffff-2012-09,1
8408805ffffffff-2013-03,2
8408805ffffffff-2015-05,1
8408805ffffffff-2017-04,1
8408805ffffffff-2018-11,1
8408805ffffffff-2019-04,1
8408805ffffffff-2019-11,1
8408805ffffffff-2020-02,2
8408805ffffffff-2020-03,1
8408805ffffffff-2020-04,2
8408805ffffffff-2020-10,2
8408805ffffffff-2020-11,1
8408805ffffffff-2020-12,1
8408805ffffffff-2021-01,1
8408805ffffffff-2021-03,1
8408805ffffffff-2021-04,1
8408805ffffffff-2021-09,1
8408805ffffffff-2021-11,3
8408805ffffffff-2022-03,1
8408805ffffffff-2022-09,1
8408807ffffffff-2018-07,1
8408807ffffffff-2021-04,1
8408809ffffffff-2015-04,2
8408809ffffffff-2016-04,2
8408809ffffffff-2017-01,1
8408809ffffffff-2017-03,1
8408809ffffffff-2017-05,1
8408809ffffffff-2018-05,1
8408809ffffffff-2019-02,1
8408809ffffffff-2019-04,2
8408809ffffffff-2019-09,1
8408809ffffffff-2020-04,1
8408809ffffffff-2021-09,2
8408809ffffffff-2022-09,2
8408809ffffffff-2022-10,1
8408809ffffffff-2023-10,1
840880bffffffff-2014-05,1
840880bffffffff-2014-06,1
840880bffffffff-2016-05,1
840880bffffffff-2016-09,1
840880bffffffff-2016-10,1
840880bffffffff-2017-01,1
840880bffffffff-2017-03,1
840880bffffffff-2017-04,2
840880bffffffff-2017-05,2
840880bffffffff-2017-10,1
840880bffffffff-2017-11,1
840880bffffffff-2018-04,1
840880bffffffff-2018-05,1
840880bffffffff-2018-08,2
840880bffffffff-2018-09,2
840880bffffffff-2018-10,1
840880bffffffff-2020-10,1
840880bffffffff-2021-08,1
840880bffffffff-2021-10,1
840880bffffffff-2022-10,1
840880dffffffff-2012-09,1
840880dffffffff-2012-10,1
840880dffffffff-2012-11,2
840880dffffffff-2013-02,1
840880dffffffff-2013-04,2
840880dffffffff-2013-05,1
840880dffffffff-2013-08,1
840880dffffffff-2013-09,4
840880dffffffff-2013-10,4
840880dffffffff-2013-11,1
840880dffffffff-2014-01,2
840880dffffffff-2014-03,4
840880dffffffff-2014-04,5
840880dffffffff-2014-05,5
840880dffffffff-2014-06,3
840880dffffffff-2014-07,2
840880dffffffff-2014-08,1
840880dffffffff-2014-10,5
840880dffffffff-2014-11,8
840880dffffffff-2014-12,2
840880dffffffff-2015-01,3
840880dffffffff-2015-02,3
840880dffffffff-2015-03,2
840880dffffffff-2015-04,5
840880dffffffff-2015-05,6
840880dffffffff-2015-06,1
840880dffffffff-2015-08,2
840880dffffffff-2015-09,4
840880dffffffff-2015-10,5
840880dffffffff-2015-11,4
840880dffffffff-2015-12,5
840880dffffffff-2016-01,1
840880dffffffff-2016-03,1
840880dffffffff-2016-04,6
840880dffffffff-2016-05,7
840880dffffffff-2016-07,1
840880dffffffff-2016-08,1
840880dffffffff-2016-10,1
840880dffffffff-2016-11,3
840880dffffffff-2016-12,15
840880dffffffff-2017-01,2
