index,n
8401265ffffffff-2012-06,1
8401355ffffffff-2018-05,2
840135bffffffff-2018-07,1
840135bffffffff-2022-05,1
84075d1ffffffff-2023-10,3
8407635ffffffff-2015-03,2
8408005ffffffff-2013-11,1
8408005ffffffff-2015-03,1
8408005ffffffff-2020-08,1
8408021ffffffff-2018-04,1
8408021ffffffff-2018-12,1
8408021ffffffff-2022-01,1
8408025ffffffff-2017-04,1
840802dffffffff-2023-09,2
8408039ffffffff-2021-09,1
8408061ffffffff-2023-02,1
8408065ffffffff-2017-11,1
8408065ffffffff-2017-12,1
8408065ffffffff-2018-03,2
8408065ffffffff-2018-09,1
8408065ffffffff-2019-08,1
8408065ffffffff-2020-06,1
8408065ffffffff-2022-08,1
8408065ffffffff-2022-11,1
8408065ffffffff-2023-01,1
8408065ffffffff-2023-02,2
8408065ffffffff-2023-04,2
8408065ffffffff-2023-07,1
8408065ffffffff-2023-08,1
8408065ffffffff-2023-10,1
8408065ffffffff-2023-11,3
8408107ffffffff-2012-06,1
8408107ffffffff-2017-06,2
8408107ffffffff-2019-04,2
8408107ffffffff-2019-05,1
8408107ffffffff-2020-08,2
8408107ffffffff-2023-06,2
840810bffffffff-2023-05,1
840810dffffffff-2021-08,1
840810dffffffff-2022-08,1
840810dffffffff-2023-04,1
8408115ffffffff-2017-06,2
8408123ffffffff-2017-06,1
8408123ffffffff-2023-06,1
8408125ffffffff-2015-06,1
8408125ffffffff-2016-09,1
8408127ffffffff-2022-09,1
840812bffffffff-2017-06,1
840812dffffffff-2022-05,1
8408133ffffffff-2020-05,2
840813bffffffff-2023-06,1
8408141ffffffff-2014-06,1
8408141ffffffff-2021-11,1
840814dffffffff-2020-05,1
840814dffffffff-2020-09,3
840814dffffffff-2022-05,1
8408151ffffffff-2017-08,1
8408151ffffffff-2017-09,1
8408151ffffffff-2018-07,1
8408151ffffffff-2019-04,2
8408151ffffffff-2020-04,2
8408151ffffffff-2020-05,1
8408151ffffffff-2021-01,1
8408151ffffffff-2022-01,2
8408151ffffffff-2022-04,1
8408151ffffffff-2022-08,1
8408151ffffffff-2022-12,2
8408151ffffffff-2023-01,3
8408151ffffffff-2023-09,1
8408153ffffffff-2018-04,1
8408153ffffffff-2018-10,1
8408153ffffffff-2022-05,1
8408153ffffffff-2022-10,1
8408155ffffffff-2023-05,2
8408157ffffffff-2022-05,1
8408159ffffffff-2013-09,1
8408159ffffffff-2014-08,1
8408159ffffffff-2018-02,1
8408159ffffffff-2018-03,2
8408159ffffffff-2019-02,1
8408159ffffffff-2019-11,2
8408159ffffffff-2020-07,1
8408159ffffffff-2020-11,2
8408159ffffffff-2020-12,2
8408159ffffffff-2021-02,1
8408159ffffffff-2021-09,1
8408159ffffffff-2022-02,1
8408159ffffffff-2022-09,3
8408159ffffffff-2023-01,1
8408159ffffffff-2023-03,1
8408159ffffffff-2023-08,3
840815bffffffff-2014-02,1
840815bffffffff-2019-11,2
840815bffffffff-2020-04,2
840815bffffffff-2020-11,1
840815bffffffff-2022-08,2
840815bffffffff-2023-03,1
8408161ffffffff-2023-06,1
8408161ffffffff-2023-08,1
8408165ffffffff-2022-06,2
8408185ffffffff-2023-09,1
8408185ffffffff-2023-10,1
8408193ffffffff-2014-07,1
8408193ffffffff-2021-06,1
8408193ffffffff-2023-07,1
8408197ffffffff-2014-07,1
840819dffffffff-2018-06,2
84081a7ffffffff-2015-08,1
84081cbffffffff-2014-10,1
84081dbffffffff-2023-06,1
84081e1ffffffff-2021-05,2
84081e5ffffffff-2020-05,1
84081e5ffffffff-2020-06,4
84081e5ffffffff-2021-05,2
84081e5ffffffff-2023-06,2
84081e7ffffffff-2023-07,1
84081e9ffffffff-2021-10,1
8408293ffffffff-2021-05,1
8408295ffffffff-2020-04,1
8408295ffffffff-2020-05,1
8408295ffffffff-2020-08,2
8408295ffffffff-2021-03,1
8408295ffffffff-2021-04,1
8408295ffffffff-2021-10,1
8408295ffffffff-2022-03,1
8408295ffffffff-2022-10,1
8408295ffffffff-2023-06,1
8408295ffffffff-2023-08,1
840829bffffffff-2021-04,1
840829bffffffff-2023-01,2
84082a3ffffffff-2023-04,1
84082bbffffffff-2022-09,1
84082d1ffffffff-2019-09,1
84082d1ffffffff-2019-10,2
84082d1ffffffff-2020-04,1
84082d1ffffffff-2020-05,2
84082d1ffffffff-2020-10,3
84082d1ffffffff-2020-11,2
84082d1ffffffff-2021-01,1
84082d1ffffffff-2021-02,1
