index,n
8409a47ffffffff-2020-10,2
840b9a7ffffffff-2018-06,2
840c147ffffffff-2022-10,1
840ca43ffffffff-2016-05,7
840ca43ffffffff-2016-06,27
840ca43ffffffff-2017-05,25
840ca43ffffffff-2017-06,18
840ca43ffffffff-2018-06,50
8414813ffffffff-2017-05,1
8414995ffffffff-2016-04,1
8414aedffffffff-2022-05,1
8415881ffffffff-2023-07,1
841588bffffffff-2023-07,1
8415929ffffffff-2022-05,1
8415929ffffffff-2023-05,1
841598bffffffff-2018-10,1
841598bffffffff-2019-06,7
841599dffffffff-2019-06,1
84159d1ffffffff-2023-06,1
8415b07ffffffff-2020-05,5
8415b07ffffffff-2022-05,2
8416061ffffffff-2019-07,1
8416109ffffffff-2017-06,4
841612dffffffff-2017-06,1
8416149ffffffff-2018-07,1
8416161ffffffff-2017-05,2
8416161ffffffff-2017-06,9
8416161ffffffff-2017-10,1
8416161ffffffff-2019-06,76
8416161ffffffff-2019-07,1
8416161ffffffff-2021-08,1
8416161ffffffff-2022-06,1
8416163ffffffff-2016-05,2
8416163ffffffff-2017-06,6
8416163ffffffff-2018-09,1
8416163ffffffff-2019-05,1
8416163ffffffff-2019-06,1
8416163ffffffff-2021-07,1
8416163ffffffff-2022-08,1
8416165ffffffff-2018-07,2
8416165ffffffff-2019-06,3
8416167ffffffff-2017-06,4
8416167ffffffff-2022-08,1
841616bffffffff-2018-07,2
841616bffffffff-2019-07,1
841616dffffffff-2018-06,1
841616dffffffff-2019-06,1
841616dffffffff-2019-07,1
8416301ffffffff-2018-06,2
8416301ffffffff-2019-06,9
8416303ffffffff-2019-07,1
841630bffffffff-2018-07,1
841630bffffffff-2019-07,1
8416315ffffffff-2019-06,2
8416315ffffffff-2019-07,1
8416507ffffffff-2016-05,8
8416507ffffffff-2017-05,15
8416507ffffffff-2018-05,29
8416539ffffffff-2023-05,1
84165e1ffffffff-2018-06,2
84165e1ffffffff-2023-06,2
8416a59ffffffff-2019-06,1
8417143ffffffff-2019-06,1
841756bffffffff-2019-06,2
841760dffffffff-2019-06,1
84178b1ffffffff-2019-07,1
84178b3ffffffff-2016-09,4
84178b3ffffffff-2018-08,1
84178b3ffffffff-2019-06,1
84192c3ffffffff-2020-10,1
84196ddffffffff-2020-11,2
84225a5ffffffff-2017-05,14
84225a5ffffffff-2023-05,4
8422db7ffffffff-2013-06,2
8422db7ffffffff-2013-10,1
8422db7ffffffff-2014-06,1
8422db7ffffffff-2017-05,9
8422db7ffffffff-2018-05,12
8422db7ffffffff-2018-06,3
8422db7ffffffff-2019-06,65
8422db7ffffffff-2019-10,1
8422db7ffffffff-2023-05,22
8422dbdffffffff-2017-05,4
8422dbdffffffff-2023-05,3
8422dbdffffffff-2023-06,1
8422e9bffffffff-2017-05,9
842405bffffffff-2021-05,2
842405bffffffff-2021-09,1
842405bffffffff-2021-10,2
842405bffffffff-2023-05,1
8424099ffffffff-2021-05,1
84240a9ffffffff-2013-05,1
84240a9ffffffff-2023-04,3
84240a9ffffffff-2023-05,4
84240a9ffffffff-2023-06,4
84240d5ffffffff-2023-05,1
84240e7ffffffff-2023-05,1
8424101ffffffff-2021-06,1
84242adffffffff-2021-05,2
84242d1ffffffff-2019-05,1
842442dffffffff-2022-09,1
8424463ffffffff-2022-05,2
8424467ffffffff-2021-05,3
8424467ffffffff-2021-09,6
