index,n
8458d13ffffffff-2013-11,1
8458d13ffffffff-2017-07,1
8458d33ffffffff-2017-08,1
8458d33ffffffff-2017-11,1
8458d33ffffffff-2017-12,1
8458dcdffffffff-2013-01,2
8458debffffffff-2023-01,1
8458dedffffffff-2014-05,1
8482d03ffffffff-2013-11,3
8482d03ffffffff-2020-01,1
8482d1dffffffff-2013-11,7
8482d1dffffffff-2016-01,2
8482d27ffffffff-2015-09,2
8482d3dffffffff-2012-02,2
8482d3dffffffff-2012-03,3
8482d3dffffffff-2012-12,2
8482d3dffffffff-2013-01,2
8482d3dffffffff-2013-02,2
8482d3dffffffff-2013-03,1
8482d3dffffffff-2014-03,4
8482d3dffffffff-2014-08,1
8482d3dffffffff-2015-03,4
8482d3dffffffff-2015-07,1
8482d3dffffffff-2016-04,2
8482d3dffffffff-2016-06,2
8482d3dffffffff-2016-11,1
8482d3dffffffff-2017-08,1
8482d3dffffffff-2017-12,3
8482d3dffffffff-2018-02,1
8482d3dffffffff-2018-05,1
8482d3dffffffff-2021-12,1
8482d3dffffffff-2023-01,1
8482d3dffffffff-2023-04,1
8482d3dffffffff-2023-05,4
