index,n
8454cc3ffffffff-2019-12,1
8454e91ffffffff-2017-02,1
845894dffffffff-2014-03,1
8458961ffffffff-2018-11,1
84589c9ffffffff-2012-12,1
8458d03ffffffff-2021-07,1
8458d0bffffffff-2021-07,1
8458d0bffffffff-2022-12,1
847501bffffffff-2013-02,1
8475085ffffffff-2013-04,3
8475085ffffffff-2013-12,1
8475085ffffffff-2014-04,1
8475085ffffffff-2018-11,2
8475085ffffffff-2018-12,1
8475085ffffffff-2019-03,1
8475085ffffffff-2019-11,7
8475085ffffffff-2020-02,4
8475085ffffffff-2021-03,1
8475085ffffffff-2021-05,1
8475085ffffffff-2021-10,3
8475085ffffffff-2021-11,2
8475085ffffffff-2021-12,1
8475085ffffffff-2022-03,2
8475085ffffffff-2022-04,3
8475085ffffffff-2022-08,1
8475085ffffffff-2023-02,4
8475085ffffffff-2023-03,12
8475087ffffffff-2012-03,1
8475087ffffffff-2017-09,1
8475087ffffffff-2017-10,1
8475087ffffffff-2018-11,2
8475087ffffffff-2018-12,2
8475087ffffffff-2019-07,1
8475087ffffffff-2019-11,1
8475087ffffffff-2021-10,5
8475087ffffffff-2021-11,2
8475087ffffffff-2022-01,6
8475087ffffffff-2023-11,1
847508bffffffff-2021-10,2
84750c5ffffffff-2021-09,3
84750c5ffffffff-2021-10,3
84750c9ffffffff-2019-02,1
84750d1ffffffff-2012-01,1
84750d1ffffffff-2012-02,1
84750d1ffffffff-2012-03,1
84750d1ffffffff-2012-08,2
84750d1ffffffff-2012-10,1
84750d1ffffffff-2012-11,2
84750d1ffffffff-2013-01,2
84750d1ffffffff-2013-02,7
84750d1ffffffff-2013-03,3
84750d1ffffffff-2013-04,4
84750d1ffffffff-2013-07,2
84750d1ffffffff-2013-10,3
84750d1ffffffff-2013-11,4
84750d1ffffffff-2013-12,14
84750d1ffffffff-2014-01,2
84750d1ffffffff-2014-02,3
84750d1ffffffff-2014-03,6
84750d1ffffffff-2014-04,2
84750d1ffffffff-2014-09,2
84750d1ffffffff-2014-10,1
84750d1ffffffff-2014-12,1
84750d1ffffffff-2015-05,1
84750d1ffffffff-2015-06,4
84750d1ffffffff-2015-10,5
84750d1ffffffff-2015-11,3
84750d1ffffffff-2015-12,8
84750d1ffffffff-2016-01,1
84750d1ffffffff-2016-03,6
84750d1ffffffff-2016-04,1
84750d1ffffffff-2016-11,1
84750d1ffffffff-2016-12,2
84750d1ffffffff-2017-01,3
84750d1ffffffff-2017-02,3
84750d1ffffffff-2017-03,3
84750d1ffffffff-2017-04,3
84750d1ffffffff-2017-08,2
84750d1ffffffff-2017-09,2
84750d1ffffffff-2017-10,3
84750d1ffffffff-2017-11,17
84750d1ffffffff-2017-12,12
84750d1ffffffff-2018-01,1
84750d1ffffffff-2018-02,10
84750d1ffffffff-2018-03,1
84750d1ffffffff-2018-04,11
84750d1ffffffff-2018-08,3
84750d1ffffffff-2018-09,1
84750d1ffffffff-2018-10,2
84750d1ffffffff-2018-11,8
84750d1ffffffff-2018-12,21
84750d1ffffffff-2019-02,1
84750d1ffffffff-2019-03,5
84750d1ffffffff-2019-06,2
84750d1ffffffff-2019-07,1
84750d1ffffffff-2019-10,5
84750d1ffffffff-2019-11,20
84750d1ffffffff-2019-12,6
84750d1ffffffff-2020-01,3
84750d1ffffffff-2020-02,10
84750d1ffffffff-2020-11,1
84750d1ffffffff-2021-03,1
84750d1ffffffff-2021-08,3
84750d1ffffffff-2021-10,16
84750d1ffffffff-2021-11,36
84750d1ffffffff-2021-12,15
84750d1ffffffff-2022-01,8
84750d1ffffffff-2022-02,4
84750d1ffffffff-2022-03,19
84750d1ffffffff-2022-04,20
84750d1ffffffff-2022-05,3
84750d1ffffffff-2022-08,9
84750d1ffffffff-2022-09,1
84750d1ffffffff-2022-10,8
84750d1ffffffff-2022-11,44
84750d1ffffffff-2022-12,8
84750d1ffffffff-2023-01,18
84750d1ffffffff-2023-02,15
84750d1ffffffff-2023-03,32
84750d1ffffffff-2023-04,21
84750d1ffffffff-2023-05,9
84750d1ffffffff-2023-07,2
84750d1ffffffff-2023-08,8
84750d1ffffffff-2023-09,6
84750d1ffffffff-2023-10,30
84750d1ffffffff-2023-11,18
84750d7ffffffff-2015-12,1
84750d7ffffffff-2017-12,1
84750d9ffffffff-2012-03,1
84750d9ffffffff-2012-11,1
84750d9ffffffff-2013-02,2
84750d9ffffffff-2013-03,1
84750d9ffffffff-2013-04,3
