index,n
8495441ffffffff-2016-11,3
8495441ffffffff-2017-08,2
8495441ffffffff-2017-11,3
8495443ffffffff-2016-09,1
8495443ffffffff-2016-11,2
8495449ffffffff-2012-11,1
8495449ffffffff-2016-09,1
8495449ffffffff-2017-09,6
8495449ffffffff-2017-11,30
8495449ffffffff-2019-07,1
8495449ffffffff-2019-08,1
8495449ffffffff-2019-09,2
8495449ffffffff-2022-08,4
8495449ffffffff-2022-09,4
8495449ffffffff-2022-11,11
8495449ffffffff-2023-07,2
8495449ffffffff-2023-10,4
8495449ffffffff-2023-11,8
849544bffffffff-2014-12,3
849544bffffffff-2016-03,1
849544bffffffff-2016-09,3
849544bffffffff-2016-11,3
849544bffffffff-2017-05,1
849544bffffffff-2017-09,8
849544bffffffff-2017-11,46
849544bffffffff-2019-07,8
849544bffffffff-2019-08,8
849544bffffffff-2019-09,4
849544bffffffff-2019-10,2
849544bffffffff-2022-05,1
849544bffffffff-2022-09,3
849544bffffffff-2022-10,1
849544bffffffff-2022-11,25
849544bffffffff-2022-12,8
849544bffffffff-2023-07,4
849544bffffffff-2023-10,24
849544bffffffff-2023-11,31
