index,n
848c101ffffffff-2012-03,2
848c101ffffffff-2012-04,1
848c101ffffffff-2012-06,2
848c101ffffffff-2013-02,4
848c101ffffffff-2013-05,5
848c101ffffffff-2013-06,2
848c101ffffffff-2013-09,6
848c101ffffffff-2013-11,3
848c101ffffffff-2014-05,1
848c101ffffffff-2014-07,3
848c101ffffffff-2014-08,2
848c101ffffffff-2014-09,4
848c101ffffffff-2014-10,3
848c101ffffffff-2015-02,3
848c101ffffffff-2015-03,6
848c101ffffffff-2015-04,6
848c101ffffffff-2015-05,13
848c101ffffffff-2015-07,7
848c101ffffffff-2015-08,1
848c101ffffffff-2015-10,1
848c101ffffffff-2015-11,3
848c101ffffffff-2015-12,9
848c101ffffffff-2016-05,1
848c101ffffffff-2016-08,1
848c101ffffffff-2016-09,6
848c101ffffffff-2016-10,1
848c101ffffffff-2016-11,1
848c101ffffffff-2016-12,1
848c101ffffffff-2017-03,3
848c101ffffffff-2017-04,1
848c101ffffffff-2017-05,4
848c101ffffffff-2017-06,11
848c101ffffffff-2017-07,8
848c101ffffffff-2017-08,4
848c101ffffffff-2017-09,4
848c101ffffffff-2017-10,5
848c101ffffffff-2017-11,5
848c101ffffffff-2017-12,2
848c101ffffffff-2018-01,3
848c101ffffffff-2018-02,23
848c101ffffffff-2018-03,17
848c101ffffffff-2018-04,1
848c101ffffffff-2018-05,7
848c101ffffffff-2018-06,1
848c101ffffffff-2018-07,17
848c101ffffffff-2018-08,4
848c101ffffffff-2018-09,2
848c101ffffffff-2018-10,3
848c101ffffffff-2018-11,2
848c101ffffffff-2018-12,3
848c101ffffffff-2019-01,8
848c101ffffffff-2019-02,3
848c101ffffffff-2019-03,1
848c101ffffffff-2019-04,12
848c101ffffffff-2019-05,2
848c101ffffffff-2019-06,27
848c101ffffffff-2019-07,26
848c101ffffffff-2019-08,36
848c101ffffffff-2019-09,18
848c101ffffffff-2019-10,8
848c101ffffffff-2019-11,7
848c101ffffffff-2019-12,1
848c101ffffffff-2020-01,1
848c101ffffffff-2020-02,2
848c101ffffffff-2020-03,6
848c101ffffffff-2020-08,4
848c101ffffffff-2020-09,2
848c101ffffffff-2020-10,4
848c101ffffffff-2020-11,1
848c101ffffffff-2021-03,6
848c101ffffffff-2021-04,1
848c101ffffffff-2021-09,2
848c101ffffffff-2021-10,1
848c101ffffffff-2021-12,5
848c101ffffffff-2022-02,1
848c101ffffffff-2022-03,5
848c101ffffffff-2022-04,3
848c101ffffffff-2022-05,1
848c101ffffffff-2022-06,1
848c101ffffffff-2022-07,6
848c101ffffffff-2022-08,9
848c101ffffffff-2022-09,11
848c101ffffffff-2022-10,18
848c101ffffffff-2022-11,1
848c101ffffffff-2023-01,14
848c101ffffffff-2023-02,3
848c101ffffffff-2023-03,2
848c101ffffffff-2023-04,7
848c101ffffffff-2023-06,27
848c101ffffffff-2023-07,9
848c101ffffffff-2023-08,9
848c101ffffffff-2023-09,43
848c101ffffffff-2023-10,4
848c101ffffffff-2023-11,1
848c103ffffffff-2014-06,1
848c103ffffffff-2014-08,4
848c103ffffffff-2014-10,6
848c103ffffffff-2015-02,1
848c103ffffffff-2015-04,4
848c103ffffffff-2015-05,6
848c103ffffffff-2016-08,1
848c103ffffffff-2017-07,2
848c103ffffffff-2017-08,6
848c103ffffffff-2017-09,3
848c103ffffffff-2017-10,1
848c103ffffffff-2017-11,6
848c103ffffffff-2018-03,3
848c103ffffffff-2018-04,7
848c103ffffffff-2018-09,1
848c103ffffffff-2019-01,3
848c103ffffffff-2019-02,3
848c103ffffffff-2019-03,1
848c103ffffffff-2019-07,30
848c103ffffffff-2019-08,12
848c103ffffffff-2019-09,5
848c103ffffffff-2019-10,11
848c103ffffffff-2020-01,4
848c103ffffffff-2022-07,5
848c103ffffffff-2022-08,2
848c103ffffffff-2022-09,4
848c103ffffffff-2023-01,6
848c103ffffffff-2023-06,12
848c103ffffffff-2023-07,11
848c103ffffffff-2023-08,5
848c103ffffffff-2023-09,15
848c109ffffffff-2020-07,2
848c109ffffffff-2022-11,1
848c109ffffffff-2023-02,1
848c10dffffffff-2023-01,1
848c13bffffffff-2021-05,1
848c13bffffffff-2021-08,1
848c141ffffffff-2019-09,1
848c145ffffffff-2018-11,1
848c147ffffffff-2018-10,1
848c147ffffffff-2019-02,1
848c147ffffffff-2019-03,1
848c147ffffffff-2019-04,2
848c147ffffffff-2019-05,2
848c147ffffffff-2019-07,1
848c147ffffffff-2019-08,2
848c147ffffffff-2019-09,1
848c147ffffffff-2019-11,3
848c147ffffffff-2019-12,1
848c147ffffffff-2020-01,1
848c147ffffffff-2020-02,2
848c147ffffffff-2020-03,2
848c147ffffffff-2020-06,1
848c147ffffffff-2020-07,3
848c147ffffffff-2020-08,1
848c147ffffffff-2020-09,2
848c147ffffffff-2020-10,3
848c147ffffffff-2020-11,4
848c147ffffffff-2020-12,1
848c147ffffffff-2021-01,2
848c147ffffffff-2021-02,2
848c147ffffffff-2021-03,4
848c147ffffffff-2021-04,4
848c147ffffffff-2021-05,4
848c147ffffffff-2021-08,4
848c147ffffffff-2021-09,2
848c147ffffffff-2021-10,4
848c147ffffffff-2021-11,3
848c147ffffffff-2021-12,1
848c147ffffffff-2022-01,1
848c147ffffffff-2022-02,1
848c147ffffffff-2022-06,2
848c147ffffffff-2022-07,2
848c147ffffffff-2022-08,5
848c147ffffffff-2022-09,2
848c147ffffffff-2022-10,1
848c147ffffffff-2022-11,2
848c147ffffffff-2023-01,3
848c147ffffffff-2023-02,2
848c147ffffffff-2023-03,1
848c147ffffffff-2023-04,7
848c147ffffffff-2023-05,5
848c147ffffffff-2023-06,5
848c147ffffffff-2023-07,9
848c147ffffffff-2023-08,3
848c147ffffffff-2023-09,8
848c147ffffffff-2023-10,3
848c147ffffffff-2023-11,2
848c163ffffffff-2018-03,1
848c16bffffffff-2018-09,1
848c16bffffffff-2018-10,1
848d81bffffffff-2019-10,2
848d81bffffffff-2022-05,3
848d81bffffffff-2022-07,1
848d81bffffffff-2022-09,1
848d81bffffffff-2023-06,6
848d84bffffffff-2018-10,1
848d84bffffffff-2021-03,1
848d84bffffffff-2021-06,1
848d84bffffffff-2023-06,1
848d851ffffffff-2023-04,1
848d851ffffffff-2023-07,1
848d853ffffffff-2017-10,1
848d855ffffffff-2012-10,1
848d855ffffffff-2016-05,1
848d855ffffffff-2017-08,2
848d855ffffffff-2017-09,3
848d855ffffffff-2017-10,1
848d855ffffffff-2018-03,2
848d855ffffffff-2018-04,1
848d855ffffffff-2018-12,1
848d855ffffffff-2019-01,2
848d855ffffffff-2019-02,1
848d855ffffffff-2019-05,2
848d855ffffffff-2019-06,1
848d855ffffffff-2019-08,1
848d855ffffffff-2019-09,1
848d855ffffffff-2020-01,4
848d855ffffffff-2020-05,2
848d855ffffffff-2020-08,1
848d855ffffffff-2020-09,1
848d855ffffffff-2020-10,1
848d855ffffffff-2021-01,1
848d855ffffffff-2022-03,1
848d855ffffffff-2022-07,1
848d855ffffffff-2022-10,1
848d855ffffffff-2023-04,1
848d85bffffffff-2012-05,1
848d85dffffffff-2016-12,1
848d85dffffffff-2019-09,1
848d85dffffffff-2023-06,1
848d889ffffffff-2020-12,1
848d889ffffffff-2021-05,1
848d889ffffffff-2022-01,1
848d889ffffffff-2022-02,1
848d889ffffffff-2022-11,1
848d889ffffffff-2023-02,1
848d889ffffffff-2023-06,3
848d889ffffffff-2023-07,1
848d889ffffffff-2023-08,4
848d889ffffffff-2023-09,1
848d889ffffffff-2023-11,3
848d88bffffffff-2022-02,1
848d891ffffffff-2020-05,1
848d891ffffffff-2020-11,1
848d891ffffffff-2022-05,1
848d891ffffffff-2022-09,1
848d891ffffffff-2023-01,2
848d891ffffffff-2023-03,2
848d893ffffffff-2017-08,1
848d893ffffffff-2018-06,1
848d893ffffffff-2021-03,1
848d893ffffffff-2021-11,1
848d893ffffffff-2022-12,1
848d893ffffffff-2023-02,1
848d893ffffffff-2023-05,2
848d893ffffffff-2023-06,5
848d893ffffffff-2023-09,3
848d897ffffffff-2019-10,1
848d897ffffffff-2023-07,1
848d897ffffffff-2023-08,1
848d8c1ffffffff-2012-11,1
848d8c1ffffffff-2014-11,3
848d8c1ffffffff-2015-04,4
848d8c1ffffffff-2015-07,1
848d8c1ffffffff-2016-02,1
848d8c1ffffffff-2016-09,1
848d8c1ffffffff-2017-03,1
848d8c1ffffffff-2017-04,3
848d8c1ffffffff-2017-07,1
848d8c1ffffffff-2017-08,4
848d8c1ffffffff-2017-11,2
848d8c1ffffffff-2018-04,2
848d8c1ffffffff-2018-08,1
848d8c1ffffffff-2019-06,1
848d8c1ffffffff-2021-04,2
848d8c1ffffffff-2021-05,2
848d8c1ffffffff-2021-07,1
848d8c1ffffffff-2022-05,1
848d8c1ffffffff-2022-06,1
848d8c1ffffffff-2022-07,2
848d8c1ffffffff-2022-09,1
848d8c1ffffffff-2023-06,1
848d8c1ffffffff-2023-07,1
848d8c7ffffffff-2015-07,2
848d8c7ffffffff-2017-11,1
848d8c7ffffffff-2023-06,2
848d8d7ffffffff-2021-05,1
848da25ffffffff-2013-08,2
848da25ffffffff-2013-10,5
848da25ffffffff-2014-06,1
848da25ffffffff-2014-08,1
848da25ffffffff-2015-09,1
848da25ffffffff-2017-06,4
848da25ffffffff-2017-08,2
848da25ffffffff-2017-09,6
848da25ffffffff-2018-04,2
848da25ffffffff-2018-09,2
848da25ffffffff-2018-12,1
848da25ffffffff-2019-02,3
848da25ffffffff-2019-04,1
848da25ffffffff-2019-05,9
848da25ffffffff-2019-06,1
848da25ffffffff-2019-07,14
848da25ffffffff-2019-08,10
848da25ffffffff-2019-09,1
848da25ffffffff-2019-10,4
848da25ffffffff-2019-11,1
848da25ffffffff-2019-12,2
848da25ffffffff-2020-01,3
848da25ffffffff-2022-03,4
848da25ffffffff-2022-04,3
848da25ffffffff-2022-05,2
848da25ffffffff-2022-06,12
848da25ffffffff-2022-08,8
848da25ffffffff-2022-09,8
848da25ffffffff-2022-10,4
848da25ffffffff-2022-11,5
848da25ffffffff-2022-12,9
848da25ffffffff-2023-03,1
848da25ffffffff-2023-04,7
848da25ffffffff-2023-05,4
848da25ffffffff-2023-06,3
848da25ffffffff-2023-07,1
848da25ffffffff-2023-08,9
848da25ffffffff-2023-09,6
848da25ffffffff-2023-10,5
848da25ffffffff-2023-11,1
848da2dffffffff-2013-10,2
848da2dffffffff-2015-09,1
848da2dffffffff-2018-09,1
848da2dffffffff-2023-04,1
848da33ffffffff-2023-10,3
848da35ffffffff-2017-10,1
848da37ffffffff-2022-10,1
848da67ffffffff-2018-07,1
848da67ffffffff-2019-08,1
848da67ffffffff-2020-01,2
848da67ffffffff-2022-03,2
848db53ffffffff-2013-08,1
848db53ffffffff-2016-09,1
848db53ffffffff-2022-04,1
848db53ffffffff-2023-04,1
848db59ffffffff-2012-05,1
848db59ffffffff-2012-07,2
848db59ffffffff-2012-09,1
848db59ffffffff-2012-10,4
848db59ffffffff-2012-11,2
848db59ffffffff-2013-05,5
848db59ffffffff-2013-08,2
848db59ffffffff-2013-09,1
848db59ffffffff-2014-02,1
848db59ffffffff-2014-04,2
848db59ffffffff-2014-05,1
848db59ffffffff-2014-07,1
848db59ffffffff-2014-08,1
848db59ffffffff-2014-09,7
848db59ffffffff-2014-10,2
848db59ffffffff-2015-04,3
848db59ffffffff-2015-07,1
848db59ffffffff-2015-08,3
848db59ffffffff-2015-09,7
848db59ffffffff-2015-11,1
848db59ffffffff-2016-01,1
848db59ffffffff-2016-03,1
848db59ffffffff-2016-04,1
848db59ffffffff-2016-05,3
848db59ffffffff-2016-06,2
848db59ffffffff-2016-07,1
848db59ffffffff-2016-09,10
848db59ffffffff-2016-10,4
848db59ffffffff-2016-11,3
848db59ffffffff-2016-12,1
848db59ffffffff-2017-02,1
848db59ffffffff-2017-03,7
848db59ffffffff-2017-04,11
848db59ffffffff-2017-05,1
848db59ffffffff-2017-06,6
848db59ffffffff-2017-07,2
848db59ffffffff-2017-08,8
848db59ffffffff-2017-09,13
848db59ffffffff-2017-10,1
848db59ffffffff-2017-11,6
848db59ffffffff-2017-12,2
848db59ffffffff-2018-01,4
848db59ffffffff-2018-02,1
848db59ffffffff-2018-03,5
848db59ffffffff-2018-04,6
848db59ffffffff-2018-05,14
848db59ffffffff-2018-06,13
848db59ffffffff-2018-07,5
848db59ffffffff-2018-08,25
848db59ffffffff-2018-09,18
848db59ffffffff-2018-10,7
848db59ffffffff-2018-12,2
848db59ffffffff-2019-02,8
848db59ffffffff-2019-03,1
848db59ffffffff-2019-04,1
848db59ffffffff-2019-05,2
848db59ffffffff-2019-06,5
848db59ffffffff-2019-07,7
848db59ffffffff-2019-08,10
848db59ffffffff-2019-09,4
848db59ffffffff-2019-10,14
848db59ffffffff-2019-11,12
848db59ffffffff-2019-12,2
848db59ffffffff-2020-01,1
848db59ffffffff-2020-02,2
848db59ffffffff-2020-10,1
848db59ffffffff-2021-03,4
848db59ffffffff-2021-12,2
848db59ffffffff-2022-01,10
848db59ffffffff-2022-02,9
848db59ffffffff-2022-03,5
