index,n
849421bffffffff-2012-08,1
849421bffffffff-2017-06,2
849421bffffffff-2017-07,2
849421bffffffff-2022-07,7
849421bffffffff-2022-10,4
849421bffffffff-2022-11,2
849421bffffffff-2023-07,2
849421bffffffff-2023-08,3
849421bffffffff-2023-11,2
849426dffffffff-2012-07,1
849426dffffffff-2013-08,1
849426dffffffff-2017-04,1
8495185ffffffff-2015-07,1
8495185ffffffff-2015-09,1
8495185ffffffff-2016-05,1
8495185ffffffff-2016-08,3
8495185ffffffff-2017-07,1
8495185ffffffff-2017-08,3
8495185ffffffff-2018-07,1
8495185ffffffff-2018-09,1
8495185ffffffff-2018-12,1
8495185ffffffff-2019-08,1
8495185ffffffff-2019-12,1
8495185ffffffff-2022-04,1
8495185ffffffff-2023-08,5
8495185ffffffff-2023-11,1
8495197ffffffff-2018-10,1
84951a9ffffffff-2019-08,1
84951a9ffffffff-2023-10,1
84951abffffffff-2014-08,2
84951abffffffff-2015-07,1
84951abffffffff-2015-08,1
84951abffffffff-2016-08,4
84951abffffffff-2017-08,3
84951abffffffff-2018-03,2
84951abffffffff-2018-04,2
84951abffffffff-2018-06,2
84951abffffffff-2018-09,1
84951abffffffff-2018-10,4
84951abffffffff-2018-11,1
84951abffffffff-2019-02,1
84951abffffffff-2019-09,5
84951abffffffff-2019-11,1
84951abffffffff-2022-08,4
84951abffffffff-2023-08,6
84951abffffffff-2023-09,2
84951bdffffffff-2018-09,1
84951e3ffffffff-2014-09,2
84951e3ffffffff-2018-06,4
84951e3ffffffff-2018-10,1
84951e3ffffffff-2018-11,4
84951e3ffffffff-2019-05,2
84951e3ffffffff-2019-07,1
84951e3ffffffff-2019-08,3
84951e3ffffffff-2019-09,5
84951e3ffffffff-2020-08,1
84951e3ffffffff-2022-09,5
84951e3ffffffff-2023-03,6
84951e3ffffffff-2023-05,2
84951e3ffffffff-2023-08,6
84951e3ffffffff-2023-10,1
84951e5ffffffff-2018-06,1
84951e5ffffffff-2018-12,2
84951e5ffffffff-2019-08,1
84951e7ffffffff-2023-06,1
8495a57ffffffff-2017-04,1
8495a59ffffffff-2015-09,1
8495a59ffffffff-2023-08,1
8495a5dffffffff-2019-03,1
