index,n
84b2c85ffffffff-2023-04,1
84b2c87ffffffff-2012-04,1
84b2ca1ffffffff-2017-01,1
84b2ca9ffffffff-2018-04,1
84b2ca9ffffffff-2018-11,2
84b2ca9ffffffff-2022-05,2
84b2ce3ffffffff-2022-10,3
84b2ce3ffffffff-2023-05,4
84b2d97ffffffff-2023-10,4
84c228bffffffff-2022-08,4
84c228bffffffff-2022-09,2
84c308bffffffff-2017-05,1
84c3205ffffffff-2017-10,1
84c3207ffffffff-2019-02,1
84c3209ffffffff-2018-10,6
84c320dffffffff-2015-07,1
84c320dffffffff-2016-02,6
84c320dffffffff-2017-11,1
84c320dffffffff-2018-03,1
84c320dffffffff-2018-10,8
84c320dffffffff-2018-12,2
84c320dffffffff-2019-02,1
84c320dffffffff-2019-03,1
84c320dffffffff-2022-02,1
84c320dffffffff-2023-01,2
84c320dffffffff-2023-06,1
84c320dffffffff-2023-08,1
84c320dffffffff-2023-10,1
84c3215ffffffff-2022-09,2
84c3217ffffffff-2016-01,1
84c3217ffffffff-2023-07,1
84c3219ffffffff-2016-10,1
84c3219ffffffff-2018-11,1
84c3219ffffffff-2019-01,3
84c3219ffffffff-2019-10,1
84c3219ffffffff-2022-09,2
84c3239ffffffff-2016-01,2
84c3239ffffffff-2016-02,1
84c3239ffffffff-2019-01,1
84c3239ffffffff-2021-01,1
84c3239ffffffff-2023-01,1
84c3239ffffffff-2023-03,1
84c323bffffffff-2017-05,1
84c323bffffffff-2019-06,2
84c323bffffffff-2022-10,1
84c3241ffffffff-2012-10,1
84c3241ffffffff-2017-02,1
84c3241ffffffff-2017-03,1
84c3241ffffffff-2022-01,2
84c3241ffffffff-2022-02,3
84c3241ffffffff-2022-03,3
84c3241ffffffff-2022-04,1
84c3241ffffffff-2023-01,6
84c3247ffffffff-2022-02,1
84c3247ffffffff-2022-03,1
84c326bffffffff-2021-11,2
84c3283ffffffff-2013-09,1
84c3297ffffffff-2018-03,1
84c32a5ffffffff-2017-10,2
84c32a5ffffffff-2022-01,6
84c32a5ffffffff-2022-04,1
84c32a5ffffffff-2022-09,17
84c32a5ffffffff-2022-10,6
84c32a5ffffffff-2022-11,1
84c32a7ffffffff-2022-04,1
84c32a9ffffffff-2016-01,2
84c32a9ffffffff-2019-01,2
84c32a9ffffffff-2021-01,1
84c32a9ffffffff-2023-03,5
84c32adffffffff-2014-10,1
84c32adffffffff-2022-09,2
84c32adffffffff-2022-11,1
84c32b9ffffffff-2022-05,1
84c32b9ffffffff-2022-10,1
84c32bbffffffff-2016-08,1
84c32bbffffffff-2018-10,1
84c32bbffffffff-2023-01,1
84c32bbffffffff-2023-03,1
84c32dbffffffff-2021-11,1
84c32e1ffffffff-2018-11,3
84c32e1ffffffff-2019-11,1
84c32e1ffffffff-2020-10,1
84c32e3ffffffff-2016-11,1
84c32edffffffff-2014-11,1
84c32edffffffff-2018-08,1
84c32edffffffff-2023-11,1
84c3569ffffffff-2019-02,1
84c356dffffffff-2018-11,1
84c364dffffffff-2016-04,1
84c364dffffffff-2020-07,1
84c3759ffffffff-2015-08,1
84c376dffffffff-2018-01,1
84c376dffffffff-2018-10,4
84ce121ffffffff-2018-12,1
84ce127ffffffff-2019-01,1
84ce165ffffffff-2020-03,1
84ce169ffffffff-2022-11,1
84ce16dffffffff-2023-01,1
84ce16dffffffff-2023-03,2
84ce16dffffffff-2023-04,5
84ce16dffffffff-2023-07,7
84ce16dffffffff-2023-08,1
84ce325ffffffff-2021-09,1
84ce32dffffffff-2013-04,1
84ce32dffffffff-2022-03,2
84ce32dffffffff-2022-11,1
84ce801ffffffff-2021-07,1
84ce801ffffffff-2021-09,1
84ce801ffffffff-2022-04,2
84ce803ffffffff-2019-01,1
84ce803ffffffff-2019-04,1
84ce803ffffffff-2019-10,2
84ce803ffffffff-2021-01,1
84ce803ffffffff-2021-10,4
84ce803ffffffff-2022-11,1
84ce803ffffffff-2023-01,1
84ce803ffffffff-2023-02,1
84ce803ffffffff-2023-04,1
84ce803ffffffff-2023-05,1
84ce807ffffffff-2016-01,1
84ce807ffffffff-2020-01,1
84ce809ffffffff-2019-08,1
84ce809ffffffff-2020-07,1
84ce809ffffffff-2022-09,2
84ce80bffffffff-2013-10,4
84ce80bffffffff-2014-03,1
84ce80bffffffff-2014-11,1
84ce80bffffffff-2014-12,1
84ce80bffffffff-2015-01,3
84ce80bffffffff-2015-03,1
84ce80bffffffff-2015-06,1
84ce80bffffffff-2015-08,1
84ce80bffffffff-2015-11,1
84ce80bffffffff-2016-06,1
84ce80bffffffff-2016-10,1
84ce80bffffffff-2016-11,1
84ce80bffffffff-2016-12,4
84ce80bffffffff-2017-01,2
84ce80bffffffff-2017-02,1
84ce80bffffffff-2017-03,1
84ce80bffffffff-2017-09,1
84ce80bffffffff-2017-10,1
84ce80bffffffff-2017-11,1
84ce80bffffffff-2018-01,1
84ce80bffffffff-2018-04,1
84ce80bffffffff-2018-05,4
84ce80bffffffff-2018-06,3
84ce80bffffffff-2018-07,1
84ce80bffffffff-2018-08,1
84ce80bffffffff-2018-10,3
84ce80bffffffff-2018-11,2
84ce80bffffffff-2018-12,1
84ce80bffffffff-2019-01,7
84ce80bffffffff-2019-04,1
84ce80bffffffff-2019-05,2
84ce80bffffffff-2019-08,4
84ce80bffffffff-2019-10,6
84ce80bffffffff-2019-11,5
84ce80bffffffff-2019-12,11
84ce80bffffffff-2020-01,5
84ce80bffffffff-2020-02,10
84ce80bffffffff-2020-04,2
84ce80bffffffff-2020-05,8
84ce80bffffffff-2020-06,17
84ce80bffffffff-2020-07,27
84ce80bffffffff-2020-08,32
84ce80bffffffff-2020-09,17
84ce80bffffffff-2020-10,19
84ce80bffffffff-2020-11,8
84ce80bffffffff-2020-12,5
84ce80bffffffff-2021-01,5
84ce80bffffffff-2021-02,1
84ce80bffffffff-2021-03,3
84ce80bffffffff-2021-04,8
84ce80bffffffff-2021-05,19
84ce80bffffffff-2021-06,13
84ce80bffffffff-2021-07,19
84ce80bffffffff-2021-08,26
84ce80bffffffff-2021-09,19
84ce80bffffffff-2021-10,29
84ce80bffffffff-2021-11,4
84ce80bffffffff-2021-12,17
84ce80bffffffff-2022-01,2
84ce80bffffffff-2022-02,5
84ce80bffffffff-2022-03,13
84ce80bffffffff-2022-04,7
84ce80bffffffff-2022-05,27
84ce80bffffffff-2022-06,15
84ce80bffffffff-2022-07,13
84ce80bffffffff-2022-08,14
84ce80bffffffff-2022-09,8
84ce80bffffffff-2022-10,34
84ce80bffffffff-2022-11,16
84ce80bffffffff-2022-12,5
84ce80bffffffff-2023-01,7
84ce80bffffffff-2023-02,2
84ce80bffffffff-2023-03,6
84ce80bffffffff-2023-04,6
84ce80bffffffff-2023-05,31
84ce80bffffffff-2023-06,7
84ce80bffffffff-2023-07,9
84ce80bffffffff-2023-08,19
84ce80bffffffff-2023-09,9
84ce80bffffffff-2023-10,22
84ce80bffffffff-2023-11,8
84ce80dffffffff-2023-10,5
84ce811ffffffff-2016-10,3
84ce811ffffffff-2019-05,1
84ce811ffffffff-2020-01,1
84ce811ffffffff-2021-02,1
84ce811ffffffff-2021-03,1
84ce811ffffffff-2021-09,1
84ce811ffffffff-2021-10,1
84ce811ffffffff-2022-02,2
84ce811ffffffff-2022-12,2
84ce811ffffffff-2023-02,1
84ce813ffffffff-2014-09,1
84ce813ffffffff-2015-04,2
84ce813ffffffff-2015-05,1
84ce813ffffffff-2015-12,1
84ce813ffffffff-2017-02,1
84ce813ffffffff-2018-03,1
84ce813ffffffff-2019-07,2
84ce813ffffffff-2019-09,4
84ce813ffffffff-2019-12,3
84ce813ffffffff-2020-06,2
84ce813ffffffff-2020-07,2
84ce813ffffffff-2020-08,3
84ce813ffffffff-2020-09,4
84ce813ffffffff-2020-10,1
84ce813ffffffff-2020-11,2
