index,n
8481005ffffffff-2018-02,2
8481005ffffffff-2022-11,1
8481029ffffffff-2014-01,2
8481029ffffffff-2015-01,1
8481029ffffffff-2017-11,3
8481029ffffffff-2020-07,2
8481029ffffffff-2020-11,1
8481029ffffffff-2023-03,4
8481029ffffffff-2023-09,4
8481029ffffffff-2023-10,19
8481049ffffffff-2014-01,3
8481063ffffffff-2022-03,1
8481069ffffffff-2023-01,2
8481245ffffffff-2018-05,2
8481245ffffffff-2019-05,1
8481245ffffffff-2021-09,4
8481245ffffffff-2022-12,1
848124dffffffff-2018-02,5
848124dffffffff-2018-03,4
848124dffffffff-2018-04,7
848124dffffffff-2018-05,2
848124dffffffff-2018-11,3
848124dffffffff-2019-02,2
848124dffffffff-2019-05,3
848124dffffffff-2019-06,1
848124dffffffff-2019-09,4
848124dffffffff-2020-03,1
848124dffffffff-2020-08,2
848124dffffffff-2020-09,1
848124dffffffff-2020-11,1
848124dffffffff-2021-01,1
848124dffffffff-2021-08,1
848124dffffffff-2021-09,2
848124dffffffff-2022-08,2
848124dffffffff-2022-09,3
848124dffffffff-2022-10,1
848124dffffffff-2022-11,2
848124dffffffff-2023-01,5
848124dffffffff-2023-04,1
848124dffffffff-2023-05,1
848124dffffffff-2023-06,1
848124dffffffff-2023-07,1
848124dffffffff-2023-08,2
848124dffffffff-2023-09,3
848124dffffffff-2023-10,3
848126bffffffff-2022-03,1
8481303ffffffff-2016-04,3
8481303ffffffff-2017-05,3
8481303ffffffff-2017-09,2
8481303ffffffff-2017-10,1
8481303ffffffff-2019-10,1
8481303ffffffff-2022-10,2
8481303ffffffff-2023-03,1
8481303ffffffff-2023-11,1
8481307ffffffff-2019-05,1
8481307ffffffff-2020-04,1
8481307ffffffff-2020-08,1
8481307ffffffff-2020-09,1
8481307ffffffff-2022-03,3
8481307ffffffff-2022-09,5
8481307ffffffff-2022-10,2
8481327ffffffff-2017-10,1
8481329ffffffff-2023-01,1
8481331ffffffff-2018-11,1
8481339ffffffff-2014-10,1
8481339ffffffff-2015-09,1
8481339ffffffff-2015-12,5
8481339ffffffff-2016-04,5
8481339ffffffff-2017-05,2
8481339ffffffff-2017-06,2
8481339ffffffff-2017-09,2
8481339ffffffff-2017-10,1
8481339ffffffff-2017-12,1
8481339ffffffff-2018-03,1
8481339ffffffff-2018-04,2
8481339ffffffff-2019-02,2
8481339ffffffff-2019-10,5
8481339ffffffff-2019-11,1
8481339ffffffff-2020-05,1
