index,n
8466105ffffffff-2013-07,1
8466105ffffffff-2014-08,1
8466105ffffffff-2019-07,1
8466107ffffffff-2014-04,1
8466107ffffffff-2014-10,2
8466107ffffffff-2015-01,2
8466107ffffffff-2019-03,1
8466107ffffffff-2019-06,1
8466107ffffffff-2021-10,4
8466107ffffffff-2023-03,1
8466107ffffffff-2023-08,2
8466107ffffffff-2023-11,1
8466121ffffffff-2018-05,1
8466121ffffffff-2019-01,2
8466121ffffffff-2019-03,3
8466121ffffffff-2019-09,1
8466121ffffffff-2022-05,2
8466123ffffffff-2015-05,1
8466123ffffffff-2021-03,3
8466123ffffffff-2021-11,2
8466125ffffffff-2013-10,4
8466125ffffffff-2020-11,6
8466125ffffffff-2022-05,2
8466129ffffffff-2016-06,3
8466129ffffffff-2022-03,2
846612bffffffff-2012-10,1
846612bffffffff-2017-07,1
846612bffffffff-2018-09,1
846612bffffffff-2022-09,2
846612dffffffff-2013-03,1
846612dffffffff-2013-10,8
846612dffffffff-2014-01,1
846612dffffffff-2014-08,1
846612dffffffff-2015-05,2
846612dffffffff-2015-11,1
846612dffffffff-2016-12,3
846612dffffffff-2018-05,1
846612dffffffff-2019-02,1
846612dffffffff-2019-08,3
846612dffffffff-2019-11,24
846612dffffffff-2020-01,1
846612dffffffff-2022-02,3
846612dffffffff-2022-04,1
846612dffffffff-2022-09,1
846612dffffffff-2023-03,1
846612dffffffff-2023-05,7
846612dffffffff-2023-07,1
8466135ffffffff-2021-05,2
8466135ffffffff-2023-02,5
8466139ffffffff-2016-02,1
8466139ffffffff-2017-09,1
8466139ffffffff-2017-11,2
8466139ffffffff-2018-03,1
846613dffffffff-2016-10,4
846613dffffffff-2018-12,1
846613dffffffff-2019-02,4
8466163ffffffff-2015-02,1
8466163ffffffff-2016-02,2
8466163ffffffff-2017-03,3
8466163ffffffff-2018-03,2
8466163ffffffff-2019-04,1
8466163ffffffff-2021-05,2
8466163ffffffff-2022-02,6
8466163ffffffff-2022-09,2
8466163ffffffff-2023-02,1
8466163ffffffff-2023-07,5
8466165ffffffff-2014-03,1
8466165ffffffff-2015-05,2
8466165ffffffff-2015-09,1
8466165ffffffff-2016-06,1
8466165ffffffff-2017-02,1
8466165ffffffff-2017-04,1
8466165ffffffff-2017-07,1
8466165ffffffff-2018-01,2
8466165ffffffff-2018-06,1
8466165ffffffff-2018-07,1
8466165ffffffff-2019-01,1
8466165ffffffff-2019-04,1
8466165ffffffff-2019-05,9
8466165ffffffff-2019-06,2
8466165ffffffff-2019-07,1
8466165ffffffff-2019-08,3
8466165ffffffff-2019-10,2
8466165ffffffff-2020-01,13
8466165ffffffff-2020-05,1
8466165ffffffff-2021-04,1
8466165ffffffff-2021-05,2
8466165ffffffff-2021-06,3
8466165ffffffff-2022-10,7
8466165ffffffff-2022-12,2
8466165ffffffff-2023-01,2
8466165ffffffff-2023-04,3
8466165ffffffff-2023-05,2
8466165ffffffff-2023-06,19
8466165ffffffff-2023-07,10
8466167ffffffff-2014-03,1
8466167ffffffff-2016-12,1
8466167ffffffff-2019-07,1
8466167ffffffff-2021-10,1
8466167ffffffff-2021-11,6
8466167ffffffff-2022-03,7
8466167ffffffff-2022-07,4
8466167ffffffff-2022-10,12
8466167ffffffff-2022-11,3
8466167ffffffff-2023-01,8
8466167ffffffff-2023-02,2
8466167ffffffff-2023-06,4
8466841ffffffff-2019-01,1
8466841ffffffff-2019-03,1
8466841ffffffff-2019-07,1
8466841ffffffff-2020-02,2
8466841ffffffff-2022-07,1
8466841ffffffff-2023-01,1
8466849ffffffff-2013-02,1
8466849ffffffff-2014-02,2
8466849ffffffff-2014-06,4
8466849ffffffff-2014-10,1
8466849ffffffff-2015-03,3
8466849ffffffff-2015-06,1
8466849ffffffff-2015-07,3
8466849ffffffff-2016-01,1
8466849ffffffff-2016-02,1
8466849ffffffff-2016-03,8
8466849ffffffff-2016-09,3
8466849ffffffff-2016-12,1
8466849ffffffff-2017-03,5
8466849ffffffff-2017-08,1
8466849ffffffff-2018-05,1
8466849ffffffff-2019-02,1
8466849ffffffff-2019-03,4
8466849ffffffff-2019-04,4
8466849ffffffff-2019-07,1
8466849ffffffff-2019-12,2
8466849ffffffff-2020-01,2
8466849ffffffff-2020-02,4
8466849ffffffff-2020-12,3
8466849ffffffff-2021-04,2
8466849ffffffff-2021-05,1
8466849ffffffff-2021-06,2
8466849ffffffff-2021-07,1
8466849ffffffff-2021-09,1
8466849ffffffff-2022-01,1
8466849ffffffff-2022-02,2
8466849ffffffff-2022-04,2
8466849ffffffff-2022-05,4
8466849ffffffff-2023-01,1
8466849ffffffff-2023-02,5
8466849ffffffff-2023-03,3
8466849ffffffff-2023-08,2
8466a01ffffffff-2017-05,1
8466a01ffffffff-2018-11,1
8466a01ffffffff-2019-11,1
8466a01ffffffff-2020-05,4
8466a01ffffffff-2021-01,3
8466a01ffffffff-2021-03,2
8466a01ffffffff-2021-04,2
8466a01ffffffff-2021-06,1
8466a01ffffffff-2021-09,3
8466a01ffffffff-2021-10,3
8466a01ffffffff-2022-02,1
8466a01ffffffff-2022-03,7
8466a01ffffffff-2022-10,7
8466a01ffffffff-2023-03,5
8466a01ffffffff-2023-04,11
8466a01ffffffff-2023-05,14
8466a01ffffffff-2023-09,5
8466a01ffffffff-2023-10,3
8466a01ffffffff-2023-11,2
8466a03ffffffff-2012-09,1
8466a03ffffffff-2012-10,1
8466a03ffffffff-2013-02,1
8466a03ffffffff-2014-02,8
8466a03ffffffff-2016-02,1
8466a03ffffffff-2016-04,1
8466a03ffffffff-2017-04,1
8466a03ffffffff-2017-09,1
8466a03ffffffff-2017-12,1
8466a03ffffffff-2018-01,1
8466a03ffffffff-2018-02,1
8466a03ffffffff-2018-03,1
8466a03ffffffff-2018-04,8
8466a03ffffffff-2018-09,1
8466a03ffffffff-2019-01,1
8466a03ffffffff-2019-11,2
8466a03ffffffff-2020-02,2
8466a03ffffffff-2020-03,1
8466a03ffffffff-2020-05,2
8466a03ffffffff-2020-07,3
8466a03ffffffff-2020-08,5
8466a03ffffffff-2020-10,1
8466a03ffffffff-2021-02,4
8466a03ffffffff-2021-03,1
8466a03ffffffff-2021-04,1
8466a03ffffffff-2021-05,5
8466a03ffffffff-2021-08,3
8466a03ffffffff-2021-09,3
8466a03ffffffff-2021-10,5
8466a03ffffffff-2021-12,6
8466a03ffffffff-2022-03,2
8466a03ffffffff-2022-09,1
8466a03ffffffff-2023-08,1
8466a03ffffffff-2023-09,2
8466a05ffffffff-2012-06,1
8466a05ffffffff-2014-04,1
8466a05ffffffff-2014-10,1
8466a05ffffffff-2015-05,1
8466a05ffffffff-2015-08,2
8466a05ffffffff-2017-09,2
8466a05ffffffff-2017-11,2
8466a05ffffffff-2018-05,1
