index,n
840120bffffffff-2021-05,1
8401353ffffffff-2022-06,1
840744bffffffff-2018-05,1
8407461ffffffff-2021-05,1
8407461ffffffff-2022-05,5
840758dffffffff-2013-06,3
84075d1ffffffff-2022-04,2
84075d1ffffffff-2022-05,5
84075d1ffffffff-2023-05,12
84075ddffffffff-2018-05,1
84075ddffffffff-2020-06,3
8407623ffffffff-2017-05,3
8407635ffffffff-2012-05,1
8407635ffffffff-2019-05,15
8407635ffffffff-2020-05,5
8407635ffffffff-2020-06,5
8407635ffffffff-2021-04,1
8407635ffffffff-2021-05,3
8407635ffffffff-2022-04,6
8407635ffffffff-2022-05,2
8407703ffffffff-2017-06,1
8407719ffffffff-2019-06,4
8407733ffffffff-2013-05,2
8407733ffffffff-2013-06,1
8407733ffffffff-2019-06,2
8407733ffffffff-2022-02,3
8407733ffffffff-2022-03,8
8407733ffffffff-2022-04,1
840802dffffffff-2018-05,2
8408065ffffffff-2021-05,1
840811dffffffff-2021-08,1
8408137ffffffff-2019-05,1
8408151ffffffff-2017-06,1
8408155ffffffff-2021-05,1
8408159ffffffff-2013-04,1
8408159ffffffff-2014-06,1
8408159ffffffff-2021-05,3
8408159ffffffff-2022-05,1
840815bffffffff-2022-06,2
840815bffffffff-2023-05,1
8408165ffffffff-2018-06,1
8408165ffffffff-2023-07,1
8408805ffffffff-2015-04,1
8408805ffffffff-2023-05,1
8408809ffffffff-2014-04,1
8408809ffffffff-2014-06,1
8408809ffffffff-2018-05,2
8408809ffffffff-2019-04,1
8408809ffffffff-2019-05,2
8408809ffffffff-2019-06,1
8408809ffffffff-2020-04,1
8408809ffffffff-2021-04,1
8408809ffffffff-2022-05,2
8408809ffffffff-2023-04,1
840880bffffffff-2016-05,1
840880bffffffff-2016-06,1
840880bffffffff-2018-04,1
840880bffffffff-2018-09,1
840880dffffffff-2014-04,1
840880dffffffff-2017-05,1
840880dffffffff-2018-04,1
840880dffffffff-2019-05,3
840880dffffffff-2020-04,1
840880dffffffff-2020-05,1
840880dffffffff-2021-05,1
840880dffffffff-2021-06,4
840880dffffffff-2022-04,1
840880dffffffff-2022-05,1
840880dffffffff-2023-05,5
8408823ffffffff-2019-04,3
8408823ffffffff-2022-08,1
8408829ffffffff-2012-05,1
8408829ffffffff-2015-05,1
8408829ffffffff-2016-04,1
8408829ffffffff-2016-05,1
8408829ffffffff-2018-04,2
8408829ffffffff-2019-05,4
8408829ffffffff-2019-06,1
8408829ffffffff-2020-04,4
8408829ffffffff-2020-05,6
8408829ffffffff-2021-05,6
8408829ffffffff-2022-05,3
8408829ffffffff-2023-05,1
8408841ffffffff-2017-05,1
8408843ffffffff-2021-03,1
8408845ffffffff-2015-05,1
8408845ffffffff-2019-05,3
8408845ffffffff-2022-06,1
840884bffffffff-2017-06,2
840884bffffffff-2023-08,4
840884bffffffff-2023-09,1
8408855ffffffff-2014-04,3
8408855ffffffff-2018-05,1
8408855ffffffff-2018-08,2
8408855ffffffff-2019-04,1
8408855ffffffff-2019-05,1
8408855ffffffff-2022-05,4
8408855ffffffff-2023-05,7
840885bffffffff-2019-04,1
840885bffffffff-2019-05,1
840885bffffffff-2019-06,1
8408861ffffffff-2014-05,1
8408863ffffffff-2012-05,1
8408863ffffffff-2013-05,1
8408863ffffffff-2014-05,1
8408863ffffffff-2014-06,1
8408863ffffffff-2015-05,1
8408863ffffffff-2016-05,2
8408863ffffffff-2017-04,6
8408863ffffffff-2017-06,3
8408863ffffffff-2017-07,2
8408863ffffffff-2018-04,2
8408863ffffffff-2018-05,14
8408863ffffffff-2018-06,6
8408863ffffffff-2019-04,8
8408863ffffffff-2019-05,17
8408863ffffffff-2019-06,2
8408863ffffffff-2019-07,1
8408863ffffffff-2020-04,2
8408863ffffffff-2020-05,3
8408863ffffffff-2020-06,3
8408863ffffffff-2020-08,3
8408863ffffffff-2021-04,1
8408863ffffffff-2021-05,5
8408863ffffffff-2021-06,2
8408863ffffffff-2022-04,4
8408863ffffffff-2023-05,1
8408863ffffffff-2023-06,1
8408865ffffffff-2021-05,1
8408867ffffffff-2014-05,1
8408867ffffffff-2015-04,1
8408867ffffffff-2015-05,1
8408867ffffffff-2016-09,1
8408867ffffffff-2017-05,1
8408867ffffffff-2018-04,1
8408867ffffffff-2018-05,2
8408867ffffffff-2019-04,2
8408867ffffffff-2019-05,4
8408867ffffffff-2020-07,1
8408867ffffffff-2021-05,2
8408867ffffffff-2021-06,1
8408867ffffffff-2022-03,4
8408867ffffffff-2022-04,3
8408867ffffffff-2022-05,4
8408867ffffffff-2022-06,1
8408867ffffffff-2023-05,2
8408869ffffffff-2014-06,1
8408869ffffffff-2016-05,1
8408869ffffffff-2018-04,1
8408869ffffffff-2019-06,1
8408869ffffffff-2020-04,2
8408869ffffffff-2021-04,2
8408869ffffffff-2022-05,3
8408869ffffffff-2023-03,1
840886bffffffff-2012-05,1
840886bffffffff-2013-05,1
840886bffffffff-2014-05,1
840886bffffffff-2015-05,1
840886bffffffff-2016-04,1
840886bffffffff-2017-05,3
840886bffffffff-2017-06,1
840886bffffffff-2018-05,3
840886bffffffff-2018-08,2
840886bffffffff-2019-04,6
840886bffffffff-2019-05,2
840886bffffffff-2020-05,10
840886bffffffff-2020-06,1
840886bffffffff-2021-05,1
840886bffffffff-2022-04,4
840886bffffffff-2022-05,14
840886bffffffff-2022-06,1
840886bffffffff-2023-04,2
840886bffffffff-2023-05,9
840886bffffffff-2023-06,5
840886dffffffff-2017-05,1
8408881ffffffff-2012-04,1
8408881ffffffff-2018-05,1
8408889ffffffff-2012-08,1
8408889ffffffff-2017-04,1
8408889ffffffff-2018-06,1
8408889ffffffff-2019-04,1
8408889ffffffff-2019-05,2
8408889ffffffff-2019-06,1
8408889ffffffff-2020-05,3
8408889ffffffff-2021-05,1
8408889ffffffff-2023-06,1
8408889ffffffff-2023-08,2
840888bffffffff-2019-04,2
840888bffffffff-2019-05,1
840888bffffffff-2019-06,1
840888dffffffff-2012-08,1
840888dffffffff-2013-04,1
840888dffffffff-2014-05,2
840888dffffffff-2015-04,1
840888dffffffff-2015-05,2
840888dffffffff-2015-06,1
840888dffffffff-2016-05,2
840888dffffffff-2018-08,2
840888dffffffff-2019-06,2
840888dffffffff-2019-07,1
840888dffffffff-2020-04,2
840888dffffffff-2020-05,4
840888dffffffff-2020-06,1
840888dffffffff-2020-07,1
840888dffffffff-2020-08,1
840888dffffffff-2021-06,2
840888dffffffff-2021-07,1
840888dffffffff-2022-05,3
840888dffffffff-2022-06,2
840888dffffffff-2022-09,1
840888dffffffff-2023-05,1
8408895ffffffff-2022-06,1
84088a3ffffffff-2023-04,2
84088a3ffffffff-2023-05,1
84088a7ffffffff-2021-04,1
84088a9ffffffff-2015-05,1
84088a9ffffffff-2016-05,1
84088a9ffffffff-2017-05,1
84088a9ffffffff-2020-05,1
84088a9ffffffff-2021-06,1
84088d1ffffffff-2021-04,1
8408901ffffffff-2012-05,1
8408901ffffffff-2023-06,1
8408901ffffffff-2023-08,1
840890dffffffff-2019-06,1
840890dffffffff-2022-06,1
8408937ffffffff-2022-04,2
8408937ffffffff-2023-04,1
8408937ffffffff-2023-06,1
8408949ffffffff-2018-05,2
8408959ffffffff-2019-04,1
8408959ffffffff-2020-05,1
840895bffffffff-2017-05,2
840895bffffffff-2020-05,1
840895bffffffff-2021-05,1
840895bffffffff-2022-03,3
840895bffffffff-2022-04,9
840895bffffffff-2022-06,2
8408961ffffffff-2018-07,1
8408961ffffffff-2021-05,1
8408961ffffffff-2022-04,1
8408961ffffffff-2022-05,5
8408961ffffffff-2023-04,1
8408963ffffffff-2018-05,1
8408965ffffffff-2023-04,1
840896bffffffff-2012-05,1
840896bffffffff-2021-08,1
840896bffffffff-2022-05,1
840896bffffffff-2023-04,1
8408985ffffffff-2014-05,3
8408985ffffffff-2016-05,1
8408985ffffffff-2021-07,1
8408985ffffffff-2022-04,1
8408985ffffffff-2023-05,2
8408985ffffffff-2023-07,1
8408985ffffffff-2023-09,1
840898bffffffff-2022-07,2
840898bffffffff-2023-03,1
840898bffffffff-2023-04,1
