index,n
8445201ffffffff-2015-07,2
8445225ffffffff-2015-12,2
8445225ffffffff-2017-10,2
8445267ffffffff-2017-02,2
8445267ffffffff-2022-04,1
8445267ffffffff-2023-06,1
844526dffffffff-2014-11,1
844526dffffffff-2014-12,2
844526dffffffff-2017-05,3
844526dffffffff-2017-06,3
844526dffffffff-2017-07,1
844526dffffffff-2017-08,5
844526dffffffff-2017-09,5
844526dffffffff-2017-10,4
844526dffffffff-2017-11,3
844526dffffffff-2017-12,1
844526dffffffff-2018-01,13
844526dffffffff-2018-02,7
844526dffffffff-2018-03,4
844526dffffffff-2018-04,4
844526dffffffff-2018-06,2
844526dffffffff-2018-07,3
844526dffffffff-2018-09,3
844526dffffffff-2018-12,2
844526dffffffff-2019-01,8
844526dffffffff-2019-02,3
844526dffffffff-2019-03,2
844526dffffffff-2019-04,2
844526dffffffff-2019-06,2
844526dffffffff-2019-07,1
844526dffffffff-2019-08,4
844526dffffffff-2019-10,2
844526dffffffff-2019-12,3
844526dffffffff-2020-01,1
844526dffffffff-2020-02,2
844526dffffffff-2020-03,1
844526dffffffff-2020-04,1
844526dffffffff-2020-05,1
844526dffffffff-2020-06,1
844526dffffffff-2020-07,1
844526dffffffff-2020-08,1
844526dffffffff-2020-09,2
844526dffffffff-2020-11,1
844526dffffffff-2021-03,1
844526dffffffff-2021-04,3
844526dffffffff-2021-05,1
844526dffffffff-2022-02,1
844526dffffffff-2022-03,2
844526dffffffff-2023-02,1
844526dffffffff-2023-03,5
844526dffffffff-2023-06,1
844526dffffffff-2023-07,1
8445301ffffffff-2013-05,10
8445309ffffffff-2012-05,16
8445309ffffffff-2015-07,1
8445309ffffffff-2016-10,2
844530dffffffff-2013-06,3
8445343ffffffff-2012-05,2
8445343ffffffff-2015-10,1
8445343ffffffff-2015-12,1
8445343ffffffff-2016-02,3
8445343ffffffff-2016-09,4
8445343ffffffff-2016-10,3
8445343ffffffff-2016-11,6
8445343ffffffff-2017-01,13
8445343ffffffff-2017-03,4
8445343ffffffff-2018-02,2
8445343ffffffff-2019-05,1
8445343ffffffff-2021-10,2
844534dffffffff-2013-06,6
844534dffffffff-2013-07,3
8445351ffffffff-2012-11,2
8445351ffffffff-2012-12,6
8445351ffffffff-2013-03,2
8445351ffffffff-2014-01,2
8445351ffffffff-2014-03,4
8445351ffffffff-2014-04,3
8445351ffffffff-2014-10,2
8445351ffffffff-2015-02,8
8445351ffffffff-2015-04,6
8445351ffffffff-2015-05,8
8445351ffffffff-2015-09,2
8445351ffffffff-2015-11,6
8445351ffffffff-2015-12,3
8445351ffffffff-2016-03,6
8445351ffffffff-2016-05,14
