index,n
848b203ffffffff-2018-01,2
848b203ffffffff-2018-09,2
848b203ffffffff-2019-09,6
848b203ffffffff-2019-10,4
848b203ffffffff-2023-04,1
848b203ffffffff-2023-09,8
848b203ffffffff-2023-11,3
848b2cdffffffff-2012-10,2
848b2cdffffffff-2013-08,4
848b2cdffffffff-2015-09,1
848b2cdffffffff-2016-09,1
848b2cdffffffff-2016-10,1
848b2cdffffffff-2018-09,3
848b2cdffffffff-2019-10,1
848b2cdffffffff-2022-06,5
848b2cdffffffff-2022-09,7
848b2cdffffffff-2022-10,4
848b2cdffffffff-2022-12,3
848b2cdffffffff-2023-01,2
848b2cdffffffff-2023-07,4
848b2cdffffffff-2023-09,8
848b2cdffffffff-2023-11,2
848b617ffffffff-2012-09,1
848b617ffffffff-2013-08,3
848b617ffffffff-2013-09,2
848b617ffffffff-2013-10,3
848b617ffffffff-2013-11,3
848b617ffffffff-2014-10,8
848b617ffffffff-2014-11,1
848b617ffffffff-2015-08,3
848b617ffffffff-2015-09,2
848b617ffffffff-2016-09,2
848b617ffffffff-2016-10,1
848b617ffffffff-2017-01,1
848b617ffffffff-2017-09,1
848b617ffffffff-2017-10,1
848b617ffffffff-2018-01,1
848b617ffffffff-2018-08,2
848b617ffffffff-2019-02,1
848b617ffffffff-2019-10,1
848b617ffffffff-2021-05,2
848b617ffffffff-2021-09,1
848b617ffffffff-2022-09,2
848b617ffffffff-2022-10,1
848b617ffffffff-2023-08,2
848b617ffffffff-2023-10,2
848b61bffffffff-2022-11,1
848b6c5ffffffff-2021-11,1
848b6c5ffffffff-2022-03,3
848b6c5ffffffff-2022-05,7
848b6c5ffffffff-2022-10,1
848b6c5ffffffff-2023-04,1
848b6c5ffffffff-2023-05,2
848b6c5ffffffff-2023-08,1
848b6c9ffffffff-2021-09,1
848b6cdffffffff-2012-12,3
848b6cdffffffff-2018-05,8
848b6cdffffffff-2018-06,2
848b6cdffffffff-2018-10,1
848b6cdffffffff-2019-05,1
848b6cdffffffff-2019-07,1
848b6cdffffffff-2019-08,1
848b6cdffffffff-2023-05,3
848b6cdffffffff-2023-09,1
848b6cdffffffff-2023-10,1
848b6cdffffffff-2023-11,2
848b759ffffffff-2012-02,8
848b759ffffffff-2012-03,1
848e649ffffffff-2012-07,1
848e649ffffffff-2014-11,1
848e649ffffffff-2017-05,1
848e649ffffffff-2019-05,3
848e64bffffffff-2012-06,3
848e651ffffffff-2018-08,1
848e651ffffffff-2022-10,1
848e6c1ffffffff-2022-04,1
848e6c1ffffffff-2022-08,1
848e6c9ffffffff-2012-02,1
848e6c9ffffffff-2012-04,1
848e6ddffffffff-2012-10,2
848f427ffffffff-2016-08,1
848f4a5ffffffff-2013-03,1
848f4a5ffffffff-2013-06,1
848f4a5ffffffff-2013-11,1
848f4a5ffffffff-2016-05,1
848f4a5ffffffff-2018-05,1
848f4a5ffffffff-2018-06,6
848f4a5ffffffff-2018-08,3
848f4a5ffffffff-2021-08,2
848f4a5ffffffff-2021-09,3
848f4a5ffffffff-2021-10,5
848f4a5ffffffff-2021-12,1
848f4a5ffffffff-2022-01,1
848f4a5ffffffff-2022-03,2
848f4a5ffffffff-2022-04,3
848f4a5ffffffff-2022-08,1
848f4a5ffffffff-2022-10,3
848f4a5ffffffff-2023-04,1
848f4a5ffffffff-2023-07,1
848f4a5ffffffff-2023-08,1
848f4a5ffffffff-2023-11,3
848f551ffffffff-2012-09,3
848f553ffffffff-2014-07,1
848f553ffffffff-2016-06,1
848f553ffffffff-2018-01,1
848f553ffffffff-2022-10,7
848f559ffffffff-2016-07,4
848f559ffffffff-2016-10,2
848f559ffffffff-2017-02,1
848f559ffffffff-2017-06,2
848f559ffffffff-2018-01,1
848f559ffffffff-2018-06,1
848f559ffffffff-2018-08,2
848f559ffffffff-2018-10,3
848f559ffffffff-2019-01,1
848f559ffffffff-2019-08,1
848f559ffffffff-2021-06,1
848f559ffffffff-2021-09,3
848f559ffffffff-2022-05,2
848f559ffffffff-2022-10,3
848f559ffffffff-2023-03,5
848f55bffffffff-2016-05,8
848f55bffffffff-2016-07,1
848f55bffffffff-2016-08,9
848f55bffffffff-2017-03,1
848f55bffffffff-2017-06,4
848f55bffffffff-2018-10,3
848f599ffffffff-2019-05,1
848f733ffffffff-2014-10,4
848f733ffffffff-2016-06,1
848f733ffffffff-2021-09,1
84b3253ffffffff-2013-08,2
84b3253ffffffff-2017-03,2
84b3253ffffffff-2018-05,1
84b3253ffffffff-2018-07,2
84b3253ffffffff-2022-10,1
84b3253ffffffff-2023-01,4
