index,n
843c029ffffffff-2016-01,1
843c029ffffffff-2020-01,2
843c029ffffffff-2021-01,1
843c029ffffffff-2021-02,3
843c029ffffffff-2022-02,2
843c029ffffffff-2022-04,7
843c029ffffffff-2023-01,4
843c029ffffffff-2023-02,1
843c029ffffffff-2023-03,1
843c02dffffffff-2020-01,2
843c02dffffffff-2020-03,1
843c02dffffffff-2022-03,1
843c02dffffffff-2022-11,2
843c031ffffffff-2019-10,1
843c031ffffffff-2019-11,2
843c063ffffffff-2023-04,1
843c067ffffffff-2018-03,1
843c0a3ffffffff-2016-05,1
843c0a3ffffffff-2017-10,1
843c0a3ffffffff-2018-04,2
843c0a3ffffffff-2019-01,1
843c0a3ffffffff-2022-01,2
843c0a3ffffffff-2022-07,2
843c0a5ffffffff-2013-12,1
843c0a5ffffffff-2014-03,1
843c0a5ffffffff-2014-05,1
843c0a5ffffffff-2014-11,2
843c0a5ffffffff-2015-04,3
843c0a5ffffffff-2015-05,1
843c0a5ffffffff-2016-02,2
843c0a5ffffffff-2016-03,2
843c0a5ffffffff-2016-04,5
843c0a5ffffffff-2016-05,7
843c0a5ffffffff-2016-09,1
843c0a5ffffffff-2016-10,3
843c0a5ffffffff-2017-02,2
843c0a5ffffffff-2017-03,1
843c0a5ffffffff-2017-04,12
843c0a5ffffffff-2017-05,2
843c0a5ffffffff-2017-06,1
843c0a5ffffffff-2018-03,4
843c0a5ffffffff-2018-04,31
843c0a5ffffffff-2018-05,1
843c0a5ffffffff-2018-06,2
843c0a5ffffffff-2019-03,8
843c0a5ffffffff-2019-04,32
843c0a5ffffffff-2019-05,24
843c0a5ffffffff-2020-02,3
843c0a5ffffffff-2020-03,3
843c0a5ffffffff-2021-01,10
843c0a5ffffffff-2021-02,2
843c0a5ffffffff-2021-03,9
843c0a5ffffffff-2021-04,14
843c0a5ffffffff-2021-05,1
843c0a5ffffffff-2021-08,1
843c0a5ffffffff-2021-10,7
843c0a5ffffffff-2022-02,2
843c0a5ffffffff-2022-03,1
843c0a5ffffffff-2022-04,36
843c0a5ffffffff-2022-05,26
843c0a5ffffffff-2022-07,1
843c0a5ffffffff-2022-11,1
843c0a5ffffffff-2023-01,3
843c0a5ffffffff-2023-02,5
843c0a5ffffffff-2023-03,25
843c0a5ffffffff-2023-04,69
843c0a5ffffffff-2023-05,39
843c0a5ffffffff-2023-06,2
843c0a5ffffffff-2023-11,3
843c0a7ffffffff-2021-04,1
843c0a7ffffffff-2021-05,1
843c0a7ffffffff-2023-04,3
843c0a7ffffffff-2023-05,1
843c0a9ffffffff-2016-07,1
843c0a9ffffffff-2017-11,1
843c0a9ffffffff-2018-10,4
843c0a9ffffffff-2019-04,1
