index,n
84a210dffffffff-2017-11,1
84a2143ffffffff-2012-01,1
84a2143ffffffff-2012-10,2
84a2143ffffffff-2012-11,3
84a2143ffffffff-2013-09,1
84a2143ffffffff-2013-10,6
84a2143ffffffff-2013-11,10
84a2143ffffffff-2014-08,1
84a2143ffffffff-2014-10,2
84a2143ffffffff-2014-11,3
84a2143ffffffff-2015-05,6
84a2143ffffffff-2015-09,1
84a2143ffffffff-2015-10,10
84a2143ffffffff-2015-11,11
84a2143ffffffff-2016-01,1
84a2143ffffffff-2016-09,6
84a2143ffffffff-2016-10,2
84a2143ffffffff-2016-11,9
84a2143ffffffff-2017-09,2
84a2143ffffffff-2017-10,10
84a2143ffffffff-2017-11,47
84a2143ffffffff-2017-12,10
84a2143ffffffff-2018-01,1
84a2143ffffffff-2018-04,1
84a2143ffffffff-2018-07,3
84a2143ffffffff-2018-09,5
84a2143ffffffff-2018-10,9
84a2143ffffffff-2018-11,47
84a2143ffffffff-2019-06,1
84a2143ffffffff-2019-07,1
84a2143ffffffff-2019-08,5
84a2143ffffffff-2019-09,7
84a2143ffffffff-2019-10,37
84a2143ffffffff-2019-11,19
84a2143ffffffff-2019-12,22
84a2143ffffffff-2022-02,7
84a2143ffffffff-2022-03,5
84a2143ffffffff-2022-05,6
84a2143ffffffff-2022-09,1
84a2143ffffffff-2022-10,31
84a2143ffffffff-2022-11,17
84a2143ffffffff-2022-12,8
84a2143ffffffff-2023-05,5
84a2143ffffffff-2023-08,14
84a2143ffffffff-2023-09,17
84a2143ffffffff-2023-10,77
84a2143ffffffff-2023-11,96
84a2147ffffffff-2015-10,1
84a215dffffffff-2019-10,1
84a215dffffffff-2023-11,1
84a2227ffffffff-2012-08,1
84a2227ffffffff-2012-10,2
84a2227ffffffff-2012-11,2
84a2227ffffffff-2013-06,1
84a2227ffffffff-2013-10,2
84a2227ffffffff-2013-11,1
84a2227ffffffff-2014-09,2
84a2227ffffffff-2014-11,1
84a2227ffffffff-2015-05,2
84a2227ffffffff-2015-07,1
84a2227ffffffff-2015-09,2
84a2227ffffffff-2015-10,1
84a2227ffffffff-2015-11,4
84a2227ffffffff-2015-12,1
84a2227ffffffff-2016-06,4
84a2227ffffffff-2016-07,1
84a2227ffffffff-2016-09,4
84a2227ffffffff-2016-11,5
84a2227ffffffff-2017-09,1
84a2227ffffffff-2017-10,6
84a2227ffffffff-2017-11,20
84a2227ffffffff-2017-12,1
84a2227ffffffff-2018-04,1
84a2227ffffffff-2018-07,2
84a2227ffffffff-2018-10,15
84a2227ffffffff-2018-11,17
84a2227ffffffff-2018-12,1
84a2227ffffffff-2019-02,2
84a2227ffffffff-2019-07,1
84a2227ffffffff-2019-08,5
84a2227ffffffff-2019-10,14
84a2227ffffffff-2019-12,16
84a2227ffffffff-2022-03,1
84a2227ffffffff-2022-09,1
84a2227ffffffff-2022-10,14
84a2227ffffffff-2022-11,1
84a2227ffffffff-2023-04,1
84a2227ffffffff-2023-05,1
84a2227ffffffff-2023-09,8
84a2227ffffffff-2023-10,15
84a2227ffffffff-2023-11,22
84a2235ffffffff-2022-10,1
84a231bffffffff-2012-10,6
84a231bffffffff-2012-11,3
84a231bffffffff-2013-06,1
84a231bffffffff-2013-10,4
84a231bffffffff-2013-11,4
84a231bffffffff-2015-07,4
84a231bffffffff-2015-08,1
84a231bffffffff-2015-10,5
84a231bffffffff-2015-11,4
84a231bffffffff-2015-12,4
84a231bffffffff-2016-01,2
84a231bffffffff-2016-05,2
84a231bffffffff-2016-06,1
84a231bffffffff-2016-08,1
84a231bffffffff-2016-09,7
84a231bffffffff-2016-11,12
84a231bffffffff-2017-07,1
