index,n
8445305ffffffff-2013-04,7
8445305ffffffff-2013-07,2
8445305ffffffff-2019-03,4
844530dffffffff-2020-11,1
8445321ffffffff-2016-09,1
8445329ffffffff-2016-09,1
844532bffffffff-2021-04,6
844532bffffffff-2022-02,3
8445363ffffffff-2017-02,22
8445365ffffffff-2016-03,4
8445365ffffffff-2017-05,14
8445365ffffffff-2019-02,1
845e62dffffffff-2020-09,2
845e62dffffffff-2023-06,3
845e667ffffffff-2013-01,1
845e667ffffffff-2013-04,2
845e667ffffffff-2013-05,1
845e667ffffffff-2013-07,3
845e667ffffffff-2013-10,2
845e667ffffffff-2013-11,1
845e667ffffffff-2014-06,2
845e667ffffffff-2014-12,1
845e667ffffffff-2016-02,1
845e667ffffffff-2016-05,1
845e667ffffffff-2016-10,1
845e667ffffffff-2016-11,12
845e667ffffffff-2017-02,1
845e667ffffffff-2017-04,1
845e667ffffffff-2017-08,2
845e667ffffffff-2017-10,1
845e667ffffffff-2017-12,2
845e667ffffffff-2018-01,1
845e667ffffffff-2018-04,1
845e667ffffffff-2018-05,5
845e667ffffffff-2018-06,5
845e667ffffffff-2018-07,5
845e667ffffffff-2018-11,1
845e667ffffffff-2019-05,20
845e667ffffffff-2019-09,2
845e667ffffffff-2019-10,1
845e667ffffffff-2019-11,1
845e667ffffffff-2020-01,2
845e667ffffffff-2020-02,1
845e667ffffffff-2020-03,2
845e667ffffffff-2020-04,3
845e667ffffffff-2020-05,23
845e667ffffffff-2020-06,34
845e667ffffffff-2020-07,1
845e667ffffffff-2020-08,27
845e667ffffffff-2020-09,19
845e667ffffffff-2020-10,8
845e667ffffffff-2021-01,3
845e667ffffffff-2021-02,14
845e667ffffffff-2021-03,5
845e667ffffffff-2021-04,2
845e667ffffffff-2021-05,6
845e667ffffffff-2021-06,5
845e667ffffffff-2021-07,4
845e667ffffffff-2021-08,11
845e667ffffffff-2021-09,4
845e667ffffffff-2021-10,8
845e667ffffffff-2021-11,1
845e667ffffffff-2022-01,4
845e667ffffffff-2022-02,2
845e667ffffffff-2022-03,2
845e667ffffffff-2022-04,3
845e667ffffffff-2022-05,9
845e667ffffffff-2022-06,7
845e667ffffffff-2022-08,1
845e667ffffffff-2022-09,1
845e667ffffffff-2022-10,3
845e667ffffffff-2022-11,6
845e667ffffffff-2022-12,3
845e667ffffffff-2023-01,7
845e667ffffffff-2023-02,1
845e667ffffffff-2023-03,3
845e667ffffffff-2023-04,25
845e667ffffffff-2023-05,7
845e667ffffffff-2023-07,2
845e667ffffffff-2023-08,4
845e667ffffffff-2023-09,3
845e667ffffffff-2023-10,1
845e667ffffffff-2023-11,5
845e719ffffffff-2018-07,1
845e719ffffffff-2020-08,2
845e71bffffffff-2018-02,3
845e71bffffffff-2018-06,1
845e71bffffffff-2018-07,4
845e71bffffffff-2021-05,1
845e71bffffffff-2022-03,1
845e71bffffffff-2022-05,1
845e71bffffffff-2022-07,1
845e71bffffffff-2023-01,5
845f083ffffffff-2021-12,1
845f083ffffffff-2023-02,4
845f095ffffffff-2015-11,5
845f095ffffffff-2015-12,2
845f095ffffffff-2016-01,2
845f095ffffffff-2018-10,1
845f095ffffffff-2019-02,1
845f0d1ffffffff-2021-09,2
845f28bffffffff-2015-05,1
845f291ffffffff-2014-02,3
845f291ffffffff-2021-07,2
845f295ffffffff-2012-01,1
845f295ffffffff-2014-01,1
845f295ffffffff-2020-01,3
845f295ffffffff-2023-02,3
845f299ffffffff-2015-11,3
845f299ffffffff-2022-08,1
845f299ffffffff-2023-04,1
845f299ffffffff-2023-11,1
845f29dffffffff-2015-06,1
845f29dffffffff-2017-03,1
845f29dffffffff-2019-12,3
845f29dffffffff-2021-11,3
845f2b1ffffffff-2014-01,1
845f2b1ffffffff-2020-01,1
845f2b1ffffffff-2022-01,1
845f2b1ffffffff-2022-12,2
845f2b3ffffffff-2013-10,1
845f2b3ffffffff-2016-02,1
845f2b3ffffffff-2016-11,2
845f2b3ffffffff-2017-02,2
845f2b3ffffffff-2017-03,1
845f2b3ffffffff-2017-11,2
845f2b3ffffffff-2018-02,1
845f2b3ffffffff-2019-01,13
845f2b3ffffffff-2019-10,1
845f2b3ffffffff-2019-11,1
845f2b3ffffffff-2019-12,2
845f2b3ffffffff-2020-01,3
845f2b3ffffffff-2021-11,6
845f2b3ffffffff-2023-02,6
845f2b3ffffffff-2023-03,1
845f2b3ffffffff-2023-08,1
845f2b9ffffffff-2014-01,1
845f2b9ffffffff-2015-02,1
845f2b9ffffffff-2022-12,1
845f2bbffffffff-2012-01,3
845f2bbffffffff-2012-10,1
845f2bbffffffff-2014-01,2
845f2bbffffffff-2014-02,3
845f2bbffffffff-2015-01,1
845f2bbffffffff-2015-03,2
845f2bbffffffff-2015-12,1
845f2bbffffffff-2016-01,1
845f2bbffffffff-2016-02,2
845f2bbffffffff-2016-03,1
845f2bbffffffff-2016-11,8
845f2bbffffffff-2017-01,2
845f2bbffffffff-2017-02,2
845f2bbffffffff-2017-03,1
845f2bbffffffff-2017-11,1
845f2bbffffffff-2017-12,1
845f2bbffffffff-2018-01,12
845f2bbffffffff-2018-02,1
845f2bbffffffff-2018-10,1
845f2bbffffffff-2018-11,2
845f2bbffffffff-2018-12,2
845f2bbffffffff-2019-01,5
845f2bbffffffff-2019-02,7
845f2bbffffffff-2019-03,2
845f2bbffffffff-2019-04,1
845f2bbffffffff-2019-09,3
845f2bbffffffff-2019-10,6
845f2bbffffffff-2019-11,1
845f2bbffffffff-2020-01,1
845f2bbffffffff-2020-10,4
845f2bbffffffff-2021-11,1
845f2bbffffffff-2022-02,5
845f2bbffffffff-2022-05,1
845f2bbffffffff-2022-09,6
845f2bbffffffff-2022-12,2
845f2bbffffffff-2023-01,7
845f2bbffffffff-2023-02,13
845f2bbffffffff-2023-09,7
845f2bbffffffff-2023-10,4
845f2bdffffffff-2014-02,1
845f2c5ffffffff-2023-02,1
845f2d1ffffffff-2016-12,1
845f2d1ffffffff-2022-02,2
845f2d1ffffffff-2023-02,4
845f2d3ffffffff-2019-10,1
845f2d7ffffffff-2022-02,2
845f403ffffffff-2021-06,12
845f403ffffffff-2021-07,1
845f403ffffffff-2022-05,1
845f403ffffffff-2022-06,1
845f403ffffffff-2022-07,2
845f403ffffffff-2022-09,3
845f403ffffffff-2022-12,2
845f403ffffffff-2023-03,5
845f403ffffffff-2023-04,9
845f403ffffffff-2023-05,3
845f403ffffffff-2023-06,1
845f403ffffffff-2023-07,3
845f407ffffffff-2013-06,1
845f407ffffffff-2022-05,1
845f407ffffffff-2023-05,1
845f415ffffffff-2021-08,1
845f415ffffffff-2022-04,1
845f415ffffffff-2022-07,1
845f415ffffffff-2022-08,2
845f415ffffffff-2022-11,2
845f415ffffffff-2023-05,4
845f415ffffffff-2023-06,2
845f415ffffffff-2023-10,2
845f42bffffffff-2012-03,1
845f42bffffffff-2015-02,2
845f42bffffffff-2019-06,1
845f42bffffffff-2019-07,1
845f487ffffffff-2021-05,5
845f487ffffffff-2023-02,3
845f487ffffffff-2023-05,3
845f491ffffffff-2021-02,1
845f4abffffffff-2021-05,17
845f4abffffffff-2023-05,15
845f4abffffffff-2023-07,3
845f4bdffffffff-2012-01,2
845f4bdffffffff-2015-08,3
845f4bdffffffff-2021-05,1
845f4bdffffffff-2023-05,3
845f4bdffffffff-2023-07,3
845f581ffffffff-2018-01,1
845f581ffffffff-2018-02,1
845f581ffffffff-2018-03,1
845f581ffffffff-2018-06,1
845f581ffffffff-2018-11,2
845f581ffffffff-2019-06,1
845f583ffffffff-2012-01,3
845f583ffffffff-2012-02,3
845f583ffffffff-2012-04,9
845f583ffffffff-2012-05,1
845f583ffffffff-2012-06,2
845f583ffffffff-2012-11,3
845f583ffffffff-2012-12,3
845f583ffffffff-2013-01,21
845f583ffffffff-2013-02,4
845f583ffffffff-2013-03,2
845f583ffffffff-2013-04,2
845f583ffffffff-2013-06,4
845f583ffffffff-2013-07,1
845f583ffffffff-2013-09,1
845f583ffffffff-2013-10,2
845f583ffffffff-2013-11,1
845f583ffffffff-2013-12,31
845f583ffffffff-2014-01,26
845f583ffffffff-2014-02,3
845f583ffffffff-2014-03,1
845f583ffffffff-2014-04,1
845f583ffffffff-2014-10,3
845f583ffffffff-2014-11,1
845f583ffffffff-2014-12,15
845f583ffffffff-2015-01,6
845f583ffffffff-2015-02,12
845f583ffffffff-2015-03,8
845f583ffffffff-2015-04,5
845f583ffffffff-2015-05,1
845f583ffffffff-2015-06,4
845f583ffffffff-2015-08,1
845f583ffffffff-2015-09,3
845f583ffffffff-2015-10,33
845f583ffffffff-2015-11,24
845f583ffffffff-2015-12,43
845f583ffffffff-2016-01,19
845f583ffffffff-2016-02,20
845f583ffffffff-2016-03,5
845f583ffffffff-2016-04,3
845f583ffffffff-2016-05,15
845f583ffffffff-2016-06,25
845f583ffffffff-2016-10,9
845f583ffffffff-2016-11,3
845f583ffffffff-2016-12,13
845f583ffffffff-2017-01,27
845f583ffffffff-2017-02,36
845f583ffffffff-2017-03,4
845f583ffffffff-2017-04,4
845f583ffffffff-2017-05,17
845f583ffffffff-2017-06,2
845f583ffffffff-2017-07,4
845f583ffffffff-2017-08,1
845f583ffffffff-2017-09,2
845f583ffffffff-2017-10,77
845f583ffffffff-2017-11,24
845f583ffffffff-2017-12,32
845f583ffffffff-2018-01,48
845f583ffffffff-2018-02,21
845f583ffffffff-2018-03,12
845f583ffffffff-2018-04,10
845f583ffffffff-2018-05,9
845f583ffffffff-2018-06,2
845f583ffffffff-2018-07,8
845f583ffffffff-2018-08,16
845f583ffffffff-2018-09,13
845f583ffffffff-2018-10,4
845f583ffffffff-2018-11,9
845f583ffffffff-2018-12,45
845f583ffffffff-2019-01,36
845f583ffffffff-2019-02,12
845f583ffffffff-2019-03,12
845f583ffffffff-2019-04,8
845f583ffffffff-2019-05,20
845f583ffffffff-2019-06,5
845f583ffffffff-2019-07,1
845f583ffffffff-2019-09,11
845f583ffffffff-2019-10,4
845f583ffffffff-2019-11,47
845f583ffffffff-2019-12,78
845f583ffffffff-2020-01,22
845f583ffffffff-2020-02,21
845f583ffffffff-2020-03,7
845f583ffffffff-2020-05,4
845f583ffffffff-2020-06,8
845f583ffffffff-2020-07,3
845f583ffffffff-2020-09,3
845f583ffffffff-2020-10,4
845f583ffffffff-2020-11,1
845f583ffffffff-2020-12,1
845f583ffffffff-2021-08,6
845f583ffffffff-2021-10,10
845f583ffffffff-2021-11,3
845f583ffffffff-2021-12,2
845f583ffffffff-2022-01,4
845f583ffffffff-2022-02,13
845f583ffffffff-2022-03,10
845f583ffffffff-2022-04,3
845f583ffffffff-2022-05,4
845f583ffffffff-2022-06,4
845f583ffffffff-2022-08,1
845f583ffffffff-2022-09,1
845f583ffffffff-2022-12,8
845f583ffffffff-2023-01,1
845f583ffffffff-2023-02,4
845f583ffffffff-2023-03,12
845f583ffffffff-2023-04,14
845f583ffffffff-2023-05,2
845f583ffffffff-2023-06,5
845f583ffffffff-2023-07,6
845f583ffffffff-2023-08,9
845f583ffffffff-2023-09,4
845f583ffffffff-2023-10,1
845f583ffffffff-2023-11,1
845f587ffffffff-2017-06,1
845f587ffffffff-2017-10,1
845f587ffffffff-2017-12,3
845f587ffffffff-2018-02,1
845f587ffffffff-2018-03,1
845f587ffffffff-2023-04,2
845f587ffffffff-2023-05,1
845f589ffffffff-2023-04,1
845f58bffffffff-2012-05,1
845f58bffffffff-2015-05,1
845f58bffffffff-2018-01,1
845f58bffffffff-2018-02,1
845f58bffffffff-2018-03,1
845f58bffffffff-2018-06,4
845f58bffffffff-2021-12,2
845f58bffffffff-2022-02,7
845f58bffffffff-2022-05,2
845f58bffffffff-2023-03,1
845f58bffffffff-2023-04,1
845f58bffffffff-2023-05,1
845f595ffffffff-2012-06,1
845f595ffffffff-2013-07,1
845f595ffffffff-2014-01,1
845f595ffffffff-2014-03,2
845f595ffffffff-2016-01,2
845f595ffffffff-2016-02,1
845f595ffffffff-2016-03,1
845f595ffffffff-2016-08,1
845f595ffffffff-2017-05,1
845f595ffffffff-2017-06,2
845f595ffffffff-2018-02,1
845f595ffffffff-2018-03,1
845f595ffffffff-2018-05,2
845f595ffffffff-2018-07,1
845f595ffffffff-2018-09,1
845f595ffffffff-2018-11,1
845f595ffffffff-2019-02,1
845f595ffffffff-2019-03,1
845f595ffffffff-2021-02,2
845f595ffffffff-2022-02,8
845f595ffffffff-2022-05,1
845f595ffffffff-2022-06,8
845f595ffffffff-2023-08,1
845f5b5ffffffff-2012-06,2
845f5b5ffffffff-2012-12,1
845f5b5ffffffff-2013-01,5
845f5b5ffffffff-2013-03,3
845f5b5ffffffff-2013-04,3
845f5b5ffffffff-2013-06,12
845f5b5ffffffff-2013-07,3
845f5b5ffffffff-2013-11,1
845f5b5ffffffff-2013-12,2
845f5b5ffffffff-2014-01,4
845f5b5ffffffff-2014-03,3
845f5b5ffffffff-2014-05,4
845f5b5ffffffff-2014-08,1
845f5b5ffffffff-2014-12,2
845f5b5ffffffff-2015-01,3
845f5b5ffffffff-2015-02,3
845f5b5ffffffff-2015-03,4
845f5b5ffffffff-2015-04,7
845f5b5ffffffff-2015-05,14
845f5b5ffffffff-2015-10,5
845f5b5ffffffff-2015-11,5
845f5b5ffffffff-2015-12,12
845f5b5ffffffff-2016-01,4
845f5b5ffffffff-2016-02,10
845f5b5ffffffff-2016-03,2
845f5b5ffffffff-2016-04,3
845f5b5ffffffff-2016-06,8
845f5b5ffffffff-2016-10,2
845f5b5ffffffff-2016-11,1
845f5b5ffffffff-2016-12,4
845f5b5ffffffff-2017-01,4
845f5b5ffffffff-2017-02,1
845f5b5ffffffff-2017-03,7
845f5b5ffffffff-2017-04,7
845f5b5ffffffff-2017-05,2
845f5b5ffffffff-2017-06,6
845f5b5ffffffff-2017-10,14
845f5b5ffffffff-2017-12,2
845f5b5ffffffff-2018-01,3
845f5b5ffffffff-2018-02,8
845f5b5ffffffff-2018-03,5
845f5b5ffffffff-2018-04,8
845f5b5ffffffff-2018-05,1
845f5b5ffffffff-2018-06,1
845f5b5ffffffff-2018-07,8
845f5b5ffffffff-2018-08,4
845f5b5ffffffff-2018-09,3
845f5b5ffffffff-2018-10,2
845f5b5ffffffff-2018-11,8
845f5b5ffffffff-2018-12,5
845f5b5ffffffff-2019-01,18
845f5b5ffffffff-2019-02,4
845f5b5ffffffff-2019-03,1
845f5b5ffffffff-2019-04,7
845f5b5ffffffff-2019-05,1
845f5b5ffffffff-2019-06,8
845f5b5ffffffff-2019-07,9
845f5b5ffffffff-2019-09,7
845f5b5ffffffff-2019-10,10
845f5b5ffffffff-2019-12,22
845f5b5ffffffff-2020-01,29
845f5b5ffffffff-2020-02,11
845f5b5ffffffff-2020-03,5
845f5b5ffffffff-2021-10,2
845f5b5ffffffff-2021-11,1
845f5b5ffffffff-2021-12,1
845f5b5ffffffff-2022-02,3
845f5b5ffffffff-2022-03,8
845f5b5ffffffff-2022-04,10
845f5b5ffffffff-2022-05,8
845f5b5ffffffff-2022-06,13
845f5b5ffffffff-2022-09,3
845f5b5ffffffff-2022-10,3
845f5b5ffffffff-2023-01,11
845f5b5ffffffff-2023-02,6
845f5b5ffffffff-2023-03,16
845f5b5ffffffff-2023-04,5
845f5b5ffffffff-2023-05,2
845f5b5ffffffff-2023-06,1
845f5b5ffffffff-2023-07,2
845f5b5ffffffff-2023-08,5
845f5b5ffffffff-2023-10,1
845f5b5ffffffff-2023-11,2
845f5b9ffffffff-2012-01,1
845f5b9ffffffff-2013-10,1
845f5b9ffffffff-2013-11,3
845f5b9ffffffff-2014-02,1
845f5b9ffffffff-2014-08,1
845f5b9ffffffff-2015-11,7
845f5b9ffffffff-2016-01,4
845f5b9ffffffff-2016-02,4
845f5b9ffffffff-2017-02,7
845f5b9ffffffff-2017-05,4
845f5b9ffffffff-2017-10,1
845f5b9ffffffff-2018-03,3
845f5b9ffffffff-2018-12,3
845f5b9ffffffff-2019-01,1
845f5b9ffffffff-2019-02,1
845f5b9ffffffff-2019-05,1
845f5b9ffffffff-2020-01,4
845f5b9ffffffff-2020-02,1
845f5b9ffffffff-2020-03,1
845f5b9ffffffff-2020-07,1
845f5b9ffffffff-2021-08,2
845f5b9ffffffff-2022-02,8
845f5b9ffffffff-2022-03,2
845f5b9ffffffff-2022-04,3
845f5b9ffffffff-2022-06,2
845f5b9ffffffff-2022-11,1
845f5b9ffffffff-2022-12,4
845f5b9ffffffff-2023-01,4
845f5b9ffffffff-2023-03,2
845f5b9ffffffff-2023-04,5
845f5b9ffffffff-2023-05,2
845f5b9ffffffff-2023-08,4
845f5bdffffffff-2012-04,1
845f5bdffffffff-2013-01,4
845f5bdffffffff-2013-03,1
845f5bdffffffff-2013-09,1
845f5bdffffffff-2014-01,1
845f5bdffffffff-2015-01,2
845f5bdffffffff-2015-03,2
845f5bdffffffff-2015-04,1
845f5bdffffffff-2015-10,3
845f5bdffffffff-2015-12,4
845f5bdffffffff-2017-03,1
845f5bdffffffff-2017-11,2
845f5bdffffffff-2018-02,1
845f5bdffffffff-2018-03,1
845f5bdffffffff-2018-12,7
845f5bdffffffff-2019-02,1
845f5bdffffffff-2019-03,3
845f5bdffffffff-2019-12,1
845f5bdffffffff-2020-01,11
845f5bdffffffff-2020-02,4
845f5bdffffffff-2020-03,2
845f5bdffffffff-2022-05,1
845f5bdffffffff-2022-06,6
845f5bdffffffff-2022-09,4
845f5bdffffffff-2023-02,4
845f5bdffffffff-2023-03,1
845f5bdffffffff-2023-06,1
845f5bdffffffff-2023-07,1
845f5d7ffffffff-2020-01,1
845f5d7ffffffff-2022-12,2
845f5d7ffffffff-2023-04,2
845f5d7ffffffff-2023-05,2
845f635ffffffff-2022-08,1
845f705ffffffff-2014-03,1
845f711ffffffff-2015-03,4
845f711ffffffff-2015-04,1
845f711ffffffff-2015-05,1
845f711ffffffff-2016-01,1
845f711ffffffff-2023-05,4
845f711ffffffff-2023-07,2
845f713ffffffff-2012-03,1
845f755ffffffff-2023-05,5
845f759ffffffff-2013-12,2
845f759ffffffff-2014-04,2
845f759ffffffff-2021-05,3
845f75dffffffff-2023-11,1
845f763ffffffff-2014-03,1
846601bffffffff-2017-01,1
846601bffffffff-2017-08,2
846601bffffffff-2021-06,2
8466021ffffffff-2022-12,4
8466025ffffffff-2018-04,2
8466029ffffffff-2016-05,3
8466029ffffffff-2019-06,1
846602bffffffff-2021-02,1
846602dffffffff-2022-01,1
846603dffffffff-2019-10,8
8466059ffffffff-2015-01,1
8466063ffffffff-2019-05,3
846606bffffffff-2017-02,1
846606bffffffff-2019-12,6
8466081ffffffff-2023-01,1
8466081ffffffff-2023-08,5
8466085ffffffff-2018-02,1
8466087ffffffff-2018-05,3
8466087ffffffff-2021-06,1
8466087ffffffff-2023-07,1
