index,n
8454103ffffffff-2016-04,1
8454103ffffffff-2017-11,2
8454103ffffffff-2018-10,1
8454103ffffffff-2019-01,4
8454103ffffffff-2019-11,4
8454103ffffffff-2019-12,3
8454103ffffffff-2020-01,6
8454103ffffffff-2020-02,4
8454103ffffffff-2022-01,1
8454103ffffffff-2022-02,1
8454103ffffffff-2022-11,1
8454103ffffffff-2022-12,4
8454103ffffffff-2023-01,10
8454103ffffffff-2023-02,1
8454103ffffffff-2023-03,3
8454103ffffffff-2023-04,1
8454115ffffffff-2023-05,3
845411dffffffff-2016-10,1
8454137ffffffff-2018-10,1
8454139ffffffff-2013-01,1
8454139ffffffff-2016-03,1
8454139ffffffff-2016-04,2
8454139ffffffff-2016-07,5
8454139ffffffff-2016-08,2
8454139ffffffff-2016-11,3
8454139ffffffff-2016-12,3
8454139ffffffff-2017-11,2
8454139ffffffff-2017-12,2
8454139ffffffff-2018-01,2
8454139ffffffff-2018-02,2
8454139ffffffff-2018-03,1
8454139ffffffff-2019-01,1
8454139ffffffff-2019-04,3
8454139ffffffff-2019-10,8
8454139ffffffff-2019-11,16
8454139ffffffff-2019-12,3
8454139ffffffff-2020-01,4
8454139ffffffff-2020-02,10
8454139ffffffff-2020-03,5
8454139ffffffff-2020-04,5
8454139ffffffff-2020-05,10
8454139ffffffff-2020-06,6
8454139ffffffff-2020-12,2
8454139ffffffff-2022-01,1
8454139ffffffff-2022-02,4
8454139ffffffff-2023-01,9
8454139ffffffff-2023-02,4
8454139ffffffff-2023-03,8
8454139ffffffff-2023-04,1
8454157ffffffff-2018-01,3
8454157ffffffff-2018-10,1
8454157ffffffff-2019-11,1
84541a7ffffffff-2017-11,1
8454ac3ffffffff-2013-01,1
8454ac3ffffffff-2015-04,1
8454ac3ffffffff-2015-11,1
8454ac3ffffffff-2016-02,1
8454ac3ffffffff-2016-03,2
8454ac3ffffffff-2016-04,3
8454ac3ffffffff-2016-05,1
8454ac3ffffffff-2016-06,2
8454ac3ffffffff-2016-08,2
8454ac3ffffffff-2016-09,1
8454ac3ffffffff-2016-10,11
8454ac3ffffffff-2016-11,2
8454ac3ffffffff-2016-12,1
8454ac3ffffffff-2017-03,2
8454ac3ffffffff-2017-04,4
8454ac3ffffffff-2017-05,2
8454ac3ffffffff-2017-06,1
8454ac3ffffffff-2017-07,1
8454ac3ffffffff-2017-08,1
8454ac3ffffffff-2017-10,4
8454ac3ffffffff-2017-11,3
8454ac3ffffffff-2017-12,1
8454ac3ffffffff-2018-01,4
8454ac3ffffffff-2018-02,1
8454ac3ffffffff-2018-03,4
8454ac3ffffffff-2018-04,4
8454ac3ffffffff-2018-05,2
8454ac3ffffffff-2018-06,7
8454ac3ffffffff-2018-07,5
8454ac3ffffffff-2018-08,2
8454ac3ffffffff-2018-09,1
8454ac3ffffffff-2018-10,2
8454ac3ffffffff-2018-11,3
8454ac3ffffffff-2018-12,6
8454ac3ffffffff-2019-01,6
8454ac3ffffffff-2019-02,3
8454ac3ffffffff-2019-03,5
8454ac3ffffffff-2019-04,10
8454ac3ffffffff-2019-05,11
8454ac3ffffffff-2019-06,5
8454ac3ffffffff-2019-07,5
8454ac3ffffffff-2019-08,3
8454ac3ffffffff-2019-09,1
8454ac3ffffffff-2019-10,8
8454ac3ffffffff-2019-11,4
8454ac3ffffffff-2019-12,9
8454ac3ffffffff-2020-01,4
8454ac3ffffffff-2020-02,9
8454ac3ffffffff-2020-03,1
8454ac3ffffffff-2020-09,1
8454ac3ffffffff-2023-01,2
8454ac3ffffffff-2023-02,2
8454ac3ffffffff-2023-04,2
8454ac3ffffffff-2023-11,1
8454addffffffff-2019-05,1
8454addffffffff-2019-07,2
8454addffffffff-2019-09,1
8454addffffffff-2019-12,2
8454addffffffff-2020-02,2
8458097ffffffff-2020-02,1
8458909ffffffff-2019-05,1
845890bffffffff-2014-03,6
845890dffffffff-2023-11,1
8458919ffffffff-2019-02,1
8458919ffffffff-2019-11,1
8458941ffffffff-2013-06,1
845894dffffffff-2021-11,2
845895bffffffff-2021-05,1
8458961ffffffff-2018-08,1
8458965ffffffff-2019-09,1
8458967ffffffff-2015-02,1
8458967ffffffff-2022-05,1
8458c8bffffffff-2012-03,1
8458c8bffffffff-2020-06,2
8458d8bffffffff-2016-05,1
8458dc5ffffffff-2015-09,1
8458debffffffff-2019-08,5
8458debffffffff-2020-12,2
8458debffffffff-2021-07,4
8458debffffffff-2022-02,1
8458debffffffff-2022-03,1
8458debffffffff-2023-01,1
8458dedffffffff-2013-06,2
8458e31ffffffff-2022-06,1
8458e39ffffffff-2022-06,1
8458f47ffffffff-2020-12,4
8458f47ffffffff-2021-12,3
8458f47ffffffff-2022-10,1
8458f47ffffffff-2023-01,2
8458f47ffffffff-2023-11,1
8458f5bffffffff-2023-02,1
846ac03ffffffff-2023-02,8
846ac15ffffffff-2014-09,1
846ac15ffffffff-2022-03,1
846ac15ffffffff-2022-06,1
846ac15ffffffff-2022-07,1
846ac19ffffffff-2023-01,1
846ac37ffffffff-2017-06,2
846ac37ffffffff-2023-02,1
846ac39ffffffff-2017-12,4
846ac39ffffffff-2019-07,3
846ac3dffffffff-2014-05,1
846ac3dffffffff-2015-07,1
846ac3dffffffff-2017-02,2
846ac3dffffffff-2017-07,1
846ac3dffffffff-2017-08,1
846ac3dffffffff-2017-10,2
846ac3dffffffff-2018-08,1
846ac3dffffffff-2018-11,1
846ac3dffffffff-2021-12,1
846ac3dffffffff-2022-01,3
846ac3dffffffff-2022-07,5
846ac3dffffffff-2023-07,6
846ac3dffffffff-2023-08,1
846ac3dffffffff-2023-09,1
846ac89ffffffff-2014-06,2
846ac89ffffffff-2015-06,1
846ac89ffffffff-2015-07,3
846ac89ffffffff-2016-03,1
846ac89ffffffff-2016-07,2
846ac89ffffffff-2016-12,1
846ac89ffffffff-2017-07,2
846ac89ffffffff-2017-11,1
846ac89ffffffff-2018-01,2
846ac89ffffffff-2018-06,1
846ac89ffffffff-2018-07,3
846ac89ffffffff-2018-10,2
846ac89ffffffff-2018-12,9
846ac89ffffffff-2019-01,2
846ac89ffffffff-2019-02,1
846ac89ffffffff-2019-03,1
846ac89ffffffff-2019-06,2
846ac89ffffffff-2019-07,3
846ac89ffffffff-2019-11,5
846ac89ffffffff-2020-01,1
846ac89ffffffff-2020-02,3
846ac89ffffffff-2020-10,3
846ac89ffffffff-2020-11,5
846ac89ffffffff-2020-12,1
846ac89ffffffff-2021-01,2
846ac89ffffffff-2021-02,3
846ac89ffffffff-2021-04,1
846ac89ffffffff-2021-05,2
846ac89ffffffff-2021-06,8
846ac89ffffffff-2021-07,2
846ac89ffffffff-2021-08,6
846ac89ffffffff-2021-10,2
846ac89ffffffff-2021-11,1
846ac89ffffffff-2022-01,1
846ac89ffffffff-2022-02,3
846ac89ffffffff-2022-03,1
846ac89ffffffff-2022-06,11
846ac89ffffffff-2022-07,11
846ac89ffffffff-2022-08,6
846ac89ffffffff-2022-09,3
846ac89ffffffff-2022-10,1
846ac89ffffffff-2023-01,1
846ac89ffffffff-2023-02,2
846ac89ffffffff-2023-03,3
846ac89ffffffff-2023-06,2
846ac89ffffffff-2023-07,10
846ac89ffffffff-2023-08,7
846ac89ffffffff-2023-09,5
846ac89ffffffff-2023-10,7
846ac89ffffffff-2023-11,3
846ac9bffffffff-2018-12,1
846ac9bffffffff-2020-03,1
846ac9bffffffff-2020-10,3
846ac9bffffffff-2020-12,3
846ac9bffffffff-2021-04,3
846ac9bffffffff-2021-05,9
846ac9bffffffff-2021-11,2
846ac9bffffffff-2022-04,2
846ac9bffffffff-2023-02,2
846ac9bffffffff-2023-09,2
846aca5ffffffff-2021-06,2
846acc7ffffffff-2017-08,1
846acd5ffffffff-2020-05,1
