index,n
8446021ffffffff-2015-08,1
8446083ffffffff-2013-06,2
8446083ffffffff-2018-04,2
8446083ffffffff-2020-04,4
844608bffffffff-2016-08,1
844608bffffffff-2018-02,1
844608bffffffff-2018-04,4
844608bffffffff-2020-04,4
844608bffffffff-2021-07,1
844633dffffffff-2012-01,4
844633dffffffff-2012-02,19
844633dffffffff-2012-03,13
844633dffffffff-2013-03,1
844633dffffffff-2014-08,3
844633dffffffff-2014-09,2
844633dffffffff-2016-08,1
844633dffffffff-2017-08,1
844633dffffffff-2021-07,3
8446421ffffffff-2020-03,8
8446423ffffffff-2018-04,2
8446423ffffffff-2020-03,2
8446429ffffffff-2022-04,10
8446429ffffffff-2022-10,1
844642bffffffff-2022-04,2
8446437ffffffff-2020-03,2
844643dffffffff-2022-04,1
8446483ffffffff-2012-07,1
8446483ffffffff-2013-04,1
8446487ffffffff-2015-04,2
8446487ffffffff-2019-03,2
8446495ffffffff-2012-05,2
8446495ffffffff-2013-05,1
8446495ffffffff-2014-04,2
8446495ffffffff-2014-05,2
8446495ffffffff-2014-07,1
8446495ffffffff-2015-03,1
8446495ffffffff-2015-06,1
8446495ffffffff-2016-04,1
8446495ffffffff-2017-05,1
8446495ffffffff-2017-09,1
8446495ffffffff-2018-03,2
8446495ffffffff-2018-04,1
8446495ffffffff-2018-05,1
8446495ffffffff-2018-07,1
8446495ffffffff-2019-02,1
8446495ffffffff-2020-03,1
8446495ffffffff-2020-05,1
8446495ffffffff-2020-08,1
8446495ffffffff-2021-04,1
8446495ffffffff-2021-05,1
8446495ffffffff-2021-10,1
8446495ffffffff-2022-04,2
8446495ffffffff-2022-12,1
8446495ffffffff-2023-04,2
84464b9ffffffff-2018-04,1
84464bbffffffff-2019-03,9
84464e5ffffffff-2016-04,4
84464e7ffffffff-2022-08,1
84464e7ffffffff-2023-06,1
8446545ffffffff-2020-03,4
844654dffffffff-2015-08,1
844654dffffffff-2016-08,1
8446d0bffffffff-2021-10,1
844785bffffffff-2012-03,1
84478d1ffffffff-2021-07,1
8447a27ffffffff-2017-12,1
8447a35ffffffff-2012-06,2
8447a35ffffffff-2015-05,2
8447a35ffffffff-2016-03,1
8447a35ffffffff-2017-02,1
8447a35ffffffff-2017-05,5
8447a35ffffffff-2017-06,4
