index,n
8420101ffffffff-2022-05,6
842010dffffffff-2022-05,5
842010dffffffff-2023-05,4
842012bffffffff-2023-04,1
842013dffffffff-2015-09,1
8420141ffffffff-2017-04,1
8420141ffffffff-2017-05,5
8420147ffffffff-2017-04,1
8420149ffffffff-2023-05,1
842016dffffffff-2021-05,1
8420199ffffffff-2013-05,1
84201a7ffffffff-2015-09,1
84201a7ffffffff-2017-08,1
84201a7ffffffff-2022-06,2
84201abffffffff-2022-07,3
84201adffffffff-2021-08,2
84201b7ffffffff-2019-07,1
84201b7ffffffff-2023-09,1
84201b9ffffffff-2017-05,3
84201d1ffffffff-2013-05,1
8420497ffffffff-2022-06,2
84204a1ffffffff-2021-05,1
84204a5ffffffff-2018-05,5
84204a5ffffffff-2023-07,1
84204b1ffffffff-2015-06,1
84204b3ffffffff-2022-07,12
84204b5ffffffff-2015-06,1
84204b5ffffffff-2017-06,5
84204b5ffffffff-2021-05,1
84204b7ffffffff-2023-07,6
84204b9ffffffff-2022-06,2
84204d7ffffffff-2023-05,1
8420591ffffffff-2022-06,1
8420595ffffffff-2018-05,5
8420599ffffffff-2023-05,1
8420599ffffffff-2023-06,6
842059bffffffff-2017-06,3
842059bffffffff-2018-05,5
842059bffffffff-2018-06,1
842059bffffffff-2021-05,2
842059bffffffff-2021-07,3
842059bffffffff-2023-05,1
842059bffffffff-2023-07,1
84205b9ffffffff-2019-05,1
84205e3ffffffff-2017-09,2
84206b5ffffffff-2019-06,2
842080bffffffff-2021-07,1
8420815ffffffff-2018-06,1
84208ebffffffff-2013-05,1
842099bffffffff-2016-09,1
842099bffffffff-2019-10,1
84209a5ffffffff-2018-05,1
84209a5ffffffff-2020-09,1
8420a1bffffffff-2017-08,1
8420a5bffffffff-2023-05,1
8420a87ffffffff-2023-05,2
8420ac3ffffffff-2022-06,1
8420e07ffffffff-2013-05,1
8420e07ffffffff-2016-05,2
8420e07ffffffff-2017-05,6
8420e07ffffffff-2018-05,6
8420e07ffffffff-2018-06,8
8420e07ffffffff-2019-05,27
8420e07ffffffff-2019-06,4
8420e07ffffffff-2021-05,1
8420e07ffffffff-2022-05,15
8420e07ffffffff-2022-06,21
8420e07ffffffff-2022-07,2
8420e07ffffffff-2022-09,1
8420e07ffffffff-2023-05,33
8420e07ffffffff-2023-06,21
8420e07ffffffff-2023-07,1
8420e15ffffffff-2019-05,2
8420e25ffffffff-2012-09,1
8420e27ffffffff-2012-09,1
8420e2bffffffff-2019-05,2
8420e2bffffffff-2022-06,6
8420e2bffffffff-2023-06,1
8420e31ffffffff-2019-06,1
8420e39ffffffff-2013-05,1
8420e39ffffffff-2014-06,2
8420e39ffffffff-2018-06,3
8420e39ffffffff-2018-07,1
8420e39ffffffff-2019-05,2
8420e39ffffffff-2019-06,2
8420e39ffffffff-2019-07,1
8420e39ffffffff-2022-05,2
8420e39ffffffff-2022-07,1
8420e39ffffffff-2023-05,1
8420e39ffffffff-2023-06,2
8420e3dffffffff-2019-05,8
8420e3dffffffff-2023-05,9
8420e3dffffffff-2023-06,2
8420e45ffffffff-2018-04,1
8420e45ffffffff-2019-05,2
8420e45ffffffff-2021-05,1
8420e45ffffffff-2023-05,7
8420e61ffffffff-2014-08,1
8420e65ffffffff-2015-09,1
8420e65ffffffff-2023-08,1
8420e69ffffffff-2014-03,1
8420e69ffffffff-2014-06,2
8420e69ffffffff-2014-08,1
8420e69ffffffff-2014-09,1
8420e83ffffffff-2022-07,2
8420e83ffffffff-2023-07,1
8420eb1ffffffff-2021-07,3
8420ed5ffffffff-2019-05,1
8420f41ffffffff-2012-09,1
8420f41ffffffff-2015-09,1
8420f45ffffffff-2022-07,1
8420f49ffffffff-2015-09,1
8420f4bffffffff-2021-07,2
8420f4bffffffff-2022-08,1
8420f4bffffffff-2023-06,1
8420f4dffffffff-2015-09,1
8420f51ffffffff-2021-08,1
8420f51ffffffff-2023-06,1
8420f51ffffffff-2023-08,1
8420f53ffffffff-2017-08,1
8420f53ffffffff-2019-05,1
8420f53ffffffff-2019-07,1
8420f53ffffffff-2021-07,2
8420f53ffffffff-2023-08,1
8420f59ffffffff-2023-07,1
8420f5dffffffff-2020-08,1
8420f5dffffffff-2021-08,3
8420f5dffffffff-2022-06,1
8420f5dffffffff-2022-08,4
8420f5dffffffff-2022-09,2
8420f5dffffffff-2023-05,1
8420f5dffffffff-2023-06,1
8420f5dffffffff-2023-07,1
84218b3ffffffff-2023-04,1
84218b3ffffffff-2023-05,1
842199dffffffff-2020-05,1
84219b3ffffffff-2014-04,1
8424005ffffffff-2023-08,4
8424033ffffffff-2017-06,1
8424039ffffffff-2023-05,2
8424063ffffffff-2019-05,1
84240adffffffff-2017-06,1
84240adffffffff-2019-06,1
84240adffffffff-2019-07,1
8424101ffffffff-2022-05,1
842411bffffffff-2015-04,1
84241d9ffffffff-2023-05,4
8424247ffffffff-2017-06,2
8424265ffffffff-2017-06,2
842428dffffffff-2018-08,1
8424463ffffffff-2017-05,1
8425023ffffffff-2020-06,1
842502bffffffff-2021-07,4
8425105ffffffff-2021-08,2
842510dffffffff-2020-05,2
8425119ffffffff-2016-07,1
8425121ffffffff-2022-07,2
8425127ffffffff-2023-09,4
842512bffffffff-2018-05,1
842512bffffffff-2019-08,1
842512bffffffff-2022-07,2
842512bffffffff-2023-05,2
842512bffffffff-2023-06,4
8425135ffffffff-2017-08,1
8425135ffffffff-2018-08,1
8425135ffffffff-2019-09,2
8425135ffffffff-2022-05,2
8425135ffffffff-2022-07,2
8425135ffffffff-2022-08,9
8425135ffffffff-2023-05,2
8425135ffffffff-2023-07,6
8425135ffffffff-2023-08,7
8425135ffffffff-2023-09,4
8425137ffffffff-2023-08,1
842514bffffffff-2018-07,1
8425169ffffffff-2021-07,3
8425169ffffffff-2022-06,2
842516dffffffff-2022-06,2
8425809ffffffff-2018-05,1
8425897ffffffff-2022-07,1
84258e1ffffffff-2023-05,1
8425a81ffffffff-2020-06,1
8425a85ffffffff-2022-06,2
8425a87ffffffff-2021-08,2
8425a8dffffffff-2020-06,1
8425aa1ffffffff-2023-09,1
8425ac3ffffffff-2022-06,1
8425ac5ffffffff-2019-09,2
8425ac9ffffffff-2018-09,1
8425ac9ffffffff-2019-05,20
8425ac9ffffffff-2019-08,1
8425ac9ffffffff-2020-09,3
8425ac9ffffffff-2022-04,2
8425ac9ffffffff-2022-05,10
8425ac9ffffffff-2023-05,28
8425acbffffffff-2022-07,1
8425acbffffffff-2022-08,1
8425acbffffffff-2023-06,1
8425acbffffffff-2023-09,2
8425ad5ffffffff-2023-06,1
8425ae9ffffffff-2020-06,3
8425ae9ffffffff-2023-07,3
8425b03ffffffff-2018-06,1
8425b07ffffffff-2022-06,1
8425b07ffffffff-2022-07,2
8425b07ffffffff-2023-05,1
8425b07ffffffff-2023-06,1
8425b07ffffffff-2023-07,1
8425b0dffffffff-2022-07,1
8425b1dffffffff-2021-05,1
8425b47ffffffff-2018-05,1
8425b69ffffffff-2022-07,2
842c001ffffffff-2013-06,3
842c001ffffffff-2013-07,2
842c001ffffffff-2014-05,2
842c001ffffffff-2015-06,1
842c001ffffffff-2017-06,1
842c001ffffffff-2019-06,1
842c001ffffffff-2021-05,5
842c001ffffffff-2021-06,1
842c001ffffffff-2022-05,1
842c001ffffffff-2022-06,3
842c001ffffffff-2023-07,5
842c003ffffffff-2014-05,1
842c003ffffffff-2016-05,1
842c003ffffffff-2017-04,1
842c003ffffffff-2018-05,1
842c003ffffffff-2018-06,2
842c003ffffffff-2018-07,1
842c003ffffffff-2019-04,4
842c003ffffffff-2019-05,19
842c003ffffffff-2022-05,14
842c003ffffffff-2022-06,4
842c003ffffffff-2022-07,3
842c003ffffffff-2023-05,23
842c003ffffffff-2023-06,11
842c005ffffffff-2021-08,1
842c00bffffffff-2015-05,2
842c00bffffffff-2019-06,1
842c00bffffffff-2021-06,1
842c00dffffffff-2013-06,1
842c015ffffffff-2022-07,1
842c015ffffffff-2023-05,1
842c01dffffffff-2016-04,1
842c01dffffffff-2023-04,1
842c01dffffffff-2023-06,2
842c031ffffffff-2017-05,4
842c031ffffffff-2018-06,1
842c035ffffffff-2016-06,2
842c035ffffffff-2017-05,7
842c035ffffffff-2018-05,4
842c035ffffffff-2018-06,3
842c035ffffffff-2019-05,6
842c035ffffffff-2019-06,2
842c035ffffffff-2022-05,2
842c037ffffffff-2017-05,1
842c037ffffffff-2019-05,3
842c037ffffffff-2019-06,1
842c039ffffffff-2022-04,1
842c039ffffffff-2023-07,1
842c043ffffffff-2019-06,2
842c043ffffffff-2019-07,3
842c043ffffffff-2022-07,1
842c055ffffffff-2018-04,1
842c057ffffffff-2013-08,1
842c063ffffffff-2021-08,1
842c065ffffffff-2013-06,1
842c065ffffffff-2021-05,1
842c065ffffffff-2021-06,1
842c10bffffffff-2020-06,1
842c119ffffffff-2021-05,2
842c139ffffffff-2016-07,1
842c139ffffffff-2017-06,2
842c139ffffffff-2018-06,1
842c139ffffffff-2019-06,1
842c139ffffffff-2021-07,1
842c139ffffffff-2021-09,1
842c157ffffffff-2021-05,4
842c15bffffffff-2013-05,5
842c15bffffffff-2013-06,1
842c15bffffffff-2017-06,1
842c15bffffffff-2021-05,5
842c15bffffffff-2022-05,6
842c15bffffffff-2022-06,1
842c15bffffffff-2023-05,2
842c183ffffffff-2022-07,1
842c1a5ffffffff-2018-07,1
842c1abffffffff-2022-09,1
842c1b7ffffffff-2016-07,1
842c1d9ffffffff-2022-06,1
842c333ffffffff-2019-05,1
842c333ffffffff-2022-05,2
842c333ffffffff-2022-09,2
842c33bffffffff-2022-06,2
842c893ffffffff-2022-05,1
842c899ffffffff-2019-10,1
842c89bffffffff-2014-07,1
842c89bffffffff-2022-08,1
842c8a7ffffffff-2022-05,1
842c8a9ffffffff-2019-06,1
842c8abffffffff-2020-06,1
842c8cbffffffff-2016-06,1
842c903ffffffff-2015-01,2
842c903ffffffff-2015-09,3
842c99bffffffff-2021-05,1
842ca8dffffffff-2022-06,1
842caabffffffff-2021-06,1
842caabffffffff-2022-07,1
842cab1ffffffff-2022-07,2
842cabdffffffff-2019-07,1
842cac3ffffffff-2017-04,1
842cac7ffffffff-2016-05,2
842cac7ffffffff-2017-04,1
842cac7ffffffff-2018-05,4
842cac7ffffffff-2018-06,1
842cac7ffffffff-2021-05,6
842cac7ffffffff-2022-04,2
842cac7ffffffff-2022-05,3
842caebffffffff-2022-05,2
842cc21ffffffff-2012-08,1
842cc21ffffffff-2021-04,1
842cc21ffffffff-2023-07,2
842cc25ffffffff-2015-09,1
842cc2dffffffff-2012-08,5
842cc2dffffffff-2013-07,1
842cc2dffffffff-2017-04,1
842cc2dffffffff-2019-05,1
842cc2dffffffff-2019-06,1
842cc2dffffffff-2022-06,6
842cc31ffffffff-2018-05,1
842cc31ffffffff-2020-06,2
842cc33ffffffff-2020-05,1
842cc35ffffffff-2020-05,3
842cc35ffffffff-2021-04,1
842cc35ffffffff-2022-04,4
842cc35ffffffff-2023-06,4
842cc37ffffffff-2020-04,1
842cc37ffffffff-2020-05,1
842cc39ffffffff-2020-05,1
842cc3dffffffff-2016-07,3
842cc3dffffffff-2020-05,1
842cc65ffffffff-2020-06,1
842cc67ffffffff-2020-05,1
842ccadffffffff-2022-04,1
842ccb1ffffffff-2013-08,1
842ccb1ffffffff-2017-09,1
842ccb7ffffffff-2019-06,2
842cd59ffffffff-2019-05,2
842cd5bffffffff-2019-07,1
842cd5bffffffff-2021-06,3
842cdd5ffffffff-2017-04,2
842cdd5ffffffff-2019-04,2
842cdddffffffff-2020-08,1
842cf03ffffffff-2015-06,1
842cf03ffffffff-2015-08,1
842cf03ffffffff-2018-05,1
842cf31ffffffff-2014-08,1
842cf31ffffffff-2014-09,4
842cf31ffffffff-2015-06,3
842cf31ffffffff-2015-07,1
842cf31ffffffff-2016-06,1
842cf31ffffffff-2016-08,1
842cf31ffffffff-2016-10,1
842cf31ffffffff-2017-05,2
842cf31ffffffff-2017-06,1
842cf31ffffffff-2017-08,1
842cf31ffffffff-2017-09,1
842cf31ffffffff-2018-05,1
842cf31ffffffff-2018-09,1
842cf31ffffffff-2019-10,2
842cf31ffffffff-2020-07,1
842cf31ffffffff-2021-05,1
842cf31ffffffff-2021-06,1
842cf31ffffffff-2022-05,2
842cf31ffffffff-2022-08,1
842cf31ffffffff-2022-10,1
842cf31ffffffff-2023-06,1
842cf33ffffffff-2012-05,1
842cf33ffffffff-2015-05,1
842cf33ffffffff-2015-07,2
842cf33ffffffff-2016-05,2
842cf33ffffffff-2017-05,5
842cf33ffffffff-2018-06,2
842cf33ffffffff-2019-05,1
842cf33ffffffff-2020-05,1
842cf33ffffffff-2021-07,4
842cf35ffffffff-2017-10,3
842cf35ffffffff-2020-09,2
842cf35ffffffff-2021-05,1
842cf37ffffffff-2014-09,4
842cf3bffffffff-2014-07,1
842cf3bffffffff-2015-06,4
842cf3bffffffff-2016-06,2
842cf3bffffffff-2017-08,1
842cf3bffffffff-2018-06,1
842cf3bffffffff-2020-08,2
842cf3bffffffff-2021-03,2
842cf3bffffffff-2021-05,1
842cf3bffffffff-2021-07,1
842cf3bffffffff-2022-05,1
842cf3bffffffff-2022-06,1
843c029ffffffff-2022-09,7
843c0b7ffffffff-2019-10,1
843c191ffffffff-2021-10,5
843c199ffffffff-2013-11,1
843c199ffffffff-2022-11,1
843c19bffffffff-2018-10,1
843c1c3ffffffff-2022-11,3
843c5a9ffffffff-2019-11,1
843c90bffffffff-2018-02,2
843c90bffffffff-2018-03,2
843c90bffffffff-2019-03,1
843c927ffffffff-2018-12,2
843ca25ffffffff-2022-03,1
843ca65ffffffff-2019-12,1
843ca87ffffffff-2023-02,5
843ca8dffffffff-2022-02,2
843ca8dffffffff-2022-03,2
843ca8dffffffff-2022-04,2
843cab7ffffffff-2018-12,2
843cab9ffffffff-2021-12,3
843cab9ffffffff-2023-02,1
843cb09ffffffff-2022-01,1
843cb0bffffffff-2019-03,1
843cb15ffffffff-2021-02,6
843cb41ffffffff-2022-01,2
843cb41ffffffff-2022-11,1
843cb41ffffffff-2023-02,1
843cb45ffffffff-2022-01,1
843cb47ffffffff-2018-10,1
843cb47ffffffff-2023-02,1
843cb5dffffffff-2023-10,1
843cb65ffffffff-2022-01,1
843cb6bffffffff-2018-11,1
843cd4bffffffff-2019-11,5
843ce55ffffffff-2021-04,1
843ce57ffffffff-2021-04,2
