index,n
84a8849ffffffff-2012-09,1
84a8849ffffffff-2013-09,1
84a8849ffffffff-2013-10,1
84a8849ffffffff-2013-11,1
84a8849ffffffff-2014-09,1
84a8849ffffffff-2014-12,1
84a8849ffffffff-2015-10,3
84a8849ffffffff-2015-11,2
84a8849ffffffff-2016-05,4
84a8849ffffffff-2017-02,1
84a8849ffffffff-2017-11,1
84a8849ffffffff-2018-10,2
84a8849ffffffff-2019-12,5
84a8849ffffffff-2020-09,2
84a8849ffffffff-2022-07,3
84a8849ffffffff-2022-10,1
84a8849ffffffff-2023-07,2
84a8849ffffffff-2023-10,1
84a8a13ffffffff-2021-12,1
84a8a13ffffffff-2023-07,1
84a8a23ffffffff-2012-11,1
84a8a23ffffffff-2013-09,1
84a8a23ffffffff-2013-10,5
84a8a23ffffffff-2014-02,2
84a8a23ffffffff-2014-06,2
84a8a23ffffffff-2014-11,2
84a8a23ffffffff-2014-12,1
84a8a23ffffffff-2015-05,1
84a8a23ffffffff-2015-07,1
84a8a23ffffffff-2016-02,2
84a8a23ffffffff-2016-05,1
84a8a23ffffffff-2016-08,1
84a8a23ffffffff-2016-09,10
84a8a23ffffffff-2016-10,1
84a8a23ffffffff-2016-11,3
84a8a23ffffffff-2017-04,1
84a8a23ffffffff-2017-06,4
84a8a23ffffffff-2017-07,3
84a8a23ffffffff-2017-08,1
84a8a23ffffffff-2017-09,4
84a8a23ffffffff-2017-10,4
84a8a23ffffffff-2017-11,1
84a8a23ffffffff-2018-02,1
84a8a23ffffffff-2018-04,1
84a8a23ffffffff-2018-06,4
84a8a23ffffffff-2018-07,5
84a8a23ffffffff-2018-10,4
84a8a23ffffffff-2018-11,4
84a8a23ffffffff-2018-12,3
84a8a23ffffffff-2019-01,3
84a8a23ffffffff-2019-04,1
84a8a23ffffffff-2019-06,10
84a8a23ffffffff-2019-08,5
84a8a23ffffffff-2019-09,6
84a8a23ffffffff-2019-10,7
84a8a23ffffffff-2019-11,9
84a8a23ffffffff-2019-12,1
84a8a23ffffffff-2020-01,2
84a8a23ffffffff-2020-02,2
84a8a23ffffffff-2020-03,1
84a8a23ffffffff-2020-09,2
84a8a23ffffffff-2020-10,4
84a8a23ffffffff-2020-12,1
84a8a23ffffffff-2021-06,5
84a8a23ffffffff-2021-07,3
84a8a23ffffffff-2021-08,2
84a8a23ffffffff-2021-09,1
84a8a23ffffffff-2021-10,4
84a8a23ffffffff-2021-11,3
84a8a23ffffffff-2021-12,5
84a8a23ffffffff-2022-02,2
84a8a23ffffffff-2022-05,3
84a8a23ffffffff-2022-06,2
84a8a23ffffffff-2022-07,8
84a8a23ffffffff-2022-08,8
84a8a23ffffffff-2022-09,6
84a8a23ffffffff-2022-10,31
84a8a23ffffffff-2022-11,4
84a8a23ffffffff-2022-12,2
84a8a23ffffffff-2023-01,4
84a8a23ffffffff-2023-03,8
84a8a23ffffffff-2023-05,1
84a8a23ffffffff-2023-06,4
84a8a23ffffffff-2023-07,6
84a8a23ffffffff-2023-08,2
84a8a23ffffffff-2023-09,9
84a8a23ffffffff-2023-10,16
84a8a23ffffffff-2023-11,8
84a8a3dffffffff-2015-06,1
84a8a3dffffffff-2017-01,1
84a8a3dffffffff-2017-09,4
84a8a3dffffffff-2021-10,1
