index,n
8466c15ffffffff-2022-01,1
8466c21ffffffff-2017-01,2
8466c37ffffffff-2023-01,1
8466c95ffffffff-2017-02,2
8466ce9ffffffff-2015-03,1
8466ce9ffffffff-2019-05,2
8466d1bffffffff-2016-02,1
8466d1bffffffff-2017-03,2
8466d1bffffffff-2017-12,6
8466d1bffffffff-2018-02,4
8466d1bffffffff-2018-03,2
8466d1bffffffff-2018-05,4
8466d1bffffffff-2018-08,6
8466d1bffffffff-2019-01,1
8466d1bffffffff-2019-05,1
8466d1bffffffff-2019-07,1
8466d1bffffffff-2019-09,2
8466d1bffffffff-2019-12,5
8466d1bffffffff-2020-11,1
8466d1bffffffff-2020-12,5
8466d1bffffffff-2021-01,6
8466d1bffffffff-2021-02,1
8466d1bffffffff-2021-05,2
8466d1bffffffff-2021-06,4
8466d1bffffffff-2021-08,5
8466d1bffffffff-2021-10,1
8466d1bffffffff-2022-01,1
8466d1bffffffff-2022-07,2
8466d1bffffffff-2023-02,5
8466d1bffffffff-2023-05,8
8466d81ffffffff-2012-12,3
8466d81ffffffff-2013-03,1
8466d81ffffffff-2014-03,1
8466d81ffffffff-2014-07,8
8466d81ffffffff-2014-09,1
8466d81ffffffff-2016-05,1
8466d81ffffffff-2017-02,1
8466d81ffffffff-2017-05,1
8466d81ffffffff-2018-07,2
8466d81ffffffff-2018-10,2
8466d81ffffffff-2019-01,1
8466d81ffffffff-2019-02,1
8466d81ffffffff-2019-11,1
8466d81ffffffff-2020-03,1
8466d81ffffffff-2022-01,3
8466d8dffffffff-2012-06,3
8466d8dffffffff-2014-03,1
8466dadffffffff-2018-12,1
8466dadffffffff-2020-01,1
8466dadffffffff-2020-02,2
8466dadffffffff-2023-01,2
8466db1ffffffff-2021-06,1
8466dc3ffffffff-2014-12,1
8466dc3ffffffff-2015-06,4
8466dc3ffffffff-2016-10,1
8466dc3ffffffff-2018-12,2
8466dc3ffffffff-2019-11,1
8466dc3ffffffff-2020-01,1
8466dc3ffffffff-2020-03,3
8466dc3ffffffff-2021-02,1
8466dc3ffffffff-2021-04,1
8466dc3ffffffff-2021-07,3
8466dc3ffffffff-2022-05,1
8466dc3ffffffff-2022-11,9
8466dc3ffffffff-2022-12,3
8466dc3ffffffff-2023-03,1
8466dc3ffffffff-2023-07,1
8466dc3ffffffff-2023-11,2
8466dc7ffffffff-2017-08,1
8466dc7ffffffff-2017-09,1
8466dc7ffffffff-2019-10,1
8466dd5ffffffff-2012-02,1
8466dd5ffffffff-2012-03,3
8466dd5ffffffff-2012-04,1
8466dd5ffffffff-2012-07,2
8466dd5ffffffff-2014-06,1
8466dd5ffffffff-2016-02,1
8466ddbffffffff-2017-12,1
8466dddffffffff-2019-02,2
8466de1ffffffff-2020-01,1
8466de3ffffffff-2013-09,2
8466de3ffffffff-2014-12,1
8466de3ffffffff-2015-02,2
8466de3ffffffff-2015-08,1
8466de3ffffffff-2015-10,1
8466de3ffffffff-2016-08,2
8466de3ffffffff-2017-11,4
8466de3ffffffff-2017-12,2
8466de3ffffffff-2018-11,1
8466de3ffffffff-2019-07,2
8466de3ffffffff-2020-01,2
8466de3ffffffff-2020-11,1
8466de3ffffffff-2021-05,10
8466de3ffffffff-2021-10,3
8466de3ffffffff-2022-01,2
8466de3ffffffff-2022-05,2
8466de3ffffffff-2022-06,2
8466de3ffffffff-2022-07,5
8466de3ffffffff-2022-08,1
8466de3ffffffff-2023-04,1
8466de3ffffffff-2023-06,2
8466de3ffffffff-2023-07,1
8466de3ffffffff-2023-09,1
8466de3ffffffff-2023-10,1
8466de7ffffffff-2013-11,1
8466de7ffffffff-2015-05,1
8466de7ffffffff-2020-07,1
8466de7ffffffff-2020-09,1
8466de7ffffffff-2021-02,1
8466de7ffffffff-2023-11,2
8466debffffffff-2015-01,1
8466debffffffff-2015-08,1
8466debffffffff-2017-08,3
8466debffffffff-2018-01,1
8466debffffffff-2019-01,1
8466debffffffff-2019-08,1
8466debffffffff-2020-01,6
8466debffffffff-2020-10,2
8466debffffffff-2020-12,1
8466debffffffff-2021-07,1
8466debffffffff-2021-09,2
8466debffffffff-2021-10,7
8466debffffffff-2022-01,2
8466debffffffff-2022-08,1
8466debffffffff-2022-09,3
8466debffffffff-2022-10,14
8466debffffffff-2022-11,1
8466debffffffff-2022-12,2
8466debffffffff-2023-01,2
8466debffffffff-2023-02,7
8466debffffffff-2023-03,1
8466debffffffff-2023-05,6
8466debffffffff-2023-08,1
