index,n
8468401ffffffff-2022-08,1
8468409ffffffff-2023-05,2
8468415ffffffff-2012-06,1
8468415ffffffff-2016-11,6
8468415ffffffff-2017-05,2
846841bffffffff-2023-04,1
8468423ffffffff-2015-02,1
8468423ffffffff-2022-05,1
8468423ffffffff-2023-02,3
8468423ffffffff-2023-03,1
8468423ffffffff-2023-05,1
846842bffffffff-2018-11,5
846842bffffffff-2018-12,2
8468433ffffffff-2022-01,1
8468435ffffffff-2012-01,1
8468435ffffffff-2013-02,4
8468435ffffffff-2013-12,1
8468435ffffffff-2014-03,1
8468435ffffffff-2015-02,2
8468435ffffffff-2015-04,2
8468435ffffffff-2015-05,1
8468435ffffffff-2016-01,1
8468435ffffffff-2016-02,7
8468435ffffffff-2016-03,7
8468435ffffffff-2016-07,1
8468435ffffffff-2016-08,1
8468435ffffffff-2017-01,1
8468435ffffffff-2017-02,2
8468435ffffffff-2017-04,2
8468435ffffffff-2017-05,1
8468435ffffffff-2017-06,1
8468435ffffffff-2018-01,3
8468435ffffffff-2018-02,4
8468435ffffffff-2018-05,3
8468435ffffffff-2018-06,1
8468435ffffffff-2018-08,3
8468435ffffffff-2019-02,5
8468435ffffffff-2019-03,5
8468435ffffffff-2019-04,10
8468435ffffffff-2019-05,6
8468435ffffffff-2020-01,1
8468435ffffffff-2020-02,5
8468435ffffffff-2020-03,3
8468435ffffffff-2022-06,3
8468435ffffffff-2022-08,1
8468435ffffffff-2023-02,12
8468435ffffffff-2023-03,7
8468435ffffffff-2023-08,1
8468439ffffffff-2022-08,9
8468447ffffffff-2012-03,2
8468447ffffffff-2012-05,7
8468447ffffffff-2012-09,1
8468447ffffffff-2012-10,3
8468447ffffffff-2012-12,1
8468447ffffffff-2013-07,1
8468447ffffffff-2013-08,1
8468447ffffffff-2013-10,1
8468447ffffffff-2013-12,2
8468447ffffffff-2014-02,2
8468447ffffffff-2014-03,3
8468447ffffffff-2015-03,1
8468447ffffffff-2015-10,1
8468447ffffffff-2015-12,2
8468447ffffffff-2016-02,6
8468447ffffffff-2016-05,30
8468447ffffffff-2016-07,2
8468447ffffffff-2017-01,7
8468447ffffffff-2017-02,11
8468447ffffffff-2017-03,8
8468447ffffffff-2017-10,2
8468447ffffffff-2018-02,3
8468447ffffffff-2018-03,1
8468447ffffffff-2018-05,1
8468447ffffffff-2018-06,13
8468447ffffffff-2018-09,1
8468447ffffffff-2019-02,21
8468447ffffffff-2019-03,4
8468447ffffffff-2019-04,1
8468447ffffffff-2019-06,5
8468447ffffffff-2019-07,3
8468447ffffffff-2019-08,1
8468447ffffffff-2019-09,1
8468447ffffffff-2019-11,42
8468447ffffffff-2020-01,7
8468447ffffffff-2020-02,8
8468447ffffffff-2020-03,1
8468447ffffffff-2022-04,1
8468447ffffffff-2022-05,1
8468447ffffffff-2022-06,4
8468447ffffffff-2022-07,3
8468447ffffffff-2022-08,2
8468447ffffffff-2022-09,1
8468447ffffffff-2022-11,1
8468447ffffffff-2022-12,3
8468447ffffffff-2023-02,5
8468447ffffffff-2023-03,25
8468447ffffffff-2023-04,40
8468447ffffffff-2023-05,5
8468447ffffffff-2023-06,26
8468447ffffffff-2023-07,7
8468447ffffffff-2023-08,27
8468447ffffffff-2023-09,6
8468447ffffffff-2023-10,8
8468451ffffffff-2018-03,1
8468459ffffffff-2015-03,3
8468459ffffffff-2017-03,1
8468459ffffffff-2019-08,1
8468459ffffffff-2023-01,1
8468459ffffffff-2023-02,1
8468459ffffffff-2023-09,4
846845dffffffff-2022-03,1
846846bffffffff-2017-01,1
84684e5ffffffff-2012-02,3
84684e5ffffffff-2012-03,6
84684e5ffffffff-2014-01,3
84684e5ffffffff-2014-02,5
84684e5ffffffff-2014-03,3
84684e5ffffffff-2014-06,2
84684e5ffffffff-2015-02,13
84684e5ffffffff-2015-04,2
84684e5ffffffff-2015-08,2
84684e5ffffffff-2016-01,2
84684e5ffffffff-2016-02,11
84684e5ffffffff-2016-03,18
84684e5ffffffff-2016-04,2
84684e5ffffffff-2016-05,21
84684e5ffffffff-2016-06,2
84684e5ffffffff-2016-12,2
84684e5ffffffff-2017-01,5
84684e5ffffffff-2017-02,17
84684e5ffffffff-2017-03,26
84684e5ffffffff-2017-04,6
