index,n
847a401ffffffff-2023-03,2
847a409ffffffff-2020-10,6
847a409ffffffff-2021-11,3
847a409ffffffff-2021-12,1
847a409ffffffff-2022-01,1
847a409ffffffff-2022-04,2
847a409ffffffff-2023-03,2
847a409ffffffff-2023-06,1
847a409ffffffff-2023-10,5
847a40bffffffff-2014-01,1
847a40bffffffff-2015-11,1
847a40bffffffff-2015-12,1
847a40bffffffff-2016-03,1
847a40bffffffff-2016-06,1
847a40bffffffff-2016-07,1
847a40bffffffff-2017-03,1
847a40bffffffff-2017-04,1
847a40bffffffff-2018-04,1
847a40bffffffff-2018-08,1
847a40bffffffff-2019-01,2
847a40bffffffff-2019-05,1
847a40bffffffff-2019-09,1
847a40bffffffff-2019-11,3
847a40bffffffff-2020-09,1
847a40bffffffff-2020-11,1
847a40bffffffff-2020-12,2
847a40bffffffff-2021-05,3
847a40bffffffff-2021-07,1
847a40bffffffff-2021-08,3
847a40bffffffff-2021-10,2
847a40bffffffff-2021-12,2
847a40bffffffff-2022-01,1
847a40bffffffff-2022-02,3
847a40bffffffff-2022-03,1
847a40bffffffff-2022-08,1
847a40bffffffff-2022-09,1
847a40bffffffff-2022-10,2
847a40bffffffff-2022-11,1
847a40bffffffff-2023-01,1
847a40bffffffff-2023-04,1
847a40bffffffff-2023-05,7
847a40bffffffff-2023-06,1
847a40bffffffff-2023-07,6
847a40bffffffff-2023-09,1
847a40bffffffff-2023-10,5
847a40dffffffff-2020-10,2
847a40dffffffff-2021-08,4
847a40dffffffff-2021-11,1
847a40dffffffff-2022-06,1
847a40dffffffff-2023-02,2
847a40dffffffff-2023-03,2
847a411ffffffff-2014-04,1
847a411ffffffff-2020-10,1
847a417ffffffff-2022-04,1
847a417ffffffff-2022-05,1
847a419ffffffff-2021-05,1
847a419ffffffff-2021-12,2
847a419ffffffff-2022-05,2
847a41bffffffff-2012-10,1
847a41bffffffff-2013-05,1
847a41bffffffff-2013-07,1
847a41bffffffff-2014-09,2
847a41bffffffff-2016-11,3
847a41bffffffff-2018-01,1
847a41bffffffff-2018-07,1
847a41bffffffff-2019-01,4
847a41bffffffff-2020-10,1
847a41bffffffff-2021-02,3
847a41bffffffff-2021-04,5
847a41bffffffff-2021-09,1
847a41bffffffff-2022-02,2
847a41bffffffff-2022-06,2
847a41bffffffff-2022-09,1
847a41bffffffff-2023-01,8
847a41bffffffff-2023-07,1
847a41dffffffff-2015-07,1
847a41dffffffff-2019-11,1
847a41dffffffff-2022-02,2
847a41dffffffff-2022-05,2
847a41dffffffff-2022-06,1
847a41dffffffff-2022-08,1
847a41dffffffff-2023-01,1
847a41dffffffff-2023-05,1
847a41dffffffff-2023-09,1
847a431ffffffff-2020-01,1
847a431ffffffff-2022-05,1
847a431ffffffff-2022-06,1
847a431ffffffff-2022-08,1
847a439ffffffff-2017-02,1
