index,n
845280dffffffff-2019-02,2
845280dffffffff-2020-02,1
8452817ffffffff-2019-05,1
8452831ffffffff-2017-09,1
8452831ffffffff-2019-04,2
8452831ffffffff-2019-10,1
8452851ffffffff-2018-03,1
8452857ffffffff-2019-05,1
8452863ffffffff-2019-04,2
8452867ffffffff-2019-02,4
8452867ffffffff-2019-03,1
8452867ffffffff-2019-10,1
8452867ffffffff-2020-02,2
845291bffffffff-2014-04,1
845291bffffffff-2017-01,1
845291bffffffff-2017-06,1
8452993ffffffff-2021-01,1
8452993ffffffff-2021-06,1
8452997ffffffff-2018-10,1
8452997ffffffff-2020-02,3
8452997ffffffff-2021-04,1
84529a3ffffffff-2018-10,3
84529b5ffffffff-2012-04,1
84529b5ffffffff-2013-12,1
84529b5ffffffff-2014-01,1
84529b5ffffffff-2014-02,1
84529b5ffffffff-2014-06,1
84529b5ffffffff-2014-11,3
84529b5ffffffff-2014-12,1
84529b5ffffffff-2015-01,1
84529b5ffffffff-2015-03,1
84529b5ffffffff-2015-11,1
84529b5ffffffff-2016-01,2
84529b5ffffffff-2016-07,2
84529b5ffffffff-2017-01,1
84529b5ffffffff-2017-02,2
84529b5ffffffff-2017-05,1
84529b5ffffffff-2017-09,5
84529b5ffffffff-2017-10,1
84529b5ffffffff-2017-11,2
84529b5ffffffff-2018-01,5
84529b5ffffffff-2018-02,15
84529b5ffffffff-2018-03,6
84529b5ffffffff-2018-04,6
84529b5ffffffff-2018-05,1
84529b5ffffffff-2018-06,6
84529b5ffffffff-2018-07,7
84529b5ffffffff-2018-09,1
84529b5ffffffff-2018-10,7
84529b5ffffffff-2018-11,2
84529b5ffffffff-2018-12,1
84529b5ffffffff-2019-01,4
84529b5ffffffff-2019-02,1
84529b5ffffffff-2019-03,5
84529b5ffffffff-2019-04,3
84529b5ffffffff-2019-05,3
84529b5ffffffff-2019-06,3
84529b5ffffffff-2019-08,2
84529b5ffffffff-2019-10,10
84529b5ffffffff-2019-11,2
84529b5ffffffff-2019-12,10
84529b5ffffffff-2020-01,2
84529b5ffffffff-2020-02,1
84529b5ffffffff-2020-03,4
84529b5ffffffff-2020-04,1
84529b5ffffffff-2020-08,3
84529b5ffffffff-2020-09,2
84529b5ffffffff-2020-10,3
84529b5ffffffff-2020-11,1
84529b5ffffffff-2020-12,1
84529b5ffffffff-2021-01,2
84529b5ffffffff-2021-02,10
84529b5ffffffff-2021-03,2
84529b5ffffffff-2021-04,4
84529b5ffffffff-2021-05,1
84529b5ffffffff-2021-06,5
84529b5ffffffff-2021-08,3
84529b5ffffffff-2021-09,5
84529b5ffffffff-2021-10,14
84529b5ffffffff-2021-11,10
84529b5ffffffff-2021-12,2
84529b5ffffffff-2022-01,2
84529b5ffffffff-2022-02,8
84529b5ffffffff-2022-03,1
84529b5ffffffff-2022-04,1
