index,n
8445201ffffffff-2013-06,1
8445201ffffffff-2014-04,1
8445201ffffffff-2015-06,51
8445201ffffffff-2015-07,13
8445201ffffffff-2016-06,19
8445201ffffffff-2016-07,18
8445201ffffffff-2017-06,3
8445201ffffffff-2017-07,1
8445201ffffffff-2019-06,14
8445201ffffffff-2019-07,6
8445201ffffffff-2022-05,7
8445201ffffffff-2022-06,17
8445201ffffffff-2022-07,7
8445201ffffffff-2023-05,1
8445201ffffffff-2023-06,24
8445201ffffffff-2023-07,2
8445201ffffffff-2023-09,1
8445205ffffffff-2016-07,1
8445205ffffffff-2019-03,1
8445205ffffffff-2023-04,3
8445207ffffffff-2013-05,3
8445207ffffffff-2013-06,4
8445207ffffffff-2019-05,1
8445207ffffffff-2021-05,1
8445207ffffffff-2022-07,1
8445209ffffffff-2012-11,1
8445209ffffffff-2013-05,2
8445209ffffffff-2013-06,2
8445209ffffffff-2014-02,3
8445209ffffffff-2014-05,1
8445209ffffffff-2014-12,1
8445209ffffffff-2015-03,1
8445209ffffffff-2015-04,1
844520bffffffff-2019-05,1
844520dffffffff-2017-12,1
844520dffffffff-2018-02,1
844520dffffffff-2018-03,2
844520dffffffff-2018-05,3
844520dffffffff-2018-07,1
844520dffffffff-2019-06,1
844520dffffffff-2021-03,6
844520dffffffff-2023-04,1
8445225ffffffff-2013-02,1
8445225ffffffff-2013-03,4
8445225ffffffff-2014-12,4
8445225ffffffff-2016-12,1
8445225ffffffff-2017-01,5
8445225ffffffff-2018-01,9
8445225ffffffff-2018-02,2
8445225ffffffff-2019-01,4
8445225ffffffff-2019-02,1
8445225ffffffff-2020-03,1
8445225ffffffff-2021-10,5
8445225ffffffff-2022-01,1
8445241ffffffff-2016-04,3
8445243ffffffff-2013-03,1
8445243ffffffff-2013-04,5
8445243ffffffff-2013-08,2
8445243ffffffff-2015-04,2
8445243ffffffff-2015-05,1
8445243ffffffff-2016-04,11
8445243ffffffff-2016-06,2
8445243ffffffff-2016-10,2
8445243ffffffff-2017-01,1
8445243ffffffff-2017-03,1
8445243ffffffff-2017-04,5
8445243ffffffff-2017-05,2
8445243ffffffff-2018-06,7
8445243ffffffff-2018-08,1
8445243ffffffff-2019-03,1
8445243ffffffff-2019-04,8
8445243ffffffff-2019-12,3
8445243ffffffff-2020-01,5
8445243ffffffff-2020-02,7
8445243ffffffff-2020-05,2
8445243ffffffff-2021-04,5
8445243ffffffff-2021-05,1
8445243ffffffff-2021-06,1
8445243ffffffff-2022-03,4
8445243ffffffff-2022-04,2
8445243ffffffff-2022-05,1
8445243ffffffff-2022-06,2
8445243ffffffff-2022-07,1
8445243ffffffff-2023-01,2
8445243ffffffff-2023-03,1
8445243ffffffff-2023-05,6
8445245ffffffff-2015-05,2
8445245ffffffff-2017-06,4
8445247ffffffff-2017-02,7
8445247ffffffff-2017-04,4
8445247ffffffff-2017-10,1
8445247ffffffff-2018-04,7
8445247ffffffff-2018-05,12
8445247ffffffff-2018-06,1
8445247ffffffff-2018-08,1
8445247ffffffff-2019-04,16
8445247ffffffff-2019-07,5
8445247ffffffff-2022-05,3
8445247ffffffff-2022-06,2
844524bffffffff-2015-05,3
844524bffffffff-2016-04,4
844524bffffffff-2016-05,2
844524bffffffff-2017-07,6
844524bffffffff-2019-06,2
844524bffffffff-2019-07,2
844524bffffffff-2019-09,1
844524bffffffff-2019-11,2
844524bffffffff-2020-12,1
844524bffffffff-2021-03,6
844524bffffffff-2021-05,2
844524bffffffff-2022-05,4
844524bffffffff-2023-03,8
844524bffffffff-2023-04,10
844524bffffffff-2023-05,7
844524bffffffff-2023-06,9
844524bffffffff-2023-07,5
844524bffffffff-2023-08,9
844524bffffffff-2023-11,2
8445255ffffffff-2013-07,1
844525bffffffff-2012-04,2
844525bffffffff-2014-03,2
844525bffffffff-2015-03,3
844525bffffffff-2015-05,1
844525bffffffff-2016-05,1
844525bffffffff-2017-05,4
844525bffffffff-2018-02,2
844525bffffffff-2018-03,7
844525bffffffff-2019-04,2
844525bffffffff-2020-06,1
844525bffffffff-2021-03,2
844525bffffffff-2021-10,2
844525bffffffff-2021-12,8
844525bffffffff-2022-03,1
844525bffffffff-2022-10,2
844525bffffffff-2023-09,1
8445261ffffffff-2018-04,1
8445263ffffffff-2013-05,1
8445263ffffffff-2016-02,3
8445263ffffffff-2016-03,1
8445263ffffffff-2019-03,1
8445263ffffffff-2022-09,2
8445263ffffffff-2023-02,2
8445267ffffffff-2016-02,1
8445267ffffffff-2016-03,6
8445267ffffffff-2017-02,2
8445269ffffffff-2013-05,3
8445269ffffffff-2014-03,1
8445269ffffffff-2014-06,1
8445269ffffffff-2017-04,2
8445269ffffffff-2018-03,2
8445269ffffffff-2018-04,1
8445269ffffffff-2019-02,2
8445269ffffffff-2019-03,1
8445269ffffffff-2019-07,1
8445269ffffffff-2020-07,4
8445269ffffffff-2021-12,1
8445269ffffffff-2022-01,1
844526bffffffff-2016-09,1
844526bffffffff-2018-03,6
844526bffffffff-2018-05,1
844526bffffffff-2018-06,2
844526bffffffff-2018-08,1
844526bffffffff-2019-02,3
844526bffffffff-2019-03,3
844526bffffffff-2019-05,3
844526bffffffff-2019-06,1
844526bffffffff-2019-07,4
844526bffffffff-2019-08,3
844526bffffffff-2020-10,2
844526bffffffff-2021-01,2
844526bffffffff-2022-05,3
844526bffffffff-2023-03,8
844526dffffffff-2023-07,1
8445301ffffffff-2013-05,7
8445309ffffffff-2012-05,15
8445309ffffffff-2023-06,1
844530bffffffff-2019-08,1
844530dffffffff-2013-06,2
8445343ffffffff-2012-05,1
8445343ffffffff-2016-12,1
8445343ffffffff-2017-01,3
8445343ffffffff-2017-02,2
844534dffffffff-2013-06,4
844534dffffffff-2013-07,3
8445351ffffffff-2014-03,2
8445351ffffffff-2014-04,4
8445351ffffffff-2015-02,2
8445351ffffffff-2015-04,2
8445351ffffffff-2015-05,2
8445351ffffffff-2015-11,2
8445351ffffffff-2016-05,4
8445351ffffffff-2016-07,2
8445351ffffffff-2017-05,36
8445351ffffffff-2017-07,6
8445351ffffffff-2017-09,4
8445351ffffffff-2018-05,6
8445351ffffffff-2018-07,5
8445351ffffffff-2019-02,2
8445351ffffffff-2019-05,4
8445351ffffffff-2019-06,3
8445351ffffffff-2019-07,13
8445351ffffffff-2020-04,1
8445351ffffffff-2021-06,4
8445351ffffffff-2021-07,4
8445351ffffffff-2023-01,2
8445351ffffffff-2023-05,3
8445353ffffffff-2012-06,7
8445355ffffffff-2013-05,1
8445355ffffffff-2013-06,2
844535dffffffff-2013-06,2
8467961ffffffff-2016-03,6
846d049ffffffff-2022-02,2
846d049ffffffff-2023-02,1
846d04bffffffff-2015-08,1
846d04bffffffff-2015-09,2
846d04bffffffff-2015-10,2
846d04bffffffff-2015-11,5
846d04bffffffff-2015-12,2
846d04bffffffff-2016-01,2
846d04bffffffff-2016-02,2
846d04bffffffff-2016-03,2
846d04bffffffff-2016-04,5
846d04bffffffff-2017-02,1
846d04bffffffff-2017-04,1
846d04bffffffff-2017-05,2
846d04bffffffff-2018-08,14
846d04bffffffff-2018-09,10
846d04bffffffff-2018-10,9
846d04bffffffff-2018-11,15
846d04bffffffff-2018-12,17
846d04bffffffff-2019-01,12
846d04bffffffff-2019-02,13
846d04bffffffff-2019-03,5
846d04bffffffff-2019-05,2
846d04bffffffff-2022-10,2
846d04bffffffff-2023-05,2
846d059ffffffff-2012-01,13
846d059ffffffff-2012-02,1
846d059ffffffff-2012-03,6
846d059ffffffff-2012-05,1
846d059ffffffff-2012-09,1
846d059ffffffff-2012-10,5
846d059ffffffff-2012-11,1
846d059ffffffff-2013-04,4
846d059ffffffff-2013-05,3
846d059ffffffff-2013-09,2
846d059ffffffff-2014-02,1
846d059ffffffff-2014-03,1
846d059ffffffff-2014-06,1
846d059ffffffff-2015-02,3
846d059ffffffff-2015-03,3
846d059ffffffff-2015-09,3
846d059ffffffff-2016-02,2
846d059ffffffff-2016-03,4
846d059ffffffff-2016-04,1
846d059ffffffff-2016-07,2
846d059ffffffff-2016-10,2
846d059ffffffff-2016-11,2
846d059ffffffff-2016-12,3
846d059ffffffff-2017-01,3
846d059ffffffff-2017-02,7
846d059ffffffff-2017-03,8
846d059ffffffff-2017-04,8
846d059ffffffff-2017-05,9
846d059ffffffff-2017-11,1
846d059ffffffff-2018-01,1
846d059ffffffff-2018-02,5
846d059ffffffff-2018-03,6
846d059ffffffff-2018-04,6
846d059ffffffff-2018-05,5
