index,n
842010dffffffff-2022-09,1
8420121ffffffff-2021-08,1
8420121ffffffff-2023-04,1
8420123ffffffff-2022-05,2
8420123ffffffff-2022-09,4
8420123ffffffff-2023-05,2
8420123ffffffff-2023-06,4
8420123ffffffff-2023-10,1
8420125ffffffff-2013-05,1
8420125ffffffff-2016-05,1
8420125ffffffff-2019-05,4
8420125ffffffff-2022-05,5
8420125ffffffff-2023-05,1
8420127ffffffff-2015-05,2
8420127ffffffff-2016-04,2
8420127ffffffff-2016-05,2
8420127ffffffff-2018-04,1
8420127ffffffff-2018-05,3
8420127ffffffff-2021-07,1
8420127ffffffff-2022-04,1
8420127ffffffff-2022-05,3
842012bffffffff-2023-04,2
842012bffffffff-2023-10,1
842013dffffffff-2022-11,2
842013dffffffff-2023-10,1
8420141ffffffff-2017-05,2
8420141ffffffff-2023-11,1
84201a1ffffffff-2015-09,2
84201a1ffffffff-2021-07,2
84201a1ffffffff-2022-06,1
84201a1ffffffff-2023-08,1
84201a3ffffffff-2015-09,1
84201a3ffffffff-2018-08,1
84201a3ffffffff-2019-06,1
84201a3ffffffff-2019-07,2
84201a3ffffffff-2020-11,2
84201a3ffffffff-2020-12,1
84201a3ffffffff-2021-06,3
84201a3ffffffff-2021-07,1
84201a3ffffffff-2021-09,2
84201a3ffffffff-2021-12,2
84201a3ffffffff-2022-02,2
84201a3ffffffff-2022-04,3
84201a3ffffffff-2022-05,7
84201a3ffffffff-2022-06,2
84201a3ffffffff-2022-09,2
84201a3ffffffff-2022-10,1
84201a3ffffffff-2022-11,5
84201a3ffffffff-2023-03,2
84201a3ffffffff-2023-04,2
84201a3ffffffff-2023-05,4
84201a3ffffffff-2023-06,1
84201a3ffffffff-2023-07,2
84201a3ffffffff-2023-08,1
84201a3ffffffff-2023-09,5
84201a3ffffffff-2023-10,1
84201a7ffffffff-2015-09,1
84201a7ffffffff-2019-06,1
84201a9ffffffff-2019-08,1
84201abffffffff-2015-09,1
84201abffffffff-2016-10,2
84201abffffffff-2017-09,1
84201abffffffff-2017-10,3
84201abffffffff-2019-07,1
84201abffffffff-2019-08,1
84201abffffffff-2020-06,1
84201abffffffff-2021-07,1
84201abffffffff-2022-07,1
84201abffffffff-2023-02,1
84201abffffffff-2023-03,2
84201abffffffff-2023-06,2
84201abffffffff-2023-09,1
84201adffffffff-2021-10,1
84201b3ffffffff-2022-05,1
84201b3ffffffff-2022-08,1
84201b5ffffffff-2017-09,3
84201b5ffffffff-2017-10,1
84201b5ffffffff-2021-08,1
84201b7ffffffff-2015-10,2
84201b7ffffffff-2020-10,1
84201b7ffffffff-2022-03,1
84201b7ffffffff-2022-05,2
84201b7ffffffff-2022-07,1
84201b7ffffffff-2022-08,2
84201b7ffffffff-2023-08,1
84201b7ffffffff-2023-11,2
84201bdffffffff-2017-10,1
84201bdffffffff-2022-05,1
84204a1ffffffff-2018-06,1
84204abffffffff-2022-06,1
84204adffffffff-2022-07,1
84204b3ffffffff-2022-07,6
84204b5ffffffff-2021-06,1
84204b5ffffffff-2022-07,2
84204b5ffffffff-2022-08,2
84204b5ffffffff-2023-07,1
84204b7ffffffff-2023-07,1
8420599ffffffff-2023-05,1
842080bffffffff-2021-07,1
8420815ffffffff-2021-05,2
842083bffffffff-2021-05,2
8420845ffffffff-2023-06,1
8420847ffffffff-2023-06,1
8420849ffffffff-2020-12,1
8420849ffffffff-2022-10,1
8420849ffffffff-2023-09,1
842084dffffffff-2023-06,1
84208a7ffffffff-2023-05,3
84208d7ffffffff-2019-10,1
84208e1ffffffff-2021-04,2
84208ebffffffff-2021-04,2
8420927ffffffff-2017-04,1
8420987ffffffff-2022-05,1
8420999ffffffff-2021-04,3
8420999ffffffff-2022-05,4
8420999ffffffff-2022-06,2
8420999ffffffff-2023-05,4
8420999ffffffff-2023-06,2
842099bffffffff-2019-10,1
842099bffffffff-2021-04,9
842099dffffffff-2023-05,2
84209a1ffffffff-2022-03,1
84209a5ffffffff-2020-01,7
84209a5ffffffff-2020-02,2
84209a5ffffffff-2020-03,4
84209a5ffffffff-2020-12,1
84209a5ffffffff-2022-02,1
84209a5ffffffff-2023-03,9
84209abffffffff-2020-11,1
84209abffffffff-2021-04,1
84209abffffffff-2021-09,1
84209abffffffff-2023-06,1
84209b5ffffffff-2018-03,1
84209b5ffffffff-2019-06,2
84209b5ffffffff-2021-05,1
84209b5ffffffff-2022-03,1
84209b5ffffffff-2022-06,1
84209b5ffffffff-2022-12,1
84209b5ffffffff-2023-01,2
84209b5ffffffff-2023-09,1
84209b5ffffffff-2023-10,1
