index,n
844c893ffffffff-2012-10,1
844c893ffffffff-2012-11,1
844c893ffffffff-2013-11,1
844c893ffffffff-2014-11,2
844c893ffffffff-2015-11,1
844c893ffffffff-2017-03,1
844c893ffffffff-2018-05,1
844c893ffffffff-2020-03,1
844c893ffffffff-2021-10,4
844c893ffffffff-2023-03,2
844c893ffffffff-2023-05,1
844c899ffffffff-2020-03,1
844c899ffffffff-2021-07,1
844c89bffffffff-2012-11,2
844c89bffffffff-2013-03,1
844c89bffffffff-2013-05,1
844c89bffffffff-2013-08,1
844c89bffffffff-2013-09,1
844c89bffffffff-2014-05,1
844c89bffffffff-2014-12,1
844c89bffffffff-2015-01,2
844c89bffffffff-2016-01,1
844c89bffffffff-2017-07,1
844c89bffffffff-2019-03,1
844c89bffffffff-2020-10,6
844c89bffffffff-2020-11,6
844c89bffffffff-2021-04,1
844c89bffffffff-2021-05,3
844c89bffffffff-2021-07,5
844c89bffffffff-2021-08,3
844c89bffffffff-2021-09,1
844c89bffffffff-2021-10,4
844c89bffffffff-2021-11,2
844c89bffffffff-2021-12,2
844c89bffffffff-2022-04,2
844c89bffffffff-2022-05,3
844c89bffffffff-2022-06,4
844c89bffffffff-2022-10,5
844c89bffffffff-2022-11,1
844c89bffffffff-2022-12,4
844c89bffffffff-2023-01,1
844c89bffffffff-2023-02,1
844c89bffffffff-2023-03,2
844c89bffffffff-2023-04,1
844c89bffffffff-2023-07,1
844c89bffffffff-2023-10,6
844c8a9ffffffff-2018-06,1
844c8abffffffff-2018-11,5
844c8abffffffff-2018-12,7
844c8abffffffff-2019-01,11
844c8abffffffff-2019-02,6
844c8abffffffff-2019-03,7
844c8abffffffff-2019-04,8
844c8abffffffff-2019-08,10
844c8abffffffff-2020-02,6
844c8abffffffff-2020-03,9
844c8abffffffff-2022-03,14
844c8b1ffffffff-2015-11,1
844c8b1ffffffff-2017-11,1
844c8b1ffffffff-2019-03,1
844c8bbffffffff-2014-03,1
844c8bbffffffff-2015-09,1
844c8bbffffffff-2022-01,1
844c8bdffffffff-2012-10,2
844c8bdffffffff-2020-05,4
844cc61ffffffff-2012-03,1
844cc61ffffffff-2013-12,2
844cc61ffffffff-2014-08,1
844cc61ffffffff-2014-10,1
844cc61ffffffff-2015-01,2
844cc61ffffffff-2015-03,2
844cc61ffffffff-2015-04,1
844cc61ffffffff-2015-05,3
844cc61ffffffff-2016-01,2
844cc61ffffffff-2017-06,1
844cc61ffffffff-2017-09,1
844cc61ffffffff-2017-12,1
844cc61ffffffff-2018-01,7
844cc61ffffffff-2018-03,1
844cc61ffffffff-2018-06,2
844cc61ffffffff-2018-07,1
844cc61ffffffff-2018-09,1
844cc61ffffffff-2018-12,1
844cc61ffffffff-2019-01,1
844cc61ffffffff-2019-02,2
844cc61ffffffff-2019-03,2
844cc61ffffffff-2019-07,1
844cc61ffffffff-2019-11,3
844cc61ffffffff-2019-12,3
844cc61ffffffff-2020-02,5
844cc61ffffffff-2020-03,1
844cc61ffffffff-2020-07,2
844cc61ffffffff-2020-09,1
844cc61ffffffff-2021-05,1
844cc61ffffffff-2021-07,1
844cc61ffffffff-2021-08,1
844cc61ffffffff-2021-10,6
844cc61ffffffff-2021-11,5
844cc61ffffffff-2022-04,6
844cc61ffffffff-2022-05,3
844cc61ffffffff-2022-06,1
844cc61ffffffff-2022-07,1
844cc61ffffffff-2022-09,2
844cc61ffffffff-2022-11,3
844cc61ffffffff-2022-12,6
844cc61ffffffff-2023-01,4
844cc61ffffffff-2023-02,3
844cc61ffffffff-2023-04,2
844cc61ffffffff-2023-05,2
844cc61ffffffff-2023-06,1
844cc61ffffffff-2023-07,3
844cc61ffffffff-2023-08,1
844cc61ffffffff-2023-09,1
844cc61ffffffff-2023-10,2
844cc61ffffffff-2023-11,3
844cc6dffffffff-2015-06,1
844cc6dffffffff-2023-02,1
844cd09ffffffff-2017-01,1
844cd09ffffffff-2017-10,3
844cd09ffffffff-2019-05,3
844cd09ffffffff-2020-01,14
844cd09ffffffff-2020-02,15
844cd09ffffffff-2020-03,3
844cd09ffffffff-2020-04,1
844cd09ffffffff-2020-05,4
844cd09ffffffff-2020-07,1
844cd09ffffffff-2020-09,3
844cd09ffffffff-2020-11,6
844cd09ffffffff-2020-12,8
844cd09ffffffff-2021-01,13
844cd09ffffffff-2021-02,6
844cd09ffffffff-2021-03,18
844cd09ffffffff-2021-04,7
844cd09ffffffff-2021-05,6
844cd09ffffffff-2021-07,2
844cd09ffffffff-2021-08,1
844cd09ffffffff-2021-09,5
844cd09ffffffff-2021-10,6
844cd09ffffffff-2021-11,10
844cd09ffffffff-2021-12,9
844cd09ffffffff-2022-01,7
844cd09ffffffff-2022-02,9
844cd09ffffffff-2022-03,3
844cd09ffffffff-2022-04,7
844cd09ffffffff-2022-05,7
844cd09ffffffff-2022-06,4
844cd09ffffffff-2022-07,3
844cd09ffffffff-2022-08,2
844cd09ffffffff-2022-09,2
844cd09ffffffff-2022-10,1
844cd09ffffffff-2022-11,7
844cd09ffffffff-2022-12,1
844cd09ffffffff-2023-01,6
844cd09ffffffff-2023-02,2
844cd09ffffffff-2023-06,1
844cd09ffffffff-2023-08,1
844cd0dffffffff-2023-02,2
844cd25ffffffff-2020-06,2
844cd29ffffffff-2012-03,2
844cd29ffffffff-2013-09,1
844cd29ffffffff-2013-10,3
844cd29ffffffff-2013-11,3
844cd29ffffffff-2014-03,1
844cd29ffffffff-2014-12,1
844cd29ffffffff-2015-02,2
844cd29ffffffff-2015-03,1
844cd29ffffffff-2016-03,6
844cd29ffffffff-2017-02,1
844cd29ffffffff-2017-05,1
844cd29ffffffff-2018-01,2
844cd29ffffffff-2018-03,2
844cd29ffffffff-2018-11,1
844cd29ffffffff-2020-02,1
844cd29ffffffff-2021-10,1
844cd29ffffffff-2021-12,1
844cd29ffffffff-2022-02,2
844cd29ffffffff-2022-03,9
844cd29ffffffff-2022-04,8
844cd29ffffffff-2022-06,1
844cd29ffffffff-2022-08,2
844cd29ffffffff-2022-12,4
844cd29ffffffff-2023-02,4
844cd29ffffffff-2023-04,1
844cd29ffffffff-2023-11,1
844cd2dffffffff-2012-03,1
844cd2dffffffff-2012-05,1
844cd2dffffffff-2012-11,1
844cd2dffffffff-2012-12,1
844cd2dffffffff-2013-01,2
844cd2dffffffff-2013-02,1
844cd2dffffffff-2013-09,1
844cd2dffffffff-2014-01,1
844cd2dffffffff-2014-02,2
844cd2dffffffff-2014-11,1
844cd2dffffffff-2014-12,4
844cd2dffffffff-2015-01,16
844cd2dffffffff-2015-02,1
844cd2dffffffff-2015-03,4
844cd2dffffffff-2015-04,1
844cd2dffffffff-2015-05,1
844cd2dffffffff-2015-10,1
844cd2dffffffff-2016-01,1
844cd2dffffffff-2016-02,1
844cd2dffffffff-2016-03,5
844cd2dffffffff-2016-05,1
844cd2dffffffff-2017-01,2
844cd2dffffffff-2017-02,5
844cd2dffffffff-2017-03,5
844cd2dffffffff-2017-04,1
844cd2dffffffff-2018-01,3
844cd2dffffffff-2018-02,6
844cd2dffffffff-2018-11,1
844cd2dffffffff-2018-12,3
844cd2dffffffff-2019-01,1
844cd2dffffffff-2019-02,1
844cd2dffffffff-2019-03,2
844cd2dffffffff-2020-01,12
844cd2dffffffff-2020-06,2
844cd2dffffffff-2020-11,4
844cd2dffffffff-2021-03,2
844cd2dffffffff-2021-12,2
844cd2dffffffff-2022-01,11
844cd2dffffffff-2022-02,19
844cd2dffffffff-2022-03,13
844cd2dffffffff-2022-04,13
844cd2dffffffff-2022-06,1
844cd2dffffffff-2022-07,2
844cd2dffffffff-2022-09,1
844cd2dffffffff-2023-01,14
844cd2dffffffff-2023-02,10
844cd2dffffffff-2023-03,7
844cd2dffffffff-2023-05,4
844cd2dffffffff-2023-07,1
844cd2dffffffff-2023-10,4
844cd2dffffffff-2023-11,3
844cd43ffffffff-2012-01,1
844cd43ffffffff-2012-02,2
844cd43ffffffff-2012-03,8
844cd43ffffffff-2012-04,1
844cd43ffffffff-2012-06,3
844cd43ffffffff-2012-08,1
844cd43ffffffff-2012-10,2
844cd43ffffffff-2012-11,1
844cd43ffffffff-2012-12,4
844cd43ffffffff-2013-01,2
844cd43ffffffff-2013-02,6
844cd43ffffffff-2013-03,7
844cd43ffffffff-2013-04,1
844cd43ffffffff-2013-06,1
844cd43ffffffff-2013-07,5
844cd43ffffffff-2013-08,2
844cd43ffffffff-2013-09,9
844cd43ffffffff-2013-10,5
844cd43ffffffff-2013-11,8
844cd43ffffffff-2013-12,6
844cd43ffffffff-2014-01,4
844cd43ffffffff-2014-02,6
844cd43ffffffff-2014-03,4
844cd43ffffffff-2014-04,1
844cd43ffffffff-2014-05,1
844cd43ffffffff-2014-07,6
844cd43ffffffff-2014-08,1
844cd43ffffffff-2014-10,9
844cd43ffffffff-2014-11,11
844cd43ffffffff-2014-12,4
844cd43ffffffff-2015-01,14
844cd43ffffffff-2015-02,13
844cd43ffffffff-2015-03,11
844cd43ffffffff-2015-04,1
844cd43ffffffff-2015-05,5
844cd43ffffffff-2015-06,3
844cd43ffffffff-2015-07,2
844cd43ffffffff-2015-08,3
844cd43ffffffff-2015-09,3
844cd43ffffffff-2015-10,6
844cd43ffffffff-2015-11,2
844cd43ffffffff-2015-12,5
844cd43ffffffff-2016-01,14
844cd43ffffffff-2016-02,12
844cd43ffffffff-2016-03,13
844cd43ffffffff-2016-04,1
844cd43ffffffff-2016-07,2
844cd43ffffffff-2016-09,1
844cd43ffffffff-2016-10,5
844cd43ffffffff-2016-11,2
844cd43ffffffff-2016-12,4
844cd43ffffffff-2017-01,10
844cd43ffffffff-2017-02,12
844cd43ffffffff-2017-03,23
844cd43ffffffff-2017-04,6
844cd43ffffffff-2017-05,3
844cd43ffffffff-2017-06,7
844cd43ffffffff-2017-07,1
844cd43ffffffff-2017-09,6
844cd43ffffffff-2017-10,33
844cd43ffffffff-2017-11,9
844cd43ffffffff-2017-12,11
844cd43ffffffff-2018-01,16
844cd43ffffffff-2018-02,29
844cd43ffffffff-2018-03,8
844cd43ffffffff-2018-04,6
844cd43ffffffff-2018-05,1
844cd43ffffffff-2018-06,2
844cd43ffffffff-2018-07,18
844cd43ffffffff-2018-08,4
844cd43ffffffff-2018-09,22
844cd43ffffffff-2018-10,11
844cd43ffffffff-2018-11,11
844cd43ffffffff-2018-12,14
844cd43ffffffff-2019-01,13
844cd43ffffffff-2019-02,5
844cd43ffffffff-2019-03,8
844cd43ffffffff-2019-04,6
844cd43ffffffff-2019-05,15
844cd43ffffffff-2019-06,2
844cd43ffffffff-2019-07,4
844cd43ffffffff-2019-08,5
844cd43ffffffff-2019-09,8
844cd43ffffffff-2019-10,16
844cd43ffffffff-2019-11,25
844cd43ffffffff-2019-12,10
844cd43ffffffff-2020-01,76
844cd43ffffffff-2020-02,96
844cd43ffffffff-2020-03,116
844cd43ffffffff-2020-04,91
844cd43ffffffff-2020-05,101
844cd43ffffffff-2020-06,63
844cd43ffffffff-2020-07,51
844cd43ffffffff-2020-08,69
844cd43ffffffff-2020-09,60
844cd43ffffffff-2020-10,41
844cd43ffffffff-2020-11,46
844cd43ffffffff-2020-12,38
844cd43ffffffff-2021-01,41
844cd43ffffffff-2021-02,41
844cd43ffffffff-2021-03,49
844cd43ffffffff-2021-04,43
844cd43ffffffff-2021-05,76
844cd43ffffffff-2021-06,73
844cd43ffffffff-2021-07,66
844cd43ffffffff-2021-08,52
844cd43ffffffff-2021-09,36
844cd43ffffffff-2021-10,37
844cd43ffffffff-2021-11,39
844cd43ffffffff-2021-12,42
844cd43ffffffff-2022-01,43
844cd43ffffffff-2022-02,40
844cd43ffffffff-2022-03,30
844cd43ffffffff-2022-04,38
844cd43ffffffff-2022-05,29
844cd43ffffffff-2022-06,19
844cd43ffffffff-2022-07,22
844cd43ffffffff-2022-08,10
844cd43ffffffff-2022-09,10
844cd43ffffffff-2022-10,21
844cd43ffffffff-2022-11,22
844cd43ffffffff-2022-12,38
844cd43ffffffff-2023-01,62
844cd43ffffffff-2023-02,86
844cd43ffffffff-2023-03,46
844cd43ffffffff-2023-04,78
844cd43ffffffff-2023-05,35
844cd43ffffffff-2023-06,10
844cd43ffffffff-2023-07,23
844cd43ffffffff-2023-08,10
844cd43ffffffff-2023-09,17
844cd43ffffffff-2023-10,14
844cd43ffffffff-2023-11,13
844cd45ffffffff-2012-04,1
844cd45ffffffff-2014-11,1
844cd45ffffffff-2015-11,1
844cd45ffffffff-2020-01,1
844cd45ffffffff-2020-10,4
844cd45ffffffff-2021-01,1
844cd45ffffffff-2021-02,1
844cd45ffffffff-2021-03,1
844cd45ffffffff-2021-05,1
844cd45ffffffff-2021-06,2
844cd45ffffffff-2021-10,1
844cd45ffffffff-2021-11,1
844cd45ffffffff-2022-01,3
844cd45ffffffff-2022-02,2
844cd45ffffffff-2022-03,1
844cd45ffffffff-2022-09,1
844cd45ffffffff-2023-03,1
844cd45ffffffff-2023-06,1
844cd45ffffffff-2023-07,3
844cd45ffffffff-2023-10,1
844cd47ffffffff-2020-11,1
844cd47ffffffff-2022-07,1
844cd47ffffffff-2023-05,1
844cd4bffffffff-2020-12,1
844cd4dffffffff-2015-05,1
844cd4dffffffff-2016-02,3
844cd4dffffffff-2017-01,2
844cd4dffffffff-2017-03,1
