index,n
8401221ffffffff-2019-08,1
8401221ffffffff-2023-07,1
8401225ffffffff-2023-07,3
8401227ffffffff-2017-06,2
840122bffffffff-2023-07,1
840122bffffffff-2023-11,2
8401247ffffffff-2019-07,1
8401247ffffffff-2019-08,1
8401247ffffffff-2020-05,1
8401247ffffffff-2021-08,1
8401247ffffffff-2023-07,2
840124bffffffff-2022-08,1
8401261ffffffff-2018-07,1
8401265ffffffff-2022-06,1
840126bffffffff-2020-10,2
840126bffffffff-2021-10,1
840126dffffffff-2023-04,1
840130bffffffff-2013-05,1
840130bffffffff-2013-06,1
840130bffffffff-2015-05,1
840130bffffffff-2015-06,1
840130bffffffff-2016-06,1
840130bffffffff-2017-05,3
840130bffffffff-2017-06,6
840130bffffffff-2018-05,1
840130bffffffff-2018-07,3
840130bffffffff-2018-08,1
840130bffffffff-2019-06,5
840130bffffffff-2022-05,4
840130bffffffff-2022-06,7
840130bffffffff-2022-07,2
840130bffffffff-2023-05,1
840130bffffffff-2023-06,4
840130bffffffff-2023-07,3
8401319ffffffff-2015-05,1
8401319ffffffff-2017-07,2
8401319ffffffff-2022-06,2
8401319ffffffff-2023-05,3
8401319ffffffff-2023-06,5
8401319ffffffff-2023-07,1
840131dffffffff-2019-06,1
840131dffffffff-2021-07,1
840131dffffffff-2022-06,3
840134bffffffff-2013-03,1
840134bffffffff-2015-04,1
840134bffffffff-2017-03,1
840134bffffffff-2018-06,1
840134bffffffff-2023-03,2
840134bffffffff-2023-04,1
840134bffffffff-2023-06,2
8401351ffffffff-2012-05,1
8401351ffffffff-2013-03,1
8401351ffffffff-2015-06,2
8401351ffffffff-2017-03,1
8401351ffffffff-2017-07,1
8401351ffffffff-2017-08,1
8401351ffffffff-2018-03,3
8401351ffffffff-2018-06,6
8401351ffffffff-2018-07,2
8401351ffffffff-2019-04,2
8401351ffffffff-2019-05,4
8401351ffffffff-2019-06,1
8401351ffffffff-2019-07,5
8401351ffffffff-2021-07,4
8401351ffffffff-2022-04,1
8401351ffffffff-2022-05,3
8401351ffffffff-2022-06,8
8401351ffffffff-2023-04,1
8401351ffffffff-2023-05,3
8401351ffffffff-2023-06,6
8401351ffffffff-2023-07,2
8401353ffffffff-2012-07,1
8401353ffffffff-2014-07,1
8401353ffffffff-2015-06,5
8401353ffffffff-2019-05,2
8401353ffffffff-2019-06,1
8401353ffffffff-2019-07,4
8401353ffffffff-2022-05,2
8401353ffffffff-2022-06,17
8401353ffffffff-2022-07,7
8401353ffffffff-2023-05,6
8401353ffffffff-2023-06,9
8401353ffffffff-2023-07,2
8401355ffffffff-2016-05,4
8401355ffffffff-2016-07,1
8401355ffffffff-2017-06,4
8401355ffffffff-2018-06,4
8401355ffffffff-2018-08,1
8401355ffffffff-2019-05,3
8401355ffffffff-2019-06,8
8401355ffffffff-2021-06,1
8401355ffffffff-2022-05,3
8401355ffffffff-2022-06,14
8401355ffffffff-2022-07,6
8401355ffffffff-2023-05,3
8401355ffffffff-2023-06,9
8401355ffffffff-2023-07,3
8401355ffffffff-2023-08,1
8401357ffffffff-2013-06,1
8401357ffffffff-2015-05,2
8401357ffffffff-2015-06,1
8401357ffffffff-2015-07,1
8401357ffffffff-2016-06,1
8401357ffffffff-2017-06,3
8401357ffffffff-2018-06,1
8401357ffffffff-2021-06,1
8401357ffffffff-2021-07,1
8401357ffffffff-2022-05,1
8401357ffffffff-2022-06,1
8401357ffffffff-2022-07,1
8401357ffffffff-2023-06,12
8401359ffffffff-2018-06,2
840135bffffffff-2013-06,2
840135bffffffff-2015-05,1
840135bffffffff-2015-06,4
840135bffffffff-2021-05,1
840135bffffffff-2022-04,2
840135bffffffff-2023-06,2
840135bffffffff-2023-07,1
840135dffffffff-2023-07,1
840136dffffffff-2019-07,1
840136dffffffff-2023-07,1
84022d1ffffffff-2013-05,1
8402417ffffffff-2013-07,2
8402417ffffffff-2014-08,4
8402417ffffffff-2016-06,3
8402417ffffffff-2019-05,1
8402417ffffffff-2021-08,1
84024c3ffffffff-2018-09,1
84024c5ffffffff-2014-06,1
84024c5ffffffff-2015-06,2
84024c5ffffffff-2015-08,2
84024c5ffffffff-2022-06,1
84025cbffffffff-2012-01,1
84025cbffffffff-2012-04,2
84025cbffffffff-2012-06,1
84025cbffffffff-2012-08,3
84025cbffffffff-2015-05,12
84025cbffffffff-2016-08,1
84025cbffffffff-2020-05,2
84025cbffffffff-2020-11,2
84025cbffffffff-2022-04,2
8402cadffffffff-2013-07,1
8402cadffffffff-2014-07,12
8402cadffffffff-2015-07,1
8402cadffffffff-2016-07,7
8402cadffffffff-2017-06,2
8402cadffffffff-2017-07,3
8402cadffffffff-2019-07,3
8402cadffffffff-2022-06,1
8402cadffffffff-2022-07,5
8402d85ffffffff-2022-08,2
8402da7ffffffff-2017-06,1
8402ed7ffffffff-2014-09,1
8403557ffffffff-2014-07,3
8404cddffffffff-2014-06,4
840588dffffffff-2017-06,4
840588dffffffff-2019-07,1
84058c7ffffffff-2017-06,10
84058cbffffffff-2017-06,10
84058cbffffffff-2017-07,18
840626bffffffff-2022-09,1
8406353ffffffff-2018-08,2
8406369ffffffff-2022-09,1
8406889ffffffff-2014-09,1
8406889ffffffff-2022-08,1
8406ce5ffffffff-2023-10,1
8406d5bffffffff-2021-04,1
8406d5bffffffff-2023-03,2
8406dd1ffffffff-2021-12,1
8406dd1ffffffff-2022-01,1
8406ddbffffffff-2023-11,1
8407437ffffffff-2018-05,1
8407461ffffffff-2021-05,1
84074edffffffff-2014-10,2
84075d9ffffffff-2023-05,1
84075ddffffffff-2012-04,1
84075ddffffffff-2018-03,1
8407621ffffffff-2019-02,1
8407635ffffffff-2019-03,23
8407635ffffffff-2019-04,5
8407733ffffffff-2012-04,1
8407733ffffffff-2012-05,2
8407733ffffffff-2016-06,1
8407733ffffffff-2019-06,2
8407733ffffffff-2021-11,1
8407733ffffffff-2021-12,1
8407733ffffffff-2022-04,3
8407733ffffffff-2022-05,5
8407733ffffffff-2023-04,1
8408021ffffffff-2018-02,1
8408107ffffffff-2017-04,2
840810dffffffff-2023-02,2
840811dffffffff-2021-08,1
8408133ffffffff-2022-10,1
8408141ffffffff-2020-01,1
840814dffffffff-2022-08,1
8408151ffffffff-2017-12,1
8408151ffffffff-2018-01,2
8408151ffffffff-2018-02,2
8408151ffffffff-2018-03,1
8408159ffffffff-2013-11,1
8408159ffffffff-2018-02,1
8408159ffffffff-2021-02,2
8408193ffffffff-2015-05,4
840828bffffffff-2019-09,1
8408295ffffffff-2016-10,1
8408295ffffffff-2021-01,3
