index,n
8464283ffffffff-2023-06,1
846428bffffffff-2015-03,3
846428bffffffff-2015-04,2
846428bffffffff-2021-02,9
846428bffffffff-2021-05,10
846428bffffffff-2021-12,12
846428bffffffff-2022-05,3
846428bffffffff-2022-06,1
846428bffffffff-2022-08,1
846428bffffffff-2022-09,3
846428bffffffff-2022-10,4
846428bffffffff-2022-11,6
846428bffffffff-2023-02,14
846428bffffffff-2023-03,14
846428bffffffff-2023-04,3
846428bffffffff-2023-05,10
8464295ffffffff-2023-07,1
846429dffffffff-2015-03,3
846429dffffffff-2015-12,2
846429dffffffff-2017-11,1
846429dffffffff-2017-12,1
846429dffffffff-2018-01,3
846429dffffffff-2018-03,1
846429dffffffff-2018-04,3
846429dffffffff-2019-03,18
846429dffffffff-2020-06,1
846429dffffffff-2020-10,1
846429dffffffff-2021-03,8
846429dffffffff-2021-05,9
846429dffffffff-2021-06,4
846429dffffffff-2021-12,22
846429dffffffff-2022-03,1
846429dffffffff-2022-06,1
846429dffffffff-2022-07,1
846429dffffffff-2022-09,9
846429dffffffff-2022-10,6
846429dffffffff-2022-11,2
846429dffffffff-2023-02,12
846429dffffffff-2023-03,12
846429dffffffff-2023-04,2
846429dffffffff-2023-05,1
84642d7ffffffff-2015-03,8
84642d7ffffffff-2022-09,2
84642d7ffffffff-2023-02,1
84642d7ffffffff-2023-03,1
84642d7ffffffff-2023-04,1
