index,n
848b10dffffffff-2019-10,1
848b203ffffffff-2019-10,4
848b20dffffffff-2019-06,1
848b213ffffffff-2022-05,3
848b21dffffffff-2014-07,2
848b22dffffffff-2023-07,2
848b2c5ffffffff-2018-10,1
848b2c9ffffffff-2022-10,1
848b2cdffffffff-2012-08,1
848b2cdffffffff-2012-10,4
848b2cdffffffff-2017-07,2
848b2cdffffffff-2018-09,3
848b2cdffffffff-2023-09,11
848b2cdffffffff-2023-10,7
848b2dbffffffff-2015-09,7
848b2ddffffffff-2013-11,6
848b611ffffffff-2019-09,1
848b611ffffffff-2022-05,4
848b611ffffffff-2022-11,1
848b613ffffffff-2022-11,1
848b617ffffffff-2013-01,1
848b617ffffffff-2013-07,2
848b617ffffffff-2013-08,15
848b617ffffffff-2013-09,6
848b617ffffffff-2013-10,14
848b617ffffffff-2013-11,7
848b617ffffffff-2013-12,2
848b617ffffffff-2014-09,2
848b617ffffffff-2014-10,1
848b617ffffffff-2014-11,4
848b617ffffffff-2015-08,4
848b617ffffffff-2015-09,1
848b617ffffffff-2015-10,11
848b617ffffffff-2015-11,7
848b617ffffffff-2016-05,2
848b617ffffffff-2016-09,1
848b617ffffffff-2016-10,4
848b617ffffffff-2017-05,1
848b617ffffffff-2017-06,4
848b617ffffffff-2017-07,5
848b617ffffffff-2017-08,1
848b617ffffffff-2017-09,1
848b617ffffffff-2017-10,5
848b617ffffffff-2017-11,9
848b617ffffffff-2018-01,9
848b617ffffffff-2018-03,1
848b617ffffffff-2018-05,3
848b617ffffffff-2018-06,3
848b617ffffffff-2018-07,2
848b617ffffffff-2018-08,7
848b617ffffffff-2018-09,10
848b617ffffffff-2018-10,7
848b617ffffffff-2018-11,11
848b617ffffffff-2018-12,1
848b617ffffffff-2019-01,5
848b617ffffffff-2019-02,3
848b617ffffffff-2019-05,2
848b617ffffffff-2019-06,2
848b617ffffffff-2019-08,9
848b617ffffffff-2019-09,12
848b617ffffffff-2019-10,11
848b617ffffffff-2019-11,8
848b617ffffffff-2019-12,3
848b617ffffffff-2020-01,7
848b617ffffffff-2020-02,2
848b617ffffffff-2020-05,1
848b617ffffffff-2020-10,5
848b617ffffffff-2021-05,8
848b617ffffffff-2021-06,3
848b617ffffffff-2021-09,11
848b617ffffffff-2021-10,5
848b617ffffffff-2021-11,10
848b617ffffffff-2021-12,4
848b617ffffffff-2022-01,1
848b617ffffffff-2022-02,4
848b617ffffffff-2022-03,1
848b617ffffffff-2022-05,4
848b617ffffffff-2022-06,1
848b617ffffffff-2022-08,8
848b617ffffffff-2022-09,7
848b617ffffffff-2022-10,38
848b617ffffffff-2022-11,37
848b617ffffffff-2022-12,1
848b617ffffffff-2023-01,7
848b617ffffffff-2023-03,1
848b617ffffffff-2023-04,1
848b617ffffffff-2023-05,1
848b617ffffffff-2023-07,4
848b617ffffffff-2023-08,3
848b617ffffffff-2023-09,2
848b617ffffffff-2023-10,21
848b617ffffffff-2023-11,1
848b61bffffffff-2020-10,1
848b665ffffffff-2018-11,1
848b6c1ffffffff-2017-09,2
848b6c1ffffffff-2023-09,6
848b6c1ffffffff-2023-11,3
