index,n
8438023ffffffff-2019-02,1
8438025ffffffff-2019-01,1
84380b1ffffffff-2016-06,1
84380b1ffffffff-2017-09,1
84380b1ffffffff-2018-04,1
84380bbffffffff-2022-07,1
84380d5ffffffff-2018-04,1
8438101ffffffff-2017-09,1
8438143ffffffff-2016-06,2
8438151ffffffff-2019-11,1
843815dffffffff-2015-05,1
8438161ffffffff-2012-12,1
8438161ffffffff-2014-04,1
8438161ffffffff-2015-04,2
8438161ffffffff-2015-06,1
8438161ffffffff-2016-03,3
8438161ffffffff-2016-07,1
8438161ffffffff-2016-12,1
8438161ffffffff-2017-10,1
8438161ffffffff-2019-03,3
8438161ffffffff-2019-04,3
8438161ffffffff-2019-09,2
8438161ffffffff-2019-10,2
8438161ffffffff-2019-11,1
8438161ffffffff-2019-12,1
8438161ffffffff-2020-01,2
8438161ffffffff-2020-02,3
8438161ffffffff-2020-03,2
8438161ffffffff-2021-10,2
8438161ffffffff-2022-02,6
8438161ffffffff-2022-03,5
8438161ffffffff-2022-04,3
8438161ffffffff-2022-05,2
8438161ffffffff-2022-10,2
8438161ffffffff-2022-11,1
8438161ffffffff-2023-01,3
8438161ffffffff-2023-02,5
8438161ffffffff-2023-03,20
8438161ffffffff-2023-04,8
8438161ffffffff-2023-05,1
8438161ffffffff-2023-10,4
8438161ffffffff-2023-11,1
8438165ffffffff-2016-04,3
8438169ffffffff-2013-07,1
8438169ffffffff-2015-09,2
8438169ffffffff-2016-04,3
8438169ffffffff-2017-04,1
8438169ffffffff-2018-03,3
8438169ffffffff-2018-05,3
8438169ffffffff-2019-03,1
8438169ffffffff-2019-04,10
8438169ffffffff-2019-11,2
8438169ffffffff-2022-03,1
8438169ffffffff-2023-01,1
8438169ffffffff-2023-04,3
843816dffffffff-2012-02,1
843816dffffffff-2012-12,1
843816dffffffff-2014-03,1
843816dffffffff-2015-01,2
843816dffffffff-2016-03,3
843816dffffffff-2016-04,6
843816dffffffff-2017-03,5
843816dffffffff-2017-04,4
843816dffffffff-2017-05,1
843816dffffffff-2017-10,2
843816dffffffff-2018-03,1
843816dffffffff-2018-04,1
843816dffffffff-2018-05,2
843816dffffffff-2018-09,2
843816dffffffff-2018-11,1
843816dffffffff-2019-04,8
843816dffffffff-2019-10,1
843816dffffffff-2019-11,2
843816dffffffff-2020-01,1
