index,n
849d407ffffffff-2021-01,1
849d413ffffffff-2022-07,1
849d447ffffffff-2018-03,1
849d447ffffffff-2021-08,2
849d45bffffffff-2019-10,4
849d45bffffffff-2019-11,2
849d4dbffffffff-2021-06,1
849d60bffffffff-2021-08,1
849d619ffffffff-2019-04,1
849d61bffffffff-2020-03,1
849d61dffffffff-2018-09,1
849d61dffffffff-2020-12,1
849d62bffffffff-2018-05,1
849d62bffffffff-2021-05,1
849d657ffffffff-2019-07,1
849d681ffffffff-2020-08,2
849d683ffffffff-2022-08,1
849d685ffffffff-2020-07,1
849d687ffffffff-2019-06,4
849d689ffffffff-2023-06,1
849d68bffffffff-2020-07,2
849d68bffffffff-2023-06,1
849d68bffffffff-2023-08,2
849d6a7ffffffff-2019-10,1
849d6a7ffffffff-2021-07,1
849d6a7ffffffff-2022-08,1
849d6a9ffffffff-2021-07,1
849d6abffffffff-2018-07,1
849d6abffffffff-2019-07,2
849d6abffffffff-2020-07,1
849d6abffffffff-2022-04,1
849d6abffffffff-2023-04,1
849d6abffffffff-2023-05,1
849d6abffffffff-2023-10,3
849d6b5ffffffff-2015-07,1
849d6b5ffffffff-2021-08,1
849d6b5ffffffff-2021-09,1
849d6b9ffffffff-2023-11,1
849d6bdffffffff-2014-10,1
849d6bdffffffff-2022-07,1
849d6c7ffffffff-2020-08,4
849d6d1ffffffff-2012-04,2
849d6d1ffffffff-2022-08,1
849d6d5ffffffff-2018-04,4
849d6d5ffffffff-2023-08,2
849d6d9ffffffff-2016-07,1
849d6d9ffffffff-2016-09,1
849d6dbffffffff-2018-08,2
849d6dbffffffff-2019-05,1
849d6dbffffffff-2020-06,1
849d6dbffffffff-2020-07,2
849d6dbffffffff-2020-08,1
849d6dbffffffff-2022-08,1
849d6dbffffffff-2023-07,1
849d6ddffffffff-2012-07,2
849d6e7ffffffff-2016-09,1
849d6e7ffffffff-2017-04,1
849d6e7ffffffff-2022-07,2
84a6323ffffffff-2019-08,1
84a7129ffffffff-2016-08,1
84a7129ffffffff-2018-04,1
84a7129ffffffff-2019-12,1
84a7129ffffffff-2021-08,1
84a712dffffffff-2021-10,2
84a71b1ffffffff-2015-09,1
84a71b3ffffffff-2018-07,1
84a7329ffffffff-2016-05,2
84a7341ffffffff-2021-02,2
84a7341ffffffff-2021-03,3
84a7a65ffffffff-2012-04,1
84a7b5bffffffff-2017-05,1
84b8057ffffffff-2012-04,1
84b8165ffffffff-2022-12,1
84b8227ffffffff-2019-05,2
84b8227ffffffff-2022-06,2
84b82e7ffffffff-2021-07,1
84b8769ffffffff-2020-09,5
84b8769ffffffff-2021-10,2
84b876bffffffff-2018-10,1
84b876bffffffff-2021-07,1
84b876bffffffff-2022-10,2
84b8843ffffffff-2020-12,1
84b8843ffffffff-2021-01,1
84b8843ffffffff-2021-05,1
84b8855ffffffff-2021-11,1
84b8859ffffffff-2016-06,2
84b8859ffffffff-2019-10,1
84b8859ffffffff-2021-11,1
84b8a0dffffffff-2020-09,1
84b8a21ffffffff-2014-06,2
84b8a21ffffffff-2016-09,2
84b8a21ffffffff-2017-12,2
84b8a21ffffffff-2021-01,2
84b8a21ffffffff-2023-07,4
84b8a29ffffffff-2016-08,2
84b8a29ffffffff-2016-09,3
84b8a29ffffffff-2018-06,1
84b8a2dffffffff-2014-06,3
84b8a2dffffffff-2016-03,4
84b8a2dffffffff-2016-08,3
84b8a2dffffffff-2016-09,4
84b8a2dffffffff-2018-12,2
84b8a2dffffffff-2021-01,2
84b8a2dffffffff-2022-06,4
84b8a2dffffffff-2023-01,2
84b8a59ffffffff-2013-07,1
84b8a5bffffffff-2022-08,1
84b8ae5ffffffff-2016-09,1
84b8ae5ffffffff-2018-05,2
84b8ae5ffffffff-2019-07,1
84b8ae5ffffffff-2021-07,4
84b8ae5ffffffff-2021-08,1
84b8ae5ffffffff-2021-09,2
84b8ae5ffffffff-2022-08,1
84b8ae5ffffffff-2023-07,1
84b8b6dffffffff-2019-01,1
84b8b6dffffffff-2021-07,1
84b8b6dffffffff-2022-06,1
84b9111ffffffff-2019-02,1
