index,n
8445b07ffffffff-2014-02,1
8445b07ffffffff-2015-10,1
8445b07ffffffff-2021-11,1
8445b07ffffffff-2022-03,1
8445b07ffffffff-2023-01,2
8445b07ffffffff-2023-06,1
8445b21ffffffff-2012-01,1
8445b21ffffffff-2012-02,1
8445b21ffffffff-2012-03,1
8445b21ffffffff-2012-04,2
8445b21ffffffff-2012-11,2
8445b21ffffffff-2012-12,1
8445b21ffffffff-2013-01,3
8445b21ffffffff-2013-02,3
8445b21ffffffff-2013-03,4
8445b21ffffffff-2013-04,2
8445b21ffffffff-2014-01,1
8445b21ffffffff-2014-02,9
8445b21ffffffff-2014-04,2
8445b21ffffffff-2014-12,3
8445b21ffffffff-2015-01,6
8445b21ffffffff-2015-02,5
8445b21ffffffff-2015-03,8
8445b21ffffffff-2015-04,5
8445b21ffffffff-2015-06,3
8445b21ffffffff-2016-02,4
8445b21ffffffff-2016-03,5
8445b21ffffffff-2016-12,2
8445b21ffffffff-2017-03,1
8445b21ffffffff-2017-04,10
8445b21ffffffff-2017-06,1
8445b21ffffffff-2017-12,3
8445b21ffffffff-2018-03,6
8445b21ffffffff-2018-12,1
8445b21ffffffff-2020-03,10
8445b21ffffffff-2020-08,1
8445b21ffffffff-2022-05,3
8445b21ffffffff-2022-07,1
8445b21ffffffff-2023-01,2
8445b21ffffffff-2023-02,2
8445b21ffffffff-2023-07,1
8445b23ffffffff-2013-02,2
8445b23ffffffff-2013-03,1
8445b23ffffffff-2013-06,1
8445b23ffffffff-2013-08,1
8445b23ffffffff-2013-09,2
8445b23ffffffff-2014-01,1
8445b23ffffffff-2014-02,5
8445b23ffffffff-2015-02,3
8445b23ffffffff-2015-03,1
8445b23ffffffff-2015-06,3
8445b23ffffffff-2015-07,1
8445b23ffffffff-2015-12,1
8445b23ffffffff-2016-01,4
8445b23ffffffff-2016-03,2
8445b23ffffffff-2016-04,2
8445b23ffffffff-2016-12,1
8445b23ffffffff-2017-01,2
8445b23ffffffff-2017-04,1
8445b23ffffffff-2017-09,1
8445b23ffffffff-2018-01,2
8445b23ffffffff-2018-03,2
8445b23ffffffff-2018-04,1
8445b23ffffffff-2018-08,1
8445b23ffffffff-2018-10,1
8445b23ffffffff-2018-12,1
8445b23ffffffff-2019-01,2
8445b23ffffffff-2019-02,8
8445b23ffffffff-2019-03,3
8445b23ffffffff-2019-05,1
8445b23ffffffff-2019-06,1
8445b23ffffffff-2019-09,1
8445b23ffffffff-2019-10,1
8445b23ffffffff-2019-11,2
8445b23ffffffff-2020-01,1
8445b23ffffffff-2020-02,2
8445b23ffffffff-2020-03,3
8445b23ffffffff-2021-02,1
8445b23ffffffff-2021-05,2
8445b23ffffffff-2021-08,1
8445b23ffffffff-2021-12,1
8445b23ffffffff-2022-01,1
8445b23ffffffff-2022-03,1
8445b23ffffffff-2022-05,1
8445b23ffffffff-2022-08,1
8445b23ffffffff-2022-11,3
8445b23ffffffff-2023-01,1
8445b23ffffffff-2023-02,3
8445b23ffffffff-2023-03,2
8445b23ffffffff-2023-04,1
8445b23ffffffff-2023-05,5
8445b23ffffffff-2023-06,1
8445b23ffffffff-2023-07,1
8445b23ffffffff-2023-08,2
8445b23ffffffff-2023-09,2
8445b23ffffffff-2023-10,1
8445b23ffffffff-2023-11,5
8445b25ffffffff-2014-12,7
8445b25ffffffff-2015-02,3
8445b25ffffffff-2016-01,2
8445b25ffffffff-2016-04,1
8445b25ffffffff-2019-01,2
8445b25ffffffff-2019-12,2
8445b25ffffffff-2022-03,1
8445b25ffffffff-2022-05,1
8445b25ffffffff-2023-01,1
8445b25ffffffff-2023-02,2
8445b25ffffffff-2023-04,1
8445b25ffffffff-2023-05,1
8445b25ffffffff-2023-08,1
8445b27ffffffff-2012-08,1
8445b27ffffffff-2012-10,1
8445b27ffffffff-2013-02,1
8445b27ffffffff-2013-03,1
8445b27ffffffff-2014-02,1
8445b27ffffffff-2014-05,3
8445b27ffffffff-2014-09,1
8445b27ffffffff-2015-01,3
8445b27ffffffff-2015-02,2
8445b27ffffffff-2015-06,1
8445b27ffffffff-2015-07,1
8445b27ffffffff-2015-12,2
8445b27ffffffff-2016-02,9
8445b27ffffffff-2016-04,2
8445b27ffffffff-2016-05,1
8445b27ffffffff-2016-07,1
8445b27ffffffff-2016-12,3
8445b27ffffffff-2017-01,2
8445b27ffffffff-2017-02,3
8445b27ffffffff-2017-03,3
8445b27ffffffff-2017-04,1
8445b27ffffffff-2017-06,2
8445b27ffffffff-2017-11,3
8445b27ffffffff-2017-12,3
8445b27ffffffff-2018-01,17
8445b27ffffffff-2018-02,5
8445b27ffffffff-2018-03,1
8445b27ffffffff-2018-04,1
8445b27ffffffff-2018-07,3
8445b27ffffffff-2018-10,2
8445b27ffffffff-2018-11,2
8445b27ffffffff-2018-12,3
8445b27ffffffff-2019-01,10
8445b27ffffffff-2019-02,4
8445b27ffffffff-2019-03,4
8445b27ffffffff-2019-04,1
8445b27ffffffff-2019-08,5
8445b27ffffffff-2019-10,2
8445b27ffffffff-2019-11,5
8445b27ffffffff-2019-12,8
8445b27ffffffff-2020-01,3
8445b27ffffffff-2020-02,10
8445b27ffffffff-2020-03,5
8445b27ffffffff-2021-06,2
8445b27ffffffff-2021-12,3
8445b27ffffffff-2022-01,2
8445b27ffffffff-2022-02,2
8445b27ffffffff-2022-03,4
8445b27ffffffff-2022-11,10
8445b27ffffffff-2022-12,5
8445b27ffffffff-2023-01,3
8445b27ffffffff-2023-02,2
8445b27ffffffff-2023-03,4
8445b27ffffffff-2023-04,9
8445b27ffffffff-2023-05,5
8445b27ffffffff-2023-08,2
8445b27ffffffff-2023-09,4
8445b27ffffffff-2023-10,3
8445b27ffffffff-2023-11,8
8445b29ffffffff-2014-01,6
8445b29ffffffff-2014-02,1
8445b29ffffffff-2021-08,1
8445b29ffffffff-2022-01,2
8445b2bffffffff-2012-02,3
8445b2bffffffff-2013-01,8
8445b2bffffffff-2013-02,1
8445b2bffffffff-2013-03,4
8445b2bffffffff-2013-04,4
8445b2bffffffff-2014-04,4
8445b2bffffffff-2014-09,1
8445b2bffffffff-2014-12,1
8445b2bffffffff-2015-01,1
8445b2bffffffff-2015-04,2
8445b2bffffffff-2015-12,1
8445b2bffffffff-2016-02,1
8445b2bffffffff-2016-04,2
8445b2bffffffff-2017-02,7
8445b2bffffffff-2017-03,4
8445b2bffffffff-2018-01,1
8445b2bffffffff-2018-03,1
8445b2bffffffff-2018-10,2
8445b2bffffffff-2019-01,2
8445b2bffffffff-2019-05,1
8445b2bffffffff-2019-08,2
8445b2bffffffff-2021-10,1
8445b2bffffffff-2022-01,1
8445b2bffffffff-2022-02,1
8445b2bffffffff-2022-03,1
8445b2bffffffff-2022-06,1
8445b2bffffffff-2023-03,4
8445b2bffffffff-2023-04,1
8445b2dffffffff-2012-02,1
8445b2dffffffff-2012-03,1
8445b2dffffffff-2012-04,6
8445b2dffffffff-2012-07,3
8445b2dffffffff-2012-11,4
8445b2dffffffff-2013-01,2
8445b2dffffffff-2013-02,9
8445b2dffffffff-2013-03,3
8445b2dffffffff-2013-08,4
8445b2dffffffff-2014-01,1
8445b2dffffffff-2014-02,5
8445b2dffffffff-2014-04,2
8445b2dffffffff-2015-02,6
8445b2dffffffff-2015-04,15
8445b2dffffffff-2015-07,6
8445b2dffffffff-2015-08,1
8445b2dffffffff-2016-03,8
8445b2dffffffff-2017-03,2
8445b2dffffffff-2017-04,1
8445b2dffffffff-2018-03,5
8445b2dffffffff-2019-04,10
8445b2dffffffff-2020-03,8
8445b2dffffffff-2020-05,2
8445b2dffffffff-2021-07,1
8445b2dffffffff-2022-04,1
8445b2dffffffff-2022-11,10
8445b2dffffffff-2023-05,2
8445b2dffffffff-2023-07,1
8445b2dffffffff-2023-11,8
8445b3dffffffff-2019-09,1
8467305ffffffff-2012-01,1
8467305ffffffff-2012-02,14
8467305ffffffff-2012-04,9
8467305ffffffff-2012-12,6
8467305ffffffff-2013-02,6
8467305ffffffff-2013-04,6
8467305ffffffff-2013-11,2
8467305ffffffff-2014-01,5
8467305ffffffff-2014-02,9
