index,n
8429a07ffffffff-2021-06,1
844cee5ffffffff-2022-06,1
8480007ffffffff-2020-01,1
8480007ffffffff-2022-03,1
8480035ffffffff-2019-03,1
8480037ffffffff-2017-03,1
848004bffffffff-2018-01,1
8480053ffffffff-2013-02,2
8480053ffffffff-2015-05,1
8480053ffffffff-2017-05,1
8480053ffffffff-2019-09,1
8480053ffffffff-2019-10,1
8480053ffffffff-2021-01,1
8480053ffffffff-2023-06,1
8480053ffffffff-2023-07,1
8480053ffffffff-2023-09,1
8480055ffffffff-2017-12,1
8480055ffffffff-2019-02,1
8480055ffffffff-2019-10,1
8480055ffffffff-2020-01,1
8480055ffffffff-2020-07,1
8480055ffffffff-2020-08,1
8480055ffffffff-2020-10,1
8480055ffffffff-2020-12,1
8480055ffffffff-2021-01,1
8480055ffffffff-2021-06,1
8480055ffffffff-2022-10,3
8480057ffffffff-2021-07,1
848005bffffffff-2016-03,1
848005bffffffff-2020-04,2
8480089ffffffff-2015-03,4
8480089ffffffff-2015-06,1
8480089ffffffff-2015-08,1
8480089ffffffff-2016-01,3
8480089ffffffff-2016-03,3
8480089ffffffff-2016-05,1
8480089ffffffff-2016-10,1
8480089ffffffff-2017-01,1
8480089ffffffff-2017-02,1
8480089ffffffff-2019-07,1
8480089ffffffff-2019-11,1
8480089ffffffff-2019-12,1
8480089ffffffff-2020-01,6
8480089ffffffff-2020-02,2
8480089ffffffff-2020-05,1
8480089ffffffff-2020-08,1
8480089ffffffff-2020-10,1
8480089ffffffff-2021-01,7
8480089ffffffff-2021-02,1
8480089ffffffff-2021-05,4
8480089ffffffff-2021-10,1
8480089ffffffff-2022-01,5
8480089ffffffff-2022-02,1
8480089ffffffff-2022-03,3
8480089ffffffff-2022-05,1
8480089ffffffff-2022-06,1
8480089ffffffff-2022-07,1
8480089ffffffff-2022-10,2
8480089ffffffff-2022-11,2
8480089ffffffff-2022-12,2
8480089ffffffff-2023-01,2
8480089ffffffff-2023-02,4
8480089ffffffff-2023-03,1
8480089ffffffff-2023-04,3
8480089ffffffff-2023-07,2
8480089ffffffff-2023-11,2
848008bffffffff-2021-05,1
8480091ffffffff-2018-06,1
848009dffffffff-2018-06,1
84800c3ffffffff-2020-12,1
84800c3ffffffff-2023-02,1
84800c5ffffffff-2019-12,1
84800c5ffffffff-2020-07,1
84800c5ffffffff-2020-08,1
84800cbffffffff-2022-10,1
84800cbffffffff-2023-01,1
84800cdffffffff-2020-10,1
84800d5ffffffff-2016-11,1
84800e1ffffffff-2015-03,2
84800e1ffffffff-2020-01,1
84800e1ffffffff-2021-12,1
84800e1ffffffff-2022-07,2
84800e1ffffffff-2022-08,1
84800e1ffffffff-2023-05,2
84800e1ffffffff-2023-11,1
84800e3ffffffff-2022-11,2
84800e5ffffffff-2018-09,1
84800e5ffffffff-2020-07,1
84800e5ffffffff-2022-08,1
84800e5ffffffff-2023-01,1
8480105ffffffff-2016-05,1
8480105ffffffff-2016-07,1
8480105ffffffff-2017-01,1
8480105ffffffff-2017-03,2
8480105ffffffff-2017-09,2
8480105ffffffff-2020-03,1
8480105ffffffff-2020-04,1
8480105ffffffff-2020-05,1
8480105ffffffff-2021-02,1
8480105ffffffff-2021-04,1
8480105ffffffff-2021-05,1
8480105ffffffff-2022-05,1
8480105ffffffff-2022-08,2
8480105ffffffff-2022-10,2
8480105ffffffff-2023-01,2
8480105ffffffff-2023-03,2
8480105ffffffff-2023-05,2
8480105ffffffff-2023-10,3
8480105ffffffff-2023-11,1
8480289ffffffff-2013-04,1
8480293ffffffff-2015-08,1
8480293ffffffff-2016-04,8
8480293ffffffff-2016-08,2
8480293ffffffff-2016-10,6
848029bffffffff-2023-01,1
84802a9ffffffff-2022-08,1
84802a9ffffffff-2022-09,1
84802abffffffff-2022-09,1
84802adffffffff-2019-12,1
84802b7ffffffff-2015-05,3
84802b7ffffffff-2016-02,1
84802b7ffffffff-2016-11,1
84802b7ffffffff-2017-11,1
84802b7ffffffff-2018-11,1
84802b7ffffffff-2020-09,1
84802b7ffffffff-2021-11,2
84802b7ffffffff-2021-12,2
84802b7ffffffff-2022-11,3
84802b7ffffffff-2023-10,2
84802bdffffffff-2022-09,3
84802e1ffffffff-2022-08,2
84802e1ffffffff-2022-09,1
84802e5ffffffff-2023-11,2
8480445ffffffff-2013-08,2
8480445ffffffff-2013-11,1
8480445ffffffff-2014-02,2
8480445ffffffff-2014-08,6
8480445ffffffff-2014-09,12
8480445ffffffff-2014-10,11
8480445ffffffff-2014-12,2
8480445ffffffff-2015-01,6
8480445ffffffff-2015-02,4
8480445ffffffff-2015-03,11
8480445ffffffff-2015-04,6
8480445ffffffff-2015-05,9
8480445ffffffff-2015-06,13
8480445ffffffff-2015-07,4
8480445ffffffff-2016-09,1
8480445ffffffff-2016-12,1
8480445ffffffff-2017-02,3
8480445ffffffff-2017-10,1
8480445ffffffff-2017-12,1
8480445ffffffff-2018-05,1
8480445ffffffff-2018-12,4
8480445ffffffff-2019-09,1
8480445ffffffff-2020-03,2
8480445ffffffff-2020-04,12
8480445ffffffff-2020-05,5
8480445ffffffff-2020-08,1
8480445ffffffff-2021-05,1
8480445ffffffff-2021-11,1
8480445ffffffff-2021-12,1
8480445ffffffff-2022-02,1
8480445ffffffff-2022-08,1
8480445ffffffff-2022-09,1
8480445ffffffff-2022-10,2
8480445ffffffff-2023-01,1
8480445ffffffff-2023-03,1
8480445ffffffff-2023-05,1
8480445ffffffff-2023-09,2
8480445ffffffff-2023-11,2
8480469ffffffff-2013-07,1
8480469ffffffff-2014-07,2
8480469ffffffff-2014-08,1
8480469ffffffff-2017-04,2
8480469ffffffff-2018-08,2
8480469ffffffff-2018-11,1
8480469ffffffff-2020-01,3
8480469ffffffff-2020-03,1
8480469ffffffff-2021-07,8
8480469ffffffff-2021-10,1
8480469ffffffff-2022-01,1
8480469ffffffff-2022-03,6
8480469ffffffff-2022-04,1
8480469ffffffff-2022-05,2
8480469ffffffff-2022-06,2
8480469ffffffff-2022-08,1
8480469ffffffff-2022-09,3
8480469ffffffff-2022-10,1
8480469ffffffff-2022-11,3
8480469ffffffff-2022-12,4
8480469ffffffff-2023-02,1
8480469ffffffff-2023-03,1
8480469ffffffff-2023-04,9
8480469ffffffff-2023-05,1
8480469ffffffff-2023-06,4
8480469ffffffff-2023-07,1
8480469ffffffff-2023-09,5
8480469ffffffff-2023-10,2
8480469ffffffff-2023-11,1
848054dffffffff-2022-01,1
848054dffffffff-2022-11,1
8480627ffffffff-2023-08,2
8480665ffffffff-2013-11,3
8480665ffffffff-2022-10,2
8480705ffffffff-2021-04,1
8480705ffffffff-2022-08,4
8480705ffffffff-2022-09,2
8480709ffffffff-2016-11,1
8480717ffffffff-2013-07,2
8480723ffffffff-2014-12,2
8480733ffffffff-2017-10,1
8480739ffffffff-2013-07,1
8480747ffffffff-2018-06,5
8480747ffffffff-2021-11,2
8480747ffffffff-2022-04,6
848074bffffffff-2015-07,1
848074bffffffff-2016-06,2
848074bffffffff-2022-11,1
8480759ffffffff-2016-12,1
8480759ffffffff-2017-04,1
848075dffffffff-2023-11,1
848076dffffffff-2016-04,8
8481005ffffffff-2015-01,1
8481099ffffffff-2018-05,1
8481099ffffffff-2018-06,1
8481099ffffffff-2018-08,1
8481099ffffffff-2019-04,1
8481099ffffffff-2019-08,1
8481099ffffffff-2022-06,7
8481099ffffffff-2022-08,2
8481099ffffffff-2023-07,4
8481125ffffffff-2015-01,1
8481125ffffffff-2015-07,1
8481125ffffffff-2015-08,1
8481125ffffffff-2015-10,1
8481125ffffffff-2015-12,5
8481125ffffffff-2016-01,1
8481125ffffffff-2016-04,3
8481125ffffffff-2017-09,1
8481125ffffffff-2019-02,1
8481125ffffffff-2019-08,12
8481125ffffffff-2019-10,2
8481125ffffffff-2019-11,2
8481125ffffffff-2020-01,5
8481125ffffffff-2022-01,1
8481125ffffffff-2022-09,7
8481125ffffffff-2022-12,2
8481125ffffffff-2023-03,1
8481125ffffffff-2023-05,1
8481125ffffffff-2023-07,2
8481125ffffffff-2023-09,8
8481141ffffffff-2022-10,1
8481291ffffffff-2014-07,1
8481291ffffffff-2015-10,1
8481291ffffffff-2021-05,1
8481299ffffffff-2019-07,1
848129bffffffff-2016-05,1
848129bffffffff-2017-10,1
848129bffffffff-2018-07,1
848129bffffffff-2019-03,1
848129bffffffff-2019-10,3
848129bffffffff-2020-05,1
848129bffffffff-2020-08,1
848129bffffffff-2020-12,2
848129bffffffff-2021-05,1
848129bffffffff-2021-06,2
848129bffffffff-2021-11,2
848129bffffffff-2022-06,2
84812bdffffffff-2015-10,2
84812d1ffffffff-2018-12,3
84812d1ffffffff-2019-02,6
84812d1ffffffff-2019-07,10
84812d1ffffffff-2019-12,1
84812d1ffffffff-2020-10,1
84812d1ffffffff-2021-08,2
84812d1ffffffff-2022-06,5
84812d1ffffffff-2023-01,1
84812d1ffffffff-2023-04,6
84812d1ffffffff-2023-05,15
84812d1ffffffff-2023-06,24
84812d1ffffffff-2023-09,5
84812d3ffffffff-2018-04,2
84812d3ffffffff-2022-04,5
84812d7ffffffff-2015-07,3
84812d7ffffffff-2015-08,1
84812d7ffffffff-2015-10,2
84812d7ffffffff-2016-04,3
84812d7ffffffff-2017-03,2
84812d7ffffffff-2017-06,1
84812d7ffffffff-2017-12,1
84812d7ffffffff-2018-05,2
84812d7ffffffff-2018-09,1
84812d7ffffffff-2018-11,2
84812d7ffffffff-2019-07,6
84812d7ffffffff-2019-08,7
84812d7ffffffff-2020-09,1
84812d7ffffffff-2021-07,3
84812d7ffffffff-2021-12,4
84812d7ffffffff-2023-05,9
84812d7ffffffff-2023-06,6
84812d7ffffffff-2023-09,4
84812d7ffffffff-2023-11,8
84812dbffffffff-2015-07,1
8481303ffffffff-2017-05,1
8481321ffffffff-2021-10,1
8481321ffffffff-2022-11,1
8481327ffffffff-2019-09,1
8481327ffffffff-2020-06,2
848132dffffffff-2019-08,1
8481335ffffffff-2017-02,2
8481339ffffffff-2017-06,2
8481339ffffffff-2023-06,1
848133dffffffff-2019-06,1
848133dffffffff-2021-07,1
8481363ffffffff-2017-06,1
8481401ffffffff-2018-07,1
8481401ffffffff-2020-01,1
8481401ffffffff-2020-06,2
8481401ffffffff-2020-07,3
8481401ffffffff-2020-12,2
8481401ffffffff-2021-02,1
8481401ffffffff-2021-06,4
8481401ffffffff-2021-11,1
8481401ffffffff-2022-04,1
8481401ffffffff-2022-07,6
8481401ffffffff-2022-11,4
8481401ffffffff-2023-01,5
8481401ffffffff-2023-05,1
8481401ffffffff-2023-07,2
8481401ffffffff-2023-08,2
8481401ffffffff-2023-09,4
8481401ffffffff-2023-10,4
8481403ffffffff-2017-07,2
8481405ffffffff-2020-07,1
8481407ffffffff-2020-06,1
8481407ffffffff-2021-11,2
8481407ffffffff-2023-03,3
848140dffffffff-2017-07,2
8481417ffffffff-2022-07,1
8481421ffffffff-2020-02,1
8481421ffffffff-2020-08,1
8481429ffffffff-2023-02,1
848142bffffffff-2015-05,1
848142bffffffff-2016-05,1
848142bffffffff-2017-10,1
848142bffffffff-2018-05,1
848142bffffffff-2019-06,1
848142bffffffff-2019-10,1
848142bffffffff-2020-01,1
848142bffffffff-2020-02,1
848142bffffffff-2020-04,15
848142bffffffff-2020-05,1
848142bffffffff-2020-06,5
848142bffffffff-2020-08,1
848142bffffffff-2020-12,3
848142bffffffff-2021-01,2
848142bffffffff-2021-03,1
848142bffffffff-2021-04,1
848142bffffffff-2021-05,1
848142bffffffff-2021-06,1
848142bffffffff-2021-11,1
848142bffffffff-2022-01,3
848142bffffffff-2022-02,1
848142bffffffff-2022-03,1
848142bffffffff-2022-04,1
848142bffffffff-2022-05,3
848142bffffffff-2022-06,1
848142bffffffff-2022-08,2
848142bffffffff-2022-09,1
848142bffffffff-2022-11,4
848142bffffffff-2022-12,2
848142bffffffff-2023-02,2
848142bffffffff-2023-03,5
848142bffffffff-2023-04,2
848142bffffffff-2023-05,2
848142bffffffff-2023-06,5
848142bffffffff-2023-07,4
848142bffffffff-2023-08,2
848142bffffffff-2023-09,2
848142bffffffff-2023-10,1
848142dffffffff-2019-07,1
848142dffffffff-2022-07,4
8481433ffffffff-2018-02,2
8481433ffffffff-2018-03,2
8481433ffffffff-2018-11,1
8481433ffffffff-2020-02,2
8481433ffffffff-2020-07,1
8481437ffffffff-2019-10,1
8481437ffffffff-2020-02,4
848143bffffffff-2018-12,1
8481445ffffffff-2019-07,1
8481445ffffffff-2022-07,3
8481447ffffffff-2019-05,1
848144bffffffff-2021-04,1
848144bffffffff-2021-07,1
848144dffffffff-2015-09,1
8481469ffffffff-2019-01,1
8481469ffffffff-2019-05,1
8481469ffffffff-2019-08,1
8481469ffffffff-2019-12,4
8481469ffffffff-2020-01,3
8481469ffffffff-2020-12,1
8481469ffffffff-2023-03,2
8481469ffffffff-2023-06,2
8481469ffffffff-2023-08,4
