index,n
848304dffffffff-2022-08,3
84831e5ffffffff-2022-08,3
8483201ffffffff-2022-09,3
8483203ffffffff-2023-10,8
848320bffffffff-2022-09,2
848320bffffffff-2023-08,10
848320bffffffff-2023-09,2
848320bffffffff-2023-10,2
848321dffffffff-2022-09,1
8483235ffffffff-2023-10,2
848323dffffffff-2016-09,1
8483251ffffffff-2022-10,1
84ac12dffffffff-2023-08,1
84ac12dffffffff-2023-09,3
84ac851ffffffff-2014-11,1
84ac853ffffffff-2016-11,2
84ac85bffffffff-2022-02,1
84ac8cdffffffff-2020-03,1
84aca07ffffffff-2012-10,1
84aca07ffffffff-2022-10,2
84aca11ffffffff-2023-09,1
84aca15ffffffff-2012-08,1
84aca15ffffffff-2014-09,2
84aca15ffffffff-2014-12,1
84aca15ffffffff-2015-09,1
84aca15ffffffff-2016-10,4
84aca15ffffffff-2017-07,1
84aca15ffffffff-2017-08,7
84aca15ffffffff-2017-09,4
84aca15ffffffff-2017-12,3
84aca15ffffffff-2018-04,1
84aca15ffffffff-2018-12,1
84aca15ffffffff-2019-06,1
84aca15ffffffff-2021-04,3
84aca15ffffffff-2021-10,1
84aca15ffffffff-2021-11,8
84aca15ffffffff-2022-06,1
84aca15ffffffff-2022-10,3
84aca15ffffffff-2022-11,3
84aca15ffffffff-2023-03,1
84aca15ffffffff-2023-07,8
84aca15ffffffff-2023-09,1
84aca15ffffffff-2023-11,2
84aca1dffffffff-2019-10,1
84aca1dffffffff-2021-12,10
84aca39ffffffff-2018-09,1
84aca39ffffffff-2023-03,1
84aca3bffffffff-2019-02,2
84aca3dffffffff-2012-09,1
84aca3dffffffff-2017-09,2
84aca3dffffffff-2021-05,1
84aca41ffffffff-2017-08,1
84aca49ffffffff-2021-11,10
84aca4bffffffff-2013-05,1
84aca4bffffffff-2017-03,2
84aca4bffffffff-2018-07,1
84aca4bffffffff-2021-08,2
84aca4bffffffff-2022-07,1
84aca4bffffffff-2022-10,2
84aca4bffffffff-2023-09,3
