index,n
848b617ffffffff-2014-07,1
848b617ffffffff-2015-10,4
848b617ffffffff-2016-04,1
848b617ffffffff-2017-05,1
848b617ffffffff-2017-08,6
848b617ffffffff-2018-01,1
848b617ffffffff-2018-04,3
848b617ffffffff-2018-06,1
848b617ffffffff-2018-07,2
848b617ffffffff-2018-09,1
848b617ffffffff-2018-10,1
848b617ffffffff-2019-05,1
848b617ffffffff-2019-09,2
848b617ffffffff-2020-12,3
848b617ffffffff-2021-05,1
848b617ffffffff-2021-09,1
848b617ffffffff-2021-10,1
848b617ffffffff-2022-04,4
848b617ffffffff-2022-05,4
848b617ffffffff-2022-06,5
848b617ffffffff-2022-07,6
848b617ffffffff-2022-08,2
848b617ffffffff-2022-09,3
848b617ffffffff-2022-10,1
848b617ffffffff-2023-03,1
848b617ffffffff-2023-04,4
848b617ffffffff-2023-05,6
848b617ffffffff-2023-06,3
848b617ffffffff-2023-07,1
848b617ffffffff-2023-09,6
848b617ffffffff-2023-10,2
848b633ffffffff-2019-07,2
848b639ffffffff-2019-01,1
848b639ffffffff-2023-05,2
848b63bffffffff-2012-04,2
848b63bffffffff-2012-06,3
848b63bffffffff-2012-09,7
848b63bffffffff-2012-11,2
848b63bffffffff-2013-07,1
848b63bffffffff-2013-10,15
848b63bffffffff-2014-05,2
848b63bffffffff-2014-08,1
848b63bffffffff-2014-10,2
848b63bffffffff-2015-08,1
848b63bffffffff-2015-09,11
848b63bffffffff-2015-11,5
848b63bffffffff-2016-05,4
848b63bffffffff-2016-07,1
848b63bffffffff-2016-09,7
848b63bffffffff-2016-10,2
848b63bffffffff-2016-11,1
848b63bffffffff-2017-05,1
848b63bffffffff-2017-06,1
848b63bffffffff-2017-07,12
848b63bffffffff-2017-08,6
848b63bffffffff-2017-10,1
848b63bffffffff-2018-04,12
848b63bffffffff-2018-05,21
848b63bffffffff-2018-07,9
848b63bffffffff-2018-08,6
848b63bffffffff-2018-09,11
848b63bffffffff-2018-10,9
848b63bffffffff-2018-11,3
848b63bffffffff-2019-01,1
848b63bffffffff-2019-02,1
848b63bffffffff-2019-04,1
848b63bffffffff-2019-05,7
848b63bffffffff-2019-06,1
848b63bffffffff-2019-07,2
848b63bffffffff-2019-09,2
848b63bffffffff-2019-10,1
848b63bffffffff-2019-11,1
848b63bffffffff-2019-12,10
848b63bffffffff-2020-01,3
848b63bffffffff-2020-03,1
848b63bffffffff-2020-04,1
848b63bffffffff-2020-09,3
848b63bffffffff-2020-10,10
848b63bffffffff-2021-03,3
848b63bffffffff-2021-04,4
848b63bffffffff-2021-05,9
848b63bffffffff-2021-06,16
848b63bffffffff-2021-07,4
848b63bffffffff-2021-08,2
848b63bffffffff-2021-09,16
848b63bffffffff-2021-10,14
848b63bffffffff-2021-11,6
848b63bffffffff-2021-12,1
848b63bffffffff-2022-02,1
848b63bffffffff-2022-03,3
848b63bffffffff-2022-04,10
848b63bffffffff-2022-05,12
848b63bffffffff-2022-06,6
848b63bffffffff-2022-07,17
848b63bffffffff-2022-08,20
848b63bffffffff-2022-09,11
848b63bffffffff-2022-10,41
848b63bffffffff-2022-11,22
848b63bffffffff-2023-03,3
848b63bffffffff-2023-04,10
848b63bffffffff-2023-05,7
848b63bffffffff-2023-06,4
848b63bffffffff-2023-07,11
848b63bffffffff-2023-08,2
848b63bffffffff-2023-09,2
848b63bffffffff-2023-10,7
848b63dffffffff-2021-07,2
848b69dffffffff-2014-12,1
848b6c3ffffffff-2019-03,9
848b6c3ffffffff-2019-04,6
848b6c3ffffffff-2021-05,2
848b6c3ffffffff-2023-04,1
848b6cbffffffff-2020-08,1
848b6cbffffffff-2020-09,1
848b6edffffffff-2012-08,2
848b6edffffffff-2013-09,3
848b6edffffffff-2013-10,3
848b6edffffffff-2013-11,10
848b6edffffffff-2013-12,1
848b6edffffffff-2014-08,1
848b6edffffffff-2014-09,1
848b6edffffffff-2014-10,1
848b6edffffffff-2014-11,2
848b6edffffffff-2015-03,3
848b6edffffffff-2016-10,3
848b6edffffffff-2019-07,2
848b6edffffffff-2022-04,1
848e643ffffffff-2023-09,1
848e649ffffffff-2020-02,1
848e649ffffffff-2020-08,1
848e649ffffffff-2020-10,2
848e649ffffffff-2022-09,1
848e649ffffffff-2023-06,3
848e649ffffffff-2023-07,1
848e6c9ffffffff-2021-09,1
848f401ffffffff-2012-07,1
848f401ffffffff-2012-09,4
848f401ffffffff-2012-10,6
848f401ffffffff-2013-03,1
848f401ffffffff-2013-06,9
848f401ffffffff-2013-07,1
848f401ffffffff-2013-11,2
848f401ffffffff-2014-01,4
848f401ffffffff-2014-02,6
848f401ffffffff-2014-03,1
848f401ffffffff-2014-04,1
848f401ffffffff-2014-05,2
848f401ffffffff-2014-06,1
848f401ffffffff-2014-07,1
848f401ffffffff-2014-09,1
