index,n
840e491ffffffff-2021-09,15
840e49bffffffff-2016-09,1
840e4dbffffffff-2023-09,1
8412497ffffffff-2021-06,1
84124a1ffffffff-2020-05,1
84124a5ffffffff-2015-07,2
84124a7ffffffff-2018-05,1
84124a7ffffffff-2019-06,1
84124abffffffff-2021-06,1
84124adffffffff-2021-07,1
84124adffffffff-2021-08,2
84124adffffffff-2022-05,1
84124adffffffff-2022-06,2
84124adffffffff-2022-07,1
84124adffffffff-2023-05,1
84124b3ffffffff-2012-08,1
84124b7ffffffff-2013-06,1
84124b7ffffffff-2013-07,1
84124b7ffffffff-2021-05,1
84124bbffffffff-2018-06,2
84124bbffffffff-2020-06,2
84124bbffffffff-2020-07,1
84124e3ffffffff-2017-05,1
84124e3ffffffff-2017-06,1
84124e3ffffffff-2018-05,1
84124e3ffffffff-2019-06,1
84124e3ffffffff-2021-06,2
84124e3ffffffff-2023-05,1
84124e5ffffffff-2022-07,1
8412505ffffffff-2016-05,2
8412523ffffffff-2012-06,3
8412523ffffffff-2013-05,2
8412523ffffffff-2021-05,2
8412523ffffffff-2021-06,3
8412523ffffffff-2022-06,2
8412523ffffffff-2023-05,1
8412523ffffffff-2023-06,1
8412525ffffffff-2016-06,1
8412525ffffffff-2018-05,1
8412525ffffffff-2018-06,1
8412525ffffffff-2019-06,2
8412525ffffffff-2020-06,1
8412527ffffffff-2012-06,1
8412527ffffffff-2017-07,4
8412527ffffffff-2019-07,1
8412527ffffffff-2020-07,1
8412527ffffffff-2021-05,4
8412527ffffffff-2021-06,10
8412527ffffffff-2021-07,1
8412527ffffffff-2022-05,5
8412527ffffffff-2022-06,1
8412527ffffffff-2022-07,1
8412527ffffffff-2023-05,2
8412527ffffffff-2023-06,4
8412527ffffffff-2023-07,11
8412527ffffffff-2023-08,4
8412583ffffffff-2019-07,1
8412583ffffffff-2022-06,2
8412585ffffffff-2020-06,1
8412585ffffffff-2020-07,2
8412587ffffffff-2015-06,1
8412591ffffffff-2018-05,3
8412591ffffffff-2018-06,1
8412591ffffffff-2018-07,2
8412591ffffffff-2018-08,1
8412591ffffffff-2019-05,3
8412591ffffffff-2019-06,3
8412591ffffffff-2019-07,6
8412591ffffffff-2019-08,1
8412591ffffffff-2020-05,10
8412591ffffffff-2020-06,5
8412591ffffffff-2020-07,1
8412591ffffffff-2020-09,1
8412591ffffffff-2021-05,4
8412591ffffffff-2021-06,1
8412591ffffffff-2022-05,8
8412591ffffffff-2022-06,4
8412591ffffffff-2023-08,2
8412593ffffffff-2018-06,1
8412593ffffffff-2021-05,1
8412593ffffffff-2022-05,1
8412593ffffffff-2022-06,1
8412593ffffffff-2022-07,1
8412593ffffffff-2023-05,1
8412595ffffffff-2013-05,1
8412595ffffffff-2017-05,1
8412595ffffffff-2017-06,1
8412595ffffffff-2017-07,3
8412595ffffffff-2019-05,1
8412595ffffffff-2019-07,1
8412595ffffffff-2020-06,6
8412595ffffffff-2020-07,2
8412595ffffffff-2021-06,2
8412595ffffffff-2022-05,8
8412597ffffffff-2012-06,2
