index,n
845e405ffffffff-2022-07,1
845e405ffffffff-2023-01,2
845e405ffffffff-2023-03,1
845e405ffffffff-2023-06,1
845e405ffffffff-2023-10,1
845e405ffffffff-2023-11,1
845e429ffffffff-2020-10,1
845e429ffffffff-2021-09,1
845e429ffffffff-2023-01,1
845e42bffffffff-2012-03,3
845e42bffffffff-2012-04,2
845e42bffffffff-2012-05,1
845e42bffffffff-2013-03,1
845e42bffffffff-2014-03,1
845e42bffffffff-2015-01,2
845e42bffffffff-2015-07,4
845e42bffffffff-2016-12,3
845e42bffffffff-2018-03,1
845e42bffffffff-2018-05,1
845e42bffffffff-2019-02,2
845e42bffffffff-2019-07,1
845e42bffffffff-2020-02,2
845e42bffffffff-2021-02,1
845e42bffffffff-2021-07,1
845e42bffffffff-2022-02,1
845e42bffffffff-2022-05,2
845e42bffffffff-2022-07,7
845e42bffffffff-2022-11,1
845e42bffffffff-2022-12,1
845e42bffffffff-2023-03,2
845e42bffffffff-2023-04,4
845e42bffffffff-2023-05,4
845e42bffffffff-2023-06,4
845e42bffffffff-2023-07,5
845e433ffffffff-2018-04,1
845e433ffffffff-2019-06,1
845e433ffffffff-2020-01,4
845e433ffffffff-2020-02,1
845e433ffffffff-2023-01,1
845e433ffffffff-2023-11,4
845e437ffffffff-2012-06,2
845e437ffffffff-2012-07,1
845e437ffffffff-2013-01,1
845e437ffffffff-2013-08,1
845e437ffffffff-2013-09,10
845e437ffffffff-2013-10,2
845e437ffffffff-2013-11,1
845e437ffffffff-2013-12,1
845e437ffffffff-2014-01,3
845e437ffffffff-2014-03,2
845e437ffffffff-2014-04,2
845e437ffffffff-2014-05,8
845e437ffffffff-2014-06,3
845e437ffffffff-2014-07,5
845e437ffffffff-2014-11,2
845e437ffffffff-2015-02,2
845e437ffffffff-2015-03,2
845e437ffffffff-2015-04,2
845e437ffffffff-2015-05,4
845e437ffffffff-2015-06,4
845e437ffffffff-2015-07,1
845e437ffffffff-2015-08,1
845e437ffffffff-2015-10,1
845e437ffffffff-2015-12,1
845e437ffffffff-2016-01,2
845e437ffffffff-2016-02,1
845e437ffffffff-2016-03,2
845e437ffffffff-2016-04,2
845e437ffffffff-2016-05,5
845e437ffffffff-2016-09,1
845e437ffffffff-2016-10,1
845e437ffffffff-2016-11,1
845e437ffffffff-2017-01,3
845e437ffffffff-2017-03,1
845e437ffffffff-2017-04,1
845e437ffffffff-2017-05,2
845e437ffffffff-2017-06,2
845e437ffffffff-2017-07,1
845e437ffffffff-2017-08,1
845e437ffffffff-2017-12,2
845e437ffffffff-2018-01,4
845e437ffffffff-2018-02,1
845e437ffffffff-2018-03,5
845e437ffffffff-2018-05,10
845e437ffffffff-2018-06,4
845e437ffffffff-2018-07,2
845e437ffffffff-2018-11,1
845e437ffffffff-2018-12,6
845e437ffffffff-2019-01,8
845e437ffffffff-2019-02,18
845e437ffffffff-2019-03,19
845e437ffffffff-2019-04,6
845e437ffffffff-2019-05,15
845e437ffffffff-2019-06,5
845e437ffffffff-2019-07,69
845e437ffffffff-2019-08,9
845e437ffffffff-2019-09,3
845e437ffffffff-2019-10,2
845e437ffffffff-2019-11,3
845e437ffffffff-2019-12,8
845e437ffffffff-2020-01,21
845e437ffffffff-2020-02,28
845e437ffffffff-2020-03,10
845e437ffffffff-2020-04,2
845e437ffffffff-2020-05,14
845e437ffffffff-2020-06,3
