index,n
8412895ffffffff-2021-07,1
8412897ffffffff-2012-06,1
8412897ffffffff-2016-08,1
8412899ffffffff-2014-06,1
8412899ffffffff-2019-08,1
8412899ffffffff-2021-08,2
841289bffffffff-2018-05,1
841289bffffffff-2019-08,1
841289bffffffff-2022-05,1
84128bdffffffff-2023-08,1
84128d3ffffffff-2020-05,3
84128d3ffffffff-2021-09,1
8412b49ffffffff-2016-11,6
8412c01ffffffff-2015-05,3
8412c03ffffffff-2017-08,2
8412c05ffffffff-2017-05,1
8412c07ffffffff-2017-05,1
8412c07ffffffff-2020-06,4
8412c09ffffffff-2021-05,4
8412c11ffffffff-2020-04,1
8412c11ffffffff-2023-06,1
8412c13ffffffff-2020-09,1
8412c1bffffffff-2022-09,1
8412c1bffffffff-2023-05,3
8412c1dffffffff-2020-05,1
8412c21ffffffff-2013-08,1
8412c21ffffffff-2019-05,1
8412c21ffffffff-2020-05,1
8412c21ffffffff-2023-05,3
8412c31ffffffff-2019-05,1
8412c33ffffffff-2012-05,1
8412c33ffffffff-2012-06,2
8412c33ffffffff-2013-06,2
8412c33ffffffff-2013-07,5
8412c33ffffffff-2014-05,12
8412c33ffffffff-2014-06,3
8412c33ffffffff-2014-07,2
8412c33ffffffff-2014-08,1
8412c33ffffffff-2015-05,7
8412c33ffffffff-2015-06,7
8412c33ffffffff-2015-08,1
8412c33ffffffff-2016-05,3
8412c33ffffffff-2016-06,2
8412c33ffffffff-2016-09,1
8412c33ffffffff-2017-05,6
8412c33ffffffff-2017-06,6
8412c33ffffffff-2018-05,16
8412c33ffffffff-2018-06,2
8412c33ffffffff-2019-05,30
8412c33ffffffff-2019-06,4
8412c33ffffffff-2019-07,1
8412c33ffffffff-2019-08,3
8412c33ffffffff-2020-04,4
8412c33ffffffff-2020-05,10
8412c33ffffffff-2020-06,5
8412c33ffffffff-2020-07,1
8412c33ffffffff-2020-08,2
8412c33ffffffff-2021-05,6
8412c33ffffffff-2021-07,1
8412c33ffffffff-2021-08,2
8412c33ffffffff-2022-05,11
8412c33ffffffff-2022-06,2
8412c33ffffffff-2022-08,3
8412c33ffffffff-2023-04,2
8412c33ffffffff-2023-05,4
8412c33ffffffff-2023-06,1
8412c35ffffffff-2018-05,1
8412c35ffffffff-2023-04,1
8412c39ffffffff-2022-06,1
8412c3bffffffff-2012-09,1
8412c3bffffffff-2013-05,2
8412c3bffffffff-2013-08,1
8412c3bffffffff-2018-06,1
8412c3bffffffff-2019-08,2
8412c3bffffffff-2020-05,2
8412c3bffffffff-2020-06,1
8412c3bffffffff-2021-06,1
8412c3bffffffff-2022-06,1
8412c3bffffffff-2022-07,2
8412c3bffffffff-2022-09,1
8412c3bffffffff-2023-05,4
8412c3bffffffff-2023-06,1
8412c3bffffffff-2023-07,1
8412c85ffffffff-2015-05,1
8412c85ffffffff-2016-04,1
8412c85ffffffff-2018-08,8
8412c85ffffffff-2023-05,1
8412c87ffffffff-2016-05,3
8412c87ffffffff-2018-05,1
8412c97ffffffff-2016-05,4
8412ca1ffffffff-2013-06,1
8412ca1ffffffff-2015-08,2
8412ca1ffffffff-2016-05,1
8412ca1ffffffff-2020-07,3
8412ca1ffffffff-2020-08,1
8412ca3ffffffff-2012-06,2
8412ca3ffffffff-2012-09,2
8412ca3ffffffff-2013-05,1
8412ca3ffffffff-2013-08,2
8412ca3ffffffff-2016-07,1
8412ca3ffffffff-2016-08,1
8412ca3ffffffff-2017-06,2
8412ca3ffffffff-2017-07,2
8412ca3ffffffff-2017-08,2
8412ca3ffffffff-2018-07,3
8412ca3ffffffff-2020-08,1
8412ca3ffffffff-2022-06,2
8412ca3ffffffff-2022-08,1
8412ca5ffffffff-2012-06,2
8412ca5ffffffff-2013-07,2
8412ca5ffffffff-2015-08,2
8412ca5ffffffff-2016-06,1
8412ca5ffffffff-2016-07,1
8412ca5ffffffff-2017-05,2
8412ca5ffffffff-2017-06,1
8412ca5ffffffff-2017-07,2
8412ca5ffffffff-2017-08,1
8412ca5ffffffff-2018-05,2
8412ca5ffffffff-2018-08,1
8412ca5ffffffff-2019-05,3
8412ca5ffffffff-2019-06,2
8412ca5ffffffff-2020-05,7
8412ca5ffffffff-2020-07,1
8412ca5ffffffff-2020-08,1
8412ca5ffffffff-2021-05,11
8412ca5ffffffff-2021-06,8
8412ca5ffffffff-2021-07,5
8412ca5ffffffff-2022-05,5
8412ca5ffffffff-2022-07,2
8412ca5ffffffff-2023-05,3
8412ca5ffffffff-2023-07,1
8412ca5ffffffff-2023-08,2
8412ca7ffffffff-2015-06,2
8412ca7ffffffff-2016-06,1
8412ca7ffffffff-2019-07,1
8412ca7ffffffff-2020-05,1
8412ca7ffffffff-2020-07,1
8412ca7ffffffff-2021-05,1
8412ca7ffffffff-2021-08,1
8412ca7ffffffff-2023-07,2
8412cabffffffff-2016-05,2
8412cabffffffff-2022-06,2
8412cabffffffff-2023-05,17
8412cabffffffff-2023-06,40
8412cabffffffff-2023-07,35
8412cabffffffff-2023-08,12
8412cadffffffff-2012-05,1
8412cadffffffff-2013-05,1
8412cadffffffff-2013-07,2
8412cadffffffff-2015-06,6
8412cadffffffff-2016-06,12
8412cadffffffff-2017-05,3
8412cadffffffff-2017-06,3
8412cadffffffff-2017-08,9
8412cadffffffff-2018-05,4
8412cadffffffff-2018-07,2
8412cadffffffff-2019-06,3
8412cadffffffff-2020-05,3
8412cadffffffff-2020-06,5
8412cadffffffff-2021-06,4
8412cadffffffff-2022-07,2
8412cadffffffff-2023-05,5
8412cadffffffff-2023-06,2
8412cadffffffff-2023-09,1
8412cb1ffffffff-2021-07,2
8412cb1ffffffff-2022-06,1
8412cb5ffffffff-2013-06,2
8412cb5ffffffff-2013-08,1
8412cb5ffffffff-2015-06,2
8412cb5ffffffff-2015-07,1
8412cb5ffffffff-2016-05,4
8412cb5ffffffff-2016-06,4
8412cb5ffffffff-2016-07,2
8412cb5ffffffff-2016-08,1
8412cb5ffffffff-2017-06,4
8412cb5ffffffff-2017-07,6
8412cb5ffffffff-2018-05,2
8412cb5ffffffff-2018-06,1
8412cb5ffffffff-2018-07,10
8412cb5ffffffff-2018-08,1
8412cb5ffffffff-2019-05,1
8412cb5ffffffff-2019-06,2
8412cb5ffffffff-2019-07,3
8412cb5ffffffff-2019-08,5
8412cb5ffffffff-2020-06,1
8412cb5ffffffff-2020-07,2
8412cb5ffffffff-2021-05,11
8412cb5ffffffff-2021-06,3
8412cb5ffffffff-2021-07,3
8412cb5ffffffff-2021-08,1
8412cb5ffffffff-2022-05,1
8412cb5ffffffff-2022-06,5
8412cb5ffffffff-2022-07,10
8412cb5ffffffff-2022-08,1
8412cb5ffffffff-2023-05,3
8412cb5ffffffff-2023-08,1
8412cb7ffffffff-2017-07,1
8412cb7ffffffff-2021-06,1
8412cbdffffffff-2013-07,2
8412cbdffffffff-2014-06,1
8412cbdffffffff-2017-05,1
8412cbdffffffff-2017-07,1
8412cbdffffffff-2018-05,6
8412cbdffffffff-2018-06,1
8412cbdffffffff-2020-06,1
8412cbdffffffff-2020-07,4
8412cbdffffffff-2020-08,5
8412cbdffffffff-2021-07,2
8412cbdffffffff-2021-08,2
8412cbdffffffff-2022-05,1
8412cbdffffffff-2022-06,4
8412ccdffffffff-2020-05,6
8412ccdffffffff-2021-05,118
8412cd7ffffffff-2020-05,5
8412ce5ffffffff-2012-06,4
8412ce5ffffffff-2014-05,1
8412ce5ffffffff-2015-05,1
8412ce5ffffffff-2015-07,1
8412ce5ffffffff-2015-09,1
8412ce5ffffffff-2016-06,2
8412ce5ffffffff-2016-07,2
8412ce5ffffffff-2017-05,25
8412ce5ffffffff-2017-06,15
8412ce5ffffffff-2017-07,5
8412ce5ffffffff-2018-05,10
8412ce5ffffffff-2018-06,1
8412ce5ffffffff-2018-08,1
8412ce5ffffffff-2018-09,1
8412ce5ffffffff-2019-05,9
8412ce5ffffffff-2019-06,6
8412ce5ffffffff-2019-07,3
8412ce5ffffffff-2019-08,2
8412ce5ffffffff-2020-06,1
8412ce5ffffffff-2020-07,2
8412ce5ffffffff-2021-05,2
8412ce5ffffffff-2021-07,5
8412ce5ffffffff-2021-09,5
8412ce5ffffffff-2022-05,14
8412ce5ffffffff-2023-05,10
8412ce5ffffffff-2023-06,5
8412ce5ffffffff-2023-07,3
8412cedffffffff-2019-06,1
8412cedffffffff-2020-05,1
8412cedffffffff-2022-06,1
8412d01ffffffff-2012-06,6
8412d01ffffffff-2013-06,1
8412d01ffffffff-2013-07,1
8412d01ffffffff-2013-08,1
8412d01ffffffff-2013-09,1
8412d01ffffffff-2014-06,6
8412d01ffffffff-2015-05,1
8412d01ffffffff-2015-06,1
8412d01ffffffff-2015-07,1
8412d01ffffffff-2016-05,2
8412d01ffffffff-2016-06,2
8412d01ffffffff-2016-07,2
8412d01ffffffff-2016-08,1
8412d01ffffffff-2017-05,7
8412d01ffffffff-2017-06,1
8412d01ffffffff-2017-07,1
8412d01ffffffff-2017-08,4
8412d01ffffffff-2018-05,2
8412d01ffffffff-2018-06,2
8412d01ffffffff-2018-07,1
8412d01ffffffff-2018-08,2
8412d01ffffffff-2018-10,1
8412d01ffffffff-2019-08,4
8412d01ffffffff-2020-05,1
8412d01ffffffff-2020-07,6
8412d01ffffffff-2021-05,8
8412d01ffffffff-2021-07,2
8412d01ffffffff-2021-08,2
8412d01ffffffff-2022-05,6
8412d01ffffffff-2022-07,2
8412d01ffffffff-2022-09,1
8412d01ffffffff-2023-05,1
8412d01ffffffff-2023-07,1
8412d01ffffffff-2023-08,1
8412d01ffffffff-2023-09,1
8412d03ffffffff-2012-07,2
8412d03ffffffff-2013-07,1
8412d03ffffffff-2014-06,2
8412d03ffffffff-2015-05,3
8412d03ffffffff-2015-07,1
8412d03ffffffff-2016-05,1
8412d03ffffffff-2016-06,4
8412d03ffffffff-2016-09,3
8412d03ffffffff-2017-05,2
8412d03ffffffff-2017-06,4
8412d03ffffffff-2018-05,2
8412d03ffffffff-2018-06,6
8412d03ffffffff-2018-08,2
8412d03ffffffff-2018-09,1
8412d03ffffffff-2019-06,5
8412d03ffffffff-2019-09,1
8412d03ffffffff-2020-05,2
8412d03ffffffff-2020-06,4
8412d03ffffffff-2020-07,4
8412d03ffffffff-2020-08,1
8412d03ffffffff-2021-05,1
8412d03ffffffff-2021-06,16
8412d03ffffffff-2021-07,4
8412d03ffffffff-2021-08,4
8412d03ffffffff-2022-05,7
8412d03ffffffff-2022-06,2
8412d03ffffffff-2023-07,1
8412d05ffffffff-2012-06,1
8412d05ffffffff-2014-06,1
8412d05ffffffff-2014-07,2
8412d05ffffffff-2015-06,3
8412d05ffffffff-2015-07,1
8412d05ffffffff-2016-06,3
8412d05ffffffff-2016-07,1
8412d05ffffffff-2017-07,1
8412d05ffffffff-2017-08,1
8412d05ffffffff-2018-06,3
8412d05ffffffff-2019-05,5
8412d05ffffffff-2019-07,3
8412d05ffffffff-2020-06,1
8412d05ffffffff-2020-07,1
8412d05ffffffff-2020-08,3
8412d05ffffffff-2021-06,3
8412d05ffffffff-2023-06,1
8412d07ffffffff-2013-06,1
8412d07ffffffff-2021-07,1
8412d07ffffffff-2021-08,2
8412d07ffffffff-2022-05,1
8412d07ffffffff-2022-06,1
8412d07ffffffff-2022-07,3
8412d07ffffffff-2022-09,1
8412d07ffffffff-2023-06,2
8412d07ffffffff-2023-07,1
8412d07ffffffff-2023-08,7
8412d0bffffffff-2013-05,3
8412d0bffffffff-2015-05,3
8412d0bffffffff-2015-06,1
8412d0bffffffff-2016-08,1
8412d0bffffffff-2019-06,1
8412d0bffffffff-2019-07,2
8412d0bffffffff-2020-04,1
8412d0bffffffff-2020-08,1
8412d0bffffffff-2021-05,3
8412d0bffffffff-2022-05,4
8412d0bffffffff-2022-06,1
8412d0bffffffff-2022-07,2
8412d0bffffffff-2022-08,4
8412d0bffffffff-2023-04,1
8412d0bffffffff-2023-05,1
8412d0dffffffff-2012-08,1
8412d0dffffffff-2015-05,1
8412d0dffffffff-2016-09,1
8412d0dffffffff-2017-06,2
8412d0dffffffff-2018-05,1
8412d0dffffffff-2018-06,3
8412d0dffffffff-2019-05,8
8412d0dffffffff-2019-08,2
8412d0dffffffff-2020-06,2
8412d0dffffffff-2020-07,2
8412d0dffffffff-2020-08,3
8412d0dffffffff-2021-06,1
8412d0dffffffff-2021-08,1
8412d0dffffffff-2022-05,7
8412d0dffffffff-2022-08,1
8412d0dffffffff-2022-09,1
8412d0dffffffff-2023-06,3
8412d0dffffffff-2023-08,6
8412d11ffffffff-2018-07,1
8412d11ffffffff-2018-09,1
8412d11ffffffff-2019-07,2
8412d11ffffffff-2021-09,1
8412d11ffffffff-2022-05,3
8412d11ffffffff-2023-08,1
8412d11ffffffff-2023-09,1
8412d15ffffffff-2015-05,1
8412d15ffffffff-2016-08,1
8412d15ffffffff-2019-06,2
8412d15ffffffff-2020-07,2
8412d15ffffffff-2023-05,1
8412d15ffffffff-2023-07,3
8412d17ffffffff-2013-07,2
8412d17ffffffff-2014-05,1
8412d17ffffffff-2014-07,6
8412d17ffffffff-2014-08,1
8412d17ffffffff-2015-09,1
8412d17ffffffff-2016-05,2
8412d17ffffffff-2016-07,1
8412d17ffffffff-2017-05,3
8412d17ffffffff-2017-07,4
8412d17ffffffff-2017-08,1
8412d17ffffffff-2018-04,1
8412d17ffffffff-2018-05,4
8412d17ffffffff-2018-07,1
8412d17ffffffff-2018-09,2
8412d17ffffffff-2019-04,1
8412d17ffffffff-2019-05,3
8412d17ffffffff-2019-06,2
8412d17ffffffff-2019-07,6
8412d17ffffffff-2019-08,6
8412d17ffffffff-2020-05,7
8412d17ffffffff-2020-06,8
8412d17ffffffff-2020-07,4
8412d17ffffffff-2020-08,1
8412d17ffffffff-2021-05,12
8412d17ffffffff-2021-06,11
8412d17ffffffff-2021-07,7
8412d17ffffffff-2021-08,4
8412d17ffffffff-2022-05,7
8412d17ffffffff-2022-06,2
8412d17ffffffff-2022-07,18
8412d17ffffffff-2022-08,3
8412d17ffffffff-2022-09,1
8412d17ffffffff-2023-05,9
8412d17ffffffff-2023-06,7
8412d17ffffffff-2023-08,3
8412d19ffffffff-2013-05,3
8412d19ffffffff-2014-07,1
8412d19ffffffff-2015-08,1
8412d19ffffffff-2019-09,1
8412d19ffffffff-2020-05,2
8412d19ffffffff-2020-08,2
8412d19ffffffff-2022-09,2
8412d1dffffffff-2014-09,1
8412d1dffffffff-2015-06,1
8412d1dffffffff-2017-05,2
8412d1dffffffff-2017-06,2
8412d1dffffffff-2018-08,1
8412d1dffffffff-2020-05,1
8412d1dffffffff-2020-06,3
8412d1dffffffff-2020-07,1
8412d1dffffffff-2021-06,1
8412d1dffffffff-2021-07,2
8412d1dffffffff-2021-08,1
8412d1dffffffff-2022-05,1
8412d1dffffffff-2022-06,1
8412d1dffffffff-2023-06,2
8412d1dffffffff-2023-07,2
8412d23ffffffff-2016-08,1
8412d23ffffffff-2023-09,3
8412d2bffffffff-2012-06,1
8412d2bffffffff-2014-07,1
8412d2bffffffff-2015-05,2
8412d2bffffffff-2015-06,2
8412d2bffffffff-2016-06,2
8412d2bffffffff-2018-07,1
8412d2bffffffff-2019-05,10
8412d2bffffffff-2020-06,1
8412d2bffffffff-2021-09,1
8412d2bffffffff-2022-07,1
8412d2bffffffff-2023-07,3
8412d33ffffffff-2012-05,2
8412d33ffffffff-2012-08,1
8412d33ffffffff-2013-05,1
8412d33ffffffff-2013-06,1
8412d33ffffffff-2013-07,2
8412d33ffffffff-2013-08,1
8412d33ffffffff-2014-05,12
8412d33ffffffff-2015-04,2
8412d33ffffffff-2016-05,2
8412d33ffffffff-2016-07,1
8412d33ffffffff-2016-08,1
8412d33ffffffff-2017-05,5
8412d33ffffffff-2017-08,1
8412d33ffffffff-2018-05,3
8412d33ffffffff-2019-05,6
8412d33ffffffff-2019-06,2
8412d33ffffffff-2019-07,2
8412d33ffffffff-2019-08,1
8412d33ffffffff-2020-05,14
8412d33ffffffff-2020-06,7
8412d33ffffffff-2020-07,8
8412d33ffffffff-2020-08,6
8412d33ffffffff-2021-04,1
8412d33ffffffff-2021-05,7
8412d33ffffffff-2021-06,10
8412d33ffffffff-2021-07,3
8412d33ffffffff-2021-08,1
8412d33ffffffff-2022-05,7
8412d33ffffffff-2022-06,4
8412d33ffffffff-2022-07,2
8412d33ffffffff-2022-08,3
8412d33ffffffff-2023-05,5
8412d33ffffffff-2023-06,3
8412d33ffffffff-2023-08,7
8412d33ffffffff-2023-09,1
8412d37ffffffff-2012-09,1
8412d37ffffffff-2013-06,1
8412d37ffffffff-2014-05,1
8412d37ffffffff-2015-05,1
8412d37ffffffff-2015-07,1
8412d37ffffffff-2015-09,1
8412d37ffffffff-2016-08,5
8412d37ffffffff-2016-09,5
8412d37ffffffff-2017-05,1
8412d37ffffffff-2017-06,1
8412d37ffffffff-2018-05,6
8412d37ffffffff-2018-06,4
8412d37ffffffff-2018-07,6
8412d37ffffffff-2019-05,4
8412d37ffffffff-2020-05,4
8412d37ffffffff-2020-06,5
8412d37ffffffff-2020-08,1
8412d37ffffffff-2021-05,3
8412d37ffffffff-2022-04,1
8412d37ffffffff-2022-05,17
8412d37ffffffff-2022-06,17
8412d37ffffffff-2022-08,4
