index,n
84446cbffffffff-2016-07,1
845e719ffffffff-2019-02,1
8465b57ffffffff-2020-01,1
8496141ffffffff-2017-06,3
8496141ffffffff-2017-08,2
8496141ffffffff-2017-12,1
8496141ffffffff-2019-05,2
8496141ffffffff-2019-08,6
8496141ffffffff-2019-09,3
8496141ffffffff-2020-01,4
8496141ffffffff-2020-07,1
8496141ffffffff-2020-10,2
8496141ffffffff-2021-02,3
8496141ffffffff-2021-07,1
8496141ffffffff-2021-08,3
8496141ffffffff-2023-07,1
8496141ffffffff-2023-09,1
8496141ffffffff-2023-10,1
8496145ffffffff-2017-06,3
8496145ffffffff-2019-08,4
8496145ffffffff-2022-09,1
8496145ffffffff-2023-09,1
8496147ffffffff-2019-08,2
8496147ffffffff-2020-10,1
8496147ffffffff-2023-07,1
8496149ffffffff-2014-10,2
8496149ffffffff-2018-09,1
8496149ffffffff-2018-10,6
8496149ffffffff-2019-08,1
8496149ffffffff-2020-10,3
8496149ffffffff-2022-09,11
8496149ffffffff-2023-09,2
8496149ffffffff-2023-10,1
8496201ffffffff-2016-12,1
8496201ffffffff-2017-12,1
8496201ffffffff-2018-11,4
8496201ffffffff-2019-11,2
8496201ffffffff-2019-12,2
8496201ffffffff-2020-08,8
8496201ffffffff-2020-10,1
8496201ffffffff-2021-08,2
8496201ffffffff-2022-11,2
8496201ffffffff-2022-12,1
8496201ffffffff-2023-05,2
8496201ffffffff-2023-11,5
8496203ffffffff-2017-12,3
8496203ffffffff-2020-09,1
8496203ffffffff-2021-10,1
8496203ffffffff-2022-09,1
8496203ffffffff-2022-10,1
8496203ffffffff-2023-08,2
8496205ffffffff-2021-10,1
8496205ffffffff-2021-11,1
8496207ffffffff-2015-08,1
8496207ffffffff-2016-06,1
8496207ffffffff-2016-09,2
8496207ffffffff-2017-05,2
8496207ffffffff-2017-10,1
8496207ffffffff-2017-12,4
8496207ffffffff-2019-06,1
8496207ffffffff-2019-08,12
8496207ffffffff-2019-10,6
8496207ffffffff-2019-12,1
8496207ffffffff-2020-10,2
8496207ffffffff-2021-08,3
8496207ffffffff-2021-09,1
8496207ffffffff-2021-10,2
8496207ffffffff-2022-05,5
8496207ffffffff-2022-09,2
8496207ffffffff-2022-10,20
8496207ffffffff-2022-11,1
8496207ffffffff-2022-12,2
8496207ffffffff-2023-04,1
8496207ffffffff-2023-05,8
8496207ffffffff-2023-06,1
8496207ffffffff-2023-07,1
8496207ffffffff-2023-09,4
8496207ffffffff-2023-10,2
849622bffffffff-2017-09,3
849622bffffffff-2019-06,1
849622bffffffff-2019-09,1
849622bffffffff-2020-11,1
849622bffffffff-2021-09,3
849622bffffffff-2021-10,1
849622bffffffff-2022-05,4
849622bffffffff-2022-07,2
849622bffffffff-2022-09,7
849622bffffffff-2022-10,1
849622bffffffff-2023-07,1
849622bffffffff-2023-08,1
849622bffffffff-2023-09,2
849622bffffffff-2023-10,1
8496233ffffffff-2023-08,1
8496239ffffffff-2015-11,1
8496239ffffffff-2016-10,3
8496239ffffffff-2018-09,1
8496239ffffffff-2019-06,2
8496239ffffffff-2019-08,1
8496239ffffffff-2021-08,1
8496239ffffffff-2022-10,1
849623bffffffff-2021-02,1
849623bffffffff-2021-07,1
849623bffffffff-2021-08,1
849623bffffffff-2021-10,1
849623bffffffff-2021-11,1
849623bffffffff-2022-01,4
849623bffffffff-2022-03,1
849623bffffffff-2022-05,1
849623bffffffff-2022-06,8
849623bffffffff-2022-07,5
849623bffffffff-2022-08,3
849623bffffffff-2022-09,1
849623bffffffff-2023-01,1
849623bffffffff-2023-03,1
849623bffffffff-2023-04,2
849623bffffffff-2023-05,1
849623bffffffff-2023-06,3
849623bffffffff-2023-07,11
849623bffffffff-2023-08,6
