index,n
8410161ffffffff-2023-07,1
8410807ffffffff-2020-07,1
8410a19ffffffff-2019-06,1
8410a81ffffffff-2023-07,1
8410b3bffffffff-2022-07,2
8411061ffffffff-2020-08,1
8411069ffffffff-2022-07,3
8411813ffffffff-2012-05,1
8411813ffffffff-2023-07,2
8411817ffffffff-2021-06,1
8411817ffffffff-2021-07,1
8411817ffffffff-2022-05,1
841181bffffffff-2022-07,1
841181dffffffff-2021-06,7
841181dffffffff-2021-08,1
841181dffffffff-2023-07,1
8411835ffffffff-2023-07,2
8411853ffffffff-2021-06,1
8411865ffffffff-2022-08,3
84118c1ffffffff-2023-07,1
84118c9ffffffff-2023-08,1
84118cdffffffff-2012-06,1
84118cdffffffff-2016-08,1
84118cdffffffff-2018-06,2
84118cdffffffff-2018-07,1
84118cdffffffff-2018-08,1
84118cdffffffff-2019-07,5
84118cdffffffff-2019-08,2
84118cdffffffff-2020-05,1
84118cdffffffff-2020-06,13
84118cdffffffff-2020-07,6
84118cdffffffff-2020-08,11
84118cdffffffff-2020-09,1
84118cdffffffff-2021-05,2
84118cdffffffff-2021-06,1
84118cdffffffff-2021-07,7
84118cdffffffff-2021-08,4
84118cdffffffff-2022-06,1
84118cdffffffff-2022-07,6
84118cdffffffff-2022-08,1
84118cdffffffff-2022-09,1
84118cdffffffff-2023-05,2
84118cdffffffff-2023-06,2
84118cdffffffff-2023-07,3
84118cdffffffff-2023-08,3
84118e9ffffffff-2022-05,2
8411913ffffffff-2020-07,2
8411961ffffffff-2021-06,2
8411961ffffffff-2021-07,4
8411961ffffffff-2021-08,1
8411965ffffffff-2017-05,1
8411965ffffffff-2017-07,1
8411965ffffffff-2018-06,1
8411965ffffffff-2018-07,1
8411965ffffffff-2019-04,2
8411965ffffffff-2019-05,1
8411965ffffffff-2019-06,7
8411965ffffffff-2019-07,11
8411965ffffffff-2020-05,3
8411965ffffffff-2020-06,1
8411965ffffffff-2020-07,5
8411965ffffffff-2020-08,6
8411965ffffffff-2021-05,1
8411965ffffffff-2021-06,2
8411965ffffffff-2021-07,4
8411965ffffffff-2021-08,3
8411965ffffffff-2023-05,2
8411965ffffffff-2023-07,10
8411965ffffffff-2023-08,2
8411987ffffffff-2012-06,1
8411987ffffffff-2019-08,1
8411987ffffffff-2023-06,4
84119d1ffffffff-2020-06,1
84119d1ffffffff-2021-08,1
84119d3ffffffff-2020-05,1
84119d3ffffffff-2021-05,1
84119d3ffffffff-2021-08,2
84119d3ffffffff-2023-07,1
84119d7ffffffff-2020-06,1
84119dbffffffff-2022-05,1
84119ebffffffff-2017-08,2
8411aa7ffffffff-2017-08,1
8411aa7ffffffff-2018-05,1
8411aa7ffffffff-2019-05,1
8411aa7ffffffff-2019-08,3
8411aa7ffffffff-2020-06,2
8411aa7ffffffff-2020-07,6
8411aa7ffffffff-2020-08,4
8411aa7ffffffff-2021-05,1
8411aa7ffffffff-2021-07,8
8411aa7ffffffff-2021-09,1
8411aa7ffffffff-2022-06,6
8411aa7ffffffff-2022-08,2
8411aa7ffffffff-2023-04,2
8411aa7ffffffff-2023-07,3
8411aa7ffffffff-2023-08,1
8411ab7ffffffff-2023-06,1
8411ae3ffffffff-2017-07,1
8411ae3ffffffff-2019-07,2
8411ae3ffffffff-2020-08,5
8411ae3ffffffff-2022-06,1
8411ae3ffffffff-2022-07,2
8411ae3ffffffff-2023-05,1
8411ae3ffffffff-2023-07,1
8411b4dffffffff-2022-07,1
8411b4dffffffff-2023-06,1
84182c9ffffffff-2020-05,3
8418443ffffffff-2023-10,1
8418495ffffffff-2013-05,1
8418495ffffffff-2013-08,1
8418495ffffffff-2014-06,3
8418495ffffffff-2016-06,3
8418495ffffffff-2017-04,1
8418495ffffffff-2018-04,4
8418495ffffffff-2018-05,11
8418495ffffffff-2019-05,3
8418495ffffffff-2020-05,1
8418495ffffffff-2020-06,3
8418495ffffffff-2021-04,1
8418495ffffffff-2021-05,4
8418495ffffffff-2022-04,1
8418495ffffffff-2022-07,3
8418495ffffffff-2023-05,3
8418499ffffffff-2023-10,1
84184b1ffffffff-2019-08,1
84184b1ffffffff-2021-05,2
84184b3ffffffff-2020-07,1
84184b3ffffffff-2021-06,1
84184b5ffffffff-2023-05,5
84184b7ffffffff-2014-06,2
84184b7ffffffff-2018-08,2
84184b7ffffffff-2019-05,1
84184b7ffffffff-2019-06,1
84184b7ffffffff-2021-05,1
84184b7ffffffff-2021-06,1
84184b7ffffffff-2022-06,1
84184b7ffffffff-2022-07,7
84185bbffffffff-2022-04,5
841868dffffffff-2020-08,1
84186b7ffffffff-2023-04,1
84186c1ffffffff-2020-09,1
84186c1ffffffff-2022-08,1
84186c3ffffffff-2012-08,1
84186c3ffffffff-2017-06,1
84186c3ffffffff-2018-06,1
84186c3ffffffff-2021-05,2
84186c3ffffffff-2021-06,1
84186c3ffffffff-2021-07,1
84186c3ffffffff-2021-08,7
84186c3ffffffff-2022-05,3
84186c3ffffffff-2022-06,2
84186c3ffffffff-2022-08,1
84186c3ffffffff-2023-05,7
84186c3ffffffff-2023-06,11
84186c3ffffffff-2023-07,1
84186c5ffffffff-2014-07,1
84186c5ffffffff-2016-07,1
84186c5ffffffff-2019-08,1
84186c5ffffffff-2020-06,2
84186c5ffffffff-2020-07,1
84186c5ffffffff-2021-06,2
84186c5ffffffff-2021-08,1
84186c5ffffffff-2022-06,1
84186c5ffffffff-2023-05,7
84186c5ffffffff-2023-06,3
84186c5ffffffff-2023-07,3
84186c5ffffffff-2023-08,3
84186ddffffffff-2023-07,1
84186e9ffffffff-2023-07,1
8418729ffffffff-2022-06,2
841874bffffffff-2020-05,1
8419407ffffffff-2022-05,1
8419417ffffffff-2019-05,2
8419421ffffffff-2015-07,1
8419425ffffffff-2014-05,3
841948bffffffff-2015-05,1
841948bffffffff-2015-06,1
841948bffffffff-2015-08,1
8419495ffffffff-2020-05,1
8419497ffffffff-2020-06,1
8419497ffffffff-2023-05,2
8419497ffffffff-2023-07,1
8419499ffffffff-2015-06,1
84194adffffffff-2016-05,1
84194adffffffff-2016-06,2
84194b3ffffffff-2020-08,1
84194b9ffffffff-2019-06,1
84194d3ffffffff-2017-06,1
84194d3ffffffff-2021-06,1
84194dbffffffff-2022-06,1
84194dbffffffff-2022-07,1
84194dbffffffff-2023-05,4
84194dbffffffff-2023-07,1
84194dbffffffff-2023-08,1
84194e5ffffffff-2019-11,1
84194ebffffffff-2016-06,1
84194edffffffff-2015-05,3
84194edffffffff-2015-06,1
8419501ffffffff-2020-05,4
84195b5ffffffff-2023-04,1
84195b9ffffffff-2016-07,2
84195b9ffffffff-2017-05,1
84195b9ffffffff-2017-06,6
84195b9ffffffff-2022-05,1
84195b9ffffffff-2022-06,1
84195c7ffffffff-2018-07,4
84195cbffffffff-2022-06,2
8419683ffffffff-2023-05,1
8419691ffffffff-2021-07,1
8419695ffffffff-2021-08,1
8419695ffffffff-2022-06,1
841969bffffffff-2022-06,1
841969dffffffff-2022-05,1
841969dffffffff-2022-08,1
841969dffffffff-2023-05,2
841969dffffffff-2023-07,1
84196b3ffffffff-2020-05,1
84196bbffffffff-2016-07,1
84196bbffffffff-2018-04,1
84196bbffffffff-2019-05,1
84196bbffffffff-2021-07,1
84196bbffffffff-2021-08,2
8419739ffffffff-2018-05,1
841e007ffffffff-2022-05,1
841e007ffffffff-2023-06,1
841e007ffffffff-2023-07,2
841e007ffffffff-2023-09,1
841e009ffffffff-2021-06,1
841e009ffffffff-2021-07,2
841e009ffffffff-2022-05,2
841e009ffffffff-2022-06,1
841e009ffffffff-2023-05,1
841e009ffffffff-2023-06,2
841e00dffffffff-2023-07,1
841e021ffffffff-2021-08,4
841e021ffffffff-2022-07,1
841e021ffffffff-2022-08,3
841e021ffffffff-2023-06,1
841e021ffffffff-2023-08,4
841e023ffffffff-2014-05,3
841e023ffffffff-2014-06,2
841e023ffffffff-2014-07,7
841e023ffffffff-2016-06,1
841e023ffffffff-2017-08,2
841e023ffffffff-2019-05,4
841e023ffffffff-2019-06,1
841e023ffffffff-2019-08,4
841e023ffffffff-2021-05,2
841e023ffffffff-2021-07,6
841e023ffffffff-2022-05,1
841e023ffffffff-2022-06,5
841e023ffffffff-2022-07,5
841e023ffffffff-2023-05,3
841e023ffffffff-2023-08,4
841e025ffffffff-2014-06,18
841e025ffffffff-2015-07,1
841e025ffffffff-2018-05,3
841e025ffffffff-2018-09,1
841e025ffffffff-2019-05,1
841e025ffffffff-2019-07,4
841e025ffffffff-2019-08,1
841e025ffffffff-2020-05,1
841e025ffffffff-2021-05,2
841e025ffffffff-2022-05,2
841e025ffffffff-2022-06,5
841e025ffffffff-2022-08,4
841e025ffffffff-2023-04,3
841e025ffffffff-2023-06,5
841e025ffffffff-2023-07,1
841e029ffffffff-2019-09,1
841e029ffffffff-2020-07,1
841e029ffffffff-2021-05,2
841e029ffffffff-2021-08,3
841e029ffffffff-2022-05,1
841e029ffffffff-2022-07,1
841e029ffffffff-2022-08,3
841e029ffffffff-2023-05,1
841e029ffffffff-2023-07,2
841e029ffffffff-2023-08,5
841e02bffffffff-2021-07,2
841e02bffffffff-2022-05,1
841e02dffffffff-2013-09,1
841e02dffffffff-2014-06,4
841e02dffffffff-2017-06,1
841e02dffffffff-2017-07,1
841e02dffffffff-2018-05,1
841e02dffffffff-2019-07,3
841e02dffffffff-2020-05,1
841e02dffffffff-2020-06,2
841e02dffffffff-2020-07,6
841e02dffffffff-2021-06,2
841e02dffffffff-2021-07,6
841e02dffffffff-2022-04,1
841e02dffffffff-2022-05,1
841e02dffffffff-2023-08,1
841e02dffffffff-2023-09,1
841e031ffffffff-2015-06,1
841e031ffffffff-2015-07,1
841e031ffffffff-2017-04,1
841e031ffffffff-2018-07,1
841e031ffffffff-2022-05,1
841e031ffffffff-2022-07,1
841e031ffffffff-2023-07,1
841e031ffffffff-2023-08,1
841e035ffffffff-2014-05,3
841e035ffffffff-2023-06,1
841e037ffffffff-2014-05,1
841e037ffffffff-2015-06,2
841e037ffffffff-2018-06,4
841e037ffffffff-2018-07,1
841e037ffffffff-2020-07,1
841e037ffffffff-2021-05,1
841e037ffffffff-2021-06,1
841e037ffffffff-2021-09,1
841e037ffffffff-2022-05,3
841e037ffffffff-2022-06,3
841e037ffffffff-2022-07,5
841e037ffffffff-2022-08,15
841e037ffffffff-2023-05,7
841e037ffffffff-2023-06,5
841e037ffffffff-2023-07,7
841e037ffffffff-2023-08,6
841e037ffffffff-2023-09,1
841e039ffffffff-2021-08,1
841e03bffffffff-2019-06,5
841e03bffffffff-2020-05,2
841e03bffffffff-2020-06,2
841e03bffffffff-2020-07,1
841e03bffffffff-2021-05,3
841e03bffffffff-2021-06,2
841e03bffffffff-2021-08,1
841e03bffffffff-2022-05,1
841e03bffffffff-2023-06,5
841e03bffffffff-2023-07,3
841e03dffffffff-2019-06,2
841e03dffffffff-2020-07,2
841e03dffffffff-2020-08,1
841e03dffffffff-2020-09,1
841e03dffffffff-2021-08,1
841e03dffffffff-2022-04,1
841e03dffffffff-2022-05,1
841e03dffffffff-2022-07,1
841e03dffffffff-2022-08,1
841e03dffffffff-2023-05,3
841e03dffffffff-2023-06,1
841e041ffffffff-2012-05,1
841e041ffffffff-2012-06,1
841e041ffffffff-2012-07,1
841e041ffffffff-2013-08,2
841e041ffffffff-2016-06,1
841e041ffffffff-2017-07,1
841e041ffffffff-2018-05,1
841e041ffffffff-2019-07,1
841e041ffffffff-2019-08,1
841e041ffffffff-2020-07,1
841e041ffffffff-2020-08,1
841e041ffffffff-2021-06,2
841e041ffffffff-2022-05,1
841e041ffffffff-2022-06,3
841e041ffffffff-2022-07,3
841e041ffffffff-2023-06,2
841e041ffffffff-2023-07,1
841e041ffffffff-2023-08,1
841e043ffffffff-2015-05,1
841e043ffffffff-2017-05,1
841e043ffffffff-2017-07,1
841e043ffffffff-2020-08,4
841e043ffffffff-2021-07,3
841e043ffffffff-2021-08,1
841e043ffffffff-2022-07,1
841e043ffffffff-2023-05,1
841e043ffffffff-2023-06,2
841e043ffffffff-2023-07,2
841e043ffffffff-2023-09,1
841e045ffffffff-2015-08,1
841e045ffffffff-2017-07,2
841e045ffffffff-2017-08,1
841e045ffffffff-2018-05,2
841e045ffffffff-2018-06,2
841e045ffffffff-2018-07,1
841e045ffffffff-2019-05,1
841e045ffffffff-2019-07,1
841e045ffffffff-2019-08,3
841e045ffffffff-2019-09,1
841e045ffffffff-2020-05,2
841e045ffffffff-2020-06,2
841e045ffffffff-2020-07,6
841e045ffffffff-2020-08,3
841e045ffffffff-2021-05,1
841e045ffffffff-2021-06,5
841e045ffffffff-2021-07,4
841e045ffffffff-2021-09,4
841e045ffffffff-2022-05,1
841e045ffffffff-2022-06,6
841e045ffffffff-2022-07,8
841e045ffffffff-2022-08,14
841e045ffffffff-2023-05,1
841e045ffffffff-2023-06,12
841e045ffffffff-2023-07,17
841e045ffffffff-2023-08,6
841e045ffffffff-2023-09,2
841e047ffffffff-2014-06,2
841e047ffffffff-2015-07,1
841e047ffffffff-2016-06,1
841e047ffffffff-2017-08,1
841e047ffffffff-2018-05,1
841e047ffffffff-2018-07,6
841e047ffffffff-2021-04,1
841e047ffffffff-2021-05,8
841e047ffffffff-2021-06,13
841e047ffffffff-2021-07,7
841e047ffffffff-2021-08,3
841e047ffffffff-2021-09,2
841e047ffffffff-2022-05,8
841e047ffffffff-2022-06,6
841e047ffffffff-2022-07,1
841e047ffffffff-2022-08,1
841e047ffffffff-2023-05,12
841e047ffffffff-2023-06,11
841e047ffffffff-2023-07,7
841e047ffffffff-2023-08,8
841e047ffffffff-2023-09,2
841e049ffffffff-2023-09,5
