index,n
84945adffffffff-2017-06,1
8494825ffffffff-2019-11,2
84948e1ffffffff-2019-08,1
84948e5ffffffff-2018-05,1
8494965ffffffff-2023-06,2
84949b7ffffffff-2018-06,1
84949e1ffffffff-2023-05,1
8494c33ffffffff-2015-05,1
8494c33ffffffff-2016-04,1
8494c33ffffffff-2022-04,4
8494c33ffffffff-2022-08,3
8494c61ffffffff-2023-09,1
8494c6dffffffff-2023-07,1
8494c91ffffffff-2013-07,1
8494c91ffffffff-2014-06,1
8494c91ffffffff-2015-04,1
8494c91ffffffff-2015-09,1
8494c91ffffffff-2016-07,1
8494c91ffffffff-2016-11,1
8494c91ffffffff-2017-05,2
8494c91ffffffff-2019-07,1
8494c91ffffffff-2019-08,3
8494c91ffffffff-2023-07,2
8494c95ffffffff-2016-05,1
8494c97ffffffff-2020-04,1
8494c99ffffffff-2015-09,1
8494c99ffffffff-2015-10,1
8494c99ffffffff-2016-04,1
8494c99ffffffff-2016-08,1
8494c99ffffffff-2018-05,7
8494c99ffffffff-2018-07,1
8494c99ffffffff-2021-07,1
8494c99ffffffff-2021-08,2
8494c99ffffffff-2022-06,1
8494c99ffffffff-2022-09,1
8494c99ffffffff-2023-06,1
8494c99ffffffff-2023-08,2
8494d07ffffffff-2017-07,1
8494d07ffffffff-2018-09,1
8494d23ffffffff-2018-06,1
8494d23ffffffff-2022-05,2
8494d3dffffffff-2023-07,1
8494d3dffffffff-2023-09,2
8494d5dffffffff-2018-10,1
8494d5dffffffff-2023-09,2
8494da9ffffffff-2022-10,1
8494da9ffffffff-2022-11,1
8494da9ffffffff-2022-12,1
8494da9ffffffff-2023-01,1
8494da9ffffffff-2023-02,1
8494da9ffffffff-2023-03,1
8494da9ffffffff-2023-06,2
8494dabffffffff-2017-06,1
8494dabffffffff-2017-10,1
8494dabffffffff-2018-04,1
8494dabffffffff-2018-09,3
8494dabffffffff-2019-03,1
8494dabffffffff-2019-12,1
8494dabffffffff-2021-05,2
8494db5ffffffff-2017-05,1
8494e81ffffffff-2019-06,1
8494ea1ffffffff-2023-06,1
8494ee5ffffffff-2019-06,2
8494ee7ffffffff-2019-06,1
849c495ffffffff-2023-08,1
849c497ffffffff-2018-05,4
849c499ffffffff-2013-07,1
849c499ffffffff-2015-09,1
