index,n
845f00dffffffff-2016-04,1
845f00dffffffff-2019-02,1
845f023ffffffff-2019-11,1
845f025ffffffff-2023-07,1
845f02bffffffff-2023-04,6
845f031ffffffff-2021-01,2
845f031ffffffff-2021-08,1
845f035ffffffff-2013-10,2
845f035ffffffff-2015-02,1
845f035ffffffff-2015-03,3
845f035ffffffff-2017-03,1
845f035ffffffff-2017-07,4
845f035ffffffff-2017-09,1
845f035ffffffff-2018-01,4
845f035ffffffff-2018-02,10
845f035ffffffff-2018-08,1
845f035ffffffff-2018-10,1
845f035ffffffff-2018-11,2
845f035ffffffff-2019-02,1
845f035ffffffff-2019-08,1
845f035ffffffff-2019-11,2
845f035ffffffff-2020-01,6
845f035ffffffff-2020-02,1
845f035ffffffff-2022-03,1
845f035ffffffff-2023-02,2
845f035ffffffff-2023-07,2
845f03dffffffff-2017-02,1
845f03dffffffff-2017-07,7
845f03dffffffff-2018-10,1
845f03dffffffff-2019-01,2
845f03dffffffff-2019-02,2
845f03dffffffff-2020-02,2
845f03dffffffff-2021-05,2
845f03dffffffff-2021-11,2
845f03dffffffff-2022-02,2
845f03dffffffff-2022-03,3
845f03dffffffff-2022-08,1
845f03dffffffff-2022-09,1
845f03dffffffff-2023-01,7
845f03dffffffff-2023-04,4
845f03dffffffff-2023-10,1
845f08bffffffff-2022-05,2
845f091ffffffff-2023-06,1
845f09bffffffff-2019-12,1
845f0d7ffffffff-2022-05,2
845f101ffffffff-2021-10,1
845f105ffffffff-2018-12,1
845f105ffffffff-2020-10,1
845f107ffffffff-2021-01,1
845f10dffffffff-2022-08,1
845f113ffffffff-2020-06,1
845f113ffffffff-2021-05,1
845f117ffffffff-2019-11,1
845f12bffffffff-2018-12,1
845f12bffffffff-2019-08,1
845f12bffffffff-2020-01,1
845f12bffffffff-2020-03,1
845f12bffffffff-2021-02,3
845f12bffffffff-2023-06,1
845f139ffffffff-2019-06,1
845f139ffffffff-2023-01,1
845f139ffffffff-2023-05,2
845f13dffffffff-2018-05,1
845f13dffffffff-2018-12,1
845f13dffffffff-2020-09,1
845f13dffffffff-2021-03,1
845f13dffffffff-2021-06,1
845f13dffffffff-2022-05,1
845f13dffffffff-2022-06,1
845f13dffffffff-2023-05,1
845f13dffffffff-2023-06,1
845f13dffffffff-2023-08,2
845f155ffffffff-2022-12,2
845f159ffffffff-2018-06,1
845f161ffffffff-2023-11,1
845f163ffffffff-2022-09,1
845f163ffffffff-2023-08,3
845f16bffffffff-2023-08,2
845f1c9ffffffff-2017-10,4
845f1cbffffffff-2015-03,1
845f1cbffffffff-2018-08,1
845f1cbffffffff-2020-03,1
845f1cbffffffff-2021-07,1
845f1cbffffffff-2023-04,5
845f295ffffffff-2019-01,1
845f2b1ffffffff-2019-02,1
845f2b1ffffffff-2020-02,1
845f2b3ffffffff-2016-11,1
845f2b3ffffffff-2017-05,3
845f2b3ffffffff-2017-07,2
845f2b3ffffffff-2017-11,8
845f2b3ffffffff-2018-07,4
845f2b3ffffffff-2019-01,2
845f2b3ffffffff-2019-02,1
845f2b3ffffffff-2019-10,5
845f2b3ffffffff-2022-09,6
845f2b3ffffffff-2022-10,1
845f2b3ffffffff-2022-12,2
845f2b3ffffffff-2023-01,3
845f2b3ffffffff-2023-10,2
845f2bbffffffff-2012-01,3
845f2bbffffffff-2013-10,2
845f2bbffffffff-2014-11,2
845f2bbffffffff-2017-11,1
845f2bbffffffff-2018-02,1
845f2bbffffffff-2018-03,4
845f2bbffffffff-2018-12,6
845f2bbffffffff-2019-06,1
845f2bbffffffff-2019-07,2
845f2bbffffffff-2019-10,6
845f2bbffffffff-2019-11,2
845f2bbffffffff-2020-01,2
845f2bbffffffff-2022-04,1
845f2bbffffffff-2022-05,1
845f2bbffffffff-2022-06,1
845f2bbffffffff-2022-08,1
845f2bbffffffff-2023-02,3
845f2bbffffffff-2023-03,1
845f2bbffffffff-2023-04,1
845f2bbffffffff-2023-05,1
845f2bbffffffff-2023-06,1
845f2bbffffffff-2023-09,10
845f2bbffffffff-2023-10,1
845f2bbffffffff-2023-11,5
845f407ffffffff-2021-05,1
845f42bffffffff-2022-05,9
845f42bffffffff-2023-10,1
845f483ffffffff-2018-07,2
845f487ffffffff-2014-10,1
845f487ffffffff-2019-10,4
845f487ffffffff-2023-07,1
845f4a3ffffffff-2021-07,1
845f4a7ffffffff-2015-12,2
845f4a9ffffffff-2015-12,7
845f4abffffffff-2021-05,1
845f4b9ffffffff-2015-09,3
845f4bdffffffff-2018-07,2
845f4bdffffffff-2019-10,4
845f4bdffffffff-2021-05,10
845f4c3ffffffff-2022-02,2
845f50dffffffff-2019-08,1
845f541ffffffff-2019-07,2
845f549ffffffff-2016-09,5
845f549ffffffff-2017-02,2
845f549ffffffff-2017-03,4
845f549ffffffff-2018-04,4
845f549ffffffff-2020-03,2
845f581ffffffff-2017-01,1
845f581ffffffff-2017-04,1
845f581ffffffff-2017-10,1
845f581ffffffff-2018-05,1
845f581ffffffff-2018-11,1
845f581ffffffff-2019-05,1
845f581ffffffff-2023-05,1
845f583ffffffff-2012-04,3
845f583ffffffff-2012-09,1
845f583ffffffff-2012-12,1
845f583ffffffff-2013-03,1
845f583ffffffff-2013-12,7
845f583ffffffff-2014-05,1
845f583ffffffff-2014-06,1
845f583ffffffff-2014-08,1
845f583ffffffff-2014-12,10
845f583ffffffff-2015-01,1
845f583ffffffff-2015-03,1
845f583ffffffff-2015-04,4
845f583ffffffff-2015-05,1
845f583ffffffff-2015-09,1
845f583ffffffff-2015-10,1
845f583ffffffff-2015-11,1
845f583ffffffff-2015-12,4
845f583ffffffff-2016-01,1
845f583ffffffff-2016-02,2
845f583ffffffff-2016-03,1
845f583ffffffff-2016-04,3
845f583ffffffff-2016-05,6
845f583ffffffff-2016-06,1
845f583ffffffff-2016-09,1
845f583ffffffff-2016-10,3
845f583ffffffff-2016-11,2
845f583ffffffff-2016-12,10
845f583ffffffff-2017-01,4
845f583ffffffff-2017-02,10
845f583ffffffff-2017-03,3
845f583ffffffff-2017-04,2
845f583ffffffff-2017-05,5
845f583ffffffff-2017-07,1
845f583ffffffff-2017-08,3
845f583ffffffff-2017-10,9
845f583ffffffff-2017-11,9
845f583ffffffff-2017-12,2
845f583ffffffff-2018-01,1
845f583ffffffff-2018-02,3
845f583ffffffff-2018-03,2
845f583ffffffff-2018-04,1
845f583ffffffff-2018-05,6
845f583ffffffff-2018-06,6
845f583ffffffff-2018-07,4
845f583ffffffff-2018-08,6
845f583ffffffff-2018-09,13
845f583ffffffff-2018-10,8
845f583ffffffff-2018-11,9
845f583ffffffff-2018-12,18
845f583ffffffff-2019-01,4
845f583ffffffff-2019-02,5
845f583ffffffff-2019-04,3
845f583ffffffff-2019-05,19
845f583ffffffff-2019-06,4
845f583ffffffff-2019-07,1
845f583ffffffff-2019-08,3
845f583ffffffff-2019-09,1
845f583ffffffff-2019-10,1
845f583ffffffff-2019-11,10
845f583ffffffff-2019-12,23
845f583ffffffff-2020-01,14
845f583ffffffff-2020-02,7
845f583ffffffff-2020-03,2
845f583ffffffff-2020-05,7
845f583ffffffff-2020-06,12
845f583ffffffff-2020-07,1
845f583ffffffff-2020-08,2
845f583ffffffff-2020-09,1
845f583ffffffff-2020-10,2
845f583ffffffff-2020-11,1
845f583ffffffff-2020-12,3
845f583ffffffff-2021-01,2
845f583ffffffff-2021-05,1
845f583ffffffff-2021-10,4
845f583ffffffff-2021-11,3
845f583ffffffff-2021-12,4
845f583ffffffff-2022-01,3
845f583ffffffff-2022-03,5
845f583ffffffff-2022-05,3
845f583ffffffff-2022-06,2
845f583ffffffff-2022-11,1
845f583ffffffff-2022-12,13
845f583ffffffff-2023-01,10
845f583ffffffff-2023-02,3
845f583ffffffff-2023-03,1
845f583ffffffff-2023-04,1
845f583ffffffff-2023-05,3
845f583ffffffff-2023-06,1
845f583ffffffff-2023-07,2
845f583ffffffff-2023-08,7
845f583ffffffff-2023-09,3
845f583ffffffff-2023-10,5
845f583ffffffff-2023-11,1
845f587ffffffff-2018-02,1
845f587ffffffff-2018-11,2
845f587ffffffff-2023-06,3
845f587ffffffff-2023-07,1
845f587ffffffff-2023-10,1
845f587ffffffff-2023-11,1
845f589ffffffff-2023-03,1
845f589ffffffff-2023-08,2
845f589ffffffff-2023-10,1
845f58bffffffff-2013-08,1
845f58bffffffff-2015-02,1
845f58bffffffff-2016-02,1
845f58bffffffff-2016-05,1
845f58bffffffff-2017-02,1
845f58bffffffff-2022-05,1
845f58bffffffff-2023-08,1
845f595ffffffff-2013-12,1
845f595ffffffff-2014-01,1
845f595ffffffff-2014-05,1
845f595ffffffff-2016-11,1
845f595ffffffff-2018-01,1
845f595ffffffff-2019-01,1
845f595ffffffff-2019-07,1
845f595ffffffff-2019-09,1
845f595ffffffff-2020-08,1
845f595ffffffff-2020-12,1
845f595ffffffff-2022-09,1
845f595ffffffff-2022-12,1
845f5b9ffffffff-2013-12,4
845f5b9ffffffff-2014-12,1
845f5b9ffffffff-2015-04,1
845f5b9ffffffff-2015-07,1
845f5b9ffffffff-2015-08,1
845f5b9ffffffff-2015-11,8
845f5b9ffffffff-2016-10,1
845f5b9ffffffff-2017-03,2
845f5b9ffffffff-2017-07,1
845f5b9ffffffff-2017-10,1
845f5b9ffffffff-2017-12,3
845f5b9ffffffff-2018-03,2
845f5b9ffffffff-2019-06,4
845f5b9ffffffff-2019-07,2
845f5b9ffffffff-2020-06,1
845f5b9ffffffff-2020-11,2
845f5b9ffffffff-2020-12,1
845f5b9ffffffff-2021-03,1
845f5b9ffffffff-2021-04,1
845f5b9ffffffff-2021-07,3
845f5b9ffffffff-2021-08,2
