index,n
849f529ffffffff-2012-10,1
849f529ffffffff-2012-11,2
849f529ffffffff-2015-08,1
849f529ffffffff-2015-09,1
849f529ffffffff-2015-12,2
849f529ffffffff-2016-07,2
849f529ffffffff-2017-08,2
849f529ffffffff-2018-01,1
849f529ffffffff-2018-05,2
849f529ffffffff-2018-08,2
849f529ffffffff-2018-10,1
849f529ffffffff-2019-01,2
849f529ffffffff-2019-05,2
849f529ffffffff-2019-07,4
849f529ffffffff-2019-08,3
849f529ffffffff-2019-11,2
849f529ffffffff-2022-07,1
849f529ffffffff-2022-09,1
849f529ffffffff-2022-11,7
849f529ffffffff-2023-01,3
849f529ffffffff-2023-03,2
849f529ffffffff-2023-07,1
849f529ffffffff-2023-08,1
849f529ffffffff-2023-09,1
849f529ffffffff-2023-10,1
849f529ffffffff-2023-11,5
