index,n
846608bffffffff-2022-01,11
8466c05ffffffff-2019-04,2
8466c0dffffffff-2019-02,2
8466c0dffffffff-2019-06,1
8466c0dffffffff-2020-02,3
8466c0dffffffff-2020-05,1
8466c0dffffffff-2020-07,1
8466c0dffffffff-2021-01,4
8466c0dffffffff-2021-04,3
8466c0dffffffff-2021-06,4
8466c0dffffffff-2021-10,7
8466c0dffffffff-2021-11,5
8466c0dffffffff-2021-12,1
8466c0dffffffff-2022-04,1
8466c0dffffffff-2022-08,3
8466c0dffffffff-2022-10,4
8466c0dffffffff-2023-01,6
8466c0dffffffff-2023-03,4
8466c0dffffffff-2023-05,4
8466c0dffffffff-2023-07,1
8466c0dffffffff-2023-08,5
8466c0dffffffff-2023-11,6
8466c29ffffffff-2018-05,2
8466c29ffffffff-2021-08,2
8466c2dffffffff-2016-01,5
8466c2dffffffff-2017-06,1
8466c45ffffffff-2019-07,1
8466c47ffffffff-2019-07,7
8466c47ffffffff-2019-09,1
8466c47ffffffff-2020-05,2
8466c47ffffffff-2021-05,1
8466c47ffffffff-2021-10,3
8466c47ffffffff-2022-04,9
8466c47ffffffff-2022-05,4
8466c47ffffffff-2022-07,2
8466c47ffffffff-2022-10,12
8466c47ffffffff-2023-01,2
8466c47ffffffff-2023-02,3
8466c47ffffffff-2023-03,1
8466c47ffffffff-2023-04,8
8466c47ffffffff-2023-05,1
8466c47ffffffff-2023-07,2
8466c47ffffffff-2023-09,12
8466c47ffffffff-2023-10,2
8466c63ffffffff-2015-05,1
8466c63ffffffff-2018-01,3
8466c63ffffffff-2018-02,2
8466c63ffffffff-2018-05,3
8466c63ffffffff-2018-07,3
8466c63ffffffff-2018-08,6
8466c63ffffffff-2018-11,1
8466c63ffffffff-2018-12,4
8466c63ffffffff-2019-03,9
8466c63ffffffff-2019-05,1
8466c63ffffffff-2019-06,8
8466c63ffffffff-2019-07,3
8466c63ffffffff-2019-08,6
8466c63ffffffff-2019-09,14
8466c63ffffffff-2019-10,2
8466c63ffffffff-2019-11,1
8466c63ffffffff-2019-12,4
8466c63ffffffff-2020-01,11
8466c63ffffffff-2020-02,5
8466c63ffffffff-2020-08,1
8466c63ffffffff-2020-09,4
8466c63ffffffff-2020-10,2
8466c63ffffffff-2020-11,1
8466c63ffffffff-2020-12,13
8466c63ffffffff-2021-01,8
8466c63ffffffff-2021-03,2
8466c63ffffffff-2021-04,3
8466c63ffffffff-2021-05,2
8466c63ffffffff-2021-06,7
8466c63ffffffff-2021-07,2
8466c63ffffffff-2021-09,2
8466c63ffffffff-2021-10,8
8466c63ffffffff-2021-11,7
8466c63ffffffff-2021-12,14
8466c63ffffffff-2022-01,28
8466c63ffffffff-2022-02,23
8466c63ffffffff-2022-03,16
8466c63ffffffff-2022-04,24
8466c63ffffffff-2022-05,15
8466c63ffffffff-2022-07,17
8466c63ffffffff-2022-08,7
8466c63ffffffff-2022-09,11
8466c63ffffffff-2022-10,8
8466c63ffffffff-2022-11,8
8466c63ffffffff-2022-12,1
8466c63ffffffff-2023-01,20
8466c63ffffffff-2023-02,28
8466c63ffffffff-2023-03,8
8466c63ffffffff-2023-04,4
8466c63ffffffff-2023-05,9
8466c63ffffffff-2023-06,9
8466c63ffffffff-2023-07,12
8466c63ffffffff-2023-08,7
8466c63ffffffff-2023-09,6
8466c63ffffffff-2023-10,12
8466c63ffffffff-2023-11,13
8466c6bffffffff-2016-09,1
8466c6bffffffff-2018-02,1
8466e47ffffffff-2019-10,8
8466e67ffffffff-2022-04,1
